Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,1.7745,2.82377541572599,1.07274098169387,1.19854077944808,1168,753.171428571429,824.0,195,300,197.304761904762,203.0,67,pilG-cyaB-fliC-,Liquid,2
1,2,2.0449,3.10693434175952,1.07966912753363,1.07200746266059,1015,677.702479338843,725.0,147,341,222.50413223140498,231.0,67,pilG-cyaB-fliC-,Liquid,2
1,3,2.5012,4.17847763108503,1.08105700875118,1.07200746266059,1260,822.074324324324,875.5,268,450,294.006756756757,305.0,92,pilG-cyaB-fliC-,Liquid,2
1,4,2.9744,4.19154328932551,1.0352488014510601,1.07200746266059,1353,876.272727272727,948.0,281,401,270.75,279.5,78,pilG-cyaB-fliC-,Liquid,2
1,5,2.4167,3.5638477631085004,1.0146455655159101,1.04,1131,749.4195804195799,811.0,186,407,266.87412587412604,280.0,80,pilG-cyaB-fliC-,Liquid,2
1,7,1.8083,3.0623253941935302,1.07296230398034,1.04809350727881,1447,1032.32710280374,1069.0,239,521,358.25233644859804,369.0,131,pilG-cyaB-fliC-,Liquid,2
1,8,1.9435,3.2230142312685,1.06296611645523,1.04809350727881,1215,871.747826086956,927.0,170,435,309.4,329.0,104,pilG-cyaB-fliC-,Liquid,2
1,9,1.4872,2.577695526217,1.03786731044288,0.946414285606467,1267,809.590909090909,859.0,201,468,296.159090909091,302.5,129,pilG-cyaB-fliC-,Liquid,2
1,10,2.7716,4.397695526217,1.02510385226504,0.946414285606467,1274,934.725609756098,948.5,294,481,331.408536585366,339.0,147,pilG-cyaB-fliC-,Liquid,2
1,11,3.042,5.19617315730203,1.11330408879479,1.07200746266059,1402,995.333333333333,1031.5,227,449,323.433333333333,341.0,124,pilG-cyaB-fliC-,Liquid,2
1,12,2.2646,3.80610080991951,1.0299858403289799,1.01533245786787,1332,947.194029850746,1013.5,204,448,312.455223880597,336.5,111,pilG-cyaB-fliC-,Liquid,2
1,13,2.4843,4.43847763108502,1.07966912753363,1.07200746266059,1235,889.448979591837,937.0,277,394,263.55782312925203,274.0,105,pilG-cyaB-fliC-,Liquid,2
1,14,2.2815,3.60377541572599,1.06778648014604,1.07200746266059,1371,915.711111111111,957.0,246,413,266.422222222222,273.0,86,pilG-cyaB-fliC-,Liquid,2
1,15,1.4196,2.21,1.0,0.91,1301,918.380952380952,976.5,287,400,276.059523809524,282.0,136,pilG-cyaB-fliC-,Liquid,2
1,18,2.2984,3.9184776310850205,1.0820396094609999,1.07200746266059,1336,932.0588235294119,1007.0,292,489,330.25,345.5,117,pilG-cyaB-fliC-,Liquid,2
1,19,1.5548,2.577695526217,1.03786731044288,0.91,1035,713.413043478261,741.0,223,404,264.597826086957,269.0,101,pilG-cyaB-fliC-,Liquid,2
1,20,1.7407,2.90078210486802,1.0823738475359599,1.07200746266059,1246,784.8446601941749,850.0,214,349,230.95145631067996,238.0,91,pilG-cyaB-fliC-,Liquid,2
1,21,2.873,4.40693434175952,1.06667604227605,1.07200746266059,1313,930.8588235294119,972.0,281,417,291.870588235294,299.5,122,pilG-cyaB-fliC-,Liquid,2
1,22,1.6731,2.707695526217,1.0362529801350502,0.946414285606467,1210,753.848484848485,810.0,155,448,287.69696969697003,303.0,74,pilG-cyaB-fliC-,Liquid,2
1,23,1.7407,2.6538477631085,1.0194371770886,0.946414285606467,1309,835.6213592233009,886.0,257,437,286.155339805825,304.0,88,pilG-cyaB-fliC-,Liquid,2
1,24,1.4534,2.5553910524340098,1.06604259790424,0.946414285606467,1175,778.5697674418599,829.0,206,408,267.53488372093,286.0,101,pilG-cyaB-fliC-,Liquid,2
1,25,1.8252,3.0084776310850203,1.07783671148814,1.04809350727881,1411,1000.89814814815,1062.5,267,385,264.722222222222,286.0,107,pilG-cyaB-fliC-,Liquid,2
1,28,2.2308,3.46539105243401,1.05288244020121,1.07200746266059,1152,819.522727272727,871.0,197,383,262.719696969697,266.0,89,pilG-cyaB-fliC-,Liquid,2
1,29,2.0449,3.2676231788344903,1.07373803283463,1.07200746266059,1341,939.669421487603,1003.0,235,508,353.0,361.0,148,pilG-cyaB-fliC-,Liquid,2
1,30,2.0956,3.47462986797652,1.08218193200772,1.07200746266059,1331,905.6612903225811,987.5,242,406,280.459677419355,296.5,111,pilG-cyaB-fliC-,Liquid,2
1,31,1.5548,2.8338686835190297,1.0253382341711899,0.937443331620637,1352,950.630434782609,1018.0,272,383,268.73913043478296,284.0,128,pilG-cyaB-fliC-,Liquid,2
1,32,1.5886,2.76154328932551,1.05038098032057,0.946414285606467,1425,1050.59574468085,1121.5,284,446,327.840425531915,341.5,126,pilG-cyaB-fliC-,Liquid,2
1,33,1.9097,3.4115432893255098,1.04886686935844,0.91,1218,881.575221238938,926.0,188,474,348.778761061947,363.0,156,pilG-cyaB-fliC-,Liquid,2
1,40,1.6731,2.85531870505149,1.0666656502849101,1.07200746266059,1499,1053.75757575758,1117.0,240,494,342.090909090909,360.0,127,pilG-cyaB-fliC-,Liquid,2
1,41,1.7914,2.7030142312685,1.0396208581801898,1.1627553482998898,1309,874.7452830188679,902.0,205,393,258.481132075472,264.0,81,pilG-cyaB-fliC-,Liquid,2
1,43,1.9773,3.3530142312685003,1.06638520576725,1.04809350727881,1174,801.5641025641029,849.0,272,467,306.564102564103,328.0,116,pilG-cyaB-fliC-,Liquid,2
1,44,1.6731,2.7791664681599997,1.0557942210068199,1.04809350727881,1219,753.212121212121,795.0,187,438,278.05050505050497,282.0,96,pilG-cyaB-fliC-,Liquid,2
1,45,1.5886,2.7392388155425094,1.07248911335735,0.990050503762308,1209,790.308510638298,856.5,211,395,272.872340425532,285.5,122,pilG-cyaB-fliC-,Liquid,2
1,46,1.6055,2.5953187050514903,1.05808935588286,1.1627553482998898,1304,890.4421052631579,930.0,280,428,280.126315789474,287.0,105,pilG-cyaB-fliC-,Liquid,2
1,47,2.535,4.33078210486802,1.07296230398034,0.990050503762308,1472,1037.2333333333302,1059.0,251,450,312.14,316.0,93,pilG-cyaB-fliC-,Liquid,2
1,48,1.3858,2.5330865786510097,1.08084894017939,0.946414285606467,1381,965.756097560976,1026.0,239,438,304.890243902439,316.5,139,pilG-cyaB-fliC-,Liquid,2
1,51,1.5379,2.44769552621701,1.03962597048738,1.07200746266059,1310,899.791208791209,936.0,230,398,285.703296703297,297.0,78,pilG-cyaB-fliC-,Liquid,2
1,52,1.7914,2.85531870505149,1.0666656502849101,1.07200746266059,1327,933.603773584906,963.0,323,413,285.745283018868,294.5,126,pilG-cyaB-fliC-,Liquid,2
1,53,2.197,3.5192388155425096,1.06181463866535,1.07200746266059,1130,755.492307692308,804.5,197,403,273.769230769231,283.5,117,pilG-cyaB-fliC-,Liquid,2
1,54,1.5379,2.6399276526174797,1.07028003081193,0.990050503762308,1087,700.230769230769,737.0,203,331,227.47252747252702,231.0,104,pilG-cyaB-fliC-,Liquid,2
1,55,2.2308,3.6715432893255096,1.03962597048738,0.946414285606467,1130,803.878787878788,850.0,161,349,246.378787878788,248.0,73,pilG-cyaB-fliC-,Liquid,2
1,56,2.8392,4.11539105243401,1.05289131048578,1.07200746266059,1610,1119.28571428571,1170.5,295,448,295.238095238095,311.0,139,pilG-cyaB-fliC-,Liquid,2
1,57,1.7914,3.1515432893255095,1.04517445537336,0.946414285606467,1055,651.462264150943,675.5,182,321,215.50943396226398,225.0,78,pilG-cyaB-fliC-,Liquid,2
1,59,2.5857,4.24539105243401,1.04478533027548,0.946414285606467,1162,777.790849673203,784.0,157,524,337.477124183007,350.0,120,pilG-cyaB-fliC-,Liquid,2
1,60,1.3351,2.35847763108502,1.05449021401443,1.1183022847155402,1312,924.5822784810131,979.0,330,418,297.696202531646,294.0,149,pilG-cyaB-fliC-,Liquid,2
1,61,1.5717,2.98531870505149,1.0695396444201801,0.990050503762308,1275,934.6236559139779,982.0,243,369,262.645161290323,279.0,92,pilG-cyaB-fliC-,Liquid,2
1,62,2.2815,3.56840528370251,1.0487827501893001,1.1627553482998898,1508,1035.4,1107.0,343,458,320.985185185185,337.0,114,pilG-cyaB-fliC-,Liquid,2
1,63,1.521,2.47923881554251,1.1521253408545902,1.10308657865101,1157,751.977777777778,801.0,178,396,267.466666666667,284.5,109,pilG-cyaB-fliC-,Liquid,2
1,64,2.4505,4.03455752059401,1.08511535098168,1.1627553482998898,1376,977.88275862069,1032.0,198,460,303.08275862069,313.0,80,pilG-cyaB-fliC-,Liquid,2
1,65,1.7238,2.80232539419353,1.06459220434141,1.1627553482998898,1399,980.686274509804,1063.5,321,450,300.78431372549,323.0,111,pilG-cyaB-fliC-,Liquid,2
1,66,2.4167,4.039238815542509,1.05583786490281,1.07200746266059,1352,952.482517482517,988.0,206,436,295.86013986014,304.0,79,pilG-cyaB-fliC-,Liquid,2
1,67,1.4196,2.24154328932551,1.05920699754198,1.07200746266059,1103,722.571428571429,741.5,237,353,242.85714285714297,257.0,118,pilG-cyaB-fliC-,Liquid,2
