Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,2,1.6224,3.016861994377,1.05375881906948,1.01533245786787,1070,711.1875,748.5,220,416,289.4375,291.0,111,pilH-cyaB-fliC-,Liquid,3
1,3,2.0449,3.82840528370251,1.06474065501147,1.01533245786787,841,539.595041322314,585.0,149,299,192.611570247934,187.0,63,pilH-cyaB-fliC-,Liquid,3
1,4,1.7407,2.91002092041053,1.04597190599802,1.04809350727881,1059,722.757281553398,772.0,236,387,259.009708737864,267.0,112,pilH-cyaB-fliC-,Liquid,3
1,5,2.0449,3.3038477631085,1.01575626226734,0.946414285606467,1078,777.785123966942,818.0,222,329,229.776859504132,240.0,74,pilH-cyaB-fliC-,Liquid,3
1,6,1.521,2.53223212640048,1.05638129708301,1.07200746266059,999,681.055555555556,701.5,187,490,327.788888888889,328.5,127,pilH-cyaB-fliC-,Liquid,3
1,7,2.3829,4.308477631085021,1.08040274386444,0.990050503762308,1014,711.957446808511,727.0,192,522,344.19858156028397,354.0,129,pilH-cyaB-fliC-,Liquid,3
1,9,1.7745,3.10693434175952,1.07966912753363,0.990050503762308,1121,798.780952380952,832.0,259,483,342.247619047619,360.0,124,pilH-cyaB-fliC-,Liquid,3
1,10,1.7745,2.92308657865101,1.07684967654196,1.07200746266059,1028,695.533333333333,749.0,254,392,272.31428571428603,279.0,108,pilH-cyaB-fliC-,Liquid,3
1,11,2.0787,3.66771644662754,1.05956909575826,1.01533245786787,1192,852.569105691057,882.0,244,447,307.58536585365897,320.0,127,pilH-cyaB-fliC-,Liquid,3
1,12,2.2646,3.92771644662754,1.06753105299777,1.01533245786787,1010,723.2985074626871,760.0,287,463,331.171641791045,346.5,134,pilH-cyaB-fliC-,Liquid,3
1,13,1.859,3.8191664681599997,1.07561245527133,0.946414285606467,909,627.0,654.0,192,413,299.0,313.0,130,pilH-cyaB-fliC-,Liquid,3
1,14,1.8252,3.3307097574855,1.06384765409199,1.04809350727881,1122,797.148148148148,842.5,313,477,351.62962962962996,360.5,194,pilH-cyaB-fliC-,Liquid,3
1,15,1.9266,3.20539105243401,1.05618359319458,0.946414285606467,1204,851.552631578947,875.0,286,498,336.578947368421,346.5,91,pilH-cyaB-fliC-,Liquid,3
1,16,1.7914,2.9138477631085,1.01777700919844,0.946414285606467,919,611.1132075471701,665.5,155,332,220.566037735849,225.5,64,pilH-cyaB-fliC-,Liquid,3
1,17,1.6055,2.7707821048680197,1.0820396094609999,1.07200746266059,1004,650.326315789474,693.0,173,396,248.747368421053,253.0,120,pilH-cyaB-fliC-,Liquid,3
1,18,2.4843,4.1199485730280205,1.04202365100917,1.01533245786787,1197,786.3741496598641,856.0,157,380,249.401360544218,258.0,86,pilH-cyaB-fliC-,Liquid,3
1,19,1.9266,3.1515432893255095,1.04517445537336,0.946414285606467,918,564.640350877193,597.0,138,353,221.657894736842,227.0,69,pilH-cyaB-fliC-,Liquid,3
1,20,1.7407,3.0623253941935302,1.07296230398034,1.04809350727881,1041,724.834951456311,751.0,206,387,261.757281553398,262.0,105,pilH-cyaB-fliC-,Liquid,3
1,21,2.1801,3.65847763108502,1.08238983168196,1.07200746266059,1108,768.139534883721,780.0,229,359,234.875968992248,251.0,80,pilH-cyaB-fliC-,Liquid,3
1,22,1.9435,3.1515432893255095,1.05303302057632,0.946414285606467,1082,739.1130434782609,785.0,194,372,257.313043478261,265.0,109,pilH-cyaB-fliC-,Liquid,3
1,23,2.5181,4.1330142312685,1.07601029491311,1.04809350727881,1034,695.530201342282,735.0,222,375,256.107382550336,262.0,85,pilH-cyaB-fliC-,Liquid,3
1,25,2.4336,4.14310749906155,1.04562267481902,1.01533245786787,968,664.722222222222,702.5,133,370,236.1875,245.0,81,pilH-cyaB-fliC-,Liquid,3
1,26,2.0618,3.4115432893255098,1.04222840475901,0.946414285606467,1032,657.22131147541,694.0,175,354,242.065573770492,244.0,88,pilH-cyaB-fliC-,Liquid,3
1,27,1.9604,3.27771644662754,1.04692128897954,1.01533245786787,1007,654.913793103448,736.0,132,363,239.81896551724097,245.0,63,pilH-cyaB-fliC-,Liquid,3
1,28,2.0111,3.66771644662754,1.05956909575826,1.04809350727881,1320,956.764705882353,985.0,377,543,373.47058823529403,388.0,153,pilH-cyaB-fliC-,Liquid,3
1,29,1.6562,3.016861994377,1.04517408281644,1.01533245786787,1152,814.9081632653059,845.0,271,459,315.65306122449,339.5,114,pilH-cyaB-fliC-,Liquid,3
1,31,1.4365,2.5107821048680203,1.1341400144416798,1.04809350727881,1015,664.317647058824,693.0,223,387,250.258823529412,263.0,66,pilH-cyaB-fliC-,Liquid,3
1,33,1.6393,2.8784776310850204,1.07531716468635,1.04809350727881,1249,848.309278350515,886.0,279,407,280.948453608247,283.0,91,pilH-cyaB-fliC-,Liquid,3
1,34,2.3829,3.85539105243401,1.05648168859887,1.07200746266059,1202,801.560283687943,851.0,225,512,327.879432624113,341.0,102,pilH-cyaB-fliC-,Liquid,3
1,35,2.2308,3.69002092041053,1.08850648233432,1.07200746266059,1178,775.7045454545449,832.5,191,453,302.030303030303,314.5,103,pilH-cyaB-fliC-,Liquid,3
1,36,1.4027,3.0614709419429906,1.0737773805486601,0.872066511224918,1009,720.4337349397591,771.0,257,382,274.903614457831,284.0,140,pilH-cyaB-fliC-,Liquid,3
1,38,1.9435,3.2453187050514902,1.0732857618285,1.01533245786787,946,649.208695652174,691.0,151,367,242.382608695652,255.0,102,pilH-cyaB-fliC-,Liquid,3
1,39,2.028,3.26847763108502,1.0809448387420602,1.07200746266059,1057,720.025,799.5,202,361,256.358333333333,266.0,128,pilH-cyaB-fliC-,Liquid,3
1,40,1.7914,3.08462986797652,1.08190012004355,0.990050503762308,1034,723.1415094339619,749.5,213,366,250.81132075471697,254.0,94,pilH-cyaB-fliC-,Liquid,3
1,41,2.3829,4.01225304681101,1.05674559855237,1.04809350727881,1134,775.1631205673759,789.0,242,403,272.446808510638,278.0,95,pilH-cyaB-fliC-,Liquid,3
1,43,1.8759,2.96769552621701,1.0333943403580799,0.946414285606467,1222,872.828828828829,921.0,254,444,298.981981981982,314.0,72,pilH-cyaB-fliC-,Liquid,3
1,44,1.9435,3.28154328932551,1.04365474598587,0.946414285606467,1017,732.817391304348,778.0,219,317,220.53043478260898,226.0,103,pilH-cyaB-fliC-,Liquid,3
1,45,1.9773,3.47462986797652,1.08218193200772,0.990050503762308,1052,766.846153846154,797.0,296,370,257.794871794872,267.0,97,pilH-cyaB-fliC-,Liquid,3
1,46,1.9604,3.45232539419353,1.07966912753363,1.07200746266059,1131,793.870689655172,812.0,209,510,335.84482758620703,342.0,99,pilH-cyaB-fliC-,Liquid,3
1,47,2.3153,3.8831074990615497,1.03000198914099,1.01533245786787,972,626.153284671533,672.0,125,344,220.890510948905,225.0,88,pilH-cyaB-fliC-,Liquid,3
1,48,2.028,3.50531870505149,1.0751246896411701,1.07200746266059,1113,793.0666666666671,819.0,282,472,331.74166666666696,336.5,130,pilH-cyaB-fliC-,Liquid,3
1,49,1.9773,3.227695526217,1.03094432229408,0.946414285606467,1083,740.769230769231,768.0,253,420,294.606837606838,312.0,137,pilH-cyaB-fliC-,Liquid,3
1,50,1.5548,2.47923881554251,1.07624261981353,1.07200746266059,1097,699.934782608696,696.0,269,355,231.836956521739,240.0,101,pilH-cyaB-fliC-,Liquid,3
1,51,2.2308,4.05771644662754,1.07060404539402,0.990050503762308,886,557.2045454545449,606.0,143,353,229.97727272727298,234.5,80,pilH-cyaB-fliC-,Liquid,3
1,52,1.9604,3.3669343417595203,1.0772769705285201,0.990050503762308,1058,696.844827586207,754.5,175,378,258.379310344828,269.5,89,pilH-cyaB-fliC-,Liquid,3
1,53,1.8421,2.99370306834347,1.05000854158889,1.1183022847155402,1352,921.1009174311929,971.0,354,431,283.422018348624,291.0,94,pilH-cyaB-fliC-,Liquid,3
1,54,2.0111,3.2991664681599997,1.0880815027674,1.07200746266059,1113,760.621848739496,802.0,219,357,245.39495798319302,255.0,86,pilH-cyaB-fliC-,Liquid,3
1,55,2.3322,4.263868683519029,1.11519911216481,1.01533245786787,1262,869.8913043478259,878.5,258,427,285.579710144928,287.0,107,pilH-cyaB-fliC-,Liquid,3
1,56,2.2646,3.5415432893255097,1.0408877959734901,0.946414285606467,1156,795.253731343284,872.0,234,433,282.305970149254,293.0,92,pilH-cyaB-fliC-,Liquid,3
1,57,2.2984,3.75607988950898,1.0635631647628698,1.07200746266059,1073,722.867647058824,761.5,152,380,255.48529411764702,260.0,101,pilH-cyaB-fliC-,Liquid,3
1,58,2.5519,4.09308657865101,1.06318240851159,0.990050503762308,973,649.3443708609269,723.0,169,435,288.87417218543,301.0,104,pilH-cyaB-fliC-,Liquid,3
1,59,1.859,3.1468619943769998,1.0677087099518399,1.04809350727881,1033,683.936363636364,725.0,188,393,261.772727272727,265.5,116,pilH-cyaB-fliC-,Liquid,3
1,60,1.9773,3.3538686835190297,1.0567678010646,1.04809350727881,921,585.905982905983,648.0,116,349,220.65811965812,228.0,91,pilH-cyaB-fliC-,Liquid,3
1,61,1.8928,3.16078210486802,1.08194582775902,0.990050503762308,1076,776.053571428571,801.0,221,366,257.401785714286,265.5,99,pilH-cyaB-fliC-,Liquid,3
1,62,2.0787,3.3892388155425097,1.06346103789448,0.946414285606467,1083,732.2926829268291,761.0,163,409,275.983739837398,298.0,101,pilH-cyaB-fliC-,Liquid,3
1,63,1.5548,2.6176231788344904,1.07170787670781,1.01533245786787,1037,720.445652173913,752.0,273,421,294.902173913043,310.0,126,pilH-cyaB-fliC-,Liquid,3
1,64,2.5519,4.43465078838705,1.02620691122477,1.01533245786787,1112,736.337748344371,780.0,179,337,222.900662251656,230.0,75,pilH-cyaB-fliC-,Liquid,3
1,65,1.7745,2.94539105243401,1.05984293919473,0.946414285606467,1141,730.466666666667,788.0,190,335,214.114285714286,217.0,62,pilH-cyaB-fliC-,Liquid,3
1,66,1.9266,3.27771644662754,1.04692128897954,1.01533245786787,1079,753.868421052632,796.0,228,387,274.070175438596,279.5,113,pilH-cyaB-fliC-,Liquid,3
1,68,2.4674,4.21925973595304,1.06028621099154,1.04809350727881,1087,714.2465753424659,761.5,193,462,318.41095890411,323.0,137,pilH-cyaB-fliC-,Liquid,3
1,69,1.7069,2.8561731573020297,1.06572883372038,1.10308657865101,998,664.4455445544551,693.0,143,363,240.73267326732702,240.0,92,pilH-cyaB-fliC-,Liquid,3
1,70,2.028,3.56755083145197,1.0763912014975,1.04809350727881,1183,824.1833333333329,855.0,222,375,260.9,266.0,72,pilH-cyaB-fliC-,Liquid,3
1,71,1.6393,2.91002092041053,1.04597190599802,1.01533245786787,1158,810.278350515464,836.0,309,486,310.60824742268,313.0,139,pilH-cyaB-fliC-,Liquid,3
1,72,2.0449,3.28154328932551,1.04365474598587,0.946414285606467,1266,906.7107438016529,972.0,241,450,330.479338842975,342.0,122,pilH-cyaB-fliC-,Liquid,3
1,73,1.9942,3.5600209204105298,1.07164910887391,1.01533245786787,1223,820.237288135593,890.5,178,452,305.491525423729,317.5,108,pilH-cyaB-fliC-,Liquid,3
1,74,2.5519,4.470020920410531,1.08194582775902,1.07200746266059,1118,755.145695364238,794.0,167,417,266.09271523178796,277.0,86,pilH-cyaB-fliC-,Liquid,3
1,76,1.9604,3.4598553052349703,1.06202505433221,1.04809350727881,1092,811.25,839.5,323,415,293.827586206897,308.0,122,pilH-cyaB-fliC-,Liquid,3
1,77,1.3858,2.43462986797652,1.08853835910557,1.10308657865101,1006,671.817073170732,694.5,233,308,209.97560975609798,222.0,80,pilH-cyaB-fliC-,Liquid,3
1,78,1.521,2.3938477631085,1.02143678763816,1.07200746266059,1044,710.5,729.0,173,494,328.33333333333303,340.5,140,pilH-cyaB-fliC-,Liquid,3
1,79,2.0956,3.40771644662754,1.05530383402148,1.10308657865101,1127,792.024193548387,834.0,239,354,245.112903225806,251.0,88,pilH-cyaB-fliC-,Liquid,3
1,80,1.8759,3.2238686835190298,1.058395096285,1.04809350727881,1136,784.990990990991,855.0,255,343,230.720720720721,241.0,89,pilH-cyaB-fliC-,Liquid,3
1,81,1.6731,2.5238477631085,1.0203884108344599,1.07200746266059,1207,791.727272727273,837.0,215,428,282.060606060606,300.0,84,pilH-cyaB-fliC-,Liquid,3
1,82,2.028,3.1830865786510096,1.07375061921325,1.07200746266059,1153,838.916666666667,877.5,290,399,263.325,271.0,93,pilH-cyaB-fliC-,Liquid,3
1,83,2.2308,3.5638477631085004,1.0146455655159101,0.946414285606467,1207,794.537878787879,858.0,225,429,280.727272727273,290.0,139,pilH-cyaB-fliC-,Liquid,3
1,84,3.0251,5.03080302527855,1.0567678010646,1.07200746266059,1245,816.251396648045,851.0,191,420,294.016759776536,301.0,109,pilH-cyaB-fliC-,Liquid,3
1,85,1.8928,2.99,1.0,0.91,1105,750.473214285714,787.5,158,339,219.32142857142898,221.5,83,pilH-cyaB-fliC-,Liquid,3
