Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,2.3829,4.0838477631085,1.0128348955875,0.822192191643779,1049,760.7163120567379,803.0,266,10664,7810.86524822695,8137.0,3432,pilH-fliC-,Liquid,3
1,3,1.8252,3.3845575205940097,1.05154608249284,0.937443331620637,1005,704.592592592593,739.0,288,8615,6202.7037037037,6341.0,2891,pilH-fliC-,Liquid,3
1,4,1.9097,3.55078210486802,1.07966912753363,0.946414285606467,1195,859.212389380531,868.0,256,9063,6755.53982300885,7195.0,2388,pilH-fliC-,Liquid,3
1,5,2.3153,4.16541197284454,1.05984293919473,1.01533245786787,1107,793.3795620437959,823.0,231,9794,7217.248175182479,7561.0,2753,pilH-fliC-,Liquid,3
1,6,2.5688,4.819238815542509,1.04852813742386,0.822192191643779,1054,760.105263157895,785.5,250,11871,8814.460526315792,9120.0,4178,pilH-fliC-,Liquid,3
1,7,2.4843,4.63156420973604,1.07567487113583,0.946414285606467,1025,711.4149659863949,746.0,264,9301,6821.93197278912,7091.0,2355,pilH-fliC-,Liquid,3
1,8,2.0956,4.02617315730203,1.08153896502846,0.946414285606467,909,656.16935483871,673.5,226,11457,8582.46774193548,8893.0,3606,pilH-fliC-,Liquid,3
1,9,2.0787,3.5730865786510098,1.06905354398685,0.946414285606467,1191,816.284552845528,849.0,214,10157,7377.9674796747995,7765.0,2999,pilH-fliC-,Liquid,3
1,10,1.8083,3.0438477631085004,1.01704844576215,0.946414285606467,1300,894.523364485981,947.0,305,13408,9759.93457943925,10307.0,3786,pilH-fliC-,Liquid,3
1,11,1.9773,3.46156420973604,1.0444132220709101,1.01533245786787,1280,893.641025641026,920.0,354,9170,6463.34188034188,6732.0,2452,pilH-fliC-,Liquid,3
1,13,1.8252,3.60462986797652,1.08176926914207,0.937443331620637,1029,744.37962962963,769.0,215,10617,7861.435185185191,8141.5,3192,pilH-fliC-,Liquid,3
1,14,2.3153,3.8238477631085,1.01368074139667,0.946414285606467,805,554.1459854014599,596.0,167,7278,5238.912408759121,5490.0,2163,pilH-fliC-,Liquid,3
1,15,2.4843,4.73840528370251,1.08430042964196,0.946414285606467,983,670.0340136054419,706.0,218,10725,7925.92517006803,8373.0,3314,pilH-fliC-,Liquid,3
1,16,2.3491,4.01693434175952,1.07060404539402,0.946414285606467,1321,953.122302158273,994.0,368,12781,9429.25179856115,9733.0,3950,pilH-fliC-,Liquid,3
1,17,1.9435,3.28154328932551,1.04365474598587,0.946414285606467,1211,858.817391304348,887.0,315,7989,6024.64347826087,6202.0,2627,pilH-fliC-,Liquid,3
1,18,1.859,3.53771644662754,1.06249708839426,0.990050503762308,1174,807.9272727272729,854.0,235,10121,7178.91818181818,7509.5,2998,pilH-fliC-,Liquid,3
1,20,1.7745,3.0530865786510097,1.07531716468635,0.990050503762308,949,669.990476190476,717.0,225,10576,7719.17142857143,8028.0,3649,pilH-fliC-,Liquid,3
1,21,2.0449,3.35769552621701,1.03313708498985,0.946414285606467,1105,775.057851239669,809.0,279,9241,6624.51239669421,6916.0,2512,pilH-fliC-,Liquid,3
1,22,1.5886,3.19232539419353,1.07583319079416,0.946414285606467,1239,938.6382978723401,978.5,312,12533,9590.10638297872,9887.0,3698,pilH-fliC-,Liquid,3
1,23,2.535,5.2815642097360405,1.0811896094670999,0.946414285606467,861,600.413333333333,630.5,174,8430,6275.52,6483.0,2959,pilH-fliC-,Liquid,3
1,24,2.2139,3.7253910524340097,1.04990590532474,0.990050503762308,1065,702.908396946565,730.0,201,10616,7725.3893129770995,8059.0,3264,pilH-fliC-,Liquid,3
1,25,2.6871,4.932346314604059,1.03186258172101,0.937443331620637,1219,859.503144654088,886.0,272,12534,9072.66666666667,9777.0,3066,pilH-fliC-,Liquid,3
1,27,1.9773,3.76617315730203,1.07966912753363,0.946414285606467,1031,753.888888888889,789.0,276,8193,6095.58974358974,6430.0,2446,pilH-fliC-,Liquid,3
1,29,2.1463,3.79771644662754,1.0638821202286,0.990050503762308,967,613.40157480315,659.0,119,6962,4953.275590551179,5114.0,1345,pilH-fliC-,Liquid,3
1,30,2.2984,4.08840528370251,1.06930730774571,0.990050503762308,1227,849.257352941176,890.5,277,9159,6893.2352941176505,7141.5,2941,pilH-fliC-,Liquid,3
1,31,1.6224,2.83769552621701,1.03476668459675,0.946414285606467,832,569.5625,614.5,203,9068,6411.42708333333,6607.5,3303,pilH-fliC-,Liquid,3
1,32,3.042,5.41539105243401,1.04142135623731,0.946414285606467,1088,760.383333333333,769.0,236,8860,6658.73888888889,6682.5,2421,pilH-fliC-,Liquid,3
1,33,3.1434,5.68462986797652,1.0665346844233599,0.946414285606467,1261,892.430107526882,916.5,276,10740,7971.618279569891,8217.5,2839,pilH-fliC-,Liquid,3
1,34,2.0449,3.4115432893255098,1.04222840475901,0.946414285606467,1179,834.99173553719,882.0,282,8149,5994.67768595041,6303.0,2293,pilH-fliC-,Liquid,3
