Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,7,2.2815,3.5753653389480196,1.09292276974044,0.966294468575703,928,592.125925925926,603.0,209,1392,869.835185185185,891.0,258,WT,Liquid,1
1,8,2.023775,3.1426698127310098,1.09376272211666,1.0090713552569,1566,1062.50313152401,1108.0,397,1230,811.1002087682671,876.0,200,WT,Liquid,1
1,9,1.859,2.92308657865101,1.07684967654196,0.946414285606467,757,460.46136363636396,479.5,113,1387,890.263636363636,916.5,261,WT,Liquid,1
1,10,2.74625,4.10417692836526,1.05558339506173,0.990050503762308,1658,1072.1492307692301,1102.5,328,1407,861.906153846154,888.5,188,WT,Liquid,1
1,16,3.32085,4.68461940777126,1.02948163923889,0.946414285606467,1330,850.894402035623,864.5,228,1358,895.871501272265,916.5,308,WT,Liquid,1
1,18,1.854775,2.70344145739377,1.02796723671999,1.0174109297624,2076,1343.33029612756,1404.0,370,1586,952.569476082005,1015.0,174,WT,Liquid,1
1,19,2.792725,4.2119343417595205,1.0686153811847199,0.946414285606467,1429,869.7987897125571,887.0,224,1398,847.543116490166,864.0,240,WT,Liquid,1
1,22,2.45895,3.93339482349724,1.07479231914709,0.946414285606467,1305,866.417525773196,890.0,193,1486,997.520618556701,1038.5,270,WT,Liquid,1
1,25,1.770275,2.9992388155425096,1.06874657841954,0.867208164168212,1303,868.5751789976131,917.0,242,1346,915.940334128878,952.0,193,WT,Liquid,1
1,26,2.535,3.7030865786510097,1.1259796116670602,0.946414285606467,981,619.033333333333,641.5,255,1429,884.213333333333,972.0,235,WT,Liquid,1
1,27,3.2110000000000003,5.17578210486802,1.06549407571502,0.91,1096,710.781578947368,735.0,161,1525,999.3394736842099,1024.5,225,WT,Liquid,1
1,28,2.040675,2.66961940777126,1.04455484901689,1.04,1054,656.8467908902691,676.0,176,1397,895.7701863354041,901.0,285,WT,Liquid,1
1,30,2.66175,3.92039105243401,1.04786495203924,0.946414285606467,900,593.003174603175,620.5,185,1477,974.625396825397,1003.5,313,WT,Liquid,1
1,31,2.6533,4.072695526217,1.0249602855489899,0.867208164168212,2123,1447.7101910828,1508.0,430,1325,904.667197452229,929.5,203,WT,Liquid,1
1,32,1.973075,3.10040151263927,1.10896724616025,1.07200746266059,1152,751.167023554604,798.0,222,1465,963.297644539615,1001.0,297,WT,Liquid,1
1,34,2.05335,3.016861994377,1.04517408281644,0.990050503762308,1886,1246.66255144033,1293.5,349,1373,895.0946502057609,918.5,263,WT,Liquid,1
1,35,2.3829,3.5953291652567594,1.03555796950348,0.990050503762308,650,399.83156028368796,418.0,98,1264,792.010638297872,845.5,115,WT,Liquid,1
1,36,2.03645,3.06651757583951,1.0761068846173,1.0174109297624,2193,1451.1867219917,1535.5,294,1693,1022.82157676349,1105.0,135,WT,Liquid,1
1,37,2.691325,3.9788582233137704,1.07375061921325,1.0090713552569,856,537.729984301413,548.0,104,1406,854.736263736264,887.0,207,WT,Liquid,1
1,38,2.69555,3.8396194077712598,1.03490213183576,1.0090713552569,662,413.44200626959196,418.5,132,1392,899.465517241379,915.0,300,WT,Liquid,1
1,40,3.2955,5.00807132537028,1.05189474553467,0.990050503762308,950,601.3038461538459,624.5,151,1385,872.130769230769,918.0,204,WT,Liquid,1
1,41,2.0111,3.10231493398826,1.0627217711438801,0.946414285606467,943,612.060924369748,630.5,138,1343,812.663865546219,899.5,173,WT,Liquid,1
1,42,2.93215,4.38654328932551,1.03383991564029,0.91,1234,777.609510086455,792.0,197,1391,918.9265129683,936.5,234,WT,Liquid,1
1,45,2.192775,3.2207354709715004,1.0769146144675699,0.946414285606467,1775,1123.40269749518,1173.0,250,1478,889.423892100193,934.0,218,WT,Liquid,1
1,48,2.049125,2.7838477631085,1.0197244553511,1.0090713552569,1075,699.4288659793821,732.0,205,1589,1013.0783505154599,1076.0,190,WT,Liquid,1
1,52,2.62795,3.65656420973604,1.04952317880925,1.07594144822105,1158,763.456591639871,807.0,147,1501,935.372990353698,1020.5,136,WT,Liquid,1
1,54,3.2955,4.4357097574855,1.07457233027038,1.1351761977772399,1336,882.6564102564099,925.5,250,2271,1476.9782051282098,1604.5,220,WT,Liquid,1
1,55,1.820975,2.7438582233137705,1.08238983168196,0.946414285606467,1163,730.2598607888631,760.0,173,1556,1003.96519721578,1039.0,185,WT,Liquid,1
1,57,2.2815,3.36964032818179,1.0456329283671701,1.0174109297624,1824,1220.12037037037,1283.0,369,1744,1105.2722222222199,1212.0,167,WT,Liquid,1
1,59,2.52655,3.7253291652567597,1.0455120862115,0.990050503762308,1270,831.0568561872909,878.0,195,1501,867.128762541806,976.0,180,WT,Liquid,1
1,60,2.7378,4.15383250982777,1.0710521698135,0.990050503762308,1103,708.1759259259261,728.0,141,1754,961.3796296296301,1032.5,130,WT,Liquid,1
1,61,2.34065,3.3038477631085,1.01656854249492,0.946414285606467,1398,907.397111913357,949.0,265,1737,1120.20938628159,1185.5,219,WT,Liquid,1
1,62,2.023775,2.8980142312685,1.05058283498346,1.02774023955472,1325,838.9248434238001,881.0,184,1751,1092.41962421712,1175.0,206,WT,Liquid,1
1,63,2.082925,3.1445832340799997,1.06667616805086,1.0090713552569,1672,1081.84178498986,1137.0,279,1817,1176.0527383367098,1266.0,222,WT,Liquid,1
1,65,2.6871,4.05039105243401,1.05555825654904,0.946414285606467,1923,1277.74685534591,1325.0,311,1580,1015.5754716981099,1075.0,160,WT,Liquid,1
1,66,2.57725,3.6876802729362796,1.02728272208174,1.01533245786787,1418,888.203278688525,927.5,251,1627,1009.26885245902,1083.5,195,WT,Liquid,1
1,67,2.125175,3.0572787602969997,1.07735847996135,1.0090713552569,1415,899.244532803181,925.0,167,1720,1044.4751491053698,1132.0,185,WT,Liquid,1
1,69,3.088475,4.527695526217,1.02436550366901,0.946414285606467,2172,1399.4541723666198,1439.0,310,1585,984.777017783858,1032.0,143,WT,Liquid,1
