Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.39135,3.4988477631085004,1.01490834568102,0.946414285606467,2869,2086.06537102473,2192.0,815,3478,2236.18021201413,2506.0,462,fliC-,Liquid,1
1,4,2.133625,2.90269552621701,1.03406707159539,1.0090713552569,943,599.433663366337,616.0,152,2426,1567.6178217821803,1664.0,415,fliC-,Liquid,1
1,5,2.62795,3.73001046020527,1.07060404539402,1.0090713552569,1116,736.0916398713831,771.5,219,3131,2149.038585209,2267.5,404,fliC-,Liquid,1
1,6,2.7716,4.263868683519029,1.0784241439593198,1.0090713552569,1240,807.4009146341459,824.0,202,3183,2089.8521341463397,2254.0,490,fliC-,Liquid,1
1,7,1.85055,2.61577164466275,1.02882321552617,0.946414285606467,2188,1487.78538812785,1554.5,471,3235,2052.9383561643804,2272.5,503,fliC-,Liquid,1
1,8,2.708225,4.59768027293628,1.0670760777861898,0.8840955830678041,2475,1794.8174726989103,1861.0,609,2858,1931.6489859594396,2094.0,504,fliC-,Liquid,1
1,9,3.1096,4.3484671708797595,1.0421291207373,1.0090713552569,82,24.3423913043478,23.0,0,62,21.736413043478304,21.0,0,fliC-,Liquid,1
1,10,3.3462,4.684557520594001,1.09423460571399,1.0090713552569,487,291.089646464646,304.0,67,3295,2160.5202020202,2332.0,406,fliC-,Liquid,1
1,11,1.905475,2.9161265234055,1.0776896823479498,0.946414285606467,505,315.068736141907,327.0,83,2904,1906.0731707317102,2004.0,465,fliC-,Liquid,1
1,12,2.268825,3.5488686835190295,1.0746884237821301,0.990050503762308,3390,2419.37243947858,2504.0,1002,3650,2453.3966480446898,2679.0,612,fliC-,Liquid,1
1,13,2.049125,2.8646194077712597,1.0419536563912501,1.0090713552569,1327,930.967010309278,978.0,340,2988,2011.7690721649499,2220.0,457,fliC-,Liquid,1
1,14,1.859,2.9296194077712596,1.04114940222289,0.867208164168212,2874,2051.66818181818,2199.0,576,3047,1976.5363636363602,2175.5,474,fliC-,Liquid,1
1,15,1.939275,3.00805040495976,1.07739155591069,0.946414285606467,1457,1002.69716775599,1042.0,332,3111,2106.1568627451,2339.0,485,fliC-,Liquid,1
1,16,3.06735,4.35961940777126,1.02882321552617,1.0090713552569,2300,1489.5826446281,1536.5,429,3174,2043.0564738292,2174.5,530,fliC-,Liquid,1
1,17,2.0956,2.8488477631085,1.01926574708712,1.0090713552569,871,544.983870967742,555.5,116,2459,1603.09274193548,1700.0,400,fliC-,Liquid,1
1,18,2.12095,3.21228922050227,1.0570029634134799,1.02774023955472,776,517.635458167331,531.0,200,3795,2515.6294820717103,2723.5,525,fliC-,Liquid,1
1,19,2.18855,3.0865432893255096,1.04597190599802,1.0090713552569,1574,1014.7837837837801,1056.5,301,3393,2191.77992277992,2344.5,626,fliC-,Liquid,1
1,20,2.0449,3.60462986797652,1.08176926914207,0.872066511224918,3146,2334.0165289256197,2406.0,725,2847,2007.24173553719,2168.5,700,fliC-,Liquid,1
1,21,2.319525,3.2592388155425094,1.0651676036548101,1.0174109297624,484,313.94717668488204,328.0,108,3012,2084.84517304189,2215.0,404,fliC-,Liquid,1
1,22,1.1154,1.93693434175952,1.1029100967251002,0.990050503762308,641,429.42803030303,429.5,169,7579,4967.51893939394,5319.5,1489,fliC-,Liquid,1
1,23,2.682875,4.01502092041053,1.0790367474913398,1.0174109297624,1390,918.2598425196851,943.0,313,3133,2163.1007874015804,2275.0,420,fliC-,Liquid,1
1,24,3.42225,5.15156420973603,1.0805245105005898,1.01116269709676,1496,1073.96049382716,1123.5,380,3282,2308.55308641975,2424.0,722,fliC-,Liquid,1
1,25,1.888575,2.96535487874275,1.0764903776508001,0.946414285606467,1174,766.7181208053689,799.0,315,3079,2146.73378076063,2275.0,437,fliC-,Liquid,1
1,26,1.677325,2.9638686835190295,1.0400851834554599,0.8840955830678041,597,417.818639798489,429.0,118,2501,1822.6599496221697,1970.0,631,fliC-,Liquid,1
1,27,2.40825,3.7680865786510096,1.0667822791994899,0.946414285606467,2716,1964.1614035087698,2075.0,774,3284,2252.92105263158,2368.5,348,fliC-,Liquid,1
1,28,1.820975,2.8288220496225094,1.06623951457185,0.990050503762308,1652,1127.77030162413,1186.0,489,3167,2139.29930394432,2329.0,575,fliC-,Liquid,1
1,29,2.809625,4.08883250982777,1.05473663690445,1.01533245786787,1521,1016.8932330827099,1049.0,329,4420,3010.7533834586498,3162.0,598,fliC-,Liquid,1
1,30,1.728025,2.6226698127310097,1.05023643806638,0.990050503762308,1684,1121.27139364303,1168.0,338,3358,2200.71393643032,2374.0,425,fliC-,Liquid,1
1,31,3.257475,4.36041197284454,1.06535063970498,1.1351761977772399,783,471.31128404669295,507.0,85,3064,2066.50324254215,2190.0,418,fliC-,Liquid,1
1,32,1.36045,2.30420264185125,1.1115956462431202,0.937443331620637,698,391.76397515528,402.0,90,7974,4902.6490683229795,5069.5,678,fliC-,Liquid,1
1,33,2.12095,3.10878587593125,1.04868676261305,1.0174109297624,2607,1861.7729083665301,1940.0,737,3493,2458.95418326693,2606.5,590,fliC-,Liquid,1
1,34,2.158975,3.42497428651401,1.07872002027224,1.0090713552569,697,438.69275929549894,455.0,160,5917,4015.29354207436,4152.0,815,fliC-,Liquid,1
1,35,1.736475,2.65655374953077,1.08305436254829,0.990050503762308,2217,1494.10218978102,1552.0,466,3495,2263.0802919708,2382.0,496,fliC-,Liquid,1
1,36,2.446275,3.7169448019647793,1.09544228678092,1.0090713552569,1465,963.3471502590669,987.0,339,2693,1803.78583765112,1929.0,422,fliC-,Liquid,1
1,37,2.480075,3.8368515341717404,1.09143707635494,0.946414285606467,1058,721.4787052810901,747.0,277,3232,2228.25212947189,2338.0,557,fliC-,Liquid,1
1,38,2.057575,3.1292388155425095,1.0669313226061,0.946414285606467,1198,821.4558521560581,848.0,273,2847,1953.7618069815198,2180.0,413,fliC-,Liquid,1
1,41,1.474525,2.6292026418512497,1.1218609395006,0.83240615086627,392,222.59025787965598,224.0,72,4403,2957.14326647564,3167.0,850,fliC-,Liquid,1
1,44,2.07025,3.36921310205652,1.04913465901775,0.937443331620637,1337,955.430612244898,1009.0,287,3256,2323.21632653061,2503.5,544,fliC-,Liquid,1
1,46,1.7069,2.577695526217,1.03786731044288,0.946414285606467,810,515.059405940594,529.0,177,5121,3485.1658415841603,3729.0,925,fliC-,Liquid,1
1,47,1.635075,2.8942492757477796,1.0699134147345,0.872066511224918,1562,1137.5788113695098,1163.0,346,2706,1909.2093023255802,2047.0,745,fliC-,Liquid,1
1,49,2.243475,3.47001046020526,1.07350820738083,0.946414285606467,1750,1226.25047080979,1257.0,487,3217,2191.01694915254,2324.0,583,fliC-,Liquid,1
1,51,2.344875,3.70770598642227,1.08010922269215,0.8840955830678041,3318,2337.8378378378397,2416.0,801,3234,2224.7963963964003,2358.0,635,fliC-,Liquid,1
1,52,1.78295,2.9342388155425096,1.06967080230637,0.867208164168212,1338,893.018957345972,933.0,270,2394,1701.1327014218,1810.0,615,fliC-,Liquid,1
1,53,2.9913,4.27231493398826,1.05888890571153,1.0090713552569,1648,1102.76412429379,1144.5,335,3935,2567.3333333333303,2662.5,607,fliC-,Liquid,1
1,54,1.770275,2.8200104602052702,1.08023981159432,0.946414285606467,3167,2222.9355608591895,2337.0,840,3357,2320.6968973747,2406.0,579,fliC-,Liquid,1
1,55,1.077375,2.19231493398826,1.11868455998517,0.78,574,385.63137254902,395.0,130,7037,4830.9568627451,5148.0,1447,fliC-,Liquid,1
