Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.361775,3.75693434175952,1.07330029708002,0.867208164168212,5992,4205.91055456172,4382.0,1458,1251,790.935599284437,861.0,158,pilA-T8V-FliC-,Solid,1
1,2,2.784275,4.10423881554251,1.05515705292917,0.946414285606467,6501,4618.79059180577,4891.0,1121,1451,977.933232169955,1029.0,250,pilA-T8V-FliC-,Solid,1
1,3,2.74625,4.08002092041053,1.07966912753363,0.990050503762308,2360,1594.6876923076902,1632.0,484,1468,964.8184615384621,987.0,328,pilA-T8V-FliC-,Solid,1
1,4,2.18855,3.7276698127310097,1.0774590983698,0.9306583691129631,7146,5325.65057915058,5622.0,2098,1520,1062.22200772201,1117.0,341,pilA-T8V-FliC-,Solid,1
1,5,2.0956,2.9407716446627497,1.02586010971339,0.946414285606467,4515,3068.9576612903197,3160.0,609,1584,1020.9012096774198,1057.5,288,pilA-T8V-FliC-,Solid,1
1,6,3.088475,4.63539105243401,1.04154783370988,0.867208164168212,8356,5896.805745554039,6132.0,1756,1563,1067.85499316005,1110.0,251,pilA-T8V-FliC-,Solid,1
1,7,2.2477,3.40771644662753,1.0587413148968101,0.990050503762308,3028,2192.1992481203,2319.0,778,1438,943.353383458647,982.5,287,pilA-T8V-FliC-,Solid,1
1,8,2.4167,3.7253910524340097,1.0548733824253,0.867208164168212,2755,1983.2097902097898,2103.5,576,1330,865.524475524476,948.0,196,pilA-T8V-FliC-,Solid,1
1,9,2.79695,4.29960415449053,1.06057238915097,0.990050503762308,3625,2456.5105740181302,2537.5,807,1511,998.611782477341,1047.0,270,pilA-T8V-FliC-,Solid,1
1,10,2.52655,3.97232539419353,1.08236141971605,0.946414285606467,6652,4826.222408026761,5099.5,1325,1499,1005.72575250836,1054.0,271,pilA-T8V-FliC-,Solid,1
1,11,2.277275,3.5303291652567594,1.03797076614291,0.9597134989151709,5962,4289.37847866419,4517.0,1443,1308,889.91280148423,945.0,185,pilA-T8V-FliC-,Solid,1
1,12,2.05335,3.23650711563425,1.10215254334717,0.9597134989151709,3114,2243.4938271604897,2400.5,656,1624,1097.9794238683098,1131.5,311,pilA-T8V-FliC-,Solid,1
