Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,1.913925,2.9434776310850204,1.07667211834974,0.9306583691129631,1146,750.008830022075,782.0,260,1182,751.3973509933771,777.0,260,WT,Liquid,2
1,2,1.9266,2.97693434175952,1.08069398262411,0.946414285606467,590,394.210526315789,413.0,63,1105,720.883771929825,772.5,120,WT,Liquid,2
1,4,2.074475,3.07077164466275,1.02483676728191,0.946414285606467,1064,711.912423625255,743.0,166,1099,688.091649694501,707.0,221,WT,Liquid,2
1,5,1.66465,2.5061626970967597,1.07894785554672,0.946414285606467,428,255.106598984772,264.0,48,991,641.406091370558,652.5,225,WT,Liquid,2
1,6,2.20545,3.46113698361077,1.0522056805716802,1.0090713552569,896,604.814176245211,638.5,142,1118,756.806513409962,791.5,244,WT,Liquid,2
1,7,1.491425,2.5061626970967597,1.07894785554672,0.9306583691129631,1670,1085.9660056657199,1118.0,256,1127,726.0651558073649,741.0,234,WT,Liquid,2
1,8,2.5519,3.9007925650732798,1.07628958692484,0.990050503762308,1332,886.211920529801,934.0,311,1229,767.403973509934,846.5,126,WT,Liquid,2
1,9,2.167425,3.2388477631085,1.01606066365912,0.867208164168212,1682,1197.75633528265,1255.0,342,1114,680.1910331384021,719.0,158,WT,Liquid,2
1,10,2.581475,3.7026593525257496,1.0561571444470799,0.946414285606467,1461,1027.84942716858,1086.0,285,1288,805.659574468085,894.0,151,WT,Liquid,2
1,11,2.412475,3.55078210486802,1.07966912753363,1.0090713552569,692,441.810858143608,465.0,115,1265,780.6129597197901,823.0,122,WT,Liquid,2
1,12,2.0787,2.88692388155425,1.00915334979845,0.946414285606467,1369,907.943089430894,938.0,288,1195,741.461382113821,819.5,129,WT,Liquid,2
1,13,1.95195,2.7953653389480198,1.02715092396688,1.02774023955472,725,461.01515151515196,490.5,144,1275,740.8225108225109,812.0,157,WT,Liquid,2
1,15,1.973075,3.00762317883449,1.0740415448131,0.946414285606467,1328,898.790149892934,938.0,250,1314,835.708779443255,918.0,176,WT,Liquid,2
1,16,2.082925,3.1533948234972398,1.0735867054213002,0.990050503762308,1308,849.882352941176,893.0,220,1112,687.350912778905,753.0,85,WT,Liquid,2
1,17,2.142075,3.2076698127310097,1.10763340429328,0.990050503762308,1386,954.0927021696249,1013.0,258,1301,840.7455621301781,880.0,168,WT,Liquid,2
1,18,1.69,2.5061626970967597,1.07894785554672,0.946414285606467,578,373.845,383.5,126,1050,654.575,711.5,120,WT,Liquid,2
1,19,2.2308,3.1668877078629905,1.05295781937616,0.946414285606467,888,586.748106060606,621.5,160,1275,871.918560606061,913.5,130,WT,Liquid,2
1,21,2.437825,3.59539105243401,1.05135584562486,0.946414285606467,1601,1103.89774696707,1166.0,287,1114,757.424610051993,798.0,151,WT,Liquid,2
1,22,1.9942,3.1134671708797597,1.0620756692573101,0.867208164168212,2031,1403.27754237288,1477.0,504,1169,765.307203389831,788.5,160,WT,Liquid,2
1,23,2.83075,4.01231493398826,1.0516883049935,1.04,907,579.628358208955,600.0,164,1324,823.7925373134331,912.0,123,WT,Liquid,2
1,24,2.792725,4.13195526217004,1.03325927426489,0.966294468575703,1820,1281.9818456883502,1333.0,426,1480,955.3116490166409,1015.0,157,WT,Liquid,2
1,25,2.818075,4.2407097574855,1.0990241683803899,1.0660792653456899,736,469.457271364318,476.0,171,1312,856.503748125937,928.0,154,WT,Liquid,2
1,26,2.496975,3.7634671708797596,1.0442941466722,0.946414285606467,2660,1857.72758037225,1951.0,560,1481,978.7631133671741,1021.0,199,WT,Liquid,2
