Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,1.964625,2.7057821048680197,1.08168780697771,0.990050503762308,1552,1014.50537634409,1047.0,304,1181,753.286021505376,787.0,172,fliC-,Solid,1
1,2,3.45605,5.403117959266809,1.03833132578669,0.937443331620637,3875,2805.00855745721,2897.5,832,1397,955.031784841076,1007.5,223,fliC-,Solid,1
1,3,1.947725,3.17421310205652,1.04447402617596,0.937443331620637,3832,2687.1496746203898,2829.0,945,1344,904.945770065076,966.0,277,fliC-,Solid,1
1,4,2.142075,3.25079256507328,1.04992590969451,0.990050503762308,3336,2374.67455621302,2464.0,716,1562,1082.37869822485,1131.0,280,fliC-,Solid,1
1,5,2.6871,4.65116269709676,1.05389589281603,0.867208164168212,1751,1261.02672955975,1302.0,458,1409,982.040880503145,1030.5,298,fliC-,Solid,1
1,6,3.2448,4.95762317883449,1.06842845857637,0.946414285606467,2280,1641.5625,1731.5,561,1406,912.575520833333,948.0,193,fliC-,Solid,1
1,7,3.15185,4.79040151263927,1.07891241845699,0.946414285606467,1834,1308.6313672922302,1356.0,513,1534,1085.0737265415598,1124.5,287,fliC-,Solid,1
1,8,3.23635,4.65848809129028,1.09485402637528,1.02774023955472,2667,1841.35509138381,1930.5,430,1432,926.519582245431,949.0,159,fliC-,Solid,1
1,9,3.071575,5.01885822331377,1.06402331294001,0.872066511224918,2995,2118.80055020633,2245.0,724,1388,997.762035763411,1040.0,250,fliC-,Solid,1
1,10,2.4505,3.8107821048680197,1.07759335581246,0.946414285606467,2100,1398.4293103448301,1439.5,450,1257,771.1706896551719,819.5,171,fliC-,Solid,1
1,11,2.00265,3.15424927574778,1.0717801881271,0.946414285606467,1306,891.919831223629,938.0,242,1651,1119.4746835443,1187.5,308,fliC-,Solid,1
1,12,3.375775,5.07917692836526,1.0712315503913499,0.990050503762308,2493,1806.41551939925,1918.0,508,1665,1098.5444305381698,1177.0,226,fliC-,Solid,1
1,13,3.164525,4.6092597359530405,1.07392655278831,1.02774023955472,2108,1380.5674232309698,1451.0,336,1390,926.676902536716,969.0,224,fliC-,Solid,1
1,14,2.268825,3.34271644662753,1.04517445537336,0.990050503762308,4162,3045.7169459962797,3204.0,955,1627,1095.25884543762,1147.0,218,fliC-,Solid,1
1,15,2.4167,3.20077164466275,1.02389051060595,1.0090713552569,1216,797.5541958041961,842.0,206,1503,968.351398601399,1036.0,258,fliC-,Solid,1
1,16,2.8392,4.05032916525676,1.06959913637498,1.07594144822105,1821,1245.37797619048,1305.0,350,1653,1107.78125,1168.0,242,fliC-,Solid,1
1,17,1.9604,3.0707097574855,1.04187077782878,0.975,1257,853.538793103448,894.5,266,1364,913.724137931035,967.0,256,fliC-,Solid,1
1,18,2.640625,3.7834309971885003,1.06662096149967,0.975,4316,3092.0864,3260.0,1004,1683,1118.5088,1206.0,242,fliC-,Solid,1
1,20,2.5012,3.4876955262169997,1.02882321552617,0.946414285606467,3762,2567.7449324324302,2696.0,730,1541,988.407094594595,1056.0,204,fliC-,Solid,1
1,22,2.015325,3.0034309971885,1.07428234324049,0.946414285606467,5612,3833.2767295597496,4018.0,932,1341,876.966457023061,916.0,158,fliC-,Solid,1
1,23,2.505425,3.62921310205652,1.05952491463811,0.990050503762308,1994,1412.41821247892,1491.0,395,1369,914.286677908938,968.0,231,fliC-,Solid,1
1,24,2.142075,3.40920264185125,1.07691671389655,0.9306583691129631,3748,2666.0828402366897,2762.0,998,1293,881.2820512820509,911.0,166,fliC-,Solid,1
1,25,1.96885,2.9407716446627497,1.02797637830548,0.946414285606467,2494,1780.9248927038602,1860.0,664,1274,868.5772532188839,905.0,222,fliC-,Solid,1
1,26,2.496975,3.77036533894802,1.0835076566293,0.990050503762308,2590,1845.5871404399302,1956.0,468,1610,1086.0693739424698,1135.0,226,fliC-,Solid,1
1,27,3.299725,4.87345191759903,1.08196260556385,0.990050503762308,1938,1290.4174135723401,1331.0,272,1386,882.3124199743919,926.0,183,fliC-,Solid,1
1,28,2.05335,3.27039105243401,1.05532593550312,0.867208164168212,4982,3665.7983539094603,3856.5,1459,1582,1085.95267489712,1120.5,278,fliC-,Solid,1
1,30,2.818075,3.8888477631085,1.01404113770756,0.946414285606467,712,437.310344827586,461.0,92,1253,781.260869565217,846.0,201,fliC-,Solid,1
1,31,2.285725,3.51689816806826,1.07867625445728,0.946414285606467,2489,1733.8040665434398,1817.0,491,1521,1007.72088724584,1059.0,193,fliC-,Solid,1
