Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.22235,3.4765432893255097,1.0479255302550199,0.946414285606467,1923,1342.74524714829,1401.5,465,1371,907.963878326996,934.0,324,pilA-T8V-FliC-,Liquid,2
1,3,1.440725,2.12731493398826,1.07783671148814,1.0090713552569,994,657.00293255132,687.0,200,1438,963.390029325513,1015.0,294,pilA-T8V-FliC-,Liquid,2
1,4,2.81385,4.512716446627531,1.07783671148814,0.946414285606467,2426,1732.76276276276,1806.0,614,1694,1148.7282282282301,1190.0,270,pilA-T8V-FliC-,Liquid,2
1,5,2.665975,3.85113698361077,1.06258883653393,1.0174109297624,4337,2940.4817749603803,3015.0,942,1516,884.5832012678289,953.0,139,pilA-T8V-FliC-,Liquid,2
1,6,2.27305,3.59539105243401,1.05135584562486,0.867208164168212,1564,1092.8420074349401,1140.0,413,1271,873.6505576208181,908.0,273,pilA-T8V-FliC-,Liquid,2
1,7,2.826525,4.23460415449053,1.05337678501622,0.975,2264,1624.25560538117,1707.0,498,1426,989.511210762332,1038.0,200,pilA-T8V-FliC-,Liquid,2
1,8,1.778725,2.7768877078629903,1.05204576773662,0.91,3067,2101.49881235154,2220.0,594,1466,932.5510688836099,1005.0,164,pilA-T8V-FliC-,Liquid,2
1,9,2.268825,3.28154328932551,1.04365474598587,1.0090713552569,1395,932.340782122905,958.0,268,1532,899.443202979516,956.0,195,pilA-T8V-FliC-,Liquid,2
1,10,2.243475,3.52656420973604,1.04861062389263,0.937443331620637,2510,1796.9284369114898,1868.0,545,1513,1033.63276836158,1065.0,426,pilA-T8V-FliC-,Liquid,2
1,11,3.06735,4.56385822331377,1.068136251283,1.0090713552569,4025,2870.08539944904,2995.0,868,1545,1019.78099173554,1117.0,183,pilA-T8V-FliC-,Liquid,2
1,12,1.859,2.76154328932551,1.0568608750975799,1.0090713552569,1591,1040.86590909091,1074.0,341,1699,1100.77954545455,1160.0,230,pilA-T8V-FliC-,Liquid,2
1,13,1.63085,2.6630865786510096,1.07966912753363,0.946414285606467,1657,1108.99222797927,1149.0,321,1338,921.588082901554,938.5,352,pilA-T8V-FliC-,Liquid,2
1,14,1.575925,2.42766981273101,1.03388207448557,0.990050503762308,3767,2660.60589812332,2770.0,806,1599,1042.9758713136698,1063.0,399,pilA-T8V-FliC-,Liquid,2
1,15,2.45895,3.81269552621701,1.02843473543813,0.946414285606467,1873,1265.9106529209598,1302.5,492,1410,967.759450171821,977.5,343,pilA-T8V-FliC-,Liquid,2
1,16,2.3491,3.1673149339882603,1.06997471748395,1.105,1957,1339.59712230216,1402.5,429,1508,990.080935251799,1045.5,244,pilA-T8V-FliC-,Liquid,2
1,17,1.95195,2.75692388155425,1.00957610719164,0.975,1831,1199.22294372294,1204.0,441,1283,810.272727272727,873.0,159,pilA-T8V-FliC-,Liquid,2
1,18,3.815175,5.43116269709676,1.05759058029045,0.975,2370,1557.1616832779598,1604.0,484,1377,761.63122923588,821.0,125,pilA-T8V-FliC-,Liquid,2
1,19,1.88435,2.85531870505149,1.0666656502849101,1.0090713552569,744,487.64349775784797,515.5,166,1630,1058.38565022422,1115.5,260,pilA-T8V-FliC-,Liquid,2
1,21,3.122275,4.46731493398826,1.0473605237078,0.946414285606467,3294,2297.2814614343697,2392.0,901,1448,935.963464140731,1019.0,144,pilA-T8V-FliC-,Liquid,2
1,24,2.023775,2.8826698127310095,1.07561557662167,1.02774023955472,5395,3738.1043841336104,3771.0,1483,1431,838.409185803758,861.0,171,pilA-T8V-FliC-,Liquid,2
1,25,3.06735,4.44501046020526,1.0630756912594699,1.0090713552569,2182,1490.39669421488,1546.0,550,1691,1045.63360881543,1124.5,260,pilA-T8V-FliC-,Liquid,2
1,26,3.1265,4.59688770786299,1.03455276994284,0.946414285606467,2340,1622.08513513514,1654.0,640,1324,884.447297297297,920.0,143,pilA-T8V-FliC-,Liquid,2
1,27,1.93505,2.92451088669748,1.0531941820512198,0.990050503762308,1912,1334.5458515283801,1403.0,532,1586,1020.7729257641901,1081.0,217,pilA-T8V-FliC-,Liquid,2
1,31,1.83365,2.78002092041053,1.03731401776285,0.975,2388,1675.97465437788,1750.0,647,1658,1071.9331797235,1127.5,229,pilA-T8V-FliC-,Liquid,2
1,32,1.8252,2.69192388155425,1.00980245680903,0.867208164168212,2483,1765.55787037037,1830.0,598,1502,1057.29861111111,1098.5,370,pilA-T8V-FliC-,Liquid,2
1,33,2.2815,3.5442492757477795,1.07894785554672,0.975,1836,1332.18888888889,1392.0,535,1424,1020.1814814814801,1075.0,280,pilA-T8V-FliC-,Liquid,2
1,34,2.25615,3.35806086516502,1.0433138530076,1.0174109297624,1922,1314.7734082397,1383.0,459,1606,1054.29775280899,1115.5,190,pilA-T8V-FliC-,Liquid,2
1,36,1.744925,2.5953187050514903,1.05808935588286,1.02774023955472,2870,1947.60290556901,2054.0,724,1724,1095.16707021792,1150.0,196,pilA-T8V-FliC-,Liquid,2
1,37,3.30395,4.44118361750729,1.06707131197563,1.1572920979597199,3287,2173.74040920716,2251.0,709,1615,953.0575447570329,1011.0,188,pilA-T8V-FliC-,Liquid,2
1,38,1.98575,2.642695526217,1.0370431784541,1.0090713552569,3631,2462.24255319149,2549.5,788,1845,1157.38085106383,1244.0,210,pilA-T8V-FliC-,Liquid,2
1,39,2.2139,3.30569929728024,1.07215785015627,1.0090713552569,2894,2089.85687022901,2215.5,751,1757,1214.73473282443,1268.0,268,pilA-T8V-FliC-,Liquid,2
1,40,2.792725,3.89383250982777,1.05080523956396,1.02774023955472,1834,1288.26777609682,1341.0,477,1497,967.133131618759,1074.0,203,pilA-T8V-FliC-,Liquid,2
1,41,1.863225,2.62692388155425,1.0100397509401,0.946414285606467,1098,742.160997732426,774.0,253,1476,1004.2471655328801,1043.0,352,pilA-T8V-FliC-,Liquid,2
1,43,3.37155,5.20689816806826,1.07199564926348,0.946414285606467,220,129.378446115288,130.0,38,256,147.543859649123,150.0,45,pilA-T8V-FliC-,Liquid,2
1,44,2.13785,3.21271644662753,1.04315985962744,0.990050503762308,2973,2150.63241106719,2280.0,755,1381,936.381422924901,998.0,133,pilA-T8V-FliC-,Liquid,2
1,45,1.609725,2.39846717087976,1.06298441789051,0.975,2996,2016.5196850393697,2094.0,581,1126,666.645669291339,716.0,110,pilA-T8V-FliC-,Liquid,2
1,46,1.913925,2.8738582233137704,1.0822405796685302,0.990050503762308,1685,1158.2229580574,1217.0,403,1643,1045.16997792494,1108.0,198,pilA-T8V-FliC-,Liquid,2
1,47,1.795625,2.65107988950898,1.06413949161139,0.975,1051,668.4729411764711,687.0,232,1355,852.1788235294119,898.0,131,pilA-T8V-FliC-,Liquid,2
1,48,2.809625,4.31452134690275,1.04951649766386,0.975,5688,4006.9804511278203,4213.0,1295,1741,1174.59097744361,1274.0,188,pilA-T8V-FliC-,Liquid,2
1,49,3.0927,4.610745931176759,1.07823694613046,0.990050503762308,4047,2616.25136612022,2668.0,1055,1477,924.782786885246,996.5,191,pilA-T8V-FliC-,Liquid,2
1,52,2.158975,3.52805040495976,1.07845947332113,0.8840955830678041,1838,1245.79452054795,1292.0,406,1401,916.827788649706,952.0,193,pilA-T8V-FliC-,Liquid,2
1,53,1.525225,2.4003187050514905,1.048261564069,0.990050503762308,756,480.598337950139,492.0,140,1453,917.916897506925,966.0,233,pilA-T8V-FliC-,Liquid,2
1,54,1.880125,2.7448553052349705,1.03490141330283,0.9921819389607941,1158,764.0808988764039,782.0,271,1382,903.768539325843,948.0,166,pilA-T8V-FliC-,Liquid,2
1,55,2.691325,4.23651757583951,1.07882058244068,0.946414285606467,1032,677.2307692307689,691.0,257,1393,883.0329670329671,912.0,173,pilA-T8V-FliC-,Liquid,2
1,56,2.873,3.9657925650732797,1.0778799260314498,1.02774023955472,3262,2317.9808823529397,2410.0,948,1689,1130.08235294118,1185.0,242,pilA-T8V-FliC-,Liquid,2
