Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.573025,3.6334671708797597,1.0456269584503002,1.0090713552569,682,448.374384236453,468.0,124,1339,855.9146141215109,941.0,181,pilA-T8V,Liquid,3
1,3,2.7547,4.30194480196478,1.08020042269884,0.946414285606467,3073,2136.90950920245,2286.0,707,1357,889.7070552147239,955.5,120,pilA-T8V,Liquid,3
1,4,2.9575,4.512716446627531,1.07783671148814,0.946414285606467,2765,1920.18857142857,2009.0,578,1367,840.558571428571,886.0,149,pilA-T8V,Liquid,3
1,8,2.733575,3.9807097574855,1.0686748342018,1.0090713552569,613,373.70170015455903,391.0,112,1239,819.732612055641,886.0,176,pilA-T8V,Liquid,3
1,9,2.184325,3.2699638263087403,1.0471567329104698,0.946414285606467,683,435.932301740812,458.0,119,1290,849.63249516441,904.0,123,pilA-T8V,Liquid,3
1,12,2.3491,3.35116269709676,1.06808101583851,1.0090713552569,811,542.78417266187,573.5,138,1508,1014.6600719424499,1074.0,129,pilA-T8V,Liquid,3
2,1,1.76605,2.4630399447544904,1.04257351872115,0.975,2338,1764.95693779904,1916.5,626,1552,1051.85406698565,1142.5,170,pilA-T8V,Liquid,3
2,2,1.98575,3.19609034971425,1.06565802665717,0.990050503762308,2395,1650.2936170212802,1712.5,602,1477,956.8765957446809,1024.5,235,pilA-T8V,Liquid,3
2,3,2.0787,3.0438477631085004,1.0180092853205698,0.946414285606467,1129,747.443089430894,768.5,257,1390,891.430894308943,937.0,246,pilA-T8V,Liquid,3
2,4,1.7069,2.6073253941935297,1.0686275866168,0.990050503762308,754,489.106435643564,514.0,179,1325,886.331683168317,916.5,219,pilA-T8V,Liquid,3
2,5,2.530775,3.9565537495307703,1.08112044966474,0.946414285606467,2673,1898.10183639399,1990.0,572,1402,925.218697829716,991.0,245,pilA-T8V,Liquid,3
2,7,2.39135,3.6803548787427505,1.07060707185097,0.946414285606467,3667,2640.00176678445,2755.0,1030,1462,953.2049469964661,1020.0,290,pilA-T8V,Liquid,3
2,8,1.964625,3.0172892205022697,1.0387584080716201,0.990050503762308,758,500.154838709677,517.0,144,1135,742.7118279569889,758.0,269,pilA-T8V,Liquid,3
2,9,1.74915,2.7911731573020298,1.05745792271141,0.937443331620637,2656,1875.1956521739103,1997.0,594,1224,794.410628019324,851.5,232,pilA-T8V,Liquid,3
2,10,2.277275,3.5219448019647794,1.07893839317222,0.990050503762308,1333,898.4267161410021,938.0,272,1462,976.543599257885,1018.0,195,pilA-T8V,Liquid,3
2,11,2.57725,4.11724258660574,1.07591712580918,0.9306583691129631,4370,3221.8770491803302,3368.5,1053,1595,1065.5491803278699,1100.0,324,pilA-T8V,Liquid,3
2,12,1.905475,2.8692388155425097,1.07060404539402,0.975,893,582.3525498891349,612.0,222,1491,996.450110864745,1109.0,205,pilA-T8V,Liquid,3
2,13,2.8392,4.61117315730203,1.08221960594355,0.946414285606467,1889,1351.54166666667,1423.0,418,1639,1098.0014880952401,1165.5,318,pilA-T8V,Liquid,3
2,14,2.623725,4.26997428651401,1.0763382262485501,0.8840955830678041,3523,2570.18196457327,2667.0,1068,1388,940.091787439614,983.0,330,pilA-T8V,Liquid,3
2,15,1.913925,2.8599381128227503,1.05087804951445,0.975,2477,1703.3377483443699,1799.0,566,1425,963.6997792494479,1003.0,357,pilA-T8V,Liquid,3
2,16,2.15475,3.2480865786510096,1.07296230398034,0.946414285606467,1919,1306.05098039216,1363.0,432,1535,1023.5862745098,1048.5,249,pilA-T8V,Liquid,3
2,17,1.973075,2.98808657865101,1.1094166325841899,0.9597134989151709,2325,1584.9957173447501,1685.0,430,1605,1009.6638115631698,1039.0,266,pilA-T8V,Liquid,3
2,18,1.897025,2.77731493398826,1.06753105299777,0.975,2577,1837.48775055679,1971.0,590,1288,829.902004454343,872.0,147,pilA-T8V,Liquid,3
2,19,2.767375,4.27040151263927,1.08153896502846,1.0090713552569,1587,1085.6763358778599,1152.0,297,1370,945.6732824427479,992.0,270,pilA-T8V,Liquid,3
2,20,3.11805,4.78116269709676,1.0527403721667,0.946414285606467,3129,2211.86720867209,2331.5,744,1359,882.8672086720869,926.0,230,pilA-T8V,Liquid,3
2,22,1.305525,2.2234309971885,1.07634032750668,0.990050503762308,1373,892.495145631068,911.0,259,3238,2115.82200647249,2207.0,790,pilA-T8V,Liquid,3
2,23,2.429375,3.62650711563425,1.06488817117413,0.946414285606467,2639,1947.6,2075.0,823,1509,977.0139130434779,1013.0,275,pilA-T8V,Liquid,3
2,24,2.0787,3.13577164466275,1.02435455066902,0.867208164168212,2097,1473.38617886179,1565.5,539,1212,860.14837398374,897.5,300,pilA-T8V,Liquid,3
2,25,2.6195,4.02383250982777,1.05241853713852,0.937443331620637,5140,3658.49032258065,3827.5,1398,1413,981.238709677419,1025.5,226,pilA-T8V,Liquid,3
