Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.029325,5.0104119728445395,1.07674569726808,0.937443331620637,2125,1442.7810320781,1485.0,504,1036,696.8898186889819,725.0,183,pilB-pilA-T8V,Solid,1
1,3,2.843425,3.92501046020526,1.06846427548482,1.0090713552569,1887,1246.83060921248,1305.0,364,1035,691.575037147103,715.0,124,pilB-pilA-T8V,Solid,1
1,6,2.277275,3.13577164466275,1.02435455066902,1.0090713552569,1874,1230.49907235622,1269.0,312,934,551.1855287569571,584.0,126,pilB-pilA-T8V,Solid,1
1,7,2.750475,3.98156420973604,1.06181463866535,1.0174109297624,3965,2694.85253456221,2845.0,885,1055,641.731182795699,686.0,117,pilB-pilA-T8V,Solid,1
1,8,2.429375,3.227695526217,1.03094432229408,1.04,753,471.987826086957,489.0,137,695,447.260869565217,467.0,82,pilB-pilA-T8V,Solid,1
1,9,2.446275,3.75502092041053,1.07553883317514,0.990050503762308,2611,1824.54922279793,1909.0,493,1071,673.454231433506,721.0,130,pilB-pilA-T8V,Solid,1
1,10,2.091375,2.8692388155425097,1.07060404539402,1.0090713552569,1989,1360.0424242424199,1393.0,370,1152,701.363636363636,752.0,137,pilB-pilA-T8V,Solid,1
1,11,2.01955,2.7188477631085,1.0202055396279601,1.0090713552569,2832,1865.33054393305,1961.5,591,943,559.966527196653,593.5,94,pilB-pilA-T8V,Solid,1
1,12,1.93505,2.84650711563425,1.07322751451711,0.946414285606467,3420,2448.32969432314,2529.0,760,934,602.528384279476,636.0,109,pilB-pilA-T8V,Solid,1
1,13,1.86745,2.76339482349724,1.06752484557264,1.0174109297624,1827,1183.6131221719502,1209.0,311,902,569.239819004525,606.0,94,pilB-pilA-T8V,Solid,1
1,14,2.81385,4.03461940777126,1.03094432229408,0.946414285606467,2075,1426.34384384384,1481.5,469,932,613.391891891892,645.5,106,pilB-pilA-T8V,Solid,1
