TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,32184.23107236842,32393.0,[30493.36513158 33881.02039474],[30626. 33801.]
1.0,36373.94377272727,35347.0,[32974.95568182 39947.59602273],[32729. 40546.]
2.0,37649.51375,36611.0,[34353.29513889 41077.37152778],[33357. 42068.]
3.0,41990.40383333333,45887.0,[34162.54583333 49300.53472222],[34846.375 52537.   ]
4.0,51412.59234999999,49571.0,[46711.9675 56154.64  ],[45282. 55217.]
5.0,49882.479636363634,47810.0,[45814.27045455 54164.50227273],[47269. 57650.]
6.0,44111.132454545455,44085.0,[38970.56363636 50282.32954545],[33464. 46011.]
7.0,0.0,0.0,[0. 0.],[0. 0.]
8.0,57153.845,57963.0,[55032.75 58432.5 ],[54056. 58589.]
9.0,40821.0,40821.0,[40821. 40821.],[40821. 40821.]
10.0,50399.0,50399.0,[50399. 50399.],[50399. 50399.]
