 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilT_fliC-_liq_BR=1_0_event10_tirf_RAW_Stack.tif,563,255,255,255,33.74689,12.91563,1,633,240.17694,152032.0,97,465,61.26282,188.16993,335.63833999999997,52,228.34615,11874.0,101,332,74.06857,0,0,140.85291,342.51839,52,284.40385,14789.0,96,465,113.99471000000001,0,0,1.08179,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event3_tirf_RAW_Stack.tif,581,255,255,255,36.2642,16.72547,1,651,242.55452999999997,157903.0,106,461,62.28516,186.31283,190.80366999999998,156,217.27563999999998,33895.0,83,345,73.23454,0,0,221.95878,203.42927,156,220.14102999999997,34342.0,59,461,104.26408,0,0,0.8268700000000001,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event4_tirf_RAW_Stack.tif,574,255,255,255,29.04355,23.25261,1,652,238.73772999999997,155657.0,73,515,71.17275,289.28654,380.07552999999996,137,226.62774,31048.0,75,380,84.01890999999999,0,0,324.97315,358.35123,137,237.57664,32548.0,79,515,98.29642,1,0,0.95301,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event5_tirf_RAW_Stack.tif,779,255,255,255,17.20475,41.2638,1,875,223.57029,195624.0,100,568,69.60469,290.30802,258.19568,112,233.94643,26202.0,94,433,83.80445,1,0,307.04534,199.61964,112,272.07142999999996,30472.0,79,568,129.04113999999998,0,0,1.1853799999999999,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event6_tirf_RAW_Stack.tif,874,255,255,255,40.35011,29.30435,1,985,304.03857999999997,299478.0,121,735,85.50503,352.4531,229.41585,156,281.52564,43918.0,92,735,145.63119,1,0,296.78485,196.18586000000002,156,283.82692000000003,44277.0,97,516,111.93086000000001,1,0,0.90041,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event7_tirf_RAW_Stack.tif,708,255,255,255,9.78107,43.620059999999995,1,790,435.66835,344178.0,180,769,99.7007,251.21138,223.95844,137,327.0,44799.0,84,532,139.70494,0,0,251.21138,280.04156,137,357.37226,48960.0,63,769,197.10515,0,0,0.70509,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event8_tirf_RAW_Stack.tif,550,255,255,255,36.38909,15.867270000000001,1,617,290.00324,178932.0,114,532,76.02656999999999,227.89207000000002,237.38257000000002,137,243.75912000000002,33395.0,98,352,72.44943,0,0,264.09627,227.57432999999997,137,268.45985,36779.0,91,532,112.53196000000001,0,0,0.80772,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_BR=1_0_event9_tirf_RAW_Stack.tif,512,255,255,255,20.0957,29.69531,1,582,164.90722,95976.0,71,336,43.62662,207.25856000000002,120.20248000000001,112,147.04464,16469.0,61,229,46.80502,0,0,191.09216,87.11416,112,176.4375,19761.0,69,336,68.4767,0,0,0.96916,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_sol_BR=1_0_event10_tirf_RAW_Stack.tif,928,255,255,255,19.39224,49.08082,1,1034,352.74081,364734.0,150,983,117.47081000000001,204.50168,258.24384,137,370.25547,50725.0,173,667,137.1014,0,0,218.05095,328.64864,137,409.16787999999997,56056.0,88,983,240.00737,0,0,1.1482,mNG_pilT_fliC-,Solid
2,mNG_pilT_fliC-_sol_BR=1_0_event10_tirf_RAW_Stack.tif,1007,255,255,255,45.337140000000005,31.18222,1,1127,298.33097000000004,336219.0,122,670,89.14579,199.02716999999998,182.53231,156,321.30769,50124.0,89,670,149.56257,0,0,260.933,147.39752,156,332.59615,51885.0,111,511,121.64478999999999,1,0,1.13772,mNG_pilT_fliC-,Solid
