 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,pilB_mNG_fliC-_liq_BR=1_0_event1_tirf_RAW_Stack.tif,489,255,255,255,37.14826,12.653369999999999,1,551,127.13975,70054,61,204,30.99842,228.08021000000002,247.49634,137,105.80292,14495.0,53,149,25.24784,0,0,265.02277000000004,252.78016000000002,137,116.94161000000001,16021,35,204,53.706959999999995,0,0,0.7802600000000001,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event2_tirf_RAW_Stack.tif,425,255,255,255,70.21765,15.69765,1,986,147.63387,145567,56,330,42.53427,236.08076,270.30709,156,110.32051000000001,17210.0,32,198,48.23879,1,0,298.65236,246.98363999999998,156,143.62821,22406,57,330,61.050290000000004,0,0,0.80774,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event3_tirf_RAW_Stack.tif,488,255,255,255,21.81352,25.90164,1,557,125.50448999999999,69906,62,309,40.42315,373.94201,209.24235,137,106.55474,14598.0,52,151,30.451970000000003,0,0,352.79365,182.97099,137,150.54745,20625,64,309,64.36979000000001,0,0,1.04893,pilB_mNG_fliC-,Liquid
2,pilB_mNG_fliC-_liq_BR=1_0_event3_tirf_RAW_Stack.tif,596,255,255,255,38.84228,15.19295,1,675,107.3363,72452,55,204,28.3993,103.50213000000001,329.36861,112,109.57143,12272.0,50,204,42.5925,0,0,152.55558,322.01506,112,119.82143,13420,56,198,37.03838,0,0,1.10625,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event6_tirf_RAW_Stack.tif,590,255,255,255,32.36949,14.227120000000001,1,667,100.35231999999999,66935,52,259,29.38857,292.98222000000004,264.95018,137,81.16058000000001,11119.0,33,115,22.249660000000002,1,0,246.94962,273.68907,137,115.87591,15875,35,259,56.521530000000006,0,0,0.9693700000000001,pilB_mNG_fliC-,Liquid
2,pilB_mNG_fliC-_liq_BR=1_0_event6_tirf_RAW_Stack.tif,772,255,255,255,40.9715,23.564770000000003,1,866,108.31293000000001,93799,52,212,25.71813,203.41779,224.50695,156,98.05128,15296.0,50,136,24.196189999999998,1,0,254.45336,242.85188,156,110.4359,17228,38,212,40.84166,0,0,0.9424899999999999,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event7_tirf_RAW_Stack.tif,740,255,255,255,33.27297,33.92297,1,843,110.7675,93377,53,252,29.87043,190.76991999999998,238.79827000000003,137,89.93431,12321.0,42,121,20.8285,0,0,231.35478999999998,281.11211000000003,137,112.73723000000001,15445,37,252,56.63717,1,0,0.87882,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event8_tirf_RAW_Stack.tif,658,255,255,255,23.887539999999998,34.01976,1,748,128.67914,96252,63,356,43.69538,189.01551,300.7274,137,105.67883,14478.0,29,160,36.11887,0,0,163.96593000000001,256.28306000000003,137,166.76641999999998,22847,74,356,76.06115,0,0,1.09575,pilB_mNG_fliC-,Liquid
2,pilB_mNG_fliC-_liq_BR=1_0_event8_tirf_RAW_Stack.tif,695,255,255,255,13.980579999999998,41.9259,1,782,89.23146,69779,45,142,22.833560000000002,334.99514,245.88519,137,78.40876,10742.0,43,106,15.834420000000001,0,0,324.59148999999996,195.40785,137,89.36496,12243,42,129,23.43667,0,0,0.9106799999999999,pilB_mNG_fliC-,Liquid
1,pilB_mNG_fliC-_liq_BR=1_0_event9_tirf_RAW_Stack.tif,792,255,255,255,22.45328,39.68687,1,888,95.60811,84900,48,199,26.44067,138.38111,386.74958,156,77.6859,12119.0,43,119,18.893520000000002,0,0,158.64154,333.259,156,109.64743999999999,17105,49,199,40.17443,0,0,0.96904,pilB_mNG_fliC-,Liquid
