 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1,fliC-_PaQa_Gasket_0_event11_tirf_RAW_Stack.tif,660,255,255,255,34.25606,27.33939,1,731,1346.1983599999999,984071.0,349,2497,614.63894,215.0,349.0,80,1301.6625,104133,707,1897,318.74699,0,0,243.0,333.0,80,1776.875,142150,1067,2297,377.24284,3,0,1.19129
1,fliC-_PaQa_Gasket_0_event15_tirf_RAW_Stack.tif,734,255,255,255,25.38965,35.69755,1,803,472.46575,379390.0,140,845,195.7191,167.0,235.0,80,425.6375,34051,187,666,125.38954,2,0,178.33333000000002,263.66667,80,685.9,54872,450,845,107.7291,1,0,1.2302899999999999
1,fliC-_PaQa_Gasket_0_event17_tirf_RAW_Stack.tif,901,255,255,255,46.86848,25.17481,1,988,812.65587,802904.0,238,1460,348.35345,229.0,317.0,80,691.4625,55317,338,1212,238.50413999999998,1,0,280.0,305.0,80,900.75,72060,483,1227,193.66083,3,0,0.9758
1,fliC-_PaQa_Gasket_0_event18_tirf_RAW_Stack.tif,1375,255,255,255,41.74655,51.695640000000004,1,1502,589.4340900000001,885330.0,179,1148,268.35236000000003,233.0,168.0,80,507.0875,40567,233,800,160.88916,2,0,274.0,225.0,80,886.35,70908,575,1075,120.84231000000001,2,0,1.20823
2,fliC-_PaQa_Gasket_0_event18_tirf_RAW_Stack.tif,1228,255,255,255,30.0627,49.73697,1,1341,559.05071,749687.0,143,1023,248.76626000000002,101.0,411.0,80,702.4375,56195,358,951,172.91315,2,0,78.0,471.0,80,671.8875,53751,343,849,134.23991,3,0,1.26854
1,fliC-_PaQa_Gasket_0_event19_tirf_RAW_Stack.tif,730,255,255,255,29.38356,35.215070000000004,1,808,1543.4628699999998,1247118.0,416,2849,705.8692900000001,243.0,462.0,80,1284.5125,102761,416,2065,478.57120999999995,2,0,221.0,429.0,80,2028.375,162270,994,2832,586.98535,4,0,1.09295
1,fliC-_PaQa_Gasket_0_event1_tirf_RAW_Stack.tif,3084,255,255,255,40.39721,81.1083,1,3278,986.7730300000001,3234642.0,319,1792,408.58752999999996,325.0,210.0,80,1363.625,109090,1001,1716,192.06403,0,0,366.0,97.0,80,1008.7875,80703,676,1412,198.52058,5,0,1.2147
1,fliC-_PaQa_Gasket_0_event20_tirf_RAW_Stack.tif,877,255,255,255,30.40308,35.71209,1,957,585.15883,559997.0,200,1126,253.62677999999997,138.0,138.0,80,548.325,43866,258,839,147.53663,0,0,114.0,109.0,80,703.1,56248,310,1071,219.50212000000002,7,0,1.08439
1,fliC-_PaQa_Gasket_0_event2_tirf_RAW_Stack.tif,763,255,255,255,24.946920000000002,40.891870000000004,1,838,2547.24463,2134591.0,648,3687,1039.21847,232.0,245.0,80,2533.775,202702,1032,3685,879.04651,0,0,242.0,285.0,80,3053.7,244296,1418,3687,675.07075,7,0,1.1224
2,fliC-_PaQa_Gasket_0_event2_tirf_RAW_Stack.tif,1005,255,255,255,26.995520000000003,47.0602,1,1098,462.60382999999996,507939.0,144,771,188.52216,416.0,257.0,80,393.8375,31507,151,650,146.1192,0,0,399.0,203.0,80,436.9625,34957,185,658,130.40826,4,0,0.8826
1,fliC-_PaQa_Gasket_0_event3_tirf_RAW_Stack.tif,937,255,255,255,41.85219,61.52028000000001,1,1016,1133.57579,1151713.0,260,2135,553.4925099999999,402.0,104.0,316,909.74367,287479,234,1859,527.05654,2,0,400.0,147.0,316,975.17089,308154,164,2128,604.4696299999999,2,0,0.65081
2,fliC-_PaQa_Gasket_0_event3_tirf_RAW_Stack.tif,2123,255,255,255,75.52025,62.78168,1,2287,621.98776,1422486.0,203,1151,271.12318,291.0,274.0,316,570.14873,180167,281,970,184.52028,1,0,365.0,325.0,316,625.6392400000001,197702,165,1087,284.48311,1,0,0.94725
1,fliC-_PaQa_Gasket_0_event4_tirf_RAW_Stack.tif,720,255,255,255,38.3375,23.77222,1,789,723.18251,570591.0,209,1192,297.50986,187.0,281.0,80,780.6125,62449,448,1068,179.08406000000002,1,0,219.0,275.0,80,942.4875,75399,443,1184,211.41949,0,0,1.2522799999999998
2,fliC-_PaQa_Gasket_0_event4_tirf_RAW_Stack.tif,1021,255,255,255,38.76347,27.796770000000002,1,1107,744.2258400000001,823858.0,203,1571,338.66266,255.0,345.0,80,657.0375,52563,466,882,115.16169,0,0,293.0,362.0,80,1235.4125,98833,739,1571,234.9901,1,0,1.33253
1,fliC-_PaQa_Gasket_0_event5_tirf_RAW_Stack.tif,1233,255,255,255,38.47891,46.88767,1,1345,488.7539,657374.0,138,887,221.20545,203.66666999999998,341.0,80,453.1375,36251,173,788,178.92801,1,0,239.0,395.0,80,524.4125,41953,223,808,166.77125,2,0,1.00005
1,fliC-_PaQa_Gasket_0_event6_tirf_RAW_Stack.tif,1608,255,255,255,41.14739,81.76057,1,1727,979.6352099999999,1691830.0,257,2034,468.5025,172.0,216.0,316,685.44937,216602,202,1597,416.6463,1,0,170.0,296.0,316,977.8322800000001,308995,158,2033,577.4352299999999,4,0,0.78084
1,fliC-_PaQa_Gasket_0_event7_tirf_RAW_Stack.tif,908,255,255,255,18.769820000000003,47.75,1,995,1194.11156,1188141.0,325,2149,499.69999,252.0,317.0,80,1194.6125,95569,562,1793,352.84,0,0,253.0,371.0,80,1413.1,113048,796,1926,312.5769,4,0,1.11148
1,fliC-_PaQa_Gasket_0_event8_tirf_RAW_Stack.tif,695,255,255,255,33.49712,33.0295,1,771,945.8249,729231.0,244,1671,430.8476,330.33333,289.66667,80,744.725,59578,260,1384,316.35163,0,0,300.33333,313.0,80,1057.475,84598,527,1493,271.05747,2,0,0.94106
1,fliC-_PaQa_Gasket_0_event9_tirf_RAW_Stack.tif,1064,255,255,255,21.64098,54.63158000000001,1,1162,452.87522,526241.0,145,777,175.05237,288.33333,224.33333,80,372.9125,29833,195,568,110.03017,2,0,291.0,289.66667,80,565.2125,45217,276,746,123.51893999999999,2,0,1.04169
