 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,CpdA-FLiC-_2_Microchannel_0_event2_tirf_RAW_Stack.tif,1208,255,255,255,32.13576,43.8303,1,1310,2320.96947,3040470.0,2218,2438,48.10152,334.36832000000004,391.59837000000005,293,2314.05461,678018.0,2218,2416,54.11844,2,0,309.25696,356.67231,293,2329.67918,682596.0,2227,2438,50.53582,8,0,1.0007,CpdA-FLiC-,Liquid
1,CpdA-FLiC-_2_Microchannel_0_event3_tirf_RAW_Stack.tif,2250,255,255,255,73.56222,31.296,1,2405,2322.13597,5584737.0,2203,2484,50.76962,238.72898999999998,337.8785,421,2293.2019,965438.0,2203,2420,45.659290000000006,1,0,153.85091,358.4192,421,2375.52257,1000095.0,2300,2484,35.50456,8,0,1.0081200000000001,CpdA-FLiC-,Liquid
1,CpdA-FLiC-_2_Microchannel_1_event2_tirf_RAW_Stack.tif,7524,255,255,255,46.00864,45.05622,1,7706,1195.06943,9209205.0,1153,1266,14.655970000000002,275.71321,202.77952,812,1198.55296,973225.0,1167,1226,10.54476,3,0,275.71321,266.22048,812,1199.69212,974150.0,1153,1239,12.51293,6,0,1.0043,CpdA-FLiC-,Liquid
1,CpdA-FLiC-_2_Microchannel_1_event3_tirf_RAW_Stack.tif,1698,255,255,255,21.605420000000002,51.71673,1,1806,1196.81949,2161456.0,1109,1345,50.5795,391.13961,338.56073,316,1192.7436699999998,376907.0,1124,1267,40.74879,7,0,377.33117000000004,287.5837,316,1204.4557,380608.0,1111,1345,55.037259999999996,7,0,1.00229,CpdA-FLiC-,Liquid
1,CpdA-FLiC-_2_Microchannel_3_event3_tirf_RAW_Stack.tif,3112,255,255,255,57.223330000000004,28.92898,1,3322,1782.4440100000002,5921279.0,1688,1854,35.09491,207.39631,184.06188,316,1798.92405,568460.0,1762,1846,17.07613,6,0,202.42245,153.83908,316,1805.73734,570613.0,1771,1838,14.263639999999999,7,0,1.01381,CpdA-FLiC-,Liquid
1,CpdA-FLiC-_2_Microchannel_3_event4_tirf_RAW_Stack.tif,3092,255,255,255,65.41041,21.752589999999998,1,3389,2308.52316,7823585.0,2218,2396,33.86305,329.02777000000003,172.88003999999998,97,2299.62887,223064.0,2265,2342,22.08097,7,0,328.17191,197.52112,97,2315.19588,224574.0,2283,2345,20.03624,6,0,0.99949,CpdA-FLiC-,Liquid
1,CpdA-FliC-_3_Microchannel_0_event11_tirf_RAW_Stack.tif,1656,255,255,255,54.696259999999995,39.4692,1,1795,2360.9075199999997,4237829.0,2208,2518,45.99133,254.26065,249.01894,137,2383.82482,326584.0,2333,2443,25.91925,6,0,246.84456,253.6752,137,2419.40146,331458.0,2369,2467,25.80312,7,0,1.02041,CpdA-FliC-,Liquid
1,CpdA-FliC-_3_Microchannel_0_event2_tirf_RAW_Stack.tif,1909,255,255,255,49.61786,41.85306,1,2037,2405.0780600000003,4899144.0,2209,2710,95.88911,187.92309,396.59644,540,2411.95926,1302458.0,2209,2710,107.88636000000001,1,0,142.78028999999998,432.0253,540,2418.4907399999997,1305985.0,2252,2596,78.47445,3,0,1.00902,CpdA-FliC-,Liquid
1,CpdA-FliC-_3_Microchannel_0_event3_tirf_RAW_Stack.tif,2037,255,255,255,56.301669999999994,21.73466,1,2166,2404.03463,5207139.0,2217,2834,101.71609000000001,325.32935,408.72213,540,2394.21852,1292878.0,2276,2542,63.85487,7,0,325.20673,399.43745,540,2395.22037,1293419.0,2256,2542,67.15795,5,0,0.9923,CpdA-FliC-,Liquid
2,CpdA-FliC-_3_Microchannel_0_event3_tirf_RAW_Stack.tif,1846,255,255,255,22.95395,45.04875,1,1952,2417.61014,4719175.0,2083,3207,214.59887999999998,236.40366,186.88987,256,2403.95703,615413.0,2243,2984,148.44523,3,0,245.13966000000002,233.19437000000002,256,2437.92578,624109.0,2240,2772,133.90628,9,0,1.00187,CpdA-FliC-,Liquid
