 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,fliC-_PaQa_Gasket_0_event11_tirf_RAW_Stack.tif,624,255,255,255,12.85256,36.78526,1,698,997.1704900000001,696025.0,471,1477,248.53391000000002,151.1085,311.98236,137,830.44526,113771.0,226,1242,290.32953,2,0,144.00009,267.00055,137,924.18248,126613.0,447,1372,255.4353,1,0,0.81639,fliC-,Liquid
2,fliC-_PaQa_Gasket_0_event11_tirf_RAW_Stack.tif,405,255,255,255,26.7963,14.51481,1,463,512.32397,237206.0,253,749,132.30305,417.84022999999996,397.05156,112,450.67857000000004,50476.0,175,659,141.81089,1,0,393.15977000000004,382.94844,112,472.66070999999994,52938.0,160,749,172.91593,0,0,0.82471,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event14_tirf_RAW_Stack.tif,700,255,255,255,42.52714,19.50143,1,785,515.7248400000001,404844.0,225,715,132.64591000000001,293.87417,360.67966,137,440.0073,60281.0,147,693,153.69137,1,0,243.13905,374.36932,137,489.30657,67035.0,190,696,145.71444,0,0,0.85555,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event15_tirf_RAW_Stack.tif,405,255,255,255,20.37901,26.534570000000002,1,463,667.2527,308938.0,305,922,168.37951999999999,165.11682,238.89786,112,595.5803599999999,66705.0,280,845,167.00794,2,0,180.81176000000002,263.14833,112,636.75,71316.0,251,922,204.80945,1,0,0.86161,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event17_tirf_RAW_Stack.tif,607,255,255,255,38.52636,14.36985,1,686,980.4023300000001,672556.0,407,1457,271.84529,279.02027999999996,306.11486,137,781.65693,107087.0,328,1243,254.88759,4,0,231.89522000000002,316.50121,137,849.42336,116371.0,304,1410,303.13205,1,0,0.74817,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event18_tirf_RAW_Stack.tif,947,255,255,255,30.7207,47.94562,1,1064,714.81767,760566.0,324,1146,211.97431,237.70425,170.67985,156,563.32692,87879.0,229,861,180.64873,2,0,276.99703999999997,227.52656000000002,156,698.12821,108908.0,239,1062,230.76217999999997,2,0,0.8413,fliC-,Liquid
2,fliC-_PaQa_Gasket_0_event18_tirf_RAW_Stack.tif,863,255,255,255,24.84299,40.37717,1,969,668.87513,648140.0,269,1019,197.7694,73.89003000000001,468.83685999999994,137,558.08029,76457.0,225,849,179.30774,4,0,96.48026,406.93358,137,619.63504,84890.0,259,963,217.99027999999998,2,0,0.84072,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event19_tirf_RAW_Stack.tif,483,255,255,255,19.84161,24.39234,1,552,1903.32065,1050633.0,900,2847,540.24132,236.87611,460.00178,112,1471.875,164850.0,491,2166,436.41747999999995,2,0,216.45967000000002,429.77196,112,1937.6071399999998,217012.0,885,2845,639.7577200000001,4,0,0.83609,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event1_tirf_RAW_Stack.tif,1525,255,255,255,35.32885,75.15902,1,1705,1662.37478,2834349.0,570,2994,555.8489599999999,368.5891,102.76725,137,1200.40876,164456.0,355,1810,427.38605,5,0,326.01891,215.08412,137,1295.3649599999999,177465.0,228,2861,855.1314199999999,1,0,0.71646,fliC-,Liquid
1,fliC-_PaQa_Gasket_0_event20_tirf_RAW_Stack.tif,552,255,255,255,22.3279,27.99638,1,621,727.4830900000001,451767.0,390,1120,195.24573,138.35302,133.75341,177,610.73446,108100.0,297,903,168.87456,1,0,118.78233,107.90043,177,707.9435,125306.0,236,1120,257.17956000000004,6,0,0.8062,fliC-,Liquid
