 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1.0,pilH-fliC-_PaQa_solid_0_event2_tirf_RAW_Stack.tif,2560.0,255.0,255.0,255.0,87.25195,33.47227,1.0,2740.0,3209.95766,8795284.0,1400.0,3759.0,687.3552,233.75457999999998,190.9782,316.0,2950.0601300000003,932219.0,1045.0,3752.0,897.4617099999999,10,0.0,354.32362,217.66919,316.0,3004.0981,949295.0,1005.0,3759.0,882.35101,10,0.0,0.90771
1.0,pilH-fliC-_PaQa_solid_0_event4_tirf_RAW_Stack.tif,1327.0,255.0,255.0,255.0,58.888090000000005,34.111909999999995,1.0,1445.0,3171.37993,4582644.0,1386.0,3797.0,756.7371400000001,414.08037,170.23037,256.0,2734.8125,700112.0,746.0,3797.0,1017.8267599999999,9,0.0,349.16039,193.43802,256.0,2905.67969,743854.0,1273.0,3783.0,913.50452,5,0.0,0.83834
1.0,pilH-fliC-_PaQa_solid_1_event5_tirf_RAW_Stack.tif,1438.0,255.0,255.0,255.0,71.40473,24.42211,1.0,1565.0,3288.38211,5146318.0,1121.0,3793.0,703.4691,318.47316,238.76657000000003,208.0,2972.26923,618232.0,926.0,3785.0,975.65164,9,0.0,406.48535,225.94845,208.0,3105.83654,646014.0,888.0,3793.0,949.9306,8,0.0,0.89949
,"PilH-FliC-_1,1msExp_Gasket_0_event4",,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,8,,
,"PilH-FliC-_1,1msExp_Gasket_1_event1",,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,10,,
,"PilH-FliC-_1,1msExp_Gasket_1_event2",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,11,,
,PilH-FliC-_1.2msExp_Flow0.3ul_Fast_1_event1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,
,PilH-FliC-_1.5msExp_Flow0.3ul_0_event2,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,9,,
,"pilH-FliC-_1,1msExp_Gasket_2_event1",,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,
,"pilH-FliC-_1,1msExp_Gasket_1_event2",,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,12,,
,"pilH-FliC-_1,1msExp_Gasket_3_event1",,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,9,,
,PilH-FliC-_1.2msExp_MicroFlu_150fpsMovie_Flow0ul_0_event1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,8,,
,PilH-FliC-_1.2msExp_MicroFlu_150fpsMovie_Flow1ul_2_event2,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,12,,
,PilH-FliC-_1.2msExp_MicroFlu_Flow0ul_0_event1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8,,
,"PilH-FliC-_1,2msExp_NoFlow_2_event1",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,
1.0,PilH-FliC-_Gasket_0_event1_tirf_RAW_Stack.tif,1747.0,255.0,255.0,255.0,59.83028,23.30366,1.0,1865.0,3307.8681,6169174.0,2937.0,3746.0,188.33529,167.97491000000002,195.34138000000002,421.0,3301.50356,1389933.0,3003.0,3567.0,141.92428999999998,10,0.0,235.99829,196.10017,421.0,3323.18527,1399061.0,2993.0,3645.0,174.67537,13,0.0,1.00247
