TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,0.0,0.0,[0. 0.],[0. 0.]
1.0,0.0,0.0,[0. 0.],[0. 0.]
2.0,0.0,0.0,[0. 0.],[0. 0.]
3.0,0.0,0.0,[0. 0.],[0. 0.]
4.0,0.0,0.0,[0. 0.],[0. 0.]
5.0,0.0,0.0,[0. 0.],[0. 0.]
6.0,0.0,0.0,[0. 0.],[0. 0.]
7.0,0.0,0.0,[0. 0.],[0. 0.]
8.0,0.0,0.0,[0. 0.],[0. 0.]
9.0,,,[nan nan],[nan nan]
10.0,0.0,0.0,[0. 0.],[0. 0.]
11.0,2731.588479999999,2731.58848,[2731.58848 2731.58848],[2731.58848 2731.58848]
12.0,0.0,0.0,[0. 0.],[0. 0.]
13.0,,,[nan nan],[nan nan]
14.0,2470967.223,2403411.0,[ 224178. 4582644.],[ 224178. 4582644.]
15.0,,,[nan nan],[nan nan]
16.0,,,[nan nan],[nan nan]
17.0,,,[nan nan],[nan nan]
18.0,7337.584067146667,6861.48348,[ 1595.04759 13202.21449],[ 1595.04759 13202.21449]
19.0,1129.3159300000002,1129.31593,[1129.31593 1129.31593],[1129.31593 1129.31593]
20.0,,,[nan nan],[nan nan]
21.0,,,[nan nan],[nan nan]
22.0,,,[nan nan],[nan nan]
23.0,,,[nan nan],[nan nan]
24.0,4619.848890053332,3634.15199,[1700.3652  8777.76366],[1700.3652  8777.76366]
25.0,,,[nan nan],[nan nan]
26.0,0.0,0.0,[0. 0.],[0. 0.]
27.0,0.0,0.0,[0. 0.],[0. 0.]
28.0,0.0,0.0,[0. 0.],[0. 0.]
29.0,0.0,0.0,[0. 0.],[0. 0.]
30.0,0.0,0.0,[0. 0.],[0. 0.]
31.0,0.0,0.0,[0. 0.],[0. 0.]
32.0,0.0,0.0,[0. 0.],[0. 0.]
33.0,0.0,0.0,[0. 0.],[0. 0.]
34.0,0.0,0.0,[0. 0.],[0. 0.]
35.0,0.0,0.0,[0. 0.],[0. 0.]
36.0,0.0,0.0,[0. 0.],[0. 0.]
37.0,0.0,0.0,[0. 0.],[0. 0.]
38.0,0.0,0.0,[0. 0.],[0. 0.]
39.0,0.0,0.0,[0. 0.],[0. 0.]
40.0,0.0,0.0,[0. 0.],[0. 0.]
41.0,0.0,0.0,[0. 0.],[0. 0.]
42.0,0.0,0.0,[0. 0.],[0. 0.]
43.0,0.0,0.0,[0. 0.],[0. 0.]
44.0,0.0,0.0,[0. 0.],[0. 0.]
45.0,0.0,0.0,[0. 0.],[0. 0.]
46.0,0.0,0.0,[0. 0.],[0. 0.]
47.0,0.0,0.0,[0. 0.],[0. 0.]
48.0,0.0,0.0,[0. 0.],[0. 0.]
49.0,0.0,0.0,[0. 0.],[0. 0.]
