 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilH_fliC-_liq_BR=1_0_event10_tirf_RAW_Stack.tif,833,255,255,255,24.947779999999998,40.61285,1,936,327.89423,306909.0,129,571,90.7941,204.41473,331.0494,137,265.28467,36344.0,76,379,88.63325,0,0,231.68313999999998,276.499,137,275.24088,37708.0,95,409,90.76711999999999,5,0,0.7683399999999999,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event1_tirf_RAW_Stack.tif,760,255,255,255,33.18158,26.436840000000004,1,855,148.30643,126802.0,74,273,36.02142,323.68655,279.4577,137,130.11678999999998,17826.0,62,196,37.27128,0,0,280.96791,248.01254,137,153.19708,20988.0,74,273,50.394740000000006,0,0,0.9353899999999999,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event2_tirf_RAW_Stack.tif,587,255,255,255,34.44549,15.26491,1,661,251.07412999999997,165960.0,96,511,68.02686,214.96857000000003,207.7737,137,228.81022000000002,31347.0,84,328,72.24382,3,0,257.25925,217.19272999999998,137,252.88321000000002,34645.0,37,511,133.97432,0,0,0.9323799999999999,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event4_tirf_RAW_Stack.tif,674,255,255,255,17.08309,38.24481,1,752,109.19282,82113.0,59,151,23.956879999999998,122.55026000000001,187.70066,156,91.16667,14222.0,29,146,30.96467,0,0,108.63928,143.55711000000002,156,92.84615,14484.0,45,129,22.57665,0,0,0.7580100000000001,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_BR=1_0_event4_tirf_RAW_Stack.tif,760,255,255,255,24.843420000000002,30.409209999999998,1,849,174.72791999999998,148344.0,85,245,43.430279999999996,369.15637000000004,332.05663,177,161.71186,28623.0,71,227,43.35034,0,0,344.7799,370.90339,177,166.90395,29542.0,75,245,50.76088,0,0,0.9019,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event5_tirf_RAW_Stack.tif,549,255,255,255,11.73862,33.33971,1,614,191.95765,117862.0,86,280,42.52555,261.89038,211.64015,137,166.0219,22745.0,74,223,39.35686,0,0,267.86234,174.32031,137,187.05839,25627.0,87,255,51.26815,0,0,0.86377,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_BR=1_0_event5_tirf_RAW_Stack.tif,394,255,255,255,14.147210000000001,27.129440000000002,1,446,238.44842999999997,106348.0,109,344,60.01214,324.44694,266.40897,112,206.8125,23163.0,86,323,58.974959999999996,0,0,316.83498,241.50494,112,224.42857,25136.0,114,302,55.15085,0,0,0.8246100000000001,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event6_tirf_RAW_Stack.tif,751,255,255,255,11.22437,46.583890000000004,1,836,259.62201,217044.0,108,362,56.1545,300.0,320.9904,137,210.83942000000002,28885.0,55,316,87.05637,2,0,295.87436,263.94565,137,233.85401000000002,32038.0,78,362,75.1861,0,0,0.8004,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event7_tirf_RAW_Stack.tif,824,255,255,255,48.12621,11.96845,1,920,164.92174,151728.0,85,240,36.01898,230.29757999999998,249.21862000000002,69,131.71014,9088.0,68,167,29.727240000000002,0,0,298.65535,239.45139,69,165.84058000000002,11443.0,79,240,48.116170000000004,3,0,0.8867799999999999,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event8_tirf_RAW_Stack.tif,730,255,255,255,42.445209999999996,23.55479,1,811,167.76202,136055.0,67,303,45.90098,304.41561,251.27982999999998,156,160.46153999999999,25032.0,52,249,57.71872,1,0,255.42588999999998,242.60647000000003,156,173.84615,27120.0,47,303,70.93333,1,0,0.9941200000000001,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_BR=1_0_event8_tirf_RAW_Stack.tif,553,255,255,255,31.95208,26.53074,1,627,137.43381000000002,86171.0,57,215,38.099579999999996,244.49478,387.75493,137,126.58393999999998,17342.0,59,181,33.23792,0,0,272.14744,363.83097000000004,137,134.47445,18423.0,41,215,45.455870000000004,0,0,0.9141100000000001,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_BR=1_0_event9_tirf_RAW_Stack.tif,700,255,255,255,19.08857,39.60429,1,780,135.26667,105508.0,65,186,32.44251,204.21711000000002,241.05257999999998,156,114.37821000000001,17843.0,45,173,33.07398,0,0,211.87299,194.61737,156,125.76281999999999,19619.0,44,186,40.23369,0,0,0.82581,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_sol_BR=1_0_event10_tirf_RAW_Stack.tif,773,255,255,255,28.124840000000003,39.36546,1,874,316.29062000000005,276438.0,113,711,95.7801,236.47027999999997,127.11866,137,280.45255,38422.0,123,410,72.28029000000001,3,0,266.98921,176.59828000000002,137,363.85401,49848.0,83,711,169.7462,4,0,1.0272299999999999,mNG_pilH_fliC-,Solid
