 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,641,255,255,255,29.40952,30.13495,1,730,205.47123,149994.0,103,499,55.3492,305.1988,126.70092,137,169.33577,23199.0,80,242,47.61399,0,0,267.52539,157.9665,137,238.56933999999998,32684.0,116,499,97.4591,3,0,0.9882200000000001,mNG_pilT_fliC-,Liquid
2,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,743,255,255,255,17.20929,40.8109,1,837,251.69415,210668.0,139,403,56.96005,364.18886000000003,231.24844,156,234.85897000000003,36638.0,93,378,81.98154,2,0,347.81113999999997,287.75156,156,237.36538,37029.0,115,403,72.77593,0,0,0.9048,mNG_pilT_fliC-,Liquid
3,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,582,255,255,255,16.24399,33.99828,1,657,172.32725,113219.0,87,364,42.313990000000004,390.95117,462.29285999999996,156,139.23077,21720.0,59,188,35.59646,0,0,401.56098,419.83535,156,183.01923,28551.0,66,364,70.93890999999999,1,0,0.88308,mNG_pilT_fliC-,Liquid
4,mNG_pilT_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,501,255,255,255,22.46806,31.49401,1,571,203.68827,116306.0,102,280,48.406729999999996,153.48508,407.0771,137,172.21898000000002,23594.0,70,249,46.6575,0,0,132.68469,436.04472999999996,137,182.67883,25027.0,89,280,57.938469999999995,0,0,0.77864,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,455,255,255,255,13.137360000000001,30.73297,1,514,197.51751000000002,101524.0,98,287,42.87723,120.95735,193.8649,112,188.6875,21133.0,75,280,52.558,2,0,113.6012,226.26237999999998,112,193.22321000000002,21641.0,76,287,57.224340000000005,0,0,0.9425899999999999,mNG_pilT_fliC-,Liquid
2,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,435,255,255,255,9.660919999999999,32.8977,1,491,236.49287,116118.0,114,443,56.05571,140.84174,296.93606,137,179.0292,24527.0,63,257,57.01405,2,0,137.24665,329.95703,137,250.9708,34383.0,94,443,89.93069,0,0,0.81553,mNG_pilT_fliC-,Liquid
3,mNG_pilT_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,843,255,255,255,35.828590000000005,29.453740000000003,1,953,245.65687000000003,234111.0,131,382,49.1368,363.52941,187.88235,156,222.98077,34785.0,117,329,58.99901,2,0,312.47059,224.11765,156,242.96153999999999,37902.0,127,382,70.94395,0,0,0.92511,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,497,255,255,255,19.40342,28.240440000000003,1,564,231.94326,130816.0,147,415,46.648759999999996,363.40514,282.29131,137,199.36496,27313.0,113,269,46.607859999999995,0,0,347.22628,251.37713,137,258.27007000000003,35383.0,129,415,71.25653,0,0,0.9741200000000001,mNG_pilT_fliC-,Liquid
2,mNG_pilT_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,847,255,255,255,47.20012,16.19303,1,949,492.38145,467270.0,215,729,118.6955,250.20007,359.41024,137,402.85401,55191.0,182,554,104.97783999999999,0,0,316.69518,345.10334,137,504.52555,69120.0,212,729,163.96005,0,0,0.89294,mNG_pilT_fliC-,Liquid
1,mNG_pilT_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,615,255,255,255,16.9374,35.613820000000004,1,692,336.59971,232927.0,164,548,67.51725,321.43419,328.15429,137,298.16058,40848.0,111,520,111.85278999999998,0,0,309.51526,282.85901,137,348.41606,47733.0,189,548,97.77071,0,0,0.9361799999999999,mNG_pilT_fliC-,Liquid
