Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.9406,4.55689816806826,1.07613877340145,0.946414285606467,2969,2006.08908045977,2094.0,591,1072,657.706896551724,682.0,110,WT,Solid,4
1,2,1.9604,2.90688770786299,1.05030636347927,0.946414285606467,2853,1995.00431034483,2102.5,589,1047,653.890086206897,692.0,113,WT,Solid,4
1,3,3.122275,4.6788791437243,1.05948684989303,1.0174109297624,2224,1483.6048714479,1518.0,428,1281,762.273342354533,813.0,100,WT,Solid,4
1,4,2.404025,3.62693434175952,1.0746483916862,0.946414285606467,2926,1996.24780316344,2103.0,586,1078,699.72934973638,741.0,93,WT,Solid,4
1,6,2.860325,4.18537579915328,1.03239597211911,0.975,2462,1730.61595273264,1798.0,535,968,575.264401772526,643.0,66,WT,Solid,4
1,8,2.370225,3.55220641291449,1.07989131430809,0.990050503762308,4257,2939.42959001783,3072.0,1024,947,627.133689839572,661.0,120,WT,Solid,4
1,9,3.28705,5.05729968070753,1.06571659433017,0.990050503762308,2409,1642.61825192802,1699.0,417,939,591.057840616967,625.0,97,WT,Solid,4
1,11,3.11805,4.48764409924502,1.03496352655982,1.02774023955472,889,575.608401084011,588.0,184,870,540.254742547426,592.0,52,WT,Solid,4
1,12,3.10115,4.63156420973603,1.07567487113583,0.990050503762308,2552,1723.99863760218,1803.5,575,907,592.485013623978,621.0,146,WT,Solid,4
1,13,2.49275,4.05309703885628,1.08072885594825,0.930658369112963,4085,2784.28474576271,2913.5,765,938,589.332203389831,613.5,161,WT,Solid,4
1,14,2.0787,3.08882204962251,1.07282782938659,1.02774023955472,2296,1599.81097560976,1654.5,457,1018,627.778455284553,691.0,30,WT,Solid,4
1,15,2.657525,4.05118361750729,1.04195365639125,1.0174109297624,1714,1174.48489666137,1221.0,293,1017,650.220985691574,667.0,136,WT,Solid,4
1,17,3.654625,5.35962986797652,1.06905354398685,0.946414285606467,1664,1145.3063583815,1182.0,504,1123,718.729479768786,745.0,255,WT,Solid,4
1,18,2.682875,3.97651757583951,1.0855486780583,0.990050503762308,3309,2347.37322834646,2436.0,565,938,621.256692913386,670.0,74,WT,Solid,4
1,19,3.05045,4.85959369428526,1.07899827464119,0.946414285606467,5075,3431.98614958449,3525.0,1042,918,554.541551246537,615.5,48,WT,Solid,4
1,20,3.739125,5.51229968070753,1.07244554465321,0.990050503762308,2914,2051.31751412429,2202.0,584,996,610.78418079096,654.0,93,WT,Solid,4
1,21,2.294175,3.27728922050227,1.06129381520758,0.990050503762308,4204,2905.58747697974,2998.0,765,885,526.692449355433,583.0,61,WT,Solid,4
1,22,2.28995,3.15105417602299,1.0382794696627,1.01533245786787,2421,1738.36900369004,1807.5,783,1154,657.455719557196,724.0,115,WT,Solid,4
1,23,2.589925,3.74848809129029,1.04852813742386,0.990050503762308,2244,1518.87438825449,1600.0,454,1235,804.672104404568,841.0,194,WT,Solid,4
1,24,2.175875,3.38689816806826,1.09898212602837,0.946414285606467,5412,3555.61359223301,3677.0,928,828,450.815533980583,492.0,17,WT,Solid,4
1,25,1.5548,2.44769552621701,1.03962597048738,0.946414285606467,5321,3845.61956521739,3965.5,1596,873,572.698369565217,614.0,110,WT,Solid,4
1,26,2.987075,4.56847763108502,1.0788733328908,0.946414285606467,2332,1581.71994342291,1646.0,598,939,545.033946251768,600.0,73,WT,Solid,4
1,27,2.387125,3.47271644662753,1.06154491011765,0.990050503762308,3195,2240.02477876106,2373.0,615,1156,760.417699115044,817.0,166,WT,Solid,4
1,29,2.5688,4.01502092041053,1.10780697405325,0.990050503762308,1508,1057.09046052632,1098.0,287,1026,573.740131578947,635.0,84,WT,Solid,4
1,30,1.78295,2.707695526217,1.04012201529935,0.867208164168212,4712,3169.15876777251,3267.0,898,989,624.867298578199,658.0,130,WT,Solid,4
1,31,2.733575,3.76346717087976,1.05254412989589,1.0090713552569,1937,1287.00772797527,1342.0,352,1054,661.508500772798,734.0,98,WT,Solid,4
1,32,3.358875,5.31502092041053,1.10854227197122,0.946414285606467,3128,2193.99874213836,2262.0,647,1001,651.222641509434,685.0,77,WT,Solid,4
1,33,2.7209,3.97332247611472,1.05424512821825,1.0174109297624,2988,2116.85093167702,2286.5,620,1197,741.723602484472,824.0,129,WT,Solid,4
1,34,1.8083,2.81809703885628,1.04721819226499,0.990050503762308,4421,3121.35747663551,3235.0,1102,966,620.327102803738,638.5,206,WT,Solid,4
1,35,3.181425,4.62965078838705,1.03399102394429,0.990050503762308,2329,1625.03187250996,1656.0,560,1068,633.184594953519,697.0,108,WT,Solid,4
1,37,2.767375,4.25228922050227,1.07549544858471,0.990050503762308,2576,1757.60610687023,1821.0,519,1114,683.622900763359,734.0,77,WT,Solid,4
1,39,2.5012,3.68540151263927,1.08218193200772,0.946414285606467,3617,2535.68581081081,2640.0,673,1263,838.353040540541,891.0,113,WT,Solid,4
1,42,3.3462,5.13807132537028,1.06345870590436,0.975,4087,2702.82828282828,2756.5,716,1302,812.439393939394,874.5,98,WT,Solid,4
1,43,2.809625,4.06652803604478,1.03909776028315,1.0174109297624,2603,1857.42857142857,1954.0,619,1125,688.129323308271,776.0,87,WT,Solid,4
1,44,2.91525,4.27225304681101,1.05791301283631,0.990050503762308,1802,1251.59855072464,1311.0,298,1061,608.302898550725,676.5,80,WT,Solid,4
1,45,2.902575,4.54574593117676,1.07847182074847,0.946414285606467,2872,2042.55458515284,2132.0,607,941,611.151382823872,646.0,49,WT,Solid,4
1,46,3.696875,5.52387914372429,1.08269269629639,0.990050503762308,2701,1908.53485714286,1980.0,489,1127,677.053714285714,742.0,92,WT,Solid,4
1,49,2.987075,4.12654328932551,1.03574405987365,0.975,4136,2698.89250353607,2813.0,627,1219,693.636492220651,776.0,71,WT,Solid,4
1,50,2.623725,3.93616269709676,1.06108653953442,0.946414285606467,4612,3177.71658615137,3296.0,818,1233,823.826086956522,881.0,88,WT,Solid,4
1,51,2.197,3.47882204962251,1.07776064561083,0.946414285606467,2036,1420.12115384615,1469.0,556,856,528.390384615385,566.5,104,WT,Solid,4
1,52,3.054675,4.67425973595304,1.06667604227605,0.990050503762308,2103,1396.377593361,1422.0,425,1035,659.116182572614,705.0,103,WT,Solid,4
1,53,3.147625,4.75694480196478,1.08221650895138,0.946414285606467,2667,1789.69798657718,1866.0,488,1239,794.875167785235,820.0,191,WT,Solid,4
1,54,3.38,4.94270598642227,1.0700540911909,0.946414285606467,6688,4686.41125,4852.0,1048,1399,937.58,993.5,111,WT,Solid,4
1,55,1.947725,2.85346717087976,1.0554471029397,0.946414285606467,2523,1832.83514099783,1907.0,467,1349,893.616052060738,950.0,96,WT,Solid,4
1,56,3.240575,4.66231493398826,1.04570319691299,1.0090713552569,3426,2388.44198174707,2507.0,767,1231,751.456323337679,838.0,128,WT,Solid,4
1,57,1.7914,2.86689816806826,1.07099140748563,1.0090713552569,4515,3050.77122641509,3145.0,985,1097,644.962264150943,697.5,113,WT,Solid,4
1,59,2.784275,4.11958323408,1.06672524369187,0.946414285606467,2603,1804.19423368741,1876.0,429,1080,706.760242792109,755.0,76,WT,Solid,4
1,60,3.815175,5.73194480196478,1.08072885594825,0.946414285606467,2022,1301.86821705426,1346.0,288,1159,729.044296788483,793.0,107,WT,Solid,4
1,61,2.344875,3.86271644662753,1.08048012493078,0.937443331620637,3882,2841.69189189189,2911.0,1066,1000,624.700900900901,670.0,138,WT,Solid,4
1,62,3.47295,5.27965078838705,1.06792354002732,0.990050503762308,7106,4952.26520681265,5105.0,1325,1239,775.178832116788,845.5,115,WT,Solid,4
1,66,2.35755,3.86462986797652,1.11527640063107,0.884095583067804,2758,1996.09498207885,2075.0,612,1223,824.39247311828,873.0,131,WT,Solid,4
1,67,3.21945,4.85540151263927,1.0785168470185,0.946414285606467,3358,2231.13254593176,2331.0,462,1159,753.709973753281,784.0,92,WT,Solid,4
1,68,3.05045,4.38654328932551,1.03774397452871,1.0090713552569,1379,917.274238227147,936.5,217,1173,748.368421052632,779.5,115,WT,Solid,4
2,2,4.0391,5.82116269709676,1.0529484965054,0.946414285606467,3781,2567.10355648536,2653.0,795,1073,636.556485355649,703.0,124,WT,Solid,4
2,3,2.6195,4.14878587593125,1.07307172118047,0.946414285606467,2516,1790.58548387097,1883.0,673,926,610.085483870968,653.5,118,WT,Solid,4
2,4,3.181425,5.39579256507328,1.08237905241867,0.946414285606467,2008,1390.49402390438,1415.0,449,801,512.118193891102,526.0,128,WT,Solid,4
2,5,2.834975,4.24618361750729,1.05023393952682,0.990050503762308,4145,2965.98062593145,3071.0,999,943,565.691505216095,621.0,72,WT,Solid,4
2,6,2.260375,3.45694480196478,1.06516760365481,0.990050503762308,3066,2116.02803738318,2260.0,632,1047,621.364485981308,676.0,60,WT,Solid,4
2,7,3.8025,5.82004184082106,1.04597190599801,0.990050503762308,1547,1027.86222222222,1055.5,339,942,600.475555555556,626.0,155,WT,Solid,4
2,8,2.27305,3.53309703885628,1.07408195396453,0.946414285606467,2910,1996.08178438662,2080.0,641,1115,728.46468401487,755.5,162,WT,Solid,4
2,9,1.95195,2.83769552621701,1.03476668459675,0.946414285606467,1959,1289.2619047619,1339.0,351,994,553.95670995671,606.5,81,WT,Solid,4
2,10,2.708225,3.89346717087976,1.05070664773192,0.946414285606467,3183,2238.42745709828,2360.0,623,907,554.736349453978,621.0,112,WT,Solid,4
2,12,3.747575,5.41846237780429,1.03396545063472,0.975,2551,1824.74408117249,1893.0,636,1009,630.298759864713,682.0,114,WT,Solid,4
2,14,3.282825,4.6038477631085,1.01183467321066,0.946414285606467,1601,1073.71557271557,1121.0,336,974,629.947232947233,664.0,85,WT,Solid,4
2,15,2.818075,4.52848809129029,1.07183150089711,0.946414285606467,1761,1099.44377811094,1124.0,329,947,578.40179910045,593.0,153,WT,Solid,4
2,16,3.426475,5.23382204962251,1.07360452299949,0.946414285606467,2583,1751.26757090012,1823.0,492,945,581.801479654747,614.0,91,WT,Solid,4
2,17,2.970175,4.39073547097149,1.04920813405639,0.946414285606467,2147,1529.99431009957,1602.0,445,1016,670.122332859175,704.0,115,WT,Solid,4
2,18,2.142075,3.05998474671927,1.00873471549305,0.975,1170,750.972386587771,791.0,198,897,544.065088757396,603.0,61,WT,Solid,4
2,20,2.1801,3.37993811282275,1.06386694875229,0.990050503762308,3990,2649.32558139535,2778.0,831,1017,615.912790697674,656.5,63,WT,Solid,4
2,21,2.742025,4.06154328932551,1.03625298013505,0.946414285606467,1120,735.873651771957,764.0,254,922,606.502311248074,632.0,143,WT,Solid,4
2,22,3.27015,4.944557520594,1.0762244690828,0.946414285606467,2929,2055.24031007752,2183.0,579,942,578.919896640827,645.0,80,WT,Solid,4
2,23,3.79405,5.83964032818179,1.08233856094396,0.884095583067804,6913,5024.44988864143,5269.0,1533,981,640.571269487751,688.5,83,WT,Solid,4
2,25,2.2815,3.66771644662753,1.0644597300349,0.930658369112963,3588,2497.26111111111,2604.5,790,894,571.053703703704,596.5,135,WT,Solid,4
2,26,2.539225,3.71381158941724,1.05517508383289,0.975,3143,2181.84026622296,2307.0,559,1112,751.237936772047,780.0,127,WT,Solid,4
2,27,2.395575,3.69464032818178,1.06045195417753,0.990050503762308,3627,2544.96825396825,2657.0,732,937,609.746031746032,638.0,197,WT,Solid,4
2,28,3.0927,4.96771644662753,1.08126520382422,0.930658369112963,6457,4404.72404371585,4604.0,1191,1064,630.833333333333,694.0,93,WT,Solid,4
2,30,2.877225,4.15765935252575,1.05156151863982,1.0090713552569,4063,2811.68135095448,2941.0,901,1089,634.201174743025,684.0,86,WT,Solid,4
2,31,2.08715,3.24346717087976,1.05010851751204,0.867208164168212,8761,6268.66396761134,6518.0,1915,934,602.093117408907,640.0,70,WT,Solid,4
2,32,2.775825,4.31771644662753,1.09859512558085,0.990050503762308,1864,1242.22374429224,1293.0,363,1124,701.805175038052,750.0,142,WT,Solid,4
2,33,3.1265,4.64456798079927,1.03514339355631,0.990050503762308,2863,1902.23378378378,1989.5,494,1135,706.731081081081,753.5,111,WT,Solid,4
2,34,3.38,5.09118361750729,1.0720526609415,0.990050503762308,1843,1229.705,1259.5,318,962,613.915,649.0,76,WT,Solid,4
2,35,2.17165,3.27962986797652,1.08238462135197,1.0090713552569,1361,878.873540856031,916.0,290,919,536.394941634241,590.5,102,WT,Solid,4
2,36,2.150525,3.24808657865101,1.07296230398034,0.946414285606467,3224,2194.03339882122,2331.0,585,1077,667.518664047151,695.0,58,WT,Solid,4
2,37,2.07025,3.27501046020526,1.07567487113583,0.946414285606467,4000,2695.31020408163,2801.0,545,1118,730.551020408163,766.0,97,WT,Solid,4
2,38,2.074475,3.13805040495976,1.07817527945244,0.946414285606467,3657,2534.65376782077,2624.0,825,1114,719.663951120163,751.0,127,WT,Solid,4
2,39,2.125175,3.15844145739377,1.06085672292139,0.990050503762308,2943,2015.03777335984,2151.0,549,1298,782.691848906561,849.0,118,WT,Solid,4
2,40,2.69555,3.81269552621701,1.02906761841215,0.946414285606467,1736,1167.16614420063,1224.5,332,958,556.739811912226,607.5,87,WT,Solid,4
2,41,3.4476,5.39536533894801,1.07945256207302,0.946414285606467,2235,1544.47303921569,1581.5,506,1036,628.970588235294,661.0,83,WT,Solid,4
2,42,2.2815,3.44961940777126,1.03564393225383,0.867208164168212,5200,3755.99259259259,3947.0,1021,1200,822.496296296296,856.0,211,WT,Solid,4
2,43,2.1632,3.50574593117676,1.07675463860695,0.930658369112963,6815,4811.126953125,5038.5,1493,1159,742.005859375,785.5,121,WT,Solid,4
2,44,1.736475,2.63154328932551,1.05954823920362,0.946414285606467,1658,1112.96593673966,1142.0,448,1264,835.445255474453,872.0,232,WT,Solid,4
2,45,1.8421,2.68539105243401,1.0638821202286,0.990050503762308,1642,1064.7247706422,1077.0,287,1181,725.217889908257,773.0,70,WT,Solid,4
2,46,2.750475,3.97503138061579,1.0269701942148,1.0174109297624,1584,1069.90322580645,1109.0,283,1162,692.334869431644,769.0,98,WT,Solid,4
2,47,4.440475,6.28078210486802,1.05706368889328,1.0090713552569,2612,1846.81255946717,1922.0,435,1425,913.177925784967,951.0,122,WT,Solid,4
2,49,2.71245,4.1757097574855,1.07173728341967,0.930658369112963,8119,5866.39875389408,6218.5,1633,1312,839.116822429907,951.0,105,WT,Solid,4
2,52,2.235025,3.25881158941724,1.05158934637819,0.946414285606467,3328,2379.35160680529,2465.0,748,994,665.905482041588,695.0,113,WT,Solid,4
2,53,2.640625,3.77923881554251,1.05870584611445,0.946414285606467,1904,1291.0208,1362.0,287,1146,750.5776,782.0,116,WT,Solid,4
2,54,2.8223,4.18771644662753,1.07317740370634,0.990050503762308,4594,3186.45658682635,3352.0,784,1218,797.062874251497,841.0,143,WT,Solid,4
2,55,2.361775,3.40039105243401,1.05367589863188,0.975,2045,1387.8228980322,1461.0,398,1181,778.581395348837,819.0,128,WT,Solid,4
2,56,2.725125,4.09579256507328,1.07403680422226,0.990050503762308,2789,1904.59379844961,1987.0,497,1323,830.643410852713,888.0,108,WT,Solid,4
2,57,2.79695,3.86654328932551,1.03786731044288,0.946414285606467,2527,1807.95770392749,1891.5,640,1174,668.54833836858,693.5,123,WT,Solid,4
2,58,3.67575,5.40232539419352,1.07657490619211,0.946414285606467,10648,7651.17816091954,8149.5,1885,1325,861.566666666667,948.5,149,WT,Solid,4
