Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.1603,5.00074593117676,1.07645527260213,0.946414285606467,928,602.088235294118,612.5,176,1320,856.1216577540109,919.5,145,pilA-,Liquid,3
1,2,2.8054,4.25462986797652,1.10514340301383,0.990050503762308,670,426.18674698795195,449.0,114,1405,873.84186746988,955.0,177,pilA-,Liquid,3
1,3,4.9517,7.45540151263927,1.07818186536985,0.946414285606467,569,350.659556313993,362.0,126,1253,831.932593856655,894.5,125,pilA-,Liquid,3
1,4,2.2815,3.43378587593125,1.0640239204080602,1.0090713552569,604,375.003703703704,386.0,95,1378,878.218518518519,915.5,127,pilA-,Liquid,3
1,5,2.023775,3.25732539419352,1.07700777392789,1.0090713552569,376,237.112734864301,243.0,41,890,585.235908141962,614.0,93,pilA-,Liquid,3
1,6,3.32085,4.97695526217004,1.08197747644954,1.07200746266059,555,342.167938931298,351.5,121,1311,770.394402035623,832.5,111,pilA-,Liquid,3
1,7,2.18855,3.24765935252575,1.0701110935646898,0.975,632,396.482625482626,410.0,120,1277,818.007722007722,880.5,159,pilA-,Liquid,3
1,8,2.8899,4.166470941942991,1.14299590842132,1.02774023955472,578,352.437134502924,366.5,62,1114,654.540935672515,717.5,109,pilA-,Liquid,3
1,9,2.184325,3.5011265234055,1.0777008661064,0.946414285606467,626,417.375241779497,432.0,79,1069,709.448742746615,749.0,116,pilA-,Liquid,3
1,10,3.6842,5.3288791437243,1.07096112384949,1.0090713552569,589,346.713302752294,358.0,47,1270,812.858944954128,860.0,108,pilA-,Liquid,3
1,12,3.663075,5.42271644662753,1.10336560856327,0.975,554,341.649365628604,352.0,104,1332,816.479815455594,870.0,200,pilA-,Liquid,3
1,13,3.494075,5.37078210486802,1.0872028552364401,0.946414285606467,626,366.948004836759,377.0,112,1338,826.394195888755,869.0,119,pilA-,Liquid,3
1,14,4.550325,6.85462986797652,1.0583754760153499,0.946414285606467,637,427.998142989786,445.0,125,1053,687.237697307335,747.0,88,pilA-,Liquid,3
1,16,4.4109,6.20499520692453,1.0785401331651,1.01533245786787,472,290.650383141762,301.0,55,1067,696.555555555556,718.5,136,pilA-,Liquid,3
1,17,2.674425,3.87769552621701,1.02612908788971,0.946414285606467,479,301.687203791469,312.0,56,1303,755.946287519747,818.0,107,pilA-,Liquid,3
1,18,2.4674,3.3688477631085,1.01546314390603,0.946414285606467,505,305.260273972603,317.0,80,1126,724.5804794520551,769.0,143,pilA-,Liquid,3
1,21,3.45605,5.27694480196478,1.14570836524904,1.0090713552569,445,261.919315403423,262.0,84,1208,777.304400977995,803.0,209,pilA-,Liquid,3
1,22,2.437825,3.66728922050227,1.0645251728598701,0.990050503762308,426,262.287694974003,278.0,40,942,548.899480069324,600.0,112,pilA-,Liquid,3
1,23,2.25615,3.54339482349724,1.07532471608127,0.9306583691129631,698,477.1179775280901,495.5,156,1137,790.833333333333,827.0,189,pilA-,Liquid,3
1,24,2.49275,3.8484309971885002,1.0743553514148199,0.946414285606467,397,235.384745762712,244.0,45,983,646.823728813559,691.0,86,pilA-,Liquid,3
1,26,3.42225,4.86846717087976,1.03538894059887,1.0090713552569,578,356.4,378.5,85,983,578.903703703704,632.0,80,pilA-,Liquid,3
1,27,2.61105,3.9296298679765203,1.08008539113874,0.946414285606467,499,303.226537216828,318.5,76,1298,799.2087378640781,869.5,188,pilA-,Liquid,3
1,30,3.6673,5.6650313806157895,1.10242474948149,0.990050503762308,491,286.476958525346,295.0,79,1273,768.691244239631,817.0,182,pilA-,Liquid,3
1,33,3.012425,4.29270598642227,1.07559088283283,1.07200746266059,499,318.507713884993,331.0,82,1320,808.408134642356,892.0,195,pilA-,Liquid,3
1,34,4.3771,6.1326698127310095,1.10080593892835,1.0090713552569,488,292.07528957529,298.0,73,1241,789.820463320463,841.0,205,pilA-,Liquid,3
1,36,3.603925,5.319213102056519,1.08004104308307,0.946414285606467,539,334.228604923798,343.0,112,1176,786.0281359906211,813.0,178,pilA-,Liquid,3
1,38,4.964375,6.947978057577241,1.10104330920403,1.0090713552569,394,252.988085106383,265.0,59,1121,711.288510638298,786.0,138,pilA-,Liquid,3
1,39,4.068675,6.005010460205259,1.05350655386593,0.946414285606467,527,324.418483904465,332.0,74,1485,1002.7757009345801,1032.0,190,pilA-,Liquid,3
1,40,3.130725,4.56656420973603,1.0965277608339,1.0090713552569,498,296.564102564103,306.0,79,1364,901.118758434548,930.0,167,pilA-,Liquid,3
1,42,2.826525,4.08883250982777,1.0655763504122,1.02774023955472,422,263.89387144992503,269.0,72,1098,693.699551569507,753.0,129,pilA-,Liquid,3
1,43,1.989975,2.99689816806826,1.07368817795416,0.990050503762308,687,434.779193205945,450.0,103,1286,807.390658174098,853.0,204,pilA-,Liquid,3
1,44,2.463175,3.2388477631085,1.01606066365912,1.0090713552569,383,231.885077186964,243.0,47,1046,616.289879931389,675.0,79,pilA-,Liquid,3
1,45,2.767375,4.10566312358898,1.0728911825218101,1.0090713552569,479,285.977099236641,294.0,78,1141,704.508396946565,761.0,74,pilA-,Liquid,3
1,46,2.0956,3.1956631235889796,1.0672715795399201,0.9597134989151709,509,315.201612903226,323.0,75,1082,711.3709677419349,739.0,176,pilA-,Liquid,3
1,47,2.64485,4.00997428651401,1.08971822469368,1.0090713552569,529,298.212460063898,317.0,66,1001,637.0,683.0,160,pilA-,Liquid,3
1,48,2.750475,4.09998474671927,1.06771703280921,0.990050503762308,719,482.49001536098297,504.0,148,1104,722.7926267281109,777.0,100,pilA-,Liquid,3
1,50,2.285725,3.3153653389480198,1.07553193075047,1.02774023955472,561,338.234750462107,353.0,79,1263,807.940850277264,843.0,148,pilA-,Liquid,3
1,51,2.5181,3.8957459311767595,1.0790701648579202,0.946414285606467,443,284.241610738255,294.0,104,1049,702.008389261745,737.5,161,pilA-,Liquid,3
