Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.175875,3.1603548787427505,1.0751667862455,1.0090713552569,1404,894.355339805825,926.0,264,958,599.299029126214,646.0,133,pilA_T8V,Liquid,1
1,2,2.370225,3.4569448019647795,1.0651676036548101,1.02774023955472,790,501.520499108734,519.0,162,721,443.893048128342,459.0,106,pilA_T8V,Liquid,1
1,3,2.818075,3.87806086516502,1.05967242499149,1.105,315,186.08995502248902,193.0,47,730,459.058470764618,487.0,120,pilA_T8V,Liquid,1
1,4,2.2815,3.30840528370251,1.02788639111839,0.966294468575703,2385,1691.37037037037,1741.5,591,891,593.996296296296,610.0,190,pilA_T8V,Liquid,1
1,5,2.42515,3.6834880912902896,1.04549032392238,0.990050503762308,505,284.081881533101,290.5,60,630,364.235191637631,379.0,63,pilA_T8V,Liquid,1
1,6,3.16875,5.00770598642227,1.0872523504918,0.946414285606467,2234,1450.832,1506.5,499,677,420.356,432.0,85,pilA_T8V,Liquid,1
1,7,2.5857,3.8845936942852597,1.07755408747508,0.990050503762308,391,227.104575163399,232.5,57,676,427.30555555555605,446.0,107,pilA_T8V,Liquid,1
1,8,2.581475,3.77036533894802,1.0942509131314901,0.990050503762308,1205,829.009819967267,854.0,228,850,536.214402618658,559.0,157,pilA_T8V,Liquid,1
1,9,1.63085,2.49224258660574,1.05814356006381,1.0174109297624,683,424.823834196891,431.5,144,488,294.215025906736,309.5,79,pilA_T8V,Liquid,1
1,10,2.15475,3.0530865786510097,1.07531716468635,1.0090713552569,385,238.703921568627,245.5,73,743,449.82156862745103,481.0,89,pilA_T8V,Liquid,1
1,11,1.69,2.49501046020527,1.0989529489301602,1.0090713552569,1505,1020.08,1052.0,321,975,623.74,642.0,111,pilA_T8V,Liquid,1
1,12,2.028,3.29731493398826,1.07712548627981,0.946414285606467,2125,1479.4708333333301,1536.0,453,1047,685.025,721.5,128,pilA_T8V,Liquid,1
1,13,1.981525,3.04150711563425,1.0712388016858199,0.946414285606467,376,219.633262260128,220.0,51,720,463.321961620469,479.0,93,pilA_T8V,Liquid,1
1,14,2.2646,3.62231493398826,1.0699117396238198,0.867208164168212,1193,848.7444029850751,890.0,339,830,561.983208955224,583.5,140,pilA_T8V,Liquid,1
1,15,2.12095,3.18536533894802,1.05127425808943,0.990050503762308,814,531.187250996016,540.0,164,780,497.950199203187,506.0,159,pilA_T8V,Liquid,1
1,16,2.8392,3.967278760297,1.0706257389369,1.0090713552569,1161,746.333333333333,776.0,201,1007,619.395833333333,648.0,150,pilA_T8V,Liquid,1
1,17,2.091375,3.0169238815542503,1.00876630448697,0.946414285606467,3391,2388.9353535353503,2484.0,540,922,581.090909090909,600.0,90,pilA_T8V,Liquid,1
1,18,1.7069,2.63424927574778,1.06063776076333,0.966294468575703,1100,604.831683168317,579.5,179,731,412.5,403.0,128,pilA_T8V,Liquid,1
1,19,1.702675,2.53265935252575,1.07042312908572,0.946414285606467,778,478.987593052109,481.0,160,647,392.327543424318,399.0,70,pilA_T8V,Liquid,1
1,20,2.61105,3.73271644662753,1.0804443868003701,1.07594144822105,1021,671.4482200647251,701.5,186,771,500.84627831715204,520.0,98,pilA_T8V,Liquid,1
1,21,2.10405,3.23502092041053,1.08169122819875,0.990050503762308,751,454.387550200803,460.5,105,676,422.140562248996,429.5,75,pilA_T8V,Liquid,1
1,22,2.082925,3.13528253136024,1.0612022631551399,0.9921819389607941,769,492.498985801217,506.0,162,714,458.030425963489,482.0,128,pilA_T8V,Liquid,1
1,23,1.635075,2.5015432893255096,1.05449021401443,0.8840955830678041,1780,1159.05426356589,1183.0,374,772,479.012919896641,497.0,105,pilA_T8V,Liquid,1
1,24,2.1463,3.0711369836107703,1.02689349389029,1.02774023955472,1759,1158.76968503937,1204.0,449,873,565.931102362205,586.0,230,pilA_T8V,Liquid,1
1,25,1.829425,2.77731493398826,1.06753105299777,0.9306583691129631,1546,1033.61662817552,1056.0,299,734,445.773672055427,450.0,131,pilA_T8V,Liquid,1
1,26,2.9237,4.23417692836526,1.0700472057507902,1.02774023955472,1562,1034.40751445087,1085.0,326,647,417.48121387283203,442.5,118,pilA_T8V,Liquid,1
1,27,2.167425,3.21271644662753,1.04315985962744,0.975,903,576.224171539961,596.0,149,877,540.760233918129,572.0,115,pilA_T8V,Liquid,1
