Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.156075,4.65572021769077,1.04411312656032,1.0174109297624,365,206.831325301205,212.0,46,951,583.04953145917,634.0,96,pilJ-,Liquid,1
1,3,2.56035,3.66266981273101,1.07688094046959,1.0090713552569,477,289.836633663366,303.0,84,1034,640.80198019802,710.0,107,pilJ-,Liquid,1
1,4,3.55745,5.45149186235352,1.05732293907963,0.975,363,213.804038004751,219.0,64,969,605.03919239905,650.0,73,pilJ-,Liquid,1
1,5,3.38845,5.03001046020526,1.05768637501963,1.0090713552569,399,247.537406483791,251.0,52,1105,696.327930174564,724.0,129,pilJ-,Liquid,1
1,6,1.947725,2.81766981273101,1.07535054579113,1.02774023955472,445,257.427331887202,270.0,49,1235,801.43600867679,840.0,160,pilJ-,Liquid,1
1,7,2.471625,3.46539105243401,1.05288244020121,0.975,329,207.673504273504,217.0,42,1127,734.929914529915,774.0,156,pilJ-,Liquid,1
1,8,2.074475,2.93232539419353,1.06927349966737,1.07594144822105,335,200.928716904277,207.0,33,914,560.881873727088,608.0,103,pilJ-,Liquid,1
1,9,2.3153,3.35116269709676,1.06808101583851,1.0090713552569,343,200.883211678832,210.0,52,1079,639.837591240876,701.5,102,pilJ-,Liquid,1
1,10,2.387125,3.36231493398826,1.05920699754198,1.0090713552569,338,207.83185840708,216.0,43,1032,659.743362831858,692.0,111,pilJ-,Liquid,1
1,11,1.880125,2.69654328932551,1.05135584562486,0.946414285606467,379,209.880898876405,217.0,48,1061,675.224719101124,708.0,117,pilJ-,Liquid,1
1,12,2.530775,3.54190862827352,1.04099517200177,1.02774023955472,340,210.277128547579,217.0,42,1039,691.095158597663,729.0,162,pilJ-,Liquid,1
1,13,2.20545,3.15886868351903,1.0473605237078,0.990050503762308,300,192.394636015326,202.5,43,1038,649.984674329502,690.5,145,pilJ-,Liquid,1
1,14,2.64485,3.60690862827352,1.03889318713125,1.04809350727881,381,215.888178913738,225.0,57,1093,747.699680511182,790.0,200,pilJ-,Liquid,1
1,16,2.4505,3.59539105243401,1.05135584562486,1.0090713552569,376,219.48275862069,226.0,58,1057,688.912068965517,719.0,180,pilJ-,Liquid,1
1,17,2.6533,3.93886868351903,1.07375061921325,1.02774023955472,337,185.980891719745,191.5,24,1184,753.791401273885,775.5,177,pilJ-,Liquid,1
