Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.72645,5.23190862827352,1.09030635375818,1.0174109297624,1274,868.090702947846,901.0,290,1328,906.738095238095,945.5,243,fliC-,Liquid,1
1,3,2.20545,3.05961940777126,1.03962597048738,0.946414285606467,2005,1406.95593869732,1464.5,451,1290,872.722222222222,906.5,295,fliC-,Liquid,1
1,4,1.98575,2.8957354709715,1.08625686368507,1.0090713552569,1930,1367.50212765957,1434.0,496,1104,778.642553191489,825.0,218,fliC-,Liquid,1
1,5,4.1912,5.3434309971885,1.06039974060245,1.07200746266059,504,325.695564516129,335.5,97,1430,954.84375,986.0,246,fliC-,Liquid,1
1,6,3.020875,4.39152803604478,1.05514069819753,1.02774023955472,1629,1152.44475524476,1196.0,364,1240,855.230769230769,901.0,274,fliC-,Liquid,1
1,7,2.20545,2.97231493398826,1.06459220434141,1.04,1433,959.459770114943,1009.5,310,1257,844.565134099617,905.5,221,fliC-,Liquid,1
1,8,2.513875,3.40458323408,1.06364016326195,1.07200746266059,570,370.921008403361,383.0,115,1606,1107.64537815126,1168.0,256,fliC-,Liquid,1
1,9,2.285725,3.07958323408,1.06744492516654,1.0174109297624,1179,823.26247689464,865.0,300,1146,782.251386321627,836.0,190,fliC-,Liquid,1
1,10,2.733575,3.97694480196478,1.09100284149429,1.07200746266059,2451,1773.44358578053,1846.0,750,1389,965.782071097373,1016.0,177,fliC-,Liquid,1
1,11,3.164525,4.22961940777126,1.03170502103141,1.0090713552569,1402,950.256341789052,991.0,372,1453,999.325767690254,1042.0,257,fliC-,Liquid,1
1,12,3.3293,4.5915746699413,1.02722040491094,1.04809350727881,463,303.794416243655,314.0,94,1163,838.752538071066,882.5,232,fliC-,Liquid,1
1,13,2.818075,3.81768027293628,1.03311941023201,1.06607926534569,663,403.667166416792,423.0,131,1556,1057.38830584708,1126.0,267,fliC-,Liquid,1
1,14,2.006875,2.75224258660574,1.0676010509438,1.07594144822105,419,266.094736842105,276.0,77,1230,820.637894736842,859.0,231,fliC-,Liquid,1
1,15,1.973075,2.88877541572599,1.07254438907642,1.0090713552569,1724,1156.04925053533,1214.0,406,1506,1048.00856531049,1105.0,307,fliC-,Liquid,1
1,16,2.404025,3.28616269709676,1.06891387081554,1.07200746266059,946,640.966608084359,663.0,199,1469,978.13532513181,1013.0,267,fliC-,Liquid,1
1,17,2.091375,2.74577164466275,1.03000198914099,1.07200746266059,835,542.222222222222,558.0,219,1575,1013.00606060606,1059.0,227,fliC-,Liquid,1
1,18,2.657525,3.77413029446874,1.06132934955512,1.0174109297624,1860,1274.1240063593,1328.0,471,1691,1153.22257551669,1217.0,287,fliC-,Liquid,1
1,19,3.6335,4.87579256507328,1.08158168857669,1.07594144822105,672,422.208139534884,435.0,136,1454,989.856976744186,1044.5,219,fliC-,Liquid,1
1,20,2.302625,3.17378587593125,1.05921665089869,1.04809350727881,2376,1675.24770642202,1763.0,636,1492,935.662385321101,989.0,211,fliC-,Liquid,1
1,21,2.311075,3.15154328932551,1.04517445537336,1.04,1912,1316.21389396709,1367.0,590,1533,1013.72943327239,1068.0,231,fliC-,Liquid,1
1,22,1.7069,2.36224258660575,1.04867190841646,1.10691011378522,2394,1709.13861386139,1756.0,782,1683,1079.25742574257,1144.0,229,fliC-,Liquid,1
1,23,2.6871,3.58189816806826,1.07885440382898,1.105,1141,795.633647798742,831.0,289,1565,1041.17924528302,1101.5,301,fliC-,Liquid,1
