Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.9406,4.39535487874275,1.0816912369079301,0.946414285606467,1279,830.673850574713,847.0,249,1221,726.284482758621,774.0,81,fliC-_pilA_A86C,Liquid,2
1,3,3.0927,4.724974286514009,1.1077686745517,0.946414285606467,818,541.1215846994539,551.0,174,973,616.941256830601,641.5,153,fliC-_pilA_A86C,Liquid,2
1,4,3.299725,5.0734985514955495,1.04744287602418,0.990050503762308,1487,1036.58002560819,1064.0,379,832,540.40204865557,563.0,159,fliC-_pilA_A86C,Liquid,2
1,5,2.71245,3.9834776310850204,1.0818428212031899,1.0090713552569,447,293.828660436137,310.0,86,1125,704.0389408099691,768.5,169,fliC-_pilA_A86C,Liquid,2
1,6,2.2477,3.3196194077712597,1.0403187285783,0.946414285606467,912,615.133458646617,651.5,163,967,615.336466165414,659.5,105,fliC-_pilA_A86C,Liquid,2
1,7,2.995525,4.40650711563425,1.076070113708,1.0090713552569,1632,1104.6389280677001,1146.0,346,1817,1157.90409026798,1219.0,227,fliC-_pilA_A86C,Liquid,2
1,8,2.006875,2.69192388155425,1.00980245680903,1.0090713552569,564,372.72,386.0,93,955,607.1621052631581,636.0,107,fliC-_pilA_A86C,Liquid,2
1,9,2.4674,3.47192388155425,1.00763600770152,0.91,1378,958.75,1009.0,335,944,600.825342465753,640.0,129,fliC-_pilA_A86C,Liquid,2
1,10,2.826525,4.16923881554251,1.0544902140144201,0.946414285606467,695,453.97458893871396,471.0,147,888,573.4723467862481,598.0,164,fliC-_pilA_A86C,Liquid,2
1,11,2.873,4.202695526217,1.02578250676276,0.946414285606467,469,297.019117647059,304.5,82,886,572.625,589.0,181,fliC-_pilA_A86C,Liquid,2
1,12,2.834975,3.9211836175072903,1.0354947560385799,1.0660792653456899,408,228.03129657227996,233.0,59,1083,696.7675111773469,727.0,166,fliC-_pilA_A86C,Liquid,2
1,13,2.395575,3.69421310205652,1.0616234294195201,0.990050503762308,833,541.061728395062,560.0,138,998,625.014109347443,650.0,103,fliC-_pilA_A86C,Liquid,2
1,14,2.197,3.1403910524340097,1.05706368889328,0.975,1286,844.953846153846,874.5,298,960,625.073076923077,646.0,132,fliC-_pilA_A86C,Liquid,2
1,15,2.589925,3.78577164466275,1.0203884108344599,0.946414285606467,1340,919.2120717781401,950.0,203,917,580.3181076672099,608.0,101,fliC-_pilA_A86C,Liquid,2
1,16,2.7547,4.05075639138202,1.05808515036715,1.02774023955472,999,658.289877300614,681.0,191,979,597.95245398773,650.5,122,fliC-_pilA_A86C,Liquid,2
