Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.206775,4.21002092041053,1.08890999207248,1.13517619777724,654,434.909090909091,456.0,127,974,626.118577075099,663.0,149,fliC-_pilA_A86C,Solid,2
1,2,3.147625,4.6061265234055,1.07013287923391,1.0090713552569,1290,813.185234899329,828.0,200,1017,665.209395973154,691.0,130,fliC-_pilA_A86C,Solid,2
1,3,2.175875,2.9138477631085,1.01777700919844,1.0090713552569,1005,636.0,660.0,147,1157,686.079611650485,747.0,146,fliC-_pilA_A86C,Solid,2
1,4,3.7856,5.09501046020527,1.05713233151464,1.04,1914,1262.32142857143,1292.0,356,1165,735.095982142857,782.0,177,fliC-_pilA_A86C,Solid,2
1,6,2.353325,3.341861994377,1.075553585644,1.02774023955472,1847,1169.17594254937,1234.0,334,1162,740.08078994614,776.0,145,fliC-_pilA_A86C,Solid,2
1,7,3.72645,5.31225304681101,1.07498270826695,1.07200746266059,1376,890.548752834467,915.0,286,1242,820.493197278912,853.5,142,fliC-_pilA_A86C,Solid,2
1,8,3.291275,4.59959369428526,1.08866122941663,1.0090713552569,1049,696.192554557124,726.0,207,1110,769.955070603338,807.0,147,fliC-_pilA_A86C,Solid,2
1,9,2.919475,4.10651757583951,1.09480863100868,1.0090713552569,3672,2590.53545586107,2717.0,875,1032,674.667149059334,712.0,114,fliC-_pilA_A86C,Solid,2
1,10,1.95195,2.87109034971425,1.06135228427426,1.02774023955472,1469,982.175324675325,1019.0,320,1361,858.564935064935,881.0,212,fliC-_pilA_A86C,Solid,2
1,11,2.040675,2.90497428651401,1.07449867519248,1.0090713552569,1446,986.968944099379,1025.0,380,1370,895.768115942029,922.0,290,fliC-_pilA_A86C,Solid,2
1,12,2.361775,3.384557520594,1.04140231402892,1.04809350727881,1819,1199.47227191413,1238.0,312,1218,792.686940966011,831.0,163,fliC-_pilA_A86C,Solid,2
1,13,3.198325,4.61770598642227,1.07282311451841,0.975,4033,2927.60501981506,3070.0,999,1131,758.175693527081,800.0,104,fliC-_pilA_A86C,Solid,2
1,14,3.23635,4.30379633613652,1.03939909298919,1.06607926534569,1178,761.587467362924,802.0,248,1066,662.840731070496,725.0,108,fliC-_pilA_A86C,Solid,2
1,16,2.6195,3.6961265234055,1.07673595500479,1.0090713552569,2811,1998.97258064516,2134.5,592,1333,797.654838709677,890.5,149,fliC-_pilA_A86C,Solid,2
1,17,2.395575,3.18961940777126,1.03820693170169,1.0090713552569,4124,2901.0758377425,3038.0,871,1391,893.991181657848,994.0,189,fliC-_pilA_A86C,Solid,2
1,18,4.001075,5.63810749906154,1.07712227005404,1.02774023955472,907,593.840549102429,617.0,179,1097,720.51742344245,755.0,191,fliC-_pilA_A86C,Solid,2
1,20,2.74625,3.89808657865101,1.06531245501617,1.0090713552569,851,556.055384615385,573.5,172,1269,861.741538461538,902.0,244,fliC-_pilA_A86C,Solid,2
1,21,2.429375,3.38832247611473,1.03738673112571,1.02774023955472,759,521.500869565217,548.0,159,1106,722.28347826087,756.0,235,fliC-_pilA_A86C,Solid,2
1,22,2.201225,3.09578210486802,1.08216184754124,1.07200746266059,1350,907.26103646833,954.0,247,1329,822.786948176583,876.0,216,fliC-_pilA_A86C,Solid,2
1,23,3.485625,5.2584052837025,1.07644874308746,1.0090713552569,4123,2907.99393939394,3006.0,1067,1212,796.855757575758,842.0,198,fliC-_pilA_A86C,Solid,2
1,24,2.12095,2.96116269709676,1.07317740370634,1.04,872,565.503984063745,596.0,156,1213,758.802788844622,812.0,182,fliC-_pilA_A86C,Solid,2
1,25,1.95195,2.76154328932551,1.05038098032057,1.0090713552569,2324,1611.69480519481,1698.5,531,1328,806.701298701299,861.0,180,fliC-_pilA_A86C,Solid,2
1,26,2.20545,3.24112652340551,1.07839726507371,1.0090713552569,1088,682.009578544061,698.0,178,1196,795.534482758621,826.0,187,fliC-_pilA_A86C,Solid,2
2,1,2.7885,3.78003138061579,1.01526387487586,1.05812333874648,1369,875.492424242424,921.5,281,985,641.866666666667,673.0,145,fliC-_pilA_A86C,Solid,2
2,2,2.649075,3.81078210486802,1.10716348965055,1.0090713552569,729,475.85326953748,495.0,159,1001,640.649122807018,665.0,158,fliC-_pilA_A86C,Solid,2
2,3,2.311075,3.33809703885628,1.0879977760256,1.02774023955472,1448,1026.55393053016,1062.0,286,1174,730.314442413163,796.0,134,fliC-_pilA_A86C,Solid,2
2,4,3.485625,4.79033962546202,1.03187071397298,1.06607926534569,1922,1303.40727272727,1351.0,319,956,585.847272727273,628.0,110,fliC-_pilA_A86C,Solid,2
2,5,2.142075,2.97693434175952,1.08069398262411,1.04,1030,661.155818540434,685.0,175,1202,711.145956607495,779.0,121,fliC-_pilA_A86C,Solid,2
2,6,2.826525,3.81725304681101,1.04125178570705,1.06607926534569,1986,1379.39013452915,1457.0,433,1001,611.922272047833,672.0,78,fliC-_pilA_A86C,Solid,2
2,7,2.3491,3.15886868351903,1.05127407503043,1.06607926534569,1128,758.401079136691,804.5,255,1029,647.812949640288,688.0,153,fliC-_pilA_A86C,Solid,2
2,8,2.589925,3.8057354709715,1.05056884070886,0.946414285606467,2068,1467.0603588907,1524.0,488,1151,742.809135399674,759.0,208,fliC-_pilA_A86C,Solid,2
2,9,2.243475,3.15844145739376,1.05533792267999,1.02774023955472,967,636.084745762712,663.0,154,1094,712.009416195857,751.0,164,fliC-_pilA_A86C,Solid,2
2,11,3.16875,4.57118361750729,1.07697770269905,1.01533245786787,1938,1256.28666666667,1300.0,358,1236,799.798666666667,867.0,113,fliC-_pilA_A86C,Solid,2
2,12,2.936375,3.97041197284454,1.05677852022431,1.07594144822105,917,597.070503597122,631.0,190,1279,859.595683453237,905.0,279,fliC-_pilA_A86C,Solid,2
2,13,3.401125,4.8661265234055,1.06806247770139,0.946414285606467,2059,1445.58881987578,1510.0,438,1299,896.845962732919,950.0,277,fliC-_pilA_A86C,Solid,2
2,14,2.47585,3.42688770786299,1.04424306408056,1.0090713552569,2346,1626.27986348123,1720.5,563,1107,740.013651877133,777.0,148,fliC-_pilA_A86C,Solid,2
2,15,3.2448,4.45154328932551,1.03575530834375,1.0090713552569,1048,689.794270833333,718.0,242,1212,763.076822916667,814.5,169,fliC-_pilA_A86C,Solid,2
2,17,2.598375,3.60733585439879,1.02949778550691,1.02774023955472,809,523.666666666667,546.0,154,1103,710.354471544715,743.0,177,fliC-_pilA_A86C,Solid,2
2,18,2.69555,4.01921310205652,1.06976759679033,0.990050503762308,1440,977.747648902821,1019.0,329,1160,718.216300940439,798.5,75,fliC-_pilA_A86C,Solid,2
3,1,3.4476,4.79687245458226,1.0690877712675,1.02774023955472,886,562.757352941176,588.0,203,1030,669.758578431373,692.0,158,fliC-_pilA_A86C,Solid,2
3,2,2.784275,4.14231493398826,1.05038098032057,0.946414285606467,1292,865.749620637329,899.0,279,853,521.846737481032,544.0,113,fliC-_pilA_A86C,Solid,2
3,3,3.6842,5.29918738857052,1.04744514005966,1.04809350727881,959,591.891055045872,601.0,178,1252,774.536697247706,809.5,150,fliC-_pilA_A86C,Solid,2
3,4,3.967275,5.69535487874275,1.06727782306336,1.0090713552569,1020,680.671991480298,707.0,172,1015,662.359957401491,682.0,122,fliC-_pilA_A86C,Solid,2
3,5,3.81095,5.28305040495975,1.0672284666052,1.0090713552569,1472,983.69512195122,1011.5,343,959,598.0,652.5,128,fliC-_pilA_A86C,Solid,2
3,6,2.25615,3.32609034971425,1.06860858323736,1.02774023955472,1064,711.020599250936,733.0,165,1108,715.425093632959,740.5,134,fliC-_pilA_A86C,Solid,2
3,7,2.564575,3.65613698361077,1.06527741009082,1.02774023955472,1058,685.489291598023,718.0,186,1088,720.815485996705,762.0,180,fliC-_pilA_A86C,Solid,2
3,8,3.350425,4.71154328932551,1.03508162352237,0.946414285606467,1285,875.865069356873,914.0,279,997,658.53972257251,693.0,88,fliC-_pilA_A86C,Solid,2
3,10,2.62795,3.72347763108502,1.08237770520937,1.07200746266059,1739,1200.63183279743,1257.0,346,1355,875.604501607717,937.0,210,fliC-_pilA_A86C,Solid,2
3,11,2.7547,3.89155374953077,1.08142009940254,0.990050503762308,1477,1054.70552147239,1107.0,330,1140,765.302147239264,799.5,165,fliC-_pilA_A86C,Solid,2
3,12,4.225,5.98079256507328,1.08129976705404,1.0090713552569,1147,780.594,816.5,255,1308,876.848,936.0,189,fliC-_pilA_A86C,Solid,2
3,13,2.03645,2.86461940777126,1.04664452380418,1.0090713552569,720,469.06846473029,489.0,124,1122,727.547717842324,765.5,196,fliC-_pilA_A86C,Solid,2
3,14,3.50675,5.04848809129029,1.07863274186607,1.0090713552569,2033,1436.99759036145,1512.0,470,1199,731.336144578313,807.0,172,fliC-_pilA_A86C,Solid,2
3,15,3.341975,4.69003138061579,1.05732687927351,1.02774023955472,1385,909.393173198483,957.0,252,1206,813.068268015171,866.0,171,fliC-_pilA_A86C,Solid,2
3,16,3.06735,4.62232539419353,1.10149696058095,0.990050503762308,1255,854.752066115703,881.5,272,1277,851.955922865014,873.5,226,fliC-_pilA_A86C,Solid,2
3,17,2.2477,3.10188770786299,1.06021268144029,1.0090713552569,1418,959.146616541353,985.5,332,1163,755.979323308271,797.0,120,fliC-_pilA_A86C,Solid,2
3,18,2.784275,3.94768027293628,1.04464869156455,0.975,2682,1916.96358118361,2032.0,621,1278,813.45220030349,889.0,140,fliC-_pilA_A86C,Solid,2
4,1,3.899675,5.41305040495975,1.09424466507457,1.0090713552569,704,431.664138678223,442.0,111,1074,659.241603466956,707.0,160,fliC-_pilA_A86C,Solid,2
4,2,3.6504,5.14232539419352,1.0781859596313,1.04,981,643.396990740741,648.5,219,993,589.084490740741,628.5,171,fliC-_pilA_A86C,Solid,2
4,3,2.556125,3.42497428651401,1.12085084051641,1.07594144822105,901,583.907438016529,603.0,169,1130,721.727272727273,775.0,172,fliC-_pilA_A86C,Solid,2
4,4,2.750475,3.54154328932551,1.04470758053847,1.07200746266059,955,650.173579109063,681.0,202,991,629.944700460829,693.0,141,fliC-_pilA_A86C,Solid,2
4,6,3.705325,5.16001046020526,1.06110795871107,1.0090713552569,693,435.384264538198,444.0,119,1181,713.216647662486,769.0,131,fliC-_pilA_A86C,Solid,2
4,7,1.83365,2.58502092041053,1.02107563966554,1.06607926534569,1124,715.804147465438,743.5,244,984,609.744239631336,635.0,141,fliC-_pilA_A86C,Solid,2
4,8,1.905475,2.85489147892623,1.0674505581754,1.0090713552569,1188,777.312638580931,799.0,256,1072,694.270509977827,699.0,225,fliC-_pilA_A86C,Solid,2
4,9,2.9913,4.10651757583951,1.08668076335796,1.07594144822105,890,600.75,636.5,186,1016,673.74011299435,704.0,140,fliC-_pilA_A86C,Solid,2
4,10,2.84765,3.9538477631085,1.01324436148967,0.946414285606467,971,650.891691394659,677.0,143,1169,779.606824925816,798.5,184,fliC-_pilA_A86C,Solid,2
4,11,3.857425,5.40922356226178,1.06376540746232,1.07200746266059,1145,756.95399780942,784.0,240,1337,855.186199342826,886.0,173,fliC-_pilA_A86C,Solid,2
4,12,3.0251,4.04577164466275,1.0191394045598,0.946414285606467,2975,2099.89664804469,2234.5,657,1090,722.860335195531,759.0,215,fliC-_pilA_A86C,Solid,2
