Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.105375,4.31039105243401,1.0442132625504101,0.975,5091,3680.79183673469,3859.0,1133,1145,740.8979591836729,820.0,141,fliC-_pilA_T8V,Solid,1
1,3,4.14895,6.04961940777125,1.02269723918568,0.946414285606467,8256,6204.0967413442,6455.5,2285,1541,1014.36965376782,1047.0,254,fliC-_pilA_T8V,Solid,1
1,4,3.1941,4.61998474671927,1.07915148133137,1.02774023955472,3636,2578.6904761904802,2693.5,933,1400,903.585978835979,994.0,150,fliC-_pilA_T8V,Solid,1
1,5,3.189875,4.88460415449053,1.06605968370131,0.946414285606467,5735,4369.07814569536,4612.0,1854,1371,962.0490066225169,1034.0,184,fliC-_pilA_T8V,Solid,1
1,6,2.758925,3.6938477631085003,1.0141467703476401,0.946414285606467,9194,6707.71056661562,7028.0,2024,1297,871.670750382848,957.0,197,fliC-_pilA_T8V,Solid,1
1,7,4.16585,6.17849855149555,1.0811347969511,0.990050503762308,9684,7259.48681541582,7628.5,2415,1240,840.289046653144,896.0,187,fliC-_pilA_T8V,Solid,1
1,8,1.7238,2.8042388155425098,1.0715443046841,0.946414285606467,2953,2401.5735294117603,2445.5,1428,1389,1001.6838235294099,1071.0,304,fliC-_pilA_T8V,Solid,1
1,9,1.947725,2.8780504049597595,1.08773670772284,1.0090713552569,4676,3251.0281995661603,3387.0,1054,1360,900.316702819957,949.0,182,fliC-_pilA_T8V,Solid,1
1,10,3.206775,4.35265935252575,1.04977802682724,1.0090713552569,4857,3542.94202898551,3695.0,1147,1581,986.089591567852,1047.0,269,fliC-_pilA_T8V,Solid,1
1,11,2.64485,4.2342388155425095,1.0588368576173701,0.867208164168212,5407,4143.54153354633,4381.0,1508,1390,993.214057507987,1049.5,168,fliC-_pilA_T8V,Solid,1
1,12,3.4476,4.85078210486802,1.06828836667959,1.0090713552569,2387,1635.54656862745,1722.5,542,1382,955.867647058824,989.0,229,fliC-_pilA_T8V,Solid,1
1,13,3.55745,5.04344145739376,1.0880983425856199,1.0090713552569,2716,1946.88004750594,2040.0,767,1227,775.699524940618,853.5,123,fliC-_pilA_T8V,Solid,1
1,14,3.4814,5.04578210486802,1.0665964873316,0.990050503762308,3186,2292.53033980583,2415.0,771,1241,823.078883495146,895.0,165,fliC-_pilA_T8V,Solid,1
1,15,3.28705,4.548086578651009,1.0585816085925999,1.0090713552569,2490,1751.14267352185,1830.5,590,1292,817.5642673521851,879.5,166,fliC-_pilA_T8V,Solid,1
1,16,2.657525,3.73605417602299,1.0569979532382099,1.07594144822105,3638,2583.1192368839397,2691.0,849,1152,779.531001589825,826.0,150,fliC-_pilA_T8V,Solid,1
1,17,3.5828,5.25378587593125,1.07731668899668,1.0090713552569,2515,1840.34669811321,1929.0,655,1301,831.597877358491,912.5,156,fliC-_pilA_T8V,Solid,1
