Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.215225,4.41808657865101,1.05984293919473,1.0090713552569,754,496.544021024967,514.0,158,1316,870.647831800263,921.0,203,fliC-pilA-,Solid,1
1,3,2.589925,3.79962986797652,1.08084894017939,0.990050503762308,663,433.890701468189,457.0,92,1529,1014.19575856444,1050.0,210,fliC-pilA-,Solid,1
1,4,2.22235,3.0461265234055,1.07824785424096,1.07594144822105,704,456.152091254753,472.0,130,1395,917.787072243346,959.5,228,fliC-pilA-,Solid,1
1,5,3.595475,5.06617315730203,1.08084894017939,1.0174109297624,849,552.826086956522,569.0,144,1462,926.789659224442,952.0,208,fliC-pilA-,Solid,1
1,6,2.995525,4.25271644662753,1.07429771853491,1.02774023955472,679,439.373765867419,454.0,106,1120,752.320169252468,797.0,176,fliC-pilA-,Solid,1
1,7,2.3998,3.3934309971885,1.0705815158447,1.0090713552569,578,353.908450704225,363.0,84,1364,874.762323943662,905.5,213,fliC-pilA-,Solid,1
1,8,2.7716,3.86690862827352,1.06420560684308,1.02774023955472,1104,740.791158536585,771.0,177,1262,858.282012195122,896.0,274,fliC-pilA-,Solid,1
1,9,3.274375,4.80297805757724,1.07281516944761,0.990050503762308,824,527.498064516129,548.0,147,1477,1004.84387096774,1061.0,192,fliC-pilA-,Solid,1
1,10,2.2477,3.07539105243401,1.05796668471339,1.07200746266059,554,347.701127819549,355.5,80,1293,861.618421052632,882.0,275,fliC-pilA-,Solid,1
1,11,2.1463,2.99881158941724,1.05481995931868,1.0090713552569,643,411.049212598425,434.5,141,1406,938.194881889764,968.5,259,fliC-pilA-,Solid,1
1,12,2.71245,3.94540151263927,1.08234951086038,1.0090713552569,660,424.018691588785,438.5,132,1351,888.953271028037,920.0,208,fliC-pilA-,Solid,1
1,13,3.5152,5.07270598642227,1.06896314025272,0.975,659,425.574519230769,433.5,134,1432,939.84375,973.0,231,fliC-pilA-,Solid,1
1,14,2.0111,2.84459369428526,1.05155729967269,1.07200746266059,747,491.165966386555,514.5,129,1306,852.094537815126,894.5,178,fliC-pilA-,Solid,1
1,15,2.15475,2.88692388155425,1.00915334979845,0.975,714,454.729411764706,472.5,133,1424,920.454901960784,956.0,221,fliC-pilA-,Solid,1
1,16,1.989975,2.75039105243401,1.06283649025031,1.07200746266059,1090,691.951167728238,715.0,167,1384,893.636942675159,914.0,216,fliC-pilA-,Solid,1
1,17,3.40535,4.80069929728024,1.07219317588591,1.0090713552569,931,615.165012406948,633.5,191,1328,888.115384615385,928.0,187,fliC-pilA-,Solid,1
1,18,2.64485,3.57308657865101,1.06905354398685,1.0090713552569,1218,797.183706070287,827.5,180,1442,980.809904153355,1019.5,238,fliC-pilA-,Solid,1
1,19,2.843425,4.08797805757724,1.07970041815729,1.04809350727881,785,519.5720653789,547.0,134,1496,995.973254086181,1029.0,287,fliC-pilA-,Solid,1
1,20,3.9208,5.36418738857052,1.04631025872575,1.06607926534569,622,394.744612068966,403.0,91,1452,944.25,992.0,201,fliC-pilA-,Solid,1
1,21,3.570125,4.97886868351903,1.08228539915035,1.0090713552569,834,533.494674556213,555.0,176,1233,820.884023668639,867.0,178,fliC-pilA-,Solid,1
1,22,2.2984,2.88692388155425,1.00915334979845,1.07200746266059,806,518.856617647059,533.5,136,1292,825.3125,860.5,221,fliC-pilA-,Solid,1
1,23,2.184325,3.032695526217,1.0327470226379,0.975,606,369.725338491296,376.0,98,1279,869.164410058027,914.0,166,fliC-pilA-,Solid,1
1,24,3.730675,5.12846717087976,1.03377555456236,0.975,743,509.066817667044,528.0,160,1443,992.619479048698,1027.0,283,fliC-pilA-,Solid,1
1,25,2.581475,3.77689816806826,1.07900366550727,1.0090713552569,536,343.849427168576,361.0,109,1588,1039.26677577741,1088.0,234,fliC-pilA-,Solid,1
1,26,2.708225,3.72958323408,1.06001774866078,1.0090713552569,779,508.152886115445,524.0,120,1326,900.276131045242,926.0,207,fliC-pilA-,Solid,1
1,27,2.961725,3.85539105243401,1.04852813742386,1.07200746266059,1365,908.815977175464,957.0,263,1393,914.176890156919,966.0,253,fliC-pilA-,Solid,1
