Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.66175,3.3807925650732797,1.0527403721667,1.1183022847155402,704,447.439682539683,468.5,99,1300,870.190476190476,900.0,221,pilA-,Liquid,3
1,4,1.989975,2.5688220496225096,1.05547185479951,1.1627553482998898,570,386.45859872611504,409.0,107,1469,944.539278131635,976.0,276,pilA-,Liquid,3
1,5,3.2786,4.17656420973604,1.06721470442303,1.1351761977772399,744,487.286082474227,500.5,134,1501,1041.10309278351,1090.5,359,pilA-,Liquid,3
1,6,5.3404,6.95387914372429,1.17648741514696,1.07594144822105,636,428.654272151899,442.5,110,1355,924.4454113924049,961.0,214,pilA-,Liquid,3
1,7,4.13205,5.126553749530769,1.07308683923566,1.105,566,348.031697341513,361.0,81,1315,871.222903885481,922.0,183,pilA-,Liquid,3
1,8,3.654625,4.87308657865101,1.05560935858248,1.07200746266059,530,334.239306358382,345.0,88,1346,875.893641618497,911.0,203,pilA-,Liquid,3
1,9,2.76315,3.7356269498977204,1.06028897965941,1.07594144822105,374,240.55504587156003,248.0,86,988,674.9556574923549,729.5,150,pilA-,Liquid,3
1,10,2.71245,3.53224258660574,1.07466177517371,1.1351761977772399,776,515.861370716511,532.5,177,1426,940.5249221183801,1000.0,243,pilA-,Liquid,3
1,11,5.6784,7.668451917599031,1.1958342295228799,1.07594144822105,581,352.493303571429,360.0,97,1266,855.6860119047619,909.0,130,pilA-,Liquid,3
1,12,2.3491,3.12732539419353,1.1152867127883401,1.1627553482998898,447,273.528776978417,278.0,78,1168,789.129496402878,810.5,192,pilA-,Liquid,3
1,13,4.161625,5.21656420973604,1.2862606951285,1.07594144822105,445,265.820304568528,271.0,72,1408,913.3918781725889,956.0,234,pilA-,Liquid,3
1,14,2.32375,2.8107716446627498,1.0269701942148,1.07200746266059,600,390.198181818182,403.5,108,1514,1004.89454545455,1092.0,214,pilA-,Liquid,3
1,17,2.649075,3.4722892205022697,1.07880339006927,1.1518029345335101,615,396.44657097288695,407.0,135,1386,898.795853269537,968.0,165,pilA-,Liquid,3
2,1,4.347525,5.28846237780429,1.02668269186256,1.1183022847155402,518,333.712342079689,346.0,86,1367,852.236151603499,868.0,302,pilA-,Liquid,3
2,2,4.246125,5.57878587593125,1.1160552017169598,1.07200746266059,605,364.71542288557197,380.0,86,1349,916.262686567164,943.0,333,pilA-,Liquid,3
2,3,2.40825,2.9634414573937593,1.05009192362498,1.1572920979597199,583,374.16140350877197,390.5,89,1527,983.2859649122811,1009.5,370,pilA-,Liquid,3
2,4,3.97995,4.95385822331377,1.07045661654549,1.1627553482998898,613,389.607218683652,413.0,106,1386,954.505307855626,984.5,320,pilA-,Liquid,3
