Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.344875,3.16263363903975,1.03499771852921,1.05812333874648,512,325.527927927928,337.0,84,1352,868.513513513514,932.0,166,pilA_R36E,Liquid,3
1,2,3.341975,4.70075639138202,1.09966735498041,1.07594144822105,754,475.92414664981,493.0,133,1327,849.369152970923,887.0,167,pilA_R36E,Liquid,3
1,3,2.488525,3.25461940777126,1.03753345413541,1.07200746266059,654,405.241086587436,423.0,113,1038,648.840407470289,718.0,132,pilA_R36E,Liquid,3
1,4,3.7687,4.77654328932551,1.03336532519894,1.105,578,364.610986547085,385.5,75,1607,1049.94843049327,1116.5,257,pilA_R36E,Liquid,3
1,5,1.947725,2.84188770786299,1.05116406410913,1.0090713552569,378,222.891540130152,231.0,35,926,556.605206073753,591.0,106,pilA_R36E,Liquid,3
1,6,5.746,7.47424448267231,1.04651713253068,1.105,1001,674.233088235294,700.5,255,1752,1211.88382352941,1321.5,257,pilA_R36E,Liquid,3
1,7,2.733575,3.48848809129029,1.0396215695199,1.11830228471554,539,330.955177743431,347.0,86,1394,904.143740340031,969.0,150,pilA_R36E,Liquid,3
1,8,4.06445,5.336836280891,1.05254393272951,1.06607926534569,801,536.945945945946,571.5,115,1571,1058.19542619543,1124.5,226,pilA_R36E,Liquid,3
1,9,4.2419,5.69848809129028,1.08200414169615,1.07594144822105,824,543.369521912351,567.0,159,1790,1186.71115537849,1278.0,270,pilA_R36E,Liquid,3
1,10,1.863225,2.42496382630874,1.05059266563825,1.0174109297624,807,528.471655328798,558.0,105,1902,1230.49659863946,1350.0,225,pilA_R36E,Liquid,3
1,11,2.927925,3.80154328932551,1.04172594140683,1.04,626,406.943722943723,424.0,112,1748,1215.1341991342,1284.0,225,pilA_R36E,Liquid,3
1,12,3.037775,4.12143476825173,1.07299563763917,1.07200746266059,712,461.011126564673,478.0,155,1432,992.677329624478,1044.0,194,pilA_R36E,Liquid,3
1,13,2.59415,3.50993811282275,1.07462121772126,1.07594144822105,716,462.42671009772,482.5,98,1785,1185.43159609121,1285.0,152,pilA_R36E,Liquid,3
