Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.0927,4.37994857302801,1.05857330134595,1.06607926534569,1961,1348.49726775956,1374.0,366,1361,825.598360655738,872.5,134,pilA_R36E,Solid,2
1,2,2.437825,3.37155374953077,1.0822715281007,1.07200746266059,999,621.587521663778,658.0,167,1518,968.036395147314,1047.0,197,pilA_R36E,Solid,2
1,3,3.4814,4.65195526217004,1.0523647784842,1.07200746266059,715,429.265776699029,443.0,89,1347,840.162621359223,930.5,156,pilA_R36E,Solid,2
1,4,3.30395,4.64924927574778,1.08163252156525,1.0090713552569,4051,2777.30434782609,2871.0,725,1631,1102.10485933504,1135.0,160,pilA_R36E,Solid,2
1,5,1.787175,2.40961940777126,1.04852813742386,1.07200746266059,2621,1765.16548463357,1791.0,500,1466,917.678486997636,978.0,171,pilA_R36E,Solid,2
1,6,3.189875,4.52806086516502,1.07363794306541,1.02774023955472,3199,2123.46092715232,2271.0,681,1526,873.345695364238,956.0,156,pilA_R36E,Solid,2
1,7,3.443375,4.73846717087976,1.03625298013505,0.946414285606467,2844,2089.15582822086,2201.0,645,1654,1190.6282208589,1266.0,204,pilA_R36E,Solid,2
1,8,3.7518,5.63619407771255,1.0565049675259,1.0090713552569,6401,4457.75,4638.0,1384,1463,924.661036036036,995.5,202,pilA_R36E,Solid,2
1,9,2.6871,3.62502092041053,1.07308683923566,1.07594144822105,2285,1552.4748427673,1624.5,414,1573,1001.95597484277,1101.5,221,pilA_R36E,Solid,2
1,10,2.344875,3.09720641291449,1.05291137370495,1.11830228471554,794,496.421621621622,512.0,104,1438,894.493693693694,954.0,130,pilA_R36E,Solid,2
1,11,2.08715,2.86185153417174,1.07100226902129,1.07200746266059,632,399.797570850202,403.0,110,1410,899.465587044534,981.5,166,pilA_R36E,Solid,2
1,12,2.52655,3.43797805757724,1.04110789921692,1.07594144822105,4147,2828.42976588629,2929.5,841,1505,960.775919732441,1034.5,163,pilA_R36E,Solid,2
1,13,3.4476,4.72078210486802,1.06943883159658,1.07200746266059,1977,1299.32475490196,1354.0,383,1808,1115.30759803922,1231.0,230,pilA_R36E,Solid,2
1,14,3.30395,4.44494857302801,1.05758017290323,1.05812333874648,3888,2766.34654731458,2891.0,741,1708,1094.19437340153,1201.0,160,pilA_R36E,Solid,2
1,15,3.72645,5.15384297003304,1.04792470720693,1.05812333874648,2263,1510.91723356009,1578.5,333,1638,1078.28344671202,1141.5,169,pilA_R36E,Solid,2
1,16,2.074475,2.77688770786299,1.05204576773662,1.0090713552569,5534,3664.92260692464,3891.0,1113,1253,769.835030549898,847.0,157,pilA_R36E,Solid,2
1,17,2.454725,3.28844145739377,1.07181335670837,1.105,1628,1085.42168674699,1113.0,265,1564,937.096385542169,1003.0,148,pilA_R36E,Solid,2
1,18,2.6195,3.25881158941724,1.06671410455556,1.07200746266059,1387,924.324193548387,972.0,251,1735,1061.39838709677,1166.5,203,pilA_R36E,Solid,2
