Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.105375,3.89346717087976,1.04684847075749,1.07200746266059,799,486.491156462585,505.0,123,1493,905.127891156463,958.0,167,pilA_R36N,Liquid,1
1,2,3.156075,4.032278760297,1.07004720099638,1.07200746266059,1139,696.709504685408,729.0,194,1663,968.270414993307,1042.0,246,pilA_R36N,Liquid,1
1,3,2.573025,3.252278760297,1.07633390958664,1.13517619777724,718,419.988505747126,437.0,114,1507,897.31855500821,930.0,182,pilA_R36N,Liquid,1
1,4,2.336425,2.94077164466275,1.02586010971339,1.07200746266059,646,386.173598553345,400.0,84,1650,956.444846292948,990.0,249,pilA_R36N,Liquid,1
1,5,2.44205,3.18117315730203,1.09517852721098,1.16275534829989,1471,963.524221453287,983.0,300,1768,1145.6401384083,1199.5,264,pilA_R36N,Liquid,1
1,6,3.28705,4.29461940777126,1.0322344370699,1.07200746266059,874,563.426735218509,577.0,150,1594,1070.21593830334,1102.0,261,pilA_R36N,Liquid,1
1,7,3.696875,4.89809703885628,1.082039609461,1.13517619777724,940,559.547428571429,588.0,138,1749,1050.66971428571,1120.0,230,pilA_R36N,Liquid,1
1,8,3.071575,4.0861265234055,1.07415799559109,1.105,1222,769.734525447043,791.0,226,1610,976.906464924347,1039.0,242,pilA_R36N,Liquid,1
1,9,3.8701,4.97616269709676,1.05108665109326,1.07200746266059,1180,745.053493449782,766.0,177,1698,963.89192139738,1014.5,242,pilA_R36N,Liquid,1
1,10,3.198325,4.11575639138202,1.05532215163642,1.13517619777724,1050,684.363276089828,710.0,163,1766,1154.82959048877,1229.0,202,pilA_R36N,Liquid,1
1,11,2.944825,3.85113698361077,1.06809986908465,1.11830228471554,1442,972.091822094692,1003.0,319,1757,1088.30272596844,1156.0,235,pilA_R36N,Liquid,1
1,12,2.2815,2.79961940777126,1.04278824158896,1.13517619777724,1007,636.303703703704,648.0,181,1681,1070.38703703704,1112.5,200,pilA_R36N,Liquid,1
1,13,3.4983,4.38654328932551,1.03774397452871,1.13517619777724,861,512.297101449275,535.5,136,1748,1025.4190821256,1131.5,191,pilA_R36N,Liquid,1
1,14,3.967275,4.91116269709676,1.05162757404923,1.13517619777724,1216,777.11821086262,794.0,196,1962,1131.91693290735,1227.0,249,pilA_R36N,Liquid,1
1,15,2.76315,3.40039105243401,1.05367589863188,1.13517619777724,1139,742.204892966361,773.5,218,1762,1098.15290519878,1191.5,245,pilA_R36N,Liquid,1
1,16,2.57725,3.29688770786299,1.04563433390787,1.07200746266059,1173,698.555737704918,734.0,173,1787,1086.4262295082,1175.5,241,pilA_R36N,Liquid,1
1,17,3.38,4.446861994377,1.1002955844331,1.13703561949483,1800,1157.11,1208.0,295,1782,1175.59,1208.5,250,pilA_R36N,Liquid,1
1,18,4.254575,5.56848809129029,1.08164885480721,1.105,1328,912.965243296922,941.0,243,1671,1140.80337636544,1207.0,163,pilA_R36N,Liquid,1
1,19,4.3433,5.56116269709676,1.05424459019011,1.07200746266059,1379,871.194552529183,912.0,201,2076,1276.35505836576,1359.0,241,pilA_R36N,Liquid,1
1,20,3.705325,4.97652803604478,1.07408462763717,1.105,702,442.315849486887,457.0,91,1710,1099.165336374,1156.0,154,pilA_R36N,Liquid,1
1,21,3.7856,4.81498474671927,1.07538370302675,1.16275534829989,921,588.75,605.5,171,1822,1238.99776785714,1327.0,219,pilA_R36N,Liquid,1
1,22,2.936375,3.73882204962251,1.07897008007299,1.16275534829989,561,350.85035971223,358.0,97,1526,900.148201438849,988.0,183,pilA_R36N,Liquid,1
1,23,2.7547,3.29348809129029,1.02200213139557,1.16275534829989,1215,801.590490797546,843.5,194,1916,1283.25153374233,1357.0,223,pilA_R36N,Liquid,1
1,24,3.99685,5.1080142312685,1.07569745350336,1.13517619777724,1048,636.64799154334,660.5,189,1853,1114.01691331924,1239.5,219,pilA_R36N,Liquid,1
1,25,2.96595,3.68959369428526,1.0995540437476,1.19854077944808,739,485.628205128205,502.5,113,1713,1071.38176638177,1176.0,183,pilA_R36N,Liquid,1
1,26,2.851875,3.55731493398826,1.0567678010646,1.13517619777724,1169,791.44,816.0,236,1766,1204.37333333333,1256.0,196,pilA_R36N,Liquid,1
1,27,3.50675,4.879557520594,1.07583878746635,1.07594144822105,848,537.636144578313,555.0,137,1735,1127.58072289157,1215.0,225,pilA_R36N,Liquid,1
1,28,2.28995,2.89616269709676,1.07403680422226,1.13517619777724,695,438.776752767528,454.5,143,1984,1251.56826568266,1382.0,254,pilA_R36N,Liquid,1
1,29,5.082675,6.18269073314154,1.06173122193591,1.15729209795972,1686,1198.11886949293,1246.0,408,2241,1537.67996674979,1642.0,308,pilA_R36N,Liquid,1
1,30,3.029325,3.90270598642227,1.07872755187005,1.07200746266059,789,525.172942817294,554.0,156,1607,1019.44909344491,1134.0,190,pilA_R36N,Liquid,1
1,31,2.4336,3.38270598642227,1.08185540218042,1.0090713552569,883,594.232638888889,616.0,151,1989,1354.71354166667,1436.0,227,pilA_R36N,Liquid,1
1,32,3.1265,4.20725304681101,1.05600185096618,1.07594144822105,1349,949.785135135135,994.0,278,2226,1536.02702702703,1623.5,363,pilA_R36N,Liquid,1
1,33,3.544775,4.6061265234055,1.07013287923391,1.07594144822105,817,559.568533969011,582.0,151,1672,1151.23957091776,1210.0,161,pilA_R36N,Liquid,1
1,34,2.970175,3.64498474671927,1.05281651943702,1.15729209795972,1188,797.27880512091,831.0,257,1902,1215.89473684211,1331.0,184,pilA_R36N,Liquid,1
1,35,5.479825,6.73073547097149,1.03420581446167,1.07200746266059,1118,708.37933693138,739.0,175,1694,1099.31919814958,1174.0,163,pilA_R36N,Liquid,1
1,36,4.043325,5.32149186235352,1.06747456466567,1.07594144822105,1035,687.274817136886,707.0,259,1900,1273.69801462905,1364.0,202,pilA_R36N,Liquid,1
1,37,3.080025,4.15155374953077,1.08006400385133,1.07594144822105,916,633.086419753086,663.0,204,1741,1196.27297668038,1280.0,300,pilA_R36N,Liquid,1
1,38,3.42225,4.24539105243401,1.05289923933089,1.07200746266059,1327,897.603703703704,943.0,232,1861,1200.24444444444,1306.5,228,pilA_R36N,Liquid,1
1,39,4.65595,6.03834339652525,1.03443275744286,1.06607926534569,1055,696.490925589837,720.0,205,2043,1401.24954627949,1518.5,267,pilA_R36N,Liquid,1
1,40,2.84765,3.73420264185125,1.07480432418195,1.07200746266059,751,493.783382789318,524.0,129,1519,1051.09198813056,1126.5,236,pilA_R36N,Liquid,1
1,41,3.1434,3.92075639138202,1.04356201970554,1.16275534829989,833,543.45564516129,566.0,168,1559,981.360215053763,1080.5,170,pilA_R36N,Liquid,1
1,42,3.172975,3.87997428651401,1.0782022936487,1.16275534829989,799,513.150466045273,532.0,162,1593,1007.70039946738,1116.0,209,pilA_R36N,Liquid,1
1,43,4.330625,5.41539105243401,1.04012201529935,1.07200746266059,1096,748.187317073171,780.0,295,1702,1085.44975609756,1210.0,214,pilA_R36N,Liquid,1
1,44,2.8899,3.77541197284454,1.04760861341486,1.105,579,383.817251461988,402.5,136,1586,1042.31286549708,1120.5,199,pilA_R36N,Liquid,1
1,45,2.902575,3.6288477631085,1.01439186061787,1.07200746266059,1058,678.898107714702,709.0,145,1628,1126.83406113537,1188.0,286,pilA_R36N,Liquid,1
1,46,3.527875,4.52116269709676,1.05998511413923,1.07200746266059,958,635.924550898204,660.0,174,1826,1171.3497005988,1252.0,274,pilA_R36N,Liquid,1
1,48,3.59125,5.05502092041053,1.08211754286173,1.02774023955472,624,426.363529411765,439.0,147,1631,1138.00470588235,1219.0,173,pilA_R36N,Liquid,1
1,49,4.52075,5.98689816806826,1.06668346970426,1.07200746266059,659,460.928971962617,478.0,166,1819,1219.49626168224,1276.0,241,pilA_R36N,Liquid,1
1,50,2.860325,3.68731493398826,1.05523200377885,1.07200746266059,686,458.61447562777,472.0,138,2120,1460.59970457903,1551.0,230,pilA_R36N,Liquid,1
