Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,3.891225,5.10233585439879,1.11447690181898,1.1351761977772399,2036,1478.03583061889,1518.0,526,966,582.6568946796959,586.0,172,pilA_R36N,Solid,1
1,3,3.4983,4.71233585439879,1.0701972979663898,1.105,3068,2172.42995169082,2263.5,567,1477,967.833333333333,1028.0,137,pilA_R36N,Solid,1
1,4,4.955925,6.772737367038059,1.06740004004445,1.0660792653456899,2830,2058.72890025575,2117.0,550,1368,874.3179880647909,913.0,148,pilA_R36N,Solid,1
1,5,3.042,4.05309703885628,1.1048897043491102,1.07594144822105,1065,720.238888888889,753.5,228,1464,992.104166666667,1046.5,217,pilA_R36N,Solid,1
1,6,3.096925,4.164557520594,1.06724251378959,1.105,3715,2570.33560709413,2629.0,658,1523,939.99727148704,1029.0,170,pilA_R36N,Solid,1
1,7,2.6195,3.74386868351903,1.08656094497414,1.02774023955472,1836,1269.54677419355,1320.0,359,985,630.137096774194,652.5,129,pilA_R36N,Solid,1
1,8,3.57435,5.02618361750729,1.07594440295752,1.1351761977772399,836,589.563829787234,607.0,239,866,565.521276595745,581.0,217,pilA_R36N,Solid,1
1,9,2.6364,3.5107925650732796,1.0757352265679598,1.1183022847155402,830,564.237179487179,581.0,241,953,688.0945512820509,731.0,254,pilA_R36N,Solid,1
1,10,3.570125,4.83537579915328,1.06995017191629,1.07594144822105,2530,1841.28047337278,1917.0,560,1386,906.8899408284019,960.0,162,pilA_R36N,Solid,1
1,11,2.54345,3.4514709419429903,1.07496902810991,1.07594144822105,2508,1709.1279069767402,1789.0,452,1421,917.709302325581,1002.5,164,pilA_R36N,Solid,1
1,12,3.21945,4.48302469147376,1.06868637223488,1.01533245786787,7982,5752.09317585302,5954.5,1592,1373,887.950131233596,969.5,150,pilA_R36N,Solid,1
1,13,2.7885,3.76069929728024,1.1107858926349898,1.1627553482998898,550,346.039393939394,362.5,129,882,560.609090909091,599.5,126,pilA_R36N,Solid,1
1,14,3.5152,4.4445832340800004,1.05799946820696,1.1351761977772399,995,602.417067307692,620.0,189,1383,815.9639423076919,884.0,171,pilA_R36N,Solid,1
1,15,3.595475,4.758858223313769,1.0663373485738499,1.07200746266059,2123,1381.67802585194,1439.0,444,1239,778.5111633372501,819.0,162,pilA_R36N,Solid,1
1,16,2.84765,4.5949742865140095,1.0743005067678701,1.0090713552569,1987,1475.50890207715,1523.5,578,1309,896.2151335311571,939.0,248,pilA_R36N,Solid,1
1,17,3.2617,4.236944801964779,1.07966912753363,1.07594144822105,8561,6607.418393782379,6870.5,2694,1262,866.6463730569949,901.0,313,pilA_R36N,Solid,1
1,18,2.657525,3.71885822331377,1.07624261981353,1.0174109297624,679,469.982511923688,492.0,114,907,612.400635930048,652.0,117,pilA_R36N,Solid,1
1,19,3.0927,4.05962986797652,1.07923372629621,1.1351761977772399,2425,1700.0095628415302,1782.5,508,1057,634.790983606557,641.5,172,pilA_R36N,Solid,1
1,20,2.378675,3.8042492757477797,1.0812392429733,1.0174109297624,4377,3173.34991119005,3379.0,1042,1225,841.4298401420959,919.0,163,pilA_R36N,Solid,1
1,21,4.955925,6.482680272936269,1.12918761738252,1.105,1048,731.8525149190109,763.0,221,1231,819.449275362319,862.0,163,pilA_R36N,Solid,1
1,22,4.094025,5.48962986797652,1.1173715129405801,1.07200746266059,1234,866.178534571723,888.0,316,900,605.797729618163,623.0,186,pilA_R36N,Solid,1
1,23,2.733575,3.57493811282275,1.08957080916254,1.1627553482998898,2731,1975.57959814529,2060.0,708,1028,666.187017001546,698.0,197,pilA_R36N,Solid,1
1,24,3.27015,4.62694480196478,1.08998731594509,1.1351761977772399,2179,1454.56976744186,1469.0,377,1184,743.983204134367,771.5,188,pilA_R36N,Solid,1
1,25,4.947475,6.11769073314154,1.12517020871127,1.67745342707331,2076,1447.85909479078,1506.0,304,1747,1141.2596071733599,1193.0,171,pilA_R36N,Solid,1
1,26,2.632175,3.42306086516502,1.0480224200589499,1.07594144822105,2435,1758.4333868378799,1836.0,523,1478,1003.5810593900501,1065.0,175,pilA_R36N,Solid,1
1,27,5.1038,7.1957668515872895,1.07601492573207,1.1351761977772399,4664,3299.57036423841,3362.0,1192,1397,874.8816225165559,871.5,260,pilA_R36N,Solid,1
1,28,3.384225,4.359984746719269,1.0796375001160299,1.10691011378522,1334,878.3308364544321,911.0,272,1324,809.0299625468159,860.0,174,pilA_R36N,Solid,1
1,29,3.781375,5.03080302527855,1.06981109491964,1.105,2426,1657.41229050279,1734.0,508,1537,933.0726256983239,997.0,182,pilA_R36N,Solid,1
1,30,3.27015,4.35493811282275,1.0764375097841998,1.1351761977772399,897,589.118863049096,607.5,168,1538,941.6627906976739,1005.0,188,pilA_R36N,Solid,1
1,31,4.888325,6.769176928365259,1.11490994939038,1.07594144822105,2571,1710.28349178911,1789.0,493,1707,1000.0708729472801,1071.0,171,pilA_R36N,Solid,1
1,32,2.674425,3.5145575205940003,1.06040221178421,1.105,1713,1153.92417061611,1179.0,371,1315,804.0,849.0,166,pilA_R36N,Solid,1
