Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.23635,4.78152803604478,1.06089186794357,1.02774023955472,707,466.763707571802,492.0,163,1210,784.634464751958,870.0,173,pilA_T8F,Liquid,2
1,2,1.770275,2.8288220496225094,1.06623951457185,0.990050503762308,423,269.773269689737,281.0,105,1081,669.756563245823,730.0,79,pilA_T8F,Liquid,2
1,3,2.158975,3.0642388155425095,1.06783298858801,1.0090713552569,1684,1187.7866927593,1239.0,432,1190,746.1076320939329,805.0,157,pilA_T8F,Liquid,2
1,4,2.30685,3.2564709419429905,1.07474142184629,1.0090713552569,368,234.00183150183202,242.0,74,1360,897.201465201465,970.5,166,pilA_T8F,Liquid,2
1,5,2.446275,3.63951088669748,1.07007186203162,1.0090713552569,741,461.944732297064,474.0,166,1271,849.438687392055,883.0,164,pilA_T8F,Liquid,2
1,6,1.90125,3.03269552621701,1.03579647914499,0.867208164168212,641,405.9,421.5,165,1375,906.575555555556,953.0,151,pilA_T8F,Liquid,2
1,7,2.64485,3.81731493398826,1.06339524747038,0.946414285606467,900,639.894568690096,674.0,248,1276,879.833865814697,945.5,135,pilA_T8F,Liquid,2
1,8,2.623725,3.6065432893255096,1.04024744406232,0.946414285606467,707,462.682769726248,486.0,130,1595,1023.88244766506,1100.0,233,pilA_T8F,Liquid,2
1,9,3.7011,5.46541197284454,1.08047970539618,1.02774023955472,1002,680.900684931507,707.5,238,1229,812.956621004566,871.5,217,pilA_T8F,Liquid,2
1,10,3.35465,4.768097038856281,1.08227152810069,1.0174109297624,482,321.316120906801,331.0,102,1251,831.3123425692701,901.0,183,pilA_T8F,Liquid,2
1,11,1.694225,2.4969238815542503,1.01055050385483,0.91,930,633.391521197007,653.0,237,1363,885.2643391521199,974.0,204,pilA_T8F,Liquid,2
1,12,2.028,2.9899381128227502,1.06629078492505,1.07594144822105,523,336.20625,347.5,107,1503,953.510416666667,1038.5,201,pilA_T8F,Liquid,2
1,13,3.3969,4.9473253941935305,1.1467907006613898,1.0090713552569,728,466.111940298507,480.0,169,1419,909.4900497512441,974.0,200,pilA_T8F,Liquid,2
1,14,3.096925,4.254140754674,1.0274068976567499,1.02774023955472,1284,867.2237380627561,914.0,194,1464,965.0559345156889,1016.0,210,pilA_T8F,Liquid,2
1,15,2.547675,3.37808657865101,1.0713872059174399,1.07200746266059,418,254.892205638474,267.0,60,1593,1059.98673300166,1103.0,257,pilA_T8F,Liquid,2
