Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.6533,3.52656420973604,1.05096882167725,1.105,4788,3511.15605095541,3625.0,1550,1151,751.6146496815289,791.0,145,pilA_T8I,Solid,3
1,2,2.251925,3.10231493398826,1.0627217711438801,1.0090713552569,4162,2980.9512195121997,3090.0,1256,1464,1015.2570356472801,1045.0,306,pilA_T8I,Solid,3
1,3,2.471625,3.2676231788344903,1.07373803283463,1.1351761977772399,5322,3837.9641025641,3926.0,1377,1677,1147.0905982906,1187.0,539,pilA_T8I,Solid,3
1,4,3.916575,5.18693434175951,1.07679276693591,1.0090713552569,2467,1750.28478964401,1810.0,716,1205,782.0981661272921,839.0,155,pilA_T8I,Solid,3
1,5,2.006875,2.78421310205652,1.00904776058394,1.01533245786787,5261,3729.0126315789503,3845.0,1661,1287,855.928421052632,891.0,230,pilA_T8I,Solid,3
1,6,3.2448,4.559604154490531,1.0760174613837699,1.07594144822105,2563,1849.96875,1944.5,671,1715,1171.13411458333,1234.0,361,pilA_T8I,Solid,3
1,7,2.175875,3.0553653389480195,1.04872065698367,1.0660792653456899,2571,1765.80776699029,1824.0,665,1210,813.330097087379,837.0,195,pilA_T8I,Solid,3
1,8,3.718,4.93155374953077,1.07457772286381,1.07200746266059,6523,4849.86704545455,5092.0,1862,1780,1243.34204545455,1297.0,448,pilA_T8I,Solid,3
1,9,3.042,4.04613698361077,1.0675488738185,1.10691011378522,1503,961.925,995.5,356,1600,1068.4486111111098,1103.5,413,pilA_T8I,Solid,3
1,10,5.65305,7.524593694285259,1.08900650989566,1.07200746266059,4031,2892.90582959641,3004.0,1064,1939,1393.2451420029902,1460.0,439,pilA_T8I,Solid,3
1,11,2.243475,3.1887030683434703,1.04661196314445,1.02774023955472,1933,1312.36723163842,1346.0,486,1395,952.911487758945,981.0,232,pilA_T8I,Solid,3
1,13,4.220775,5.402325394193519,1.07657490619211,1.07594144822105,2955,2060.51351351351,2172.0,654,1357,902.75975975976,932.0,286,pilA_T8I,Solid,3
1,14,2.395575,3.1761265234055,1.07842504002355,1.07200746266059,5712,3992.8906525573207,4124.0,1482,1362,940.4038800705471,987.0,253,pilA_T8I,Solid,3
1,15,2.7547,3.6334671708797597,1.0456269584503002,1.07200746266059,2806,2036.8788343558301,2147.0,823,1414,953.449386503067,1009.5,264,pilA_T8I,Solid,3
1,16,2.15475,2.8307354709715002,1.0621896701581601,1.07200746266059,2137,1474.9627450980402,1511.0,515,1263,816.0647058823531,878.0,221,pilA_T8I,Solid,3
1,17,3.1772,4.13195526217004,1.03325927426489,1.1627553482998898,1935,1365.4388297872301,1403.5,543,1346,906.462765957447,939.0,203,pilA_T8I,Solid,3
1,18,2.00265,2.8088582233137704,1.08236141971605,1.07200746266059,2322,1534.1540084388198,1586.0,608,1593,1086.4367088607598,1129.0,403,pilA_T8I,Solid,3
1,20,2.4167,3.1088477631085003,1.01670601290957,1.07200746266059,2955,2118.2010489510503,2231.5,874,1660,1134.29545454545,1169.5,335,pilA_T8I,Solid,3
1,21,3.62505,4.70501046020526,1.06058991839668,1.07200746266059,1555,1019.88578088578,1048.0,332,1894,1287.3041958042,1331.5,390,pilA_T8I,Solid,3
1,22,2.99975,4.30385822331377,1.07060404539402,1.0090713552569,3149,2270.59154929577,2358.0,797,1541,1117.00845070423,1166.0,450,pilA_T8I,Solid,3
1,23,3.147625,4.19616269709676,1.05830080632957,1.07200746266059,4936,3497.9181208053697,3640.0,1237,1650,1137.88187919463,1183.0,391,pilA_T8I,Solid,3
1,24,4.38555,5.9126593525257505,1.04528693825251,1.04,2806,2058.34489402698,2162.0,909,1697,1188.5655105972999,1234.5,359,pilA_T8I,Solid,3
1,25,1.9942,2.63382204962251,1.05865452985745,1.1627553482998898,754,475.91949152542395,486.5,180,1249,787.728813559322,830.5,202,pilA_T8I,Solid,3
1,26,2.370225,3.14728922050227,1.04742042029138,1.1183022847155402,2574,1810.4349376114103,1875.0,675,1442,936.3226381461681,984.0,282,pilA_T8I,Solid,3
1,27,3.74335,5.316934341759519,1.07038870358399,0.975,7445,5414.796839729121,5631.0,2293,1679,1151.95259593679,1198.0,319,pilA_T8I,Solid,3
1,28,2.885675,3.76340528370251,1.04854946135506,1.105,2128,1471.18887262079,1547.0,546,1609,1106.08491947291,1154.0,311,pilA_T8I,Solid,3
1,29,2.9406,3.89346717087976,1.0494158528370698,1.0090713552569,1289,875.853448275862,914.5,298,1388,964.443965517241,1003.0,287,pilA_T8I,Solid,3
1,30,2.86455,3.7495470603887404,1.07304152984772,1.07594144822105,1630,1106.2861356932199,1146.0,455,1434,996.076696165192,1065.0,317,pilA_T8I,Solid,3
1,31,2.78005,3.85113698361077,1.08370893093562,1.07594144822105,3754,2597.25075987842,2662.5,1147,1251,841.054711246201,874.0,217,pilA_T8I,Solid,3
1,32,3.38,4.66693434175952,1.08339585221192,1.0090713552569,3595,2480.03375,2514.5,846,1472,946.2475,990.0,301,pilA_T8I,Solid,3
1,33,3.443375,4.74265935252575,1.05700519767401,1.0090713552569,2191,1523.2773006135,1565.0,603,1531,1066.85521472393,1105.0,313,pilA_T8I,Solid,3
1,34,2.877225,4.03079256507328,1.1100184766815,1.07594144822105,5074,3671.2936857562395,3797.0,1465,1230,839.668135095448,870.0,217,pilA_T8I,Solid,3
1,35,2.015325,2.7911731573020298,1.0523647784841998,1.0660792653456899,6496,4797.522012578621,4963.0,2107,1997,1341.1949685534598,1392.0,398,pilA_T8I,Solid,3
1,36,2.184325,2.79579256507328,1.01324436148967,1.0660792653456899,2125,1421.89555125725,1476.0,459,1514,1012.6731141199199,1052.0,298,pilA_T8I,Solid,3
1,37,4.9517,6.8680608651650195,1.11131343160644,1.0174109297624,4012,2646.4709897610896,2697.0,830,1797,1180.53156996587,1207.5,365,pilA_T8I,Solid,3
1,38,3.054675,4.108858223313771,1.07248911335735,1.04,4932,3449.1950207468894,3593.0,1102,2143,1439.6694329184,1490.0,481,pilA_T8I,Solid,3
1,39,3.1603,4.5707563913820195,1.06483342525065,0.990050503762308,5906,4239.27673796791,4370.5,1810,1677,1176.4278074866302,1233.0,436,pilA_T8I,Solid,3
1,40,2.750475,3.62693434175952,1.0746483916862,1.07200746266059,3342,2379.6282642089104,2466.0,1082,1255,829.1981566820281,874.0,260,pilA_T8I,Solid,3
1,41,2.7885,3.75231493398826,1.0601652780120001,1.07200746266059,2847,1951.52424242424,2030.0,682,1763,1217.81666666667,1272.5,364,pilA_T8I,Solid,3
1,42,3.50675,4.598107499061539,1.0741651366243599,1.14996739084202,1935,1353.3987951807198,1391.0,552,1597,1099.91445783133,1135.5,327,pilA_T8I,Solid,3
1,43,3.87855,5.23652803604478,1.09136914787653,1.07594144822105,1913,1343.69498910675,1371.0,520,1701,1175.50653594771,1225.5,319,pilA_T8I,Solid,3
1,44,2.3491,3.2680504049597596,1.07856302159913,1.0090713552569,4446,3262.0449640287798,3347.5,1447,1348,946.444244604317,978.5,246,pilA_T8I,Solid,3
1,45,2.6364,3.51689816806826,1.07867625445728,1.1351761977772399,2277,1587.8157051282099,1665.0,629,1628,1122.6266025641,1177.5,332,pilA_T8I,Solid,3
1,46,2.59415,3.43002092041053,1.06828836667959,1.07594144822105,4651,3370.00977198697,3505.0,1439,1611,1097.66449511401,1143.5,356,pilA_T8I,Solid,3
1,47,2.125175,2.8042388155425098,1.0715443046841,1.0174109297624,2914,2051.51292246521,2175.0,874,1477,999.79324055666,1045.0,302,pilA_T8I,Solid,3
1,48,4.1236,5.50114744381603,1.08808354177045,1.07594144822105,3455,2356.90368852459,2424.0,964,2045,1412.72540983607,1458.5,454,pilA_T8I,Solid,3
1,49,1.8252,2.3599638263087406,1.0516079527393298,1.105,2008,1329.53009259259,1365.0,558,3555,2367.84490740741,2491.5,671,pilA_T8I,Solid,3
1,50,2.7039999999999997,3.55454706038874,1.07391436930742,1.07594144822105,2972,2120.225,2228.0,827,1502,1030.865625,1076.5,320,pilA_T8I,Solid,3
1,51,2.9575,3.9695575205940004,1.08279666191854,1.07594144822105,2314,1641.6542857142902,1715.5,613,1552,1104.48428571429,1177.5,372,pilA_T8I,Solid,3
1,52,2.370225,3.1969448019647797,1.05998511413923,1.0581233387464801,1949,1360.1336898395698,1412.0,526,1485,1007.43315508021,1062.0,248,pilA_T8I,Solid,3
1,54,2.758925,3.6449847467192695,1.04619959028812,1.105,2166,1452.73047473201,1498.0,520,1826,1250.9218989280198,1304.0,374,pilA_T8I,Solid,3
1,55,2.67865,3.5911369836107703,1.06941021467638,1.1183022847155402,2628,1887.8675078864399,1967.0,714,1711,1166.4810725552,1244.0,376,pilA_T8I,Solid,3
1,56,3.198325,4.453822049622509,1.07789157930857,1.07200746266059,2698,1896.2549537648601,1976.0,771,1592,1080.75429326288,1123.0,350,pilA_T8I,Solid,3
1,57,2.3491,3.38270598642227,1.08185540218042,1.07200746266059,3435,2403.0539568345303,2474.5,826,1735,1174.8830935251801,1207.0,382,pilA_T8I,Solid,3
1,58,2.868775,4.0126802729362705,1.04995699313042,1.02774023955472,4879,3570.6892488954295,3677.0,1528,1596,1045.86156111929,1105.0,260,pilA_T8I,Solid,3
1,59,4.7827,6.36155374953077,1.06399355373411,1.04,3958,2872.49823321555,2978.5,1222,1335,885.8268551236749,950.5,227,pilA_T8I,Solid,3
1,60,2.927925,3.8888477631085,1.01404113770756,1.0090713552569,3921,2811.34632034632,2904.0,1067,1901,1319.76334776335,1375.0,377,pilA_T8I,Solid,3
1,61,2.74625,3.4769086282735198,1.03384572322432,1.1183022847155402,2992,2095.2476923076897,2210.5,959,2043,1399.2430769230803,1472.5,517,pilA_T8I,Solid,3
1,63,3.536325,4.77037579915328,1.05742826112544,1.07594144822105,1546,1092.66547192354,1127.0,400,1479,1018.0,1065.0,290,pilA_T8I,Solid,3
1,64,3.0927,4.15808657865101,1.0624932159922098,1.0090713552569,7268,5185.95765027322,5395.0,2166,1969,1314.14207650273,1371.5,359,pilA_T8I,Solid,3
