Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.7349,5.283477631085019,1.0811028785318,1.0090713552569,5639,4171.40497737557,4435.0,1392,1315,883.210407239819,959.5,182,pilA_T8V,Solid,1
1,2,3.11805,4.70771644662753,1.07966912753363,1.0090713552569,8280,5995.68157181572,6271.5,1999,1361,927.575880758808,976.0,201,pilA_T8V,Solid,1
1,3,2.218125,3.0827164466275296,1.02882321552617,1.02774023955472,4315,3112.6019047619,3232.0,1195,1485,982.51619047619,1045.0,213,pilA_T8V,Solid,1
1,4,4.01375,5.35039105243401,1.04061262605397,1.0090713552569,5932,4407.47684210526,4601.5,1312,1546,1082.92736842105,1137.5,218,pilA_T8V,Solid,1
1,5,1.9942,2.90078210486802,1.14092221267115,1.07200746266059,3479,2447.74576271186,2464.0,1105,1429,909.275423728814,943.5,189,pilA_T8V,Solid,1
1,6,3.03355,4.17385822331377,1.07185887225621,1.0090713552569,6489,4725.79247910864,4909.0,1346,1312,888.735376044568,947.5,164,pilA_T8V,Solid,1
1,7,2.3322,3.512278760297,1.08658464261954,1.0090713552569,124,85.9347826086957,86.0,54,63,27.7826086956522,28.0,2,pilA_T8V,Solid,1
1,8,4.879875,6.751491862353519,1.28145602433153,1.07594144822105,3137,2189.70303030303,2247.0,933,1342,849.12987012987,932.0,194,pilA_T8V,Solid,1
1,9,3.77715,5.14879633613651,1.06146028084674,1.02774023955472,3484,2423.6577181208104,2555.0,717,1288,845.407158836689,922.5,136,pilA_T8V,Solid,1
1,10,3.257475,4.42307132537028,1.02375899438334,1.0660792653456899,4143,2897.2555123216603,3013.0,989,1514,1022.0453955901401,1078.0,210,pilA_T8V,Solid,1
1,11,3.257475,4.39572021769077,1.03954634586219,1.0581233387464801,4053,2901.4889753566804,2997.0,1028,1384,895.320363164721,965.0,192,pilA_T8V,Solid,1
1,12,4.778475,6.6919657223753095,1.07464822185334,1.04809350727881,4962,3610.6410256410295,3716.0,1090,1377,915.787798408488,964.0,185,pilA_T8V,Solid,1
1,13,2.01955,2.93232539419353,1.06927349966737,1.07594144822105,3582,2517.0523012552303,2583.0,704,1372,875.638075313808,925.5,173,pilA_T8V,Solid,1
1,14,3.7856,5.702680272936269,1.07788573677848,0.946414285606467,7232,5207.3984375,5503.0,1415,1237,855.8883928571429,894.5,153,pilA_T8V,Solid,1
1,15,2.9406,3.9157097574854998,1.0674374076881101,1.04,2354,1696.17385057471,1759.5,585,1571,1066.5761494252902,1157.0,223,pilA_T8V,Solid,1
1,16,2.00265,2.8018981680682598,1.06933137114565,1.07594144822105,6239,4356.04219409283,4495.5,1450,1628,1065.52742616034,1128.0,210,pilA_T8V,Solid,1
1,17,3.603925,4.86846717087976,1.03777143028536,0.975,10398,7839.4478311840585,8144.0,2589,1307,909.803048065651,949.0,210,pilA_T8V,Solid,1
1,18,3.485625,5.29462986797652,1.06956763273314,1.0090713552569,6000,4332.43757575758,4492.0,1208,1419,973.1915151515151,1031.0,119,pilA_T8V,Solid,1
1,19,2.12095,2.99270598642227,1.08220966521185,1.0174109297624,1666,1159.09362549801,1203.5,439,1273,846.233067729084,897.5,162,pilA_T8V,Solid,1
1,20,2.59415,3.66920264185125,1.0752729837128299,1.0090713552569,6270,4791.18729641694,5008.0,2027,1448,1038.12214983713,1079.0,263,pilA_T8V,Solid,1
1,21,1.668875,2.47461940777126,1.0474749583133,0.946414285606467,4826,3515.6911392405104,3706.0,1113,1614,1096.04050632911,1180.0,203,pilA_T8V,Solid,1
1,22,2.049125,3.0642388155425095,1.06783298858801,0.975,5077,3592.9072164948498,3687.0,1037,1619,1044.6824742268,1092.0,186,pilA_T8V,Solid,1
1,23,3.130725,4.77733585439879,1.0936930458193501,1.0174109297624,8624,6552.42510121458,6819.0,2688,1683,1160.16599190283,1272.0,302,pilA_T8V,Solid,1
1,24,1.86745,3.1830865786510096,1.07375061921325,0.91,4987,3928.24208144796,4166.5,1189,1353,1026.7556561086,1096.0,194,pilA_T8V,Solid,1
1,25,2.015325,2.90454706038874,1.07341035231198,1.0090713552569,9598,6519.49266247379,6903.0,1774,1500,976.3584905660381,1059.0,208,pilA_T8V,Solid,1
1,26,2.251925,3.08228922050227,1.04326556339936,1.0660792653456899,2846,1949.44465290807,2044.0,533,1225,798.0525328330209,856.0,113,pilA_T8V,Solid,1
1,27,4.3602,5.4038115894172405,1.03789797380494,1.07200746266059,4876,3555.1463178294603,3724.0,1180,1696,1113.5775193798402,1241.5,269,pilA_T8V,Solid,1
1,28,2.742025,3.60420264185125,1.0757220400763001,1.07200746266059,5538,3891.7195685670295,4030.0,1484,1319,845.0015408320489,924.0,204,pilA_T8V,Solid,1
1,29,2.78005,3.8107821048680197,1.07759335581246,1.0090713552569,6934,5071.78723404255,5269.5,1561,1301,912.568389057751,970.0,125,pilA_T8V,Solid,1
1,30,3.28705,4.8995832340800005,1.04914806291263,0.872066511224918,10267,7438.422879177379,7893.0,2198,1456,947.570694087404,1049.5,211,pilA_T8V,Solid,1
1,31,2.2646,3.11069929728024,1.07306809619685,1.0090713552569,4278,3076.66604477612,3177.5,935,1717,1149.4141791044801,1204.5,210,pilA_T8V,Solid,1
1,32,2.1632,3.3019343417595204,1.09075019804352,0.9306583691129631,3772,2678.68359375,2802.5,684,1560,1074.34765625,1139.5,175,pilA_T8V,Solid,1
1,33,3.7518,5.19340528370251,1.0760807504836998,1.0090713552569,2573,1936.52252252252,2024.0,703,1083,733.836711711712,768.5,127,pilA_T8V,Solid,1
1,34,3.38845,4.351173157302029,1.0823738475359599,1.07200746266059,4258,3006.1259351620897,3153.5,906,1659,1108.13466334165,1196.5,287,pilA_T8V,Solid,1
1,35,2.615275,3.46539105243401,1.05288244020121,1.07200746266059,2918,2128.78675282714,2215.0,712,1497,999.757673667205,1044.0,188,pilA_T8V,Solid,1
1,36,2.437825,3.48535487874275,1.072416885767,1.0090713552569,2943,2127.69844020797,2250.0,690,1538,1038.3466204506099,1098.0,195,pilA_T8V,Solid,1
1,37,5.34885,7.484604154490531,1.1793444923227299,1.02774023955472,10614,7531.93601895735,7836.5,2258,1682,1074.0331753554499,1137.0,175,pilA_T8V,Solid,1
1,38,4.99395,6.81193434175951,1.0508838138399699,1.0090713552569,3582,2666.6472081218303,2783.0,1047,1467,903.239424703892,999.0,189,pilA_T8V,Solid,1
1,39,3.16875,4.8234309971885,1.07534548951436,0.975,3236,2390.676,2446.5,996,1490,1012.3773333333301,1094.5,218,pilA_T8V,Solid,1
1,40,3.2955,4.60655374953077,1.07700777392789,1.0090713552569,5168,3717.1551282051296,3870.5,1082,1361,946.646153846154,985.5,175,pilA_T8V,Solid,1
1,41,3.510975,4.57771644662753,1.0785168470185,1.07594144822105,3508,2643.42960288809,2719.0,963,1273,882.3417569193739,947.0,163,pilA_T8V,Solid,1
1,42,4.52075,6.442325394193519,1.06975529699975,1.0090713552569,2968,2115.88691588785,2216.0,581,1172,772.9056074766361,807.0,126,pilA_T8V,Solid,1
1,43,2.463175,3.4680970388562797,1.07269939685489,1.0090713552569,5361,3877.34133790738,4004.0,1617,1201,806.243567753002,873.0,162,pilA_T8V,Solid,1
1,44,3.20255,4.3145832340800006,1.05951147417327,1.0090713552569,5981,4358.88654353562,4499.5,1801,1352,958.383905013193,997.5,213,pilA_T8V,Solid,1
1,45,4.043325,6.29193434175952,1.05459539489836,0.867208164168212,7418,5496.096133751311,5670.0,2039,1763,1176.30616509927,1222.0,278,pilA_T8V,Solid,1
1,46,4.617925,6.2961265234054995,1.07566351923316,1.0090713552569,6144,4221.26166514181,4473.0,1392,1458,957.3037511436411,1037.0,255,pilA_T8V,Solid,1
1,47,3.071575,5.0430142312685,1.0759080706351,0.872066511224918,5119,3817.50481430536,3996.0,1193,1539,1076.9931224209101,1127.0,156,pilA_T8V,Solid,1
1,48,3.18565,4.4319448019647805,1.08105700875117,1.02774023955472,5206,3778.3435013262606,3929.5,1201,1280,855.478779840849,907.5,131,pilA_T8V,Solid,1
1,49,2.4336,3.49459369428526,1.0808949421291099,1.0090713552569,10573,7692.694444444441,7984.0,2439,1597,1082.85590277778,1124.0,304,pilA_T8V,Solid,1
1,50,3.9208,5.646126523405499,1.06207858312907,1.0090713552569,3174,2258.87176724138,2351.0,798,1818,1259.60344827586,1323.5,213,pilA_T8V,Solid,1
1,51,3.8194,5.11072021769076,1.0734551074887502,1.07594144822105,5028,3624.0188053097295,3761.5,1092,1976,1369.48230088496,1435.5,310,pilA_T8V,Solid,1
1,52,4.68975,7.27462507490105,1.0616505801721998,1.02774023955472,6683,5141.76306306306,5378.5,1713,1447,1021.49099099099,1102.5,141,pilA_T8V,Solid,1
1,53,1.432275,2.5915537495307697,1.1053713799598601,0.872066511224918,2710,2127.1563421828896,2225.0,1126,1562,1208.34808259587,1271.0,535,pilA_T8V,Solid,1
1,54,2.8054,4.04109034971425,1.1169776854825701,1.0174109297624,3751,2820.9021084337396,2931.0,953,1394,930.2394578313251,992.0,162,pilA_T8V,Solid,1
1,55,2.437825,3.8961731573020297,1.08076613452207,0.946414285606467,3821,3031.2235701906397,3119.0,1758,1408,1078.76776429809,1115.0,377,pilA_T8V,Solid,1
1,56,3.4138,4.271887707862991,1.03681555780151,1.07200746266059,3669,2733.2103960396,2834.0,1069,1180,792.726485148515,887.5,181,pilA_T8V,Solid,1
1,57,1.37735,2.38540151263927,1.05719380658353,0.966294468575703,3000,2533.36196319018,2589.5,1545,1638,1238.31901840491,1289.0,616,pilA_T8V,Solid,1
1,58,2.873,3.89340528370251,1.05344873259194,1.07594144822105,3021,2194.425,2316.5,813,1206,798.202941176471,858.0,182,pilA_T8V,Solid,1
1,59,3.215225,4.05039105243401,1.0465873438160602,1.07200746266059,3175,2212.85282522996,2339.0,751,1431,999.9566360052561,1050.0,166,pilA_T8V,Solid,1
1,60,5.9657,8.32498474671927,1.07294607793196,1.04,6183,4461.30240793201,4678.0,1505,1740,1179.9171388102,1286.0,214,pilA_T8V,Solid,1
1,61,4.30105,6.041173157302031,1.0757045890231,1.0090713552569,8234,5916.45088408644,6223.5,1823,1685,1095.9253438113901,1189.0,242,pilA_T8V,Solid,1
1,62,3.9884,5.733858223313769,1.05821140479103,0.975,3881,2718.6790254237303,2800.0,861,1222,842.5699152542371,863.0,130,pilA_T8V,Solid,1
1,63,3.688425,4.830329165256759,1.07149668596722,1.105,4115,2917.6998854524604,3092.0,979,1412,879.4238258877431,958.0,146,pilA_T8V,Solid,1
1,64,4.18275,5.71383250982777,1.11050099957405,1.02774023955472,3094,2128.90707070707,2238.0,583,1804,1132.7727272727302,1237.0,191,pilA_T8V,Solid,1
1,65,3.037775,4.351173157302029,1.0823738475359599,0.990050503762308,8896,6659.58553546593,6982.0,2562,1566,1034.2016689847,1159.0,237,pilA_T8V,Solid,1
1,66,3.91235,5.036543289325509,1.03276994315701,1.07200746266059,5606,3914.3531317494603,4087.0,1477,1449,946.0313174946001,1031.5,198,pilA_T8V,Solid,1
1,67,3.418025,4.57266981273101,1.0791008159765998,1.07200746266059,3309,2368.77379480841,2453.0,797,2505,1800.2360939431398,1933.0,246,pilA_T8V,Solid,1
1,68,2.395575,3.34654328932551,1.04984588477619,0.946414285606467,4081,2952.88536155203,3061.0,991,1230,857.941798941799,907.0,186,pilA_T8V,Solid,1
1,69,3.2279,4.88423881554251,1.04799625837853,0.946414285606467,4960,3565.0445026178004,3666.5,1094,1630,1127.5,1181.0,181,pilA_T8V,Solid,1
