Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.012425,4.51839482349724,1.07198280896796,0.975,1147,709.217391304348,739.0,127,1343,878.925666199159,909.0,97,fliC-_incu,Liquid,4
1,4,2.480075,3.60648140214826,1.05881497232234,1.02774023955472,890,580.584327086882,605.0,162,1451,916.240204429302,1015.0,154,fliC-_incu,Liquid,4
1,5,3.0589,4.55732539419352,1.08121903204273,0.946414285606467,1019,690.077348066298,717.5,225,1369,931.171270718232,976.0,178,fliC-_incu,Liquid,4
1,6,1.939275,2.88266981273101,1.05892877304121,1.0174109297624,673,396.237472766885,405.0,109,1350,851.764705882353,894.0,157,fliC-_incu,Liquid,4
1,7,2.1463,3.15758700514323,1.06412614112967,0.990050503762308,977,626.923228346457,662.0,176,1407,888.80905511811,913.5,230,fliC-_incu,Liquid,4
1,8,1.744925,2.84416646816,1.05845067427896,0.937443331620637,1092,746.738498789346,768.0,272,1312,819.457627118644,895.0,182,fliC-_incu,Liquid,4
1,10,1.719575,2.43192388155425,1.01082584451998,0.946414285606467,1334,884.970515970516,923.0,275,1356,852.85257985258,909.0,208,fliC-_incu,Liquid,4
1,11,1.829425,2.80189816806826,1.06933137114565,1.0090713552569,1592,1033.60277136259,1063.0,328,1485,961.284064665127,1014.0,224,fliC-_incu,Liquid,4
1,13,2.285725,3.21271644662753,1.03762826150671,1.0174109297624,798,519.822550831793,543.0,105,1501,999.129390018484,1074.0,227,fliC-_incu,Liquid,4
1,14,1.761825,2.63382204962251,1.05865452985745,0.990050503762308,712,452.920863309353,468.0,155,1242,799.812949640288,822.0,146,fliC-_incu,Liquid,4
1,15,2.2815,3.41886868351903,1.06459684260424,0.990050503762308,504,323.022222222222,335.0,112,1653,1079.24814814815,1173.0,224,fliC-_incu,Liquid,4
1,16,1.880125,2.81766981273101,1.05603129844184,1.0174109297624,757,478.41797752809,496.0,171,1655,1045.39325842697,1113.0,261,fliC-_incu,Liquid,4
1,17,1.846325,2.78150711563425,1.07384492648425,0.990050503762308,1106,706.061784897025,736.0,186,1353,891.242562929062,923.0,257,fliC-_incu,Liquid,4
1,18,2.082925,3.0684309971885,1.07371019713339,1.0090713552569,1131,737.036511156187,767.0,220,1533,983.79107505071,1021.0,266,fliC-_incu,Liquid,4
1,19,3.3462,4.76539105243401,1.04563292836717,0.946414285606467,692,441.805555555556,457.5,96,1486,948.671717171717,974.5,185,fliC-_incu,Liquid,4
1,20,2.01955,2.95462986797652,1.08105700875117,0.990050503762308,1834,1234.57740585774,1283.5,418,1345,890.94769874477,939.5,197,fliC-_incu,Liquid,4
1,21,2.218125,3.21611606320024,1.02991279668171,0.91,1039,653.451428571429,671.0,171,1260,731.171428571429,790.0,118,fliC-_incu,Liquid,4
1,23,1.81675,2.642695526217,1.0370431784541,0.946414285606467,1279,843.360465116279,873.5,310,1407,855.002325581395,919.0,140,fliC-_incu,Liquid,4
1,24,2.15475,3.15616269709676,1.07060404539402,1.0090713552569,1351,895.28431372549,935.0,277,1562,990.294117647059,1011.5,309,fliC-_incu,Liquid,4
1,25,2.150525,3.14692388155425,1.00841063384327,0.946414285606467,1447,978.178781925344,1035.0,270,1404,926.481335952849,964.0,137,fliC-_incu,Liquid,4
1,27,1.854775,3.04378587593125,1.04061055587393,0.937443331620637,1869,1307.41913439636,1360.0,413,1372,891.562642369021,949.0,221,fliC-_incu,Liquid,4
1,29,2.40825,3.57998474671927,1.04308916658352,0.990050503762308,565,346.152631578947,362.5,125,1348,835.305263157895,885.5,147,fliC-_incu,Liquid,4
1,30,3.43915,4.84154328932551,1.03411890816756,0.946414285606467,707,459.871007371007,474.5,118,1500,990.116707616708,1032.5,196,fliC-_incu,Liquid,4
1,31,2.953275,4.35308657865101,1.06638860358973,1.0090713552569,1639,1131.37625178827,1193.0,328,1774,1148.64806866953,1198.0,292,fliC-_incu,Liquid,4
1,32,1.736475,2.52803994475449,1.04169166279694,0.946414285606467,1513,978.287104622871,1027.0,278,1674,1063.70316301703,1074.0,209,fliC-_incu,Liquid,4
1,33,2.657525,3.81768027293628,1.03536427889526,0.990050503762308,1623,1087.22734499205,1148.0,326,1534,1045.82193958665,1089.0,309,fliC-_incu,Liquid,4
1,34,1.913925,2.93232539419353,1.0941436496779,1.0174109297624,510,321.044150110375,336.0,107,1513,983.761589403974,1035.0,173,fliC-_incu,Liquid,4
1,35,1.9773,2.70258700514323,1.04833953990818,1.04809350727881,1013,649.292735042735,680.0,173,1613,1013.5641025641,1056.0,187,fliC-_incu,Liquid,4
1,38,2.522325,3.65194480196478,1.10355339059327,1.07200746266059,1422,1004.00335008375,1043.0,334,1540,1047.95644891122,1113.0,282,fliC-_incu,Liquid,4
1,40,1.6224,2.36039105243401,1.06943883159658,1.0090713552569,1519,996.002604166667,1044.5,334,1494,967.671875,1002.0,202,fliC-_incu,Liquid,4
1,41,2.116725,3.11346717087976,1.0517839955886,0.946414285606467,1497,992.059880239521,1035.0,332,1408,911.295409181637,981.0,224,fliC-_incu,Liquid,4
1,42,1.88435,2.97040151263927,1.07414401585807,0.990050503762308,2006,1329.15470852018,1375.5,461,1583,1011.05829596413,1035.5,228,fliC-_incu,Liquid,4
1,43,1.542125,2.41423881554251,1.07714940074813,1.0090713552569,466,273.561643835616,282.0,92,1487,923.758904109589,986.0,188,fliC-_incu,Liquid,4
1,44,2.767375,4.31728922050227,1.07619829725749,0.946414285606467,778,519.090076335878,542.0,130,1704,1135.92824427481,1173.0,339,fliC-_incu,Liquid,4
1,45,1.521,2.10692388155425,1.0124499341393,1.0090713552569,609,377.355555555556,387.0,90,2726,1794.56944444444,1828.0,508,fliC-_incu,Liquid,4
1,46,1.24215,2.04654328932551,1.06318240851159,0.91,1073,645.676870748299,618.0,245,1203,707.078231292517,704.5,262,fliC-_incu,Liquid,4
1,47,1.8421,2.64497428651401,1.09380537361783,1.07200746266059,626,394.252293577982,408.0,155,1582,1038.29128440367,1088.5,290,fliC-_incu,Liquid,4
1,49,2.032225,3.02424927574778,1.08172873008734,0.990050503762308,878,579.841995841996,605.0,218,1662,1078.27234927235,1139.0,313,fliC-_incu,Liquid,4
1,50,2.66175,3.82846717087976,1.05160904140296,1.0090713552569,820,502.501587301587,525.5,186,1618,1078.76349206349,1127.5,367,fliC-_incu,Liquid,4
1,51,1.91815,2.87996382630874,1.05017983528378,0.946414285606467,512,304.220264317181,322.0,56,1386,894.310572687225,986.0,99,fliC-_incu,Liquid,4
1,52,3.063125,4.63156420973604,1.09791862220954,0.990050503762308,1780,1169.70068965517,1195.0,414,1566,1005.38206896552,1059.0,232,fliC-_incu,Liquid,4
1,53,2.006875,3.12647094194299,1.07419679307941,0.946414285606467,524,339.427368421053,350.0,89,1418,963.113684210526,992.0,265,fliC-_incu,Liquid,4
1,55,1.83365,2.70116269709676,1.07657490619211,1.0090713552569,1043,665.145161290323,697.0,189,1633,986.191244239631,1036.0,237,fliC-_incu,Liquid,4
1,56,2.099825,2.96769552621701,1.03339434035808,0.946414285606467,476,301.51509054326,315.0,91,1515,1030.26559356137,1075.0,283,fliC-_incu,Liquid,4
1,57,2.03645,2.94262317883449,1.07393397268631,1.0090713552569,1345,900.383817427386,939.5,259,1581,1007.05394190871,1058.5,200,fliC-_incu,Liquid,4
1,58,2.142075,3.08462986797652,1.08190012004355,1.0090713552569,1134,769.459566074951,805.0,286,1473,965.276134122288,1019.0,297,fliC-_incu,Liquid,4
1,60,1.820975,2.61577164466275,1.02882321552617,0.946414285606467,870,584.127610208817,605.0,215,1375,929.904872389791,968.0,232,fliC-_incu,Liquid,4
