Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,3,2.539225,4.16960415449053,1.04474618755097,0.9306583691129631,2390,1716.8019966722102,1778.0,709,1361,873.8652246256239,945.0,233,fliC-_pilA_T8V_incu,Liquid,1
1,7,2.311075,3.69655374953077,1.11531359182852,0.8840955830678041,1977,1425.16087751371,1481.0,477,1284,873.954296160878,925.0,290,fliC-_pilA_T8V_incu,Liquid,1
1,8,1.744925,2.8445936942852597,1.0570644747800402,0.937443331620637,2142,1531.2784503632001,1577.0,635,1225,810.4576271186439,855.0,238,fliC-_pilA_T8V_incu,Liquid,1
1,9,2.108275,3.21462986797652,1.0823117459700502,0.975,2346,1667.3727454909802,1745.0,651,1283,864.5030060120239,916.0,170,fliC-_pilA_T8V_incu,Liquid,1
1,10,2.18855,3.4319343417595203,1.07663395749603,0.91,2879,1991.361003861,2100.0,582,1185,728.0250965250971,794.0,83,fliC-_pilA_T8V_incu,Liquid,1
1,11,2.175875,3.30846717087976,1.04930685331752,0.946414285606467,3023,2099.7611650485396,2214.0,709,1195,775.3029126213589,810.0,144,fliC-_pilA_T8V_incu,Liquid,1
1,12,2.366,3.69193434175952,1.07397551196135,0.946414285606467,3150,2288.15892857143,2382.5,881,1304,881.085714285714,916.5,270,fliC-_pilA_T8V_incu,Liquid,1
1,14,1.95195,2.88039105243401,1.0608167802322601,0.946414285606467,3300,2336.81168831169,2444.0,935,1130,721.006493506493,757.5,145,fliC-_pilA_T8V_incu,Liquid,1
1,15,2.98285,4.58695526217004,1.05314453201522,0.990050503762308,2487,1757.3682719546698,1818.5,611,1427,908.2478753541079,946.5,231,fliC-_pilA_T8V_incu,Liquid,1
1,16,2.699775,3.8822530468110097,1.0441522660134999,1.02774023955472,2059,1469.8419405320801,1550.0,564,1231,812.550860719875,871.0,97,fliC-_pilA_T8V_incu,Liquid,1
