Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.4505,3.5029780575772405,1.04413571221735,0.990050503762308,949,609.786206896552,640.0,184,1795,1184.79137931034,1290.0,184,fliC-_vortex,Liquid,7
1,3,2.27305,3.29731493398826,1.0600572771587802,1.0090713552569,556,351.009293680297,360.0,105,1926,1277.57249070632,1361.0,324,fliC-_vortex,Liquid,7
1,4,2.89835,4.007695526217,1.0253382341711899,1.0090713552569,511,298.862973760933,306.0,85,1569,975.737609329446,1081.0,210,fliC-_vortex,Liquid,7
1,5,1.73225,2.5980865786510097,1.09807580809546,0.990050503762308,1985,1344.12682926829,1422.0,431,1764,1093.6024390243902,1166.0,218,fliC-_vortex,Liquid,7
1,6,3.012425,4.3484671708797595,1.03910772045548,0.946414285606467,514,321.98737727910196,334.0,85,1753,1174.65778401122,1224.0,271,fliC-_vortex,Liquid,7
1,7,2.0111,3.1803187050514903,1.07255913665717,0.946414285606467,481,289.49369747899203,303.0,75,1748,1111.6701680672302,1175.5,139,fliC-_vortex,Liquid,7
1,8,2.640625,3.7865642097360404,1.0655381694069799,1.02774023955472,592,366.5648,379.0,85,1926,1283.5648,1355.0,274,fliC-_vortex,Liquid,7
1,9,3.5152,5.25002092041053,1.14638842122143,0.990050503762308,369,228.671875,235.0,38,1764,1088.984375,1135.0,220,fliC-_vortex,Liquid,7
1,10,2.344875,3.2842492757477797,1.07479743006598,1.01533245786787,932,595.834234234234,617.0,218,1535,1020.65585585586,1111.0,225,fliC-_vortex,Liquid,7
1,11,2.78005,3.9203291652567596,1.0543930372555501,1.02774023955472,450,247.11854103343498,250.5,62,1818,1195.5273556231,1264.0,287,fliC-_vortex,Liquid,7
1,12,2.615275,3.7411626970967595,1.06330884998426,1.0090713552569,1204,752.988691437803,790.0,224,1973,1242.99030694669,1326.0,264,fliC-_vortex,Liquid,7
1,13,2.454725,3.29731493398826,1.0600572771587802,1.0090713552569,491,291.74526678141103,307.0,75,1790,1180.2065404475,1254.0,318,fliC-_vortex,Liquid,7
1,14,2.581475,3.8618619943769996,1.0710744146913298,1.0090713552569,502,318.563011456628,329.0,107,1755,1137.7774140752902,1209.0,257,fliC-_vortex,Liquid,7
1,15,3.020875,4.454249275747769,1.0821537658254599,1.0090713552569,433,262.973426573427,268.0,93,1748,1131.6979020979,1211.0,192,fliC-_vortex,Liquid,7
1,16,2.784275,4.092597465348491,1.04561492675978,1.0174109297624,405,260.930197268589,272.0,77,1633,1026.0880121396099,1120.0,250,fliC-_vortex,Liquid,7
1,17,3.9546,5.911173157302031,1.1431225103087,0.946414285606467,504,296.55235042735,307.0,53,1774,1072.49145299145,1146.0,260,fliC-_vortex,Liquid,7
1,18,3.50675,5.23886868351903,1.08236410415353,1.0174109297624,464,266.118072289157,274.0,54,1881,1229.81325301205,1295.0,266,fliC-_vortex,Liquid,7
1,19,3.434925,4.75423881554251,1.04907086599343,1.0090713552569,542,334.558425584256,348.0,85,2037,1332.1402214022098,1393.0,349,fliC-_vortex,Liquid,7
1,20,3.899675,5.77421310205652,1.07965528957911,0.990050503762308,1327,900.92091007584,940.0,261,2277,1453.22535211268,1510.0,305,fliC-_vortex,Liquid,7
1,21,2.79695,4.17194480196478,1.1258577368213798,0.990050503762308,609,384.974320241692,395.0,97,1786,1181.33836858006,1240.0,224,fliC-_vortex,Liquid,7
1,22,3.172975,4.487705986422269,1.07393584198518,1.07200746266059,535,323.162450066578,330.0,92,2356,1571.9414114514002,1605.0,361,fliC-_vortex,Liquid,7
1,23,2.589925,3.6607563913820202,1.0301358825208,1.01116269709676,572,364.952691680261,382.0,95,1911,1254.83197389886,1319.0,292,fliC-_vortex,Liquid,7
1,24,1.73225,2.48577164466275,1.03020407701254,1.0090713552569,439,263.960975609756,271.5,67,2000,1269.9121951219502,1306.5,275,fliC-_vortex,Liquid,7
1,25,1.9266,2.8246298679765203,1.09118050666223,1.04,2138,1440.76315789474,1526.0,460,2143,1398.37280701754,1462.0,287,fliC-_vortex,Liquid,7
1,26,2.1801,3.2638582233137705,1.08016610529258,0.975,784,480.908914728682,501.5,156,2055,1332.3003875969,1393.0,304,fliC-_vortex,Liquid,7
1,27,2.91525,4.351173157302029,1.0823738475359599,1.0174109297624,503,304.110144927536,313.0,90,1889,1254.88260869565,1305.0,288,fliC-_vortex,Liquid,7
1,28,2.1632,3.0707097574855,1.035842545295,1.0174109297624,1390,902.79296875,942.0,297,1961,1198.74609375,1304.0,247,fliC-_vortex,Liquid,7
2,2,1.677325,2.5238477631085,1.0203884108344599,0.91,1509,1004.07304785894,1048.0,346,1612,1034.35264483627,1135.0,246,fliC-_vortex,Liquid,7
2,3,1.6562,2.59574593117676,1.05054558451217,0.990050503762308,1600,1092.10714285714,1120.5,332,1643,1144.8801020408198,1209.5,430,fliC-_vortex,Liquid,7
2,4,3.308175,4.79416646816,1.07481918093033,1.02774023955472,470,274.111111111111,277.0,81,1729,1126.76117496807,1196.0,248,fliC-_vortex,Liquid,7
2,5,1.9773,3.0038582233137703,1.08176926914207,1.0090713552569,1348,905.070512820513,943.5,306,1686,1094.6324786324801,1151.0,244,fliC-_vortex,Liquid,7
2,6,2.480075,3.9046194077712597,1.0318808851444599,0.845,3699,2610.48722316865,2704.0,855,1900,1146.5587734241901,1254.0,199,fliC-_vortex,Liquid,7
2,7,1.939275,2.8961626970967598,1.0740368042222599,1.0090713552569,1177,792.228758169935,826.0,199,1928,1219.09368191721,1303.0,266,fliC-_vortex,Liquid,7
