Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.3153,3.35763363903975,1.05596275723748,1.02774023955472,496,314.552919708029,327.5,83,1499,975.965328467153,1046.0,224,pilA-fliC-_incu,Liquid,3
1,2,2.57725,3.61386868351903,1.06604259790424,1.13517619777724,358,219.398360655738,225.5,44,1253,843.314754098361,883.5,178,pilA-fliC-_incu,Liquid,3
1,3,2.07025,3.122278760297,1.07706255247401,0.990050503762308,442,282.165306122449,290.5,82,1378,927.367346938776,968.0,158,pilA-fliC-_incu,Liquid,3
1,4,2.877225,4.06610080991951,1.05287650009231,1.07594144822105,505,309.412628487518,317.0,69,1389,920.395007342144,961.0,222,pilA-fliC-_incu,Liquid,3
1,5,2.125175,3.40039105243401,1.05367589863188,0.867208164168212,584,369.998011928429,385.0,120,1356,917.234592445328,948.0,201,pilA-fliC-_incu,Liquid,3
1,6,2.07025,3.122278760297,1.07706255247401,0.990050503762308,459,279.438775510204,291.5,73,1304,826.887755102041,868.0,160,pilA-fliC-_incu,Liquid,3
1,7,2.209675,3.227695526217,1.03451779686442,0.946414285606467,815,529.663479923518,550.0,163,1291,806.338432122371,859.0,222,pilA-fliC-_incu,Liquid,3
1,8,1.86745,2.84459369428526,1.06643856729112,1.0174109297624,557,355.932126696833,370.0,109,1345,850.513574660633,916.0,236,pilA-fliC-_incu,Liquid,3
1,10,2.488525,3.76617315730203,1.07966912753363,1.0090713552569,482,302.865874363328,316.0,95,1413,923.246179966044,983.0,237,pilA-fliC-_incu,Liquid,3
1,11,2.057575,2.90688770786299,1.05030636347927,0.946414285606467,538,333.328542094456,346.0,97,1351,882.457905544148,937.0,210,pilA-fliC-_incu,Liquid,3
1,12,2.108275,3.14962986797652,1.08215376582547,0.990050503762308,529,329.336673346693,341.0,86,1332,866.094188376754,900.0,158,pilA-fliC-_incu,Liquid,3
1,13,2.3998,3.82150711563425,1.06282216429717,0.946414285606467,714,459.656690140845,465.5,137,1474,982.316901408451,1000.0,275,pilA-fliC-_incu,Liquid,3
1,14,2.6026,3.82655374953077,1.08168780697771,0.975,538,328.75,340.5,102,1210,729.462662337662,777.0,176,pilA-fliC-_incu,Liquid,3
1,15,3.409575,5.08805040495976,1.06869354253795,1.0090713552569,474,270.94175960347,275.0,70,1337,844.774473358116,898.0,156,pilA-fliC-_incu,Liquid,3
1,16,3.4307,5.20732539419352,1.12656144275149,0.975,511,326.044334975369,335.0,104,1531,955.304187192118,988.0,230,pilA-fliC-_incu,Liquid,3
1,17,2.366,3.47001046020526,1.07350820738083,0.975,786,503.275,522.5,128,1461,1015.32321428571,1064.0,240,pilA-fliC-_incu,Liquid,3
1,18,2.3829,3.60924927574778,1.07966912753363,0.990050503762308,452,271.398936170213,280.0,99,1298,849.946808510638,905.5,231,pilA-fliC-_incu,Liquid,3
1,19,2.81385,4.49885822331377,1.06874657841954,0.946414285606467,680,436.836336336336,454.0,133,1396,891.761261261261,901.0,210,pilA-fliC-_incu,Liquid,3
1,20,3.198325,4.33731493398826,1.04852813742386,1.0090713552569,650,407.692206076618,434.0,72,1362,876.278731836196,929.0,227,pilA-fliC-_incu,Liquid,3
1,21,2.0618,3.057278760297,1.07735847996135,0.990050503762308,529,328.862704918033,335.0,102,1224,783.532786885246,818.5,248,pilA-fliC-_incu,Liquid,3
1,22,2.6871,3.9561265234055,1.07508499150422,0.946414285606467,602,380.482704402516,389.5,120,1314,827.718553459119,876.5,185,pilA-fliC-_incu,Liquid,3
1,23,2.98285,4.29270598642227,1.07559088283283,1.0090713552569,509,308.926345609065,320.0,85,1445,955.109065155807,1022.5,232,pilA-fliC-_incu,Liquid,3
1,24,2.1632,2.86,1.0,0.975,590,384.205078125,403.0,83,1588,1034.072265625,1088.5,287,pilA-fliC-_incu,Liquid,3
