Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.015325,3.08882204962251,1.10482544544142,0.990050503762308,409,246.687631027254,252.0,63,1673,1049.0251572327,1162.0,255,pilA-fliC-_vortex,Liquid,2
1,3,3.2786,4.54808657865101,1.05858160859259,1.02774023955472,653,412.190721649485,430.0,92,1820,1167.08505154639,1242.0,227,pilA-fliC-_vortex,Liquid,2
1,4,2.294175,3.317278760297,1.07591348884495,1.07200746266059,641,404.158379373849,413.0,74,1696,1100.03867403315,1144.0,200,pilA-fliC-_vortex,Liquid,2
1,5,2.535,3.66962986797652,1.0814978291017,1.0090713552569,674,415.173333333333,436.0,105,1777,1195.90333333333,1273.5,251,pilA-fliC-_vortex,Liquid,2
1,6,2.319525,3.2388477631085,1.01690667601523,0.946414285606467,643,424.298724954463,442.0,109,1812,1169.86885245902,1281.0,234,pilA-fliC-_vortex,Liquid,2
1,7,2.412475,3.666861994377,1.06763671806683,0.990050503762308,617,393.320490367776,409.0,96,1794,1189.90893169877,1261.0,204,pilA-fliC-_vortex,Liquid,2
1,8,1.8928,2.83769552621701,1.03476668459675,0.946414285606467,396,250.566964285714,255.5,62,1513,1012.03348214286,1071.5,212,pilA-fliC-_vortex,Liquid,2
1,9,2.463175,3.28154328932551,1.04365474598586,1.0174109297624,569,367.965694682676,384.0,101,2249,1455.63293310463,1582.0,269,pilA-fliC-_vortex,Liquid,2
1,10,4.220775,6.22268027293627,1.08002983794504,1.0090713552569,387,243.449449449449,250.0,50,1709,1114.7037037037,1157.0,287,pilA-fliC-_vortex,Liquid,2
1,11,2.412475,3.50808657865101,1.06982576540532,0.946414285606467,483,288.159369527145,298.0,103,1649,1099.95446584939,1204.0,190,pilA-fliC-_vortex,Liquid,2
1,12,3.28705,4.52195526217004,1.05735083308015,1.02774023955472,876,563.701799485861,577.0,152,2405,1592.13624678663,1671.0,256,pilA-fliC-_vortex,Liquid,2
1,13,1.778725,2.69001046020527,1.0812392429733,0.990050503762308,533,326.686460807601,341.0,93,1627,1096.93824228029,1150.0,199,pilA-fliC-_vortex,Liquid,2
1,14,2.598375,4.03270598642227,1.07772250342249,0.946414285606467,525,294.59674796748,299.0,87,1848,1156.76260162602,1241.0,209,pilA-fliC-_vortex,Liquid,2
1,15,2.488525,3.7184309971885,1.08401120238706,0.975,557,364.370118845501,382.0,81,1777,1172.72156196944,1219.0,262,pilA-fliC-_vortex,Liquid,2
1,16,3.341975,4.64001046020527,1.06119772726037,1.0090713552569,587,378.700379266751,391.0,91,2135,1394.98988621997,1446.0,379,pilA-fliC-_vortex,Liquid,2
1,17,2.96595,4.32616269709676,1.0569827405123,0.946414285606467,629,405.804843304843,419.0,148,1787,1197.74501424501,1275.5,241,pilA-fliC-_vortex,Liquid,2
1,18,2.89835,3.97423881554251,1.05653291200827,1.0090713552569,538,338.886297376093,352.5,109,1704,1158.6472303207,1215.5,222,pilA-fliC-_vortex,Liquid,2
1,19,2.894125,4.51605417602299,1.07142749365084,0.990050503762308,542,338.369343065693,345.0,70,1845,1201.58686131387,1252.0,256,pilA-fliC-_vortex,Liquid,2
1,20,2.344875,3.33539105243401,1.05449021401442,0.946414285606467,494,306.255855855856,318.0,93,1741,1127.59459459459,1216.0,233,pilA-fliC-_vortex,Liquid,2
1,21,3.046225,4.58616269709676,1.05449021401442,0.946414285606467,667,419.452149791956,433.0,132,1856,1268.47156726768,1314.0,225,pilA-fliC-_vortex,Liquid,2
1,22,3.16875,4.61308657865101,1.05796668471339,0.946414285606467,403,249.102666666667,258.0,73,1509,1039.08533333333,1114.0,206,pilA-fliC-_vortex,Liquid,2
1,23,2.2477,3.33724258660574,1.07289366056904,1.0090713552569,481,297.475563909774,310.5,71,1464,916.464285714286,998.0,162,pilA-fliC-_vortex,Liquid,2
1,24,2.218125,3.23502092041053,1.06181463866535,1.02774023955472,462,264.415238095238,269.0,59,1702,1030.07047619048,1092.0,219,pilA-fliC-_vortex,Liquid,2
1,25,1.98575,3.04002092041053,1.05319735644355,0.990050503762308,644,421.523404255319,437.5,122,1718,1074.68936170213,1156.5,185,pilA-fliC-_vortex,Liquid,2
1,26,2.9406,4.24305040495975,1.11950329405992,1.0090713552569,571,352.64224137931,371.5,84,1857,1221.85488505747,1315.5,222,pilA-fliC-_vortex,Liquid,2
1,27,2.028,2.78846717087976,1.05643273845386,1.0090713552569,423,233.835416666667,239.0,42,1758,1062.00625,1153.0,203,pilA-fliC-_vortex,Liquid,2
1,28,2.353325,3.42078210486802,1.08057449507612,0.990050503762308,503,301.337522441652,317.0,100,1937,1339.62118491921,1416.0,313,pilA-fliC-_vortex,Liquid,2
1,29,3.401125,5.08422356226178,1.06275183755529,0.990050503762308,538,310.608695652174,316.0,69,1553,955.946583850932,999.0,131,pilA-fliC-_vortex,Liquid,2
1,30,2.108275,3.25689816806826,1.07711530028528,0.990050503762308,540,331.160320641283,345.0,67,1695,1109.82364729459,1161.0,171,pilA-fliC-_vortex,Liquid,2
1,31,2.99975,4.47883250982777,1.06564212888553,0.990050503762308,782,520.787323943662,547.5,160,1913,1297.4014084507,1376.0,184,pilA-fliC-_vortex,Liquid,2
1,32,2.742025,3.98618361750729,1.03882538132999,1.01533245786787,494,289.534668721109,294.0,61,2017,1339.36979969183,1417.0,322,pilA-fliC-_vortex,Liquid,2
1,33,2.8223,4.13848809129029,1.06277571997986,1.02774023955472,569,357.889221556886,373.0,104,1600,1089.18413173653,1152.5,196,pilA-fliC-_vortex,Liquid,2
1,34,2.699775,3.91805040495976,1.0769026972816,1.0090713552569,505,317.175273865415,328.0,117,1876,1201.91705790297,1318.0,234,pilA-fliC-_vortex,Liquid,2
1,35,2.6195,3.51881158941724,1.06148162576689,1.07200746266059,538,323.704838709677,335.0,78,2118,1298.52741935484,1366.0,269,pilA-fliC-_vortex,Liquid,2
1,36,2.28995,3.19885822331377,1.08063059566089,0.990050503762308,649,402.212177121771,415.0,141,1321,856.734317343173,925.5,177,pilA-fliC-_vortex,Liquid,2
1,37,3.325075,4.79310749906154,1.06346103789448,1.02774023955472,632,398.426937738247,410.0,133,2032,1329.30368487929,1390.0,234,pilA-fliC-_vortex,Liquid,2
1,38,2.23925,3.21420264185125,1.07778924854023,1.0174109297624,588,369.61320754717,380.0,51,1943,1243.95283018868,1289.5,233,pilA-fliC-_vortex,Liquid,2
1,39,3.020875,4.54383250982777,1.06703607160972,0.990050503762308,597,408.606993006993,427.0,141,1957,1326.97902097902,1436.0,313,pilA-fliC-_vortex,Liquid,2
1,40,1.947725,2.82420264185125,1.07784376956357,1.0090713552569,486,287.249457700651,298.0,64,1808,1176.44251626898,1238.0,340,pilA-fliC-_vortex,Liquid,2
1,41,2.10405,2.88692388155425,1.00915334979845,1.0090713552569,357,207.638554216867,215.0,64,1554,952.076305220884,1052.0,158,pilA-fliC-_vortex,Liquid,2
