Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,5.733325,8.783117959266809,1.08196901238391,0.9306583691129631,24066,18035.398673544598,19044.0,5185,2870,2074.11053795136,2230.0,314,pilJ-cpdA-fliC-_incu,Liquid,1
1,2,4.35175,6.48040151263927,1.06753105299777,0.946414285606467,38706,27652.8514563107,28855.0,6497,3335,2203.37475728155,2363.0,347,pilJ-cpdA-fliC-_incu,Liquid,1
1,4,2.86455,3.93652803604478,1.0318234151356,1.02774023955472,21263,15014.982300885,15930.5,4861,3095,2111.30825958702,2297.5,520,pilJ-cpdA-fliC-_incu,Liquid,1
1,5,3.0927,4.949238815542509,1.0474749583133,0.867208164168212,18455,13325.7827868852,13895.5,4642,3796,2598.97404371585,2701.5,419,pilJ-cpdA-fliC-_incu,Liquid,1
1,6,2.03645,3.18493811282275,1.05772503198282,0.937443331620637,15169,10660.2614107884,11135.0,4023,2446,1550.03941908714,1691.5,281,pilJ-cpdA-fliC-_incu,Liquid,1
1,8,2.2139,3.3618877078629903,1.05531799840322,0.867208164168212,20940,15082.0820610687,15709.5,4566,3700,2543.05534351145,2662.0,491,pilJ-cpdA-fliC-_incu,Liquid,1
1,9,2.429375,3.72077164466275,1.0220270745129498,0.867208164168212,13498,9503.08869565217,9955.0,2612,2626,1783.06086956522,1903.0,223,pilJ-cpdA-fliC-_incu,Liquid,1
1,10,3.122275,4.854974286514,1.07251335350217,0.8840955830678041,19458,14047.6630581867,14661.0,4090,2909,2044.5399188092001,2190.0,345,pilJ-cpdA-fliC-_incu,Liquid,1
1,11,3.992625,6.263889603929559,1.05195703127728,0.9306583691129631,10849,7912.501587301591,8425.0,2608,2644,1833.71005291005,2009.0,388,pilJ-cpdA-fliC-_incu,Liquid,1
2,1,2.623725,3.9788582233137704,1.07375061921325,0.946414285606467,7852,5589.88727858293,5836.0,1333,2500,1703.03542673108,1811.0,239,pilJ-cpdA-fliC-_incu,Liquid,1
2,2,2.66175,4.12654328932551,1.04074231761047,0.867208164168212,14452,10477.453968254,11059.5,3005,2295,1579.50158730159,1664.0,299,pilJ-cpdA-fliC-_incu,Liquid,1
2,3,2.902575,4.3215432893255095,1.03429721352147,0.867208164168212,14415,10513.1965065502,11010.0,2911,2689,1867.68558951965,1988.0,301,pilJ-cpdA-fliC-_incu,Liquid,1
2,4,3.713775,5.7134052837025,1.07796214263523,0.8840955830678041,16510,11983.855517633701,12642.0,3050,2962,2118.03754266212,2264.0,376,pilJ-cpdA-fliC-_incu,Liquid,1
2,6,2.235025,3.31579256507328,1.04962471947159,1.0090713552569,18234,12971.0170132325,13615.0,3507,2878,1954.7429111531198,2089.0,492,pilJ-cpdA-fliC-_incu,Liquid,1
2,8,2.9913,4.5707563913820195,1.06483342525065,0.937443331620637,14077,10090.081920904,10567.0,2787,2461,1727.56638418079,1823.5,303,pilJ-cpdA-fliC-_incu,Liquid,1
2,9,2.463175,4.1668981680682595,1.11934150767909,0.867208164168212,22067,16403.5454545455,17379.0,5490,2583,1756.18181818182,1876.0,242,pilJ-cpdA-fliC-_incu,Liquid,1
2,10,2.30685,3.5415432893255097,1.0408877959734901,0.867208164168212,25044,17517.064102564098,18224.0,3860,4242,2807.44871794872,2904.0,416,pilJ-cpdA-fliC-_incu,Liquid,1
2,11,2.5688,3.80154328932551,1.03843661857109,0.867208164168212,21497,15974.3996710526,16886.0,5621,2517,1754.99506578947,1853.5,288,pilJ-cpdA-fliC-_incu,Liquid,1
3,2,3.105375,4.64001046020527,1.0611977272603699,0.946414285606467,20915,15089.537414966,15788.0,3986,3396,2241.6829931972798,2411.0,514,pilJ-cpdA-fliC-_incu,Liquid,1
3,3,2.71245,4.184948573028009,1.03831372979228,0.990050503762308,12493,9118.32242990654,9606.0,2934,2424,1740.6853582554502,1854.0,312,pilJ-cpdA-fliC-_incu,Liquid,1
3,4,2.39135,3.7457821048680198,1.07813720622286,0.946414285606467,7040,5111.712014134279,5325.5,1999,2856,2018.5053003533603,2160.5,306,pilJ-cpdA-fliC-_incu,Liquid,1
3,5,2.5012,3.87073547097149,1.05917540560048,0.845,18894,13988.320945945901,14843.0,4555,2337,1661.2432432432402,1770.0,306,pilJ-cpdA-fliC-_incu,Liquid,1
