Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.147625,4.53693434175952,1.06541616283427,0.946414285606467,14719,10646.1704697987,11169.0,3017,1965,1287.75704697987,1348.0,302,pilJ-cpdA-fliC-_vortex,Liquid,1
1,2,2.936375,4.23423881554251,1.05383707536974,0.946414285606467,14236,10409.7870503597,11160.0,3211,2351,1597.7309352518,1806.0,290,pilJ-cpdA-fliC-_vortex,Liquid,1
1,3,2.9575,4.60464032818178,1.07718252739302,0.937443331620637,16660,12130.5685714286,12765.0,4192,2468,1705.05857142857,1836.5,275,pilJ-cpdA-fliC-_vortex,Liquid,1
1,4,3.003975,4.18039105243401,1.04537139221418,1.0090713552569,14146,9756.89170182841,10479.0,3029,2422,1534.25457102672,1701.0,329,pilJ-cpdA-fliC-_vortex,Liquid,1
1,5,2.970175,4.35308657865101,1.06048950143785,0.946414285606467,15242,11058.1308677098,11661.0,2806,3027,1986.53627311522,2188.0,323,pilJ-cpdA-fliC-_vortex,Liquid,1
1,6,3.679975,5.35771644662753,1.10363918937552,0.990050503762308,16266,11628.2273249139,12114.0,4095,3205,2021.65212399541,2277.0,308,pilJ-cpdA-fliC-_vortex,Liquid,1
1,7,2.7547,4.05501046020527,1.06706922074949,0.946414285606467,16564,12216.0935582822,12906.0,3450,2848,1956.60889570552,2166.5,342,pilJ-cpdA-fliC-_vortex,Liquid,1
1,8,4.753125,6.52039105243401,1.03066260131189,0.946414285606467,15671,9999.928,9903.0,2886,3089,1907.13066666667,1987.0,505,pilJ-cpdA-fliC-_vortex,Liquid,1
1,9,3.5321,5.16882204962251,1.07401094812037,0.946414285606467,15200,11160.3062200957,11691.0,3725,2484,1643.12081339713,1861.5,264,pilJ-cpdA-fliC-_vortex,Liquid,1
1,10,2.50965,3.8057354709715,1.05056884070886,0.872066511224918,12176,8999.35858585859,9472.5,3522,1986,1236.65656565657,1388.0,266,pilJ-cpdA-fliC-_vortex,Liquid,1
1,11,2.961725,4.48265935252575,1.06048257731058,0.91,12861,9270.67617689016,9771.0,3200,2815,1824.99001426534,2085.0,342,pilJ-cpdA-fliC-_vortex,Liquid,1
1,12,4.110925,5.89959369428526,1.07436264004312,0.946414285606467,20263,15368.3422404933,16048.0,4923,3761,2541.87872559096,2765.0,484,pilJ-cpdA-fliC-_vortex,Liquid,1
1,13,4.263025,6.33001046020526,1.04811805096394,0.930658369112963,17265,13000.1100099108,13654.0,4911,2962,1960.00693756194,2217.0,418,pilJ-cpdA-fliC-_vortex,Liquid,1
