Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.699775,4.025745931176759,1.1165270724871499,0.9597134989151709,467,277.031298904538,283.0,73,1082,674.9593114241001,733.0,159,pilT-fliC-_incu,Liquid,1
1,3,1.95195,2.97040151263927,1.07414401585807,0.990050503762308,790,492.09090909090895,508.5,160,1279,844.796536796537,874.5,219,pilT-fliC-_incu,Liquid,1
1,4,2.040675,3.17655374953077,1.0814712604780201,0.990050503762308,742,479.730848861284,501.0,113,1204,792.9544513457561,820.0,282,pilT-fliC-_incu,Liquid,1
1,5,2.03645,3.01501046020526,1.0784241439593198,1.0090713552569,384,240.82365145228198,249.5,61,1053,678.3381742738591,717.0,109,pilT-fliC-_incu,Liquid,1
1,6,2.040675,2.83769552621701,1.0382723976928,0.990050503762308,682,435.600414078675,455.0,129,1397,839.2049689440989,916.0,182,pilT-fliC-_incu,Liquid,1
1,7,2.640625,4.025745931176759,1.1165270724871499,1.0090713552569,1429,915.1408,950.0,269,1226,781.9119999999999,821.0,136,pilT-fliC-_incu,Liquid,1
1,8,2.378675,3.5149847467192696,1.04283281080585,1.01116269709676,698,460.259325044405,477.0,141,1192,784.5648312611011,837.0,264,pilT-fliC-_incu,Liquid,1
1,9,2.725125,4.38924927574778,1.08226767610348,0.946414285606467,656,402.993798449612,412.0,73,1157,713.486821705426,767.0,120,pilT-fliC-_incu,Liquid,1
1,10,3.03355,4.3684309971885,1.06090755847513,0.990050503762308,1289,853.923398328691,892.0,255,1268,782.891364902507,841.5,125,pilT-fliC-_incu,Liquid,1
1,11,2.84765,4.072695526217,1.02660990080986,0.946414285606467,1038,688.106824925816,720.0,211,1302,862.7626112759641,906.5,179,pilT-fliC-_incu,Liquid,1
1,12,2.082925,3.14501046020527,1.07708048353565,0.975,1112,727.180527383367,751.0,215,1268,845.01014198783,878.0,176,pilT-fliC-_incu,Liquid,1
1,13,1.795625,2.68539105243401,1.0638821202286,0.946414285606467,488,300.578823529412,313.0,95,1500,998.294117647059,1025.0,270,pilT-fliC-_incu,Liquid,1
1,14,2.197,3.3645936942852597,1.0700679124902501,1.0090713552569,623,381.176923076923,400.0,123,1111,718.532692307692,764.5,152,pilT-fliC-_incu,Liquid,1
1,15,1.90125,2.85765935252575,1.06628338031655,1.0090713552569,1295,796.531111111111,818.5,257,1182,763.455555555556,789.5,166,pilT-fliC-_incu,Liquid,1
1,17,1.39425,2.09577164466275,1.0352488014510601,0.946414285606467,723,455.993939393939,474.5,157,2473,1609.7636363636402,1646.0,357,pilT-fliC-_incu,Liquid,1
1,18,2.07025,3.07077164466275,1.02677133581307,0.946414285606467,1387,977.1428571428571,1016.0,355,1605,1127.50204081633,1172.5,344,pilT-fliC-_incu,Liquid,1
1,19,1.9773,3.1111265234055,1.0783784579059499,0.990050503762308,733,470.121794871795,485.0,151,2174,1455.29700854701,1550.5,286,pilT-fliC-_incu,Liquid,1
1,20,2.13785,3.30421310205652,1.04996757791656,0.937443331620637,795,496.32015810276704,517.0,148,1246,837.8675889328059,899.0,221,pilT-fliC-_incu,Liquid,1
1,21,1.85055,2.68077164466275,1.02817832077932,0.946414285606467,767,496.924657534247,516.0,169,1156,733.143835616438,765.5,117,pilT-fliC-_incu,Liquid,1
1,22,3.434925,5.33960415449053,1.07329973461504,0.990050503762308,677,427.85731857318603,440.0,141,1287,860.233702337023,896.0,158,pilT-fliC-_incu,Liquid,1
1,23,2.006875,2.7188477631085,1.01899389366644,0.946414285606467,936,593.1978947368419,606.0,205,994,581.155789473684,625.0,107,pilT-fliC-_incu,Liquid,1
1,24,1.98575,3.0238220496225097,1.10232818839368,0.9921819389607941,870,558.770212765957,593.0,143,1232,781.8914893617019,829.5,141,pilT-fliC-_incu,Liquid,1
1,25,2.201225,2.99,1.0,0.91,630,417.67562380038396,431.0,116,1437,956.650671785029,1007.0,228,pilT-fliC-_incu,Liquid,1
1,26,2.2477,3.2253548787427504,1.07465867609983,0.990050503762308,1157,742.176691729323,776.0,182,1307,807.18045112782,859.5,162,pilT-fliC-_incu,Liquid,1
1,27,3.164525,4.370771644662749,1.01871096398014,0.975,1381,908.704939919893,949.0,228,1371,881.8504672897199,939.0,176,pilT-fliC-_incu,Liquid,1
1,28,2.5181,3.4115432893255098,1.04222840475901,1.0090713552569,520,297.097315436242,305.0,65,1254,815.536912751678,864.5,181,pilT-fliC-_incu,Liquid,1
1,29,2.716675,3.87116269709676,1.06181463866535,0.975,557,355.573872472784,369.0,91,1153,735.987558320373,798.0,146,pilT-fliC-_incu,Liquid,1
1,31,1.998425,2.97459369428526,1.0780450331365201,1.0174109297624,419,251.02536997885798,254.0,78,1229,794.560253699789,837.0,183,pilT-fliC-_incu,Liquid,1
1,32,3.64195,5.36333293631999,1.05122527971248,1.02774023955472,524,320.023201856148,333.0,63,1462,918.022041763341,970.0,142,pilT-fliC-_incu,Liquid,1
1,33,2.057575,3.4142492757477796,1.07714940074813,0.9306583691129631,706,435.80698151950696,453.0,142,1138,742.1765913757699,791.0,134,pilT-fliC-_incu,Liquid,1
1,34,3.781375,5.332705986422269,1.07264583372861,1.0090713552569,570,338.255865921788,348.0,104,1287,810.300558659218,847.0,232,pilT-fliC-_incu,Liquid,1
1,35,3.1434,4.71616269709676,1.0613962080119599,0.946414285606467,574,369.461021505376,380.0,116,1493,960.826612903226,986.5,216,pilT-fliC-_incu,Liquid,1
1,36,3.054675,4.82847763108502,1.09765062277895,0.946414285606467,728,449.092669432918,458.0,136,1149,693.289073305671,750.0,118,pilT-fliC-_incu,Liquid,1
1,37,1.897025,2.69192388155425,1.00980245680903,0.946414285606467,1399,950.922048997773,997.0,303,1460,999.144766146993,1054.0,197,pilT-fliC-_incu,Liquid,1
1,38,3.0927,4.57458323408,1.0662140406918101,0.946414285606467,928,595.3374316939891,611.5,200,1162,717.755464480874,774.5,135,pilT-fliC-_incu,Liquid,1
1,39,2.535,3.68540151263927,1.08218193200772,0.990050503762308,491,307.261666666667,314.0,71,1051,659.151666666667,715.5,147,pilT-fliC-_incu,Liquid,1
1,40,2.7885,4.14310749906154,1.04114940222289,0.990050503762308,1658,1084.14393939394,1132.0,391,1393,889.4181818181821,943.5,163,pilT-fliC-_incu,Liquid,1
1,41,2.5688,3.69655374953077,1.08211104945591,1.0090713552569,504,312.610197368421,327.0,86,1180,792.7154605263161,848.0,164,pilT-fliC-_incu,Liquid,1
1,42,2.2815,3.2253548787427504,1.07465867609983,0.990050503762308,685,446.15,462.5,152,1424,904.077777777778,940.5,183,pilT-fliC-_incu,Liquid,1
