Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.6702,3.9992492757477796,1.0820872151407,1.0090713552569,1287,832.6677215189869,865.5,194,1246,810.89082278481,856.0,162,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,2,2.682875,4.0707821048680195,1.07531716468635,0.946414285606467,609,394.795275590551,411.0,115,1269,800.710236220472,852.0,137,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,3,1.9942,2.8826698127310095,1.05892877304121,1.02774023955472,496,302.14406779661,319.5,85,1107,714.353813559322,748.0,128,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,4,3.13495,4.662680272936281,1.2380740160341999,0.990050503762308,617,354.796495956873,364.5,71,1599,992.9177897574119,1070.5,151,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,5,4.051775,5.6957821048680195,1.0765818872525001,1.0090713552569,572,345.358706986444,357.0,84,1423,889.900938477581,961.0,151,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,6,2.074475,2.9407716446627497,1.02586010971339,0.946414285606467,531,328.849287169043,340.0,99,1263,805.955193482688,849.0,125,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,7,3.64195,5.593071325370281,1.06959101677099,0.975,555,357.025522041763,366.5,83,1089,697.470997679814,740.5,90,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,8,2.834975,4.09345191759903,1.03115017759332,0.975,426,268.329359165425,280.0,56,1057,705.029806259314,760.0,119,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,9,2.12095,3.18117315730203,1.06874657841954,1.02774023955472,856,559.830677290837,584.5,159,1216,782.0318725099601,830.5,118,pilT-fliC-_pilA_T8V_incu,Liquid,2
1,10,2.868775,4.093879143724299,1.02373775236646,1.02774023955472,558,335.955817378498,344.0,81,1237,734.6273932253309,799.0,98,pilT-fliC-_pilA_T8V_incu,Liquid,2
