Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.429375,3.62040151263927,1.08198301701027,1.0090713552569,392,238.914782608696,252.0,57,1441,923.288695652174,994.0,171,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,2,1.8759,2.8246298679765203,1.1016493793509199,1.04,2390,1576.93693693694,1635.5,517,1428,917.810810810811,960.0,189,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,3,2.0449,2.9815537495307702,1.07966912753363,1.0090713552569,539,331.115702479339,346.0,85,1458,939.2066115702479,1013.0,247,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,4,3.325075,5.2403548787427505,1.07152119140146,0.867208164168212,1716,1191.61753494282,1241.0,424,1493,999.529860228717,1065.0,192,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,5,1.964625,2.9138477631085,1.01777700919844,0.867208164168212,506,306.290322580645,318.0,104,1363,906.204301075269,951.0,200,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,6,3.105375,4.44537579915328,1.04245902337098,1.0174109297624,465,269.419047619048,275.0,80,1401,867.9401360544219,917.0,203,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,7,2.13785,3.0484671708797597,1.05265949037412,0.975,916,616.571146245059,636.0,199,1496,903.8438735177871,971.0,201,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,8,2.197,3.1180865786510097,1.07453647935373,1.0090713552569,500,313.815384615385,325.0,80,1464,933.3076923076919,993.5,179,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,9,2.94905,4.424557520594,1.0902737888887701,1.0174109297624,519,336.406876790831,346.0,94,1540,937.6747851002871,1019.0,227,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,10,3.587025,5.11731493398826,1.04886686935844,1.0090713552569,1196,794.118963486455,828.0,235,1899,1219.13898704358,1265.0,270,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,11,2.632175,4.28383250982777,1.0837663746571,0.946414285606467,342,206.21027287319401,211.0,54,1215,783.027287319422,804.0,163,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,12,3.2110000000000003,5.17195526217004,1.07791123593285,0.990050503762308,860,577.318421052632,596.0,134,1371,897.897368421053,941.0,171,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,13,3.21945,4.700329165256759,1.06968724201781,1.0090713552569,831,534.1850393700789,546.5,142,1820,1163.18766404199,1199.0,283,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,14,2.496975,3.91762317883449,1.0701452165724001,0.946414285606467,771,509.34348561759697,531.0,148,1489,956.834179357022,1019.0,168,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,15,2.79695,4.44266981273101,1.07934055113224,0.946414285606467,1468,971.9712990936561,1008.0,285,1787,1198.24622356495,1257.0,256,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,16,2.69555,3.6761626970967596,1.06407475837916,1.0090713552569,752,475.663009404389,500.5,130,1795,1173.7789968652,1235.5,223,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,17,1.989975,3.0484671708797597,1.05265949037412,0.91,2704,1836.7707006369396,1920.0,596,1566,1025.1273885350301,1077.0,208,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,18,3.088475,4.47378587593125,1.0837964557346,1.02774023955472,510,326.960328317373,337.0,93,1473,936.979480164159,972.0,250,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,19,2.94905,4.55923881554251,1.0507669241002902,0.946414285606467,504,299.838108882522,306.0,79,1286,813.032951289398,842.0,135,pilT-fliC-_pilA_T8V_vortex,Liquid,1
1,20,1.787175,2.4588477631085,1.02238992229044,1.0090713552569,559,337.439716312057,348.0,112,1743,1140.12056737589,1195.0,307,pilT-fliC-_pilA_T8V_vortex,Liquid,1
