Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.3491,3.25881158941724,1.05158934637819,1.0090713552569,1263,822.980215827338,847.0,219,1040,668.735611510791,693.5,154,pilT-fliC-_vortex,Liquid,3
1,2,2.0956,2.96344145739377,1.0456634719543,1.06607926534569,619,388.159274193548,400.0,115,1214,771.387096774194,796.5,212,pilT-fliC-_vortex,Liquid,3
1,3,1.6731,2.49692388155425,1.01055050385483,0.91,941,589.646464646465,603.5,211,1142,761.212121212121,800.0,182,pilT-fliC-_vortex,Liquid,3
1,4,2.074475,2.82654328932551,1.04943884835915,1.0090713552569,488,274.433808553971,288.0,61,1288,817.399185336049,848.0,188,pilT-fliC-_vortex,Liquid,3
1,5,2.285725,3.63765935252575,1.05686536570998,0.91,398,248.959334565619,250.0,71,988,662.781885397412,689.0,211,pilT-fliC-_vortex,Liquid,3
1,6,2.05335,2.90688770786299,1.05030636347927,1.0090713552569,661,400.041152263375,419.0,125,1553,1002.61316872428,1061.0,200,pilT-fliC-_vortex,Liquid,3
1,7,2.86455,4.056861994377,1.07354073310797,1.02774023955472,848,549.545722713864,567.5,140,1286,844.308259587021,878.0,257,pilT-fliC-_vortex,Liquid,3
1,8,3.401125,4.79964032818178,1.07914457654649,1.02774023955472,689,418.094409937888,426.0,105,1574,1024.15031055901,1065.0,221,pilT-fliC-_vortex,Liquid,3
1,9,3.6842,5.40885822331377,1.06075111096066,0.975,645,437.029816513761,451.0,156,1456,1001.27064220183,1052.5,276,pilT-fliC-_vortex,Liquid,3
1,10,2.10405,3.08462986797652,1.08190012004355,1.0090713552569,645,389.339357429719,403.0,88,1442,944.967871485944,991.0,188,pilT-fliC-_vortex,Liquid,3
1,11,2.742025,3.8238477631085,1.01428322628873,1.0090713552569,714,457.71186440678,474.0,118,1134,732.37750385208,748.0,156,pilT-fliC-_vortex,Liquid,3
1,12,2.099825,3.02154328932551,1.05648366759633,1.0090713552569,948,636.203219315895,658.0,158,1407,925.837022132797,963.0,175,pilT-fliC-_vortex,Liquid,3
1,13,2.209675,3.22535487874275,1.07465867609983,1.0090713552569,819,510.424474187381,525.0,143,1408,918.458891013384,973.0,263,pilT-fliC-_vortex,Liquid,3
1,14,2.040675,3.11808657865101,1.07453647935373,0.946414285606467,512,316.532091097308,328.0,80,1304,829.724637681159,871.0,232,pilT-fliC-_vortex,Liquid,3
1,15,2.2646,3.40039105243401,1.05367589863188,0.946414285606467,793,536.957089552239,559.5,180,1468,949.007462686567,1002.5,239,pilT-fliC-_vortex,Liquid,3
1,16,2.6871,3.82846717087976,1.05160904140296,1.0090713552569,863,549.062893081761,571.5,136,1618,1085.50157232704,1151.0,214,pilT-fliC-_vortex,Liquid,3
1,17,1.79985,2.76154328932551,1.05038098032057,0.946414285606467,681,428.760563380282,438.0,158,1079,716.988262910798,732.0,219,pilT-fliC-_vortex,Liquid,3
1,18,1.973075,3.04846717087976,1.05265949037412,0.884095583067804,459,301.543897216274,317.0,89,1052,695.561027837259,728.0,197,pilT-fliC-_vortex,Liquid,3
1,19,3.0927,4.67808657865101,1.05736212161874,0.946414285606467,1067,717.665300546448,742.5,280,1576,1054.13661202186,1083.0,245,pilT-fliC-_vortex,Liquid,3
1,20,2.116725,3.05770598642227,1.08234667648461,1.04,1616,1080.02195608782,1142.0,371,1521,967.506986027944,1019.0,233,pilT-fliC-_vortex,Liquid,3
1,22,3.0927,4.99925973595304,1.07278028806081,0.937443331620637,544,355.228142076503,365.5,121,1324,881.878415300546,907.5,217,pilT-fliC-_vortex,Liquid,3
1,23,2.792725,4.12037579915328,1.02711242926501,1.0174109297624,637,408.561270801815,421.0,167,1549,1032.90620272315,1067.0,258,pilT-fliC-_vortex,Liquid,3
1,24,3.147625,5.29924927574778,1.07862102238126,0.872066511224918,974,657.398657718121,673.0,187,1386,965.747651006711,984.0,296,pilT-fliC-_vortex,Liquid,3
1,25,3.096925,4.72497428651401,1.07341847931998,0.946414285606467,590,379.215552523874,389.0,127,1524,1010.09276944065,1035.0,299,pilT-fliC-_vortex,Liquid,3
1,26,2.35755,3.28190862827352,1.01965416163315,0.975,828,543.939068100358,571.0,163,1462,963.770609318996,1003.5,232,pilT-fliC-_vortex,Liquid,3
1,27,2.03645,3.36459369428526,1.07006791249025,0.946414285606467,848,581.912863070539,599.5,197,1235,834.203319502075,872.0,265,pilT-fliC-_vortex,Liquid,3
1,28,3.62505,5.33732539419353,1.08485304657006,0.990050503762308,785,480.642191142191,497.5,107,1614,987.606060606061,1024.5,224,pilT-fliC-_vortex,Liquid,3
1,29,2.522325,4.21655374953077,1.11251231111057,0.884095583067804,834,563.304857621441,578.0,201,1050,739.830820770519,750.0,302,pilT-fliC-_vortex,Liquid,3
