Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.4674,3.68348809129029,1.05413684186276,0.975,2474,1775.2397260274,1850.5,604,1148,738.501712328767,814.5,178,fliC-_pilA_T8V,Liquid,1
1,2,1.820975,2.86270598642227,1.08161107731271,0.946414285606467,4326,2964.11832946636,3056.0,1144,1155,747.649651972158,813.0,92,fliC-_pilA_T8V,Liquid,1
1,3,2.1125,3.11574593117676,1.07915825519128,1.0090713552569,1947,1278.342,1342.5,326,1090,670.258,719.5,83,fliC-_pilA_T8V,Liquid,1
1,4,2.226575,3.40458323408,1.06364016326195,0.946414285606467,3589,2512.9715370019,2595.0,820,1175,727.066413662239,796.0,121,fliC-_pilA_T8V,Liquid,1
1,5,2.632175,3.84423881554251,1.06411373461036,1.0090713552569,853,566.643659711075,580.0,189,1328,798.804173354735,874.0,131,fliC-_pilA_T8V,Liquid,1
1,6,2.125175,3.16540151263927,1.07793840805033,0.990050503762308,2215,1558.55268389662,1630.0,469,1229,736.707753479125,820.0,123,fliC-_pilA_T8V,Liquid,1
1,7,1.770275,2.82462986797652,1.07966912753363,0.937443331620637,4536,3061.31264916468,3137.0,957,1101,609.682577565632,653.0,91,fliC-_pilA_T8V,Liquid,1
1,8,1.846325,2.77269552621701,1.03549475603858,0.91,961,650.29290617849,678.0,176,1168,712.450800915332,780.0,144,fliC-_pilA_T8V,Liquid,1
1,9,2.59415,3.44961940777126,1.03564393225383,1.0090713552569,842,500.36319218241,515.5,142,1290,851.71009771987,912.5,185,fliC-_pilA_T8V,Liquid,1
1,10,2.40825,3.56840528370251,1.0487827501893,0.975,2671,1906.54912280702,2015.5,630,1325,793.585964912281,855.0,182,fliC-_pilA_T8V,Liquid,1
1,11,2.285725,3.31451088669748,1.06488832543677,1.02774023955472,2933,2066.43068391867,2202.0,610,1379,895.247689463956,958.0,130,fliC-_pilA_T8V,Liquid,1
1,12,2.3322,3.26577164466275,1.02344365057307,0.946414285606467,1118,781.06884057971,803.0,227,1143,745.639492753623,814.0,112,fliC-_pilA_T8V,Liquid,1
1,13,2.851875,4.13997428651401,1.07705150252222,1.0090713552569,2439,1712.7362962963,1799.0,585,1281,854.954074074074,910.0,154,fliC-_pilA_T8V,Liquid,1
1,14,2.142075,3.00996382630874,1.0481127714456,0.946414285606467,1725,1172.1124260355,1235.0,371,1126,690.167652859961,768.0,76,fliC-_pilA_T8V,Liquid,1
1,15,2.6026,3.99462986797652,1.07966912753363,0.946414285606467,3143,2176.33279220779,2318.0,775,1496,943.961038961039,1007.0,230,fliC-_pilA_T8V,Liquid,1
1,16,2.10405,3.05308657865101,1.07531716468635,1.0090713552569,1821,1239.45381526104,1299.0,472,1063,670.576305220884,711.5,103,fliC-_pilA_T8V,Liquid,1
1,17,1.854775,2.69192388155425,1.00980245680903,0.867208164168212,3420,2334.39635535308,2420.0,773,1305,826.715261958998,868.0,183,fliC-_pilA_T8V,Liquid,1
1,18,3.485625,5.15539105243401,1.04036433112472,0.946414285606467,1958,1330.91757575758,1375.0,394,1123,643.598787878788,705.0,89,fliC-_pilA_T8V,Liquid,1
1,19,2.091375,3.09578210486802,1.08216184754124,0.990050503762308,1013,666.282828282828,695.0,279,1274,799.915151515151,862.0,194,fliC-_pilA_T8V,Liquid,1
1,20,2.184325,3.19381158941724,1.06414874128001,0.946414285606467,1532,1030.49516441006,1087.0,293,1337,898.651837524178,946.0,165,fliC-_pilA_T8V,Liquid,1
1,21,2.158975,3.18265935252575,1.06217807757575,0.975,934,606.125244618395,633.0,169,1331,861.168297455969,925.0,148,fliC-_pilA_T8V,Liquid,1
1,22,4.3602,6.25194480196478,1.07847227537354,1.0090713552569,1435,966.19476744186,1000.5,323,1289,868.998062015504,917.0,149,fliC-_pilA_T8V,Liquid,1
1,23,3.3124,4.94036533894801,1.07986063136831,1.0090713552569,854,554.294642857143,572.5,177,1275,838.464285714286,860.5,135,fliC-_pilA_T8V,Liquid,1
1,24,2.623725,3.89808657865101,1.06531245501617,0.975,2582,1744.66827697262,1824.0,605,1250,788.449275362319,867.0,131,fliC-_pilA_T8V,Liquid,1
1,25,1.74915,2.51731493398826,1.07164910887391,0.990050503762308,2336,1580.88888888889,1633.0,523,1081,691.335748792271,738.0,167,fliC-_pilA_T8V,Liquid,1
1,26,1.86745,2.72346717087976,1.057447857787,1.0090713552569,1575,1087.907239819,1145.5,415,1257,816.033936651584,875.5,136,fliC-_pilA_T8V,Liquid,1
1,27,3.071575,4.60002092041053,1.08225001847847,1.0174109297624,834,510.259972489684,525.0,156,1310,852.066024759285,890.0,162,fliC-_pilA_T8V,Liquid,1
1,28,2.471625,3.77036533894802,1.07014883225581,1.0174109297624,1029,665.225641025641,691.0,198,967,604.577777777778,648.0,122,fliC-_pilA_T8V,Liquid,1
1,29,3.451825,5.4254224330498,1.05995965825508,0.937443331620637,4816,3418.30844553244,3519.0,1367,1279,796.085679314565,855.0,155,fliC-_pilA_T8V,Liquid,1
1,30,2.42515,3.72156420973604,1.05954823920362,0.990050503762308,2725,1958.36759581882,2066.0,742,1293,810.04181184669,889.5,165,fliC-_pilA_T8V,Liquid,1
1,31,3.1265,4.70494857302801,1.06758944718037,0.990050503762308,3146,2226.14324324324,2325.5,869,1425,901.389189189189,976.0,208,fliC-_pilA_T8V,Liquid,1
1,32,1.93505,2.87066312358898,1.05966591356554,1.02774023955472,4057,2817.61135371179,2910.0,1005,1167,754.582969432314,798.5,145,fliC-_pilA_T8V,Liquid,1
1,33,2.69555,4.15574593117676,1.07930440009479,0.946414285606467,1787,1274.37460815047,1343.5,400,1381,926.326018808777,969.5,163,fliC-_pilA_T8V,Liquid,1
1,34,2.032225,2.9138477631085,1.01777700919844,0.946414285606467,804,540.910602910603,568.0,191,1331,889.405405405405,958.0,250,fliC-_pilA_T8V,Liquid,1
1,35,2.049125,3.09578210486802,1.1210330736862,1.0174109297624,728,471.049484536083,490.0,167,1300,846.40824742268,919.0,184,fliC-_pilA_T8V,Liquid,1
1,36,3.164525,4.71424927574777,1.08140770809048,0.990050503762308,1980,1366.42723631509,1444.0,424,1432,1000.44993324433,1061.0,174,fliC-_pilA_T8V,Liquid,1
1,37,3.0927,4.70494857302801,1.07273561368892,0.990050503762308,2900,2092.14344262295,2182.5,673,1353,883.364754098361,951.0,172,fliC-_pilA_T8V,Liquid,1
1,38,2.860325,4.58844145739376,1.07952571041972,0.946414285606467,2466,1708.17577548006,1767.0,541,1102,665.914327917282,715.0,149,fliC-_pilA_T8V,Liquid,1
1,39,2.01955,3.20681536048048,1.07023988352143,0.946414285606467,2776,1984.33682008368,2101.0,709,1414,893.449790794979,929.0,216,fliC-_pilA_T8V,Liquid,1
1,40,2.88145,4.60421310205652,1.07745633372208,0.930658369112963,5223,3902.23313782991,4105.0,1631,1184,786.903225806452,840.5,193,fliC-_pilA_T8V,Liquid,1
1,41,2.049125,3.08228922050227,1.0457996102789,0.975,1628,1135.9793814433,1184.0,403,1178,744.249484536082,827.0,167,fliC-_pilA_T8V,Liquid,1
1,42,1.9097,2.90959369428526,1.06548327106146,0.975,3329,2411.36946902655,2502.5,865,1295,809.495575221239,871.0,178,fliC-_pilA_T8V,Liquid,1
1,44,2.22235,3.3711265234055,1.07815206388578,1.0090713552569,1465,1015.2927756654,1063.0,329,1224,799.178707224335,845.0,157,fliC-_pilA_T8V,Liquid,1
1,46,2.3491,3.48806086516502,1.05240771692756,0.975,1843,1304.58633093525,1355.5,515,1368,889.073741007194,947.0,244,fliC-_pilA_T8V,Liquid,1
1,47,3.088475,5.16080302527855,1.07000503992645,0.937443331620637,1599,1082.5389876881,1114.0,413,1136,713.991792065664,764.0,121,fliC-_pilA_T8V,Liquid,1
1,48,3.096925,4.59078210486802,1.07060404539402,1.0090713552569,822,509.746248294679,523.0,195,1172,754.306957708049,783.0,169,fliC-_pilA_T8V,Liquid,1
1,49,2.49275,3.85305040495976,1.12265146922676,0.946414285606467,1489,1029.23050847458,1075.0,346,1302,830.932203389831,859.0,197,fliC-_pilA_T8V,Liquid,1
1,50,2.23925,3.50808657865101,1.06982576540532,0.884095583067804,4303,3127.2679245283,3234.0,1269,1257,853.150943396226,895.5,250,fliC-_pilA_T8V,Liquid,1
1,51,2.00265,3.16731493398826,1.06181463866535,0.946414285606467,3229,2287.94725738397,2369.0,807,1144,724.841772151899,759.0,172,fliC-_pilA_T8V,Liquid,1
2,2,2.970175,3.98077164466275,1.0194371770886,1.0090713552569,1331,883.061166429588,929.0,255,1115,718.928876244666,765.0,139,fliC-_pilA_T8V,Liquid,1
2,3,2.03645,2.91002092041053,1.04597190599802,1.01116269709676,3596,2483.93153526971,2589.5,783,993,627.570539419087,671.0,96,fliC-_pilA_T8V,Liquid,1
2,4,2.970175,4.22031870505149,1.07484282177642,1.0090713552569,991,676.611664295875,712.0,200,1207,778.337126600284,828.0,145,fliC-_pilA_T8V,Liquid,1
2,5,2.378675,3.46028253136024,1.05941840225766,1.0090713552569,3088,2150.22912966252,2285.0,755,1064,697.763765541741,733.0,110,fliC-_pilA_T8V,Liquid,1
2,6,1.660425,2.48996382630874,1.04960905505674,0.946414285606467,4319,2869.25190839695,2945.0,973,1066,636.76844783715,673.0,114,fliC-_pilA_T8V,Liquid,1
2,7,2.30685,3.15154328932551,1.04517445537336,1.0090713552569,583,373.457875457875,389.0,124,1269,744.714285714286,841.5,124,fliC-_pilA_T8V,Liquid,1
2,8,3.037775,4.35074593117676,1.07902829795423,1.0090713552569,603,392.305980528512,407.0,133,1130,730.511821974965,787.0,165,fliC-_pilA_T8V,Liquid,1
2,9,2.2477,3.26385822331377,1.08016610529258,0.975,903,602.919172932331,628.0,200,1315,820.509398496241,883.0,161,fliC-_pilA_T8V,Liquid,1
2,10,3.603925,5.42462986797652,1.07454866213383,0.946414285606467,2399,1668.49003516999,1746.0,474,1448,945.818288393904,985.0,283,fliC-_pilA_T8V,Liquid,1
2,11,3.042,4.49423881554251,1.05135584562486,0.946414285606467,1355,912.361111111111,941.5,241,1318,828.423611111111,860.5,180,fliC-_pilA_T8V,Liquid,1
2,12,2.175875,3.04193434175952,1.08020042269884,1.02774023955472,645,393.557281553398,414.0,130,1251,831.378640776699,887.0,150,fliC-_pilA_T8V,Liquid,1
2,13,2.716675,3.84800377106323,1.06223695568028,1.0090713552569,891,577.01399688958,604.0,163,1043,656.325038880249,719.0,109,fliC-_pilA_T8V,Liquid,1
2,15,2.404025,3.40266981273101,1.0734962370093,1.0090713552569,925,623.126537785589,662.0,187,1350,891.312829525483,944.0,194,fliC-_pilA_T8V,Liquid,1
2,16,2.742025,4.22770598642227,1.07613457287141,0.946414285606467,2951,2146.31124807396,2276.0,633,1301,904.22342064715,968.0,208,fliC-_pilA_T8V,Liquid,1
2,17,2.25615,3.44074593117676,1.07604780355483,0.946414285606467,2670,1927.07677902622,2037.0,567,1197,766.803370786517,827.0,178,fliC-_pilA_T8V,Liquid,1
2,18,1.69,2.67423881554251,1.11194961145219,1.04809350727881,5270,3645.445,3780.0,1167,1393,914.115,942.0,232,fliC-_pilA_T8V,Liquid,1
2,19,2.370225,3.44998474671927,1.03892348732865,0.990050503762308,1501,986.725490196078,1028.0,310,1107,722.256684491979,764.0,146,fliC-_pilA_T8V,Liquid,1
2,20,1.9942,3.05117315730203,1.07100085105831,1.0090713552569,3801,2701.95338983051,2830.0,1065,1225,746.091101694915,815.0,124,fliC-_pilA_T8V,Liquid,1
2,21,1.804075,2.82377541572599,1.07274098169387,0.946414285606467,479,285.154566744731,301.0,82,1183,768.822014051522,794.0,172,fliC-_pilA_T8V,Liquid,1
2,22,1.964625,3.01309703885628,1.05763564588705,0.937443331620637,3095,2153.00215053763,2287.0,650,1225,829.21935483871,889.0,220,fliC-_pilA_T8V,Liquid,1
2,23,2.8899,4.30385822331377,1.07060404539402,0.946414285606467,3477,2523.91666666667,2630.5,967,1405,930.615497076023,1003.0,232,fliC-_pilA_T8V,Liquid,1
2,24,2.3491,3.33077164466275,1.02301304456689,0.946414285606467,2524,1776.20143884892,1850.5,584,1134,752.58273381295,781.5,183,fliC-_pilA_T8V,Liquid,1
2,25,2.45895,3.93886868351903,1.10178144993539,0.937443331620637,4747,3433.65807560137,3614.5,1216,1267,794.347079037801,864.5,164,fliC-_pilA_T8V,Liquid,1
2,26,2.7209,4.05494857302801,1.03216031688708,0.990050503762308,3988,2878.94409937888,3034.5,988,1483,952.909937888199,989.5,293,fliC-_pilA_T8V,Liquid,1
2,27,3.096925,4.80759746534849,1.09374011303305,1.0090713552569,2812,1970.20736698499,2062.0,661,1406,913.12551159618,951.0,265,fliC-_pilA_T8V,Liquid,1
2,28,2.066025,3.02616269709676,1.07231711963401,0.946414285606467,4198,2970.12065439673,3117.0,1134,1416,917.21063394683,962.0,245,fliC-_pilA_T8V,Liquid,1
2,29,2.268825,3.29688770786299,1.04563433390787,0.946414285606467,2341,1589.50651769088,1662.0,529,1275,842.3947858473,885.0,178,fliC-_pilA_T8V,Liquid,1
2,30,2.463175,3.72496382630874,1.03580269860687,0.91,1999,1386.41166380789,1459.0,512,1405,842.550600343053,905.0,172,fliC-_pilA_T8V,Liquid,1
2,31,3.45605,5.49233585439879,1.12344195946036,0.946414285606467,3576,2543.46943765281,2624.0,778,1384,915.793398533007,953.5,209,fliC-_pilA_T8V,Liquid,1
2,32,2.66175,3.95193434175952,1.07127507751837,0.975,2052,1413.29682539683,1472.0,519,1345,918.579365079365,983.5,235,fliC-_pilA_T8V,Liquid,1
2,33,2.268825,3.59766981273101,1.07620525242348,0.930658369112963,2658,1901.08938547486,1993.0,637,1318,888.478584729981,927.0,259,fliC-_pilA_T8V,Liquid,1
2,34,2.9237,4.16923881554251,1.05449021401442,1.0090713552569,1016,683.871387283237,702.5,188,1328,893.452312138728,927.0,263,fliC-_pilA_T8V,Liquid,1
2,35,1.770275,2.75458323408,1.07123652551123,0.884095583067804,3641,2578.75894988067,2670.0,968,1429,935.286396181384,984.0,193,fliC-_pilA_T8V,Liquid,1
2,36,1.651975,2.73732539419353,1.06862995021726,0.930658369112963,4338,3106.08184143223,3169.0,1244,1271,851.549872122762,883.0,282,fliC-_pilA_T8V,Liquid,1
2,37,2.818075,4.6138791437243,1.05522134123759,0.937443331620637,3263,2243.63418290855,2321.0,821,1418,900.019490254873,960.0,180,fliC-_pilA_T8V,Liquid,1
2,38,2.049125,3.26847763108502,1.11881035096654,0.946414285606467,2459,1778.25360824742,1855.0,645,1482,1017.97319587629,1067.0,369,fliC-_pilA_T8V,Liquid,1
2,39,2.530775,3.64923881554251,1.06022959864934,0.946414285606467,1104,738.026711185309,775.0,213,1186,803.005008347245,849.0,215,fliC-_pilA_T8V,Liquid,1
2,40,2.8561,4.36460415449053,1.06637488774074,0.990050503762308,2295,1522.93343195266,1580.5,491,1528,984.059171597633,1015.0,240,fliC-_pilA_T8V,Liquid,1
2,41,1.90125,2.9811265234055,1.07802234883277,0.946414285606467,1241,835.971111111111,864.0,284,1295,886.791111111111,922.0,286,fliC-_pilA_T8V,Liquid,1
2,42,2.547675,4.02808657865101,1.0638821202286,0.946414285606467,1144,758.187396351575,788.0,285,1220,829.854063018242,857.0,252,fliC-_pilA_T8V,Liquid,1
2,43,2.125175,3.601861994377,1.06623128190701,0.930658369112963,2731,1972.05367793241,2080.0,717,1249,831.854870775348,870.0,211,fliC-_pilA_T8V,Liquid,1
2,44,3.265925,5.33689816806826,1.07111146024381,0.884095583067804,4009,2848.21862871928,2940.0,1139,1254,848.737386804657,881.0,167,fliC-_pilA_T8V,Liquid,1
2,45,1.85055,2.98069929728024,1.07342912369347,0.905345238016968,7446,5293.19178082192,5538.0,2160,1549,951.098173515982,980.5,273,fliC-_pilA_T8V,Liquid,1
2,46,1.63085,2.47689816806826,1.07694278454915,0.975,2877,2004.79015544041,2103.5,686,1341,874.023316062176,911.5,256,fliC-_pilA_T8V,Liquid,1
2,47,2.319525,3.53771644662753,1.05449021401442,0.990050503762308,856,574.255009107468,602.0,215,1442,981.169398907104,1014.0,381,fliC-_pilA_T8V,Liquid,1
2,48,2.167425,3.25461940777126,1.03753345413541,0.946414285606467,2225,1596.50682261209,1650.0,655,1554,1091.13645224172,1129.0,548,fliC-_pilA_T8V,Liquid,1
2,49,2.361775,3.55269552621701,1.02833686785396,0.867208164168212,2944,2108.72808586762,2238.0,814,1330,918.010733452594,949.0,288,fliC-_pilA_T8V,Liquid,1
3,1,2.873,4.33306086516502,1.09224054593693,1.0174109297624,2306,1586.01323529412,1659.0,570,1044,663.755882352941,712.5,154,fliC-_pilA_T8V,Liquid,1
3,2,2.32375,3.18961940777126,1.03820693170169,0.946414285606467,1142,757.945454545455,792.0,237,1239,821.701818181818,862.0,177,fliC-_pilA_T8V,Liquid,1
3,3,3.223675,4.79502092041053,1.10349907217165,1.0090713552569,2204,1476.76015727392,1520.0,396,1181,703.575360419397,724.0,119,fliC-_pilA_T8V,Liquid,1
3,4,3.139175,4.96580302527855,1.06715916174731,0.990050503762308,3463,2442.48586810229,2499.0,909,1424,874.952893674293,940.0,181,fliC-_pilA_T8V,Liquid,1
3,5,2.3829,3.27039105243401,1.05532593550312,1.0090713552569,1886,1274.3865248227,1347.5,427,1110,692.232269503546,744.0,159,fliC-_pilA_T8V,Liquid,1
3,6,2.327975,3.52656420973604,1.04316931632588,0.975,1729,1245.22686025408,1306.0,414,1062,699.415607985481,771.0,154,fliC-_pilA_T8V,Liquid,1
3,7,3.130725,4.46078210486802,1.0717801881271,1.0090713552569,2522,1750.34817813765,1830.0,579,1143,731.024291497976,796.0,141,fliC-_pilA_T8V,Liquid,1
3,8,2.15475,3.24617315730203,1.07060404539402,1.0174109297624,1778,1189.23725490196,1243.5,375,1189,708.560784313725,771.5,132,fliC-_pilA_T8V,Liquid,1
3,9,3.15185,4.66650711563425,1.05978934023366,1.0090713552569,910,592.967828418231,615.0,171,1378,892.416890080429,912.5,264,fliC-_pilA_T8V,Liquid,1
3,10,2.67865,3.86001046020526,1.06917191142103,1.0090713552569,591,375.910094637224,389.0,129,1254,783.681388012618,871.0,168,fliC-_pilA_T8V,Liquid,1
3,12,4.077125,6.14424927574778,1.07347657528463,0.946414285606467,5090,3467.6414507772,3584.0,1277,1430,871.636269430052,937.0,224,fliC-_pilA_T8V,Liquid,1
3,13,3.5152,5.27460415449053,1.08739644019053,0.990050503762308,1575,1031.83653846154,1062.5,331,1551,1011.19951923077,1039.0,282,fliC-_pilA_T8V,Liquid,1
3,14,2.69555,4.13578210486802,1.07473225194088,0.946414285606467,2441,1737.96081504702,1805.0,566,1285,820.55329153605,862.0,191,fliC-_pilA_T8V,Liquid,1
3,15,3.316625,4.89113698361077,1.07839181310421,1.0090713552569,1006,617.028025477707,634.0,176,1149,744.820382165605,779.0,140,fliC-_pilA_T8V,Liquid,1
3,16,1.6224,2.50339482349724,1.06817969217165,0.990050503762308,1273,853.559895833333,891.5,299,1086,690.278645833333,724.5,145,fliC-_pilA_T8V,Liquid,1
3,17,1.7745,2.48996382630874,1.06244878695937,0.946414285606467,986,629.838095238095,654.5,230,1227,795.914285714286,838.0,181,fliC-_pilA_T8V,Liquid,1
3,18,2.5181,3.59539105243401,1.05135584562486,0.975,2030,1433.62751677852,1499.0,469,1304,871.48322147651,910.0,280,fliC-_pilA_T8V,Liquid,1
3,19,3.6842,5.56572021769077,1.07947765625447,0.975,1808,1234.64334862385,1291.5,403,1323,845.86123853211,873.0,182,fliC-_pilA_T8V,Liquid,1
3,20,3.003975,4.4188791437243,1.04109454069755,0.975,1590,1070.54008438819,1103.0,356,1155,729.649789029536,779.0,165,fliC-_pilA_T8V,Liquid,1
3,21,2.88145,4.22961940777126,1.03170502103141,0.91,4409,3119.70821114369,3199.5,1119,1170,749.788856304985,798.0,179,fliC-_pilA_T8V,Liquid,1
3,22,2.64485,4.20959369428526,1.07923311545425,0.930658369112963,3181,2250.84025559105,2372.0,694,1121,719.712460063898,742.0,167,fliC-_pilA_T8V,Liquid,1
3,23,2.8223,4.24994857302801,1.05048658330897,0.975,2289,1556.3502994012,1609.5,550,1573,991.711077844311,1024.0,320,fliC-_pilA_T8V,Liquid,1
3,24,1.90125,2.83954706038874,1.0728609817544,1.0090713552569,543,334.842222222222,350.5,96,1152,720.246666666667,754.5,156,fliC-_pilA_T8V,Liquid,1
3,25,3.105375,4.38654328932551,1.03627477514942,1.0090713552569,451,284.062585034014,291.0,79,1261,838.01768707483,871.0,231,fliC-_pilA_T8V,Liquid,1
3,26,2.598375,3.80154328932551,1.03843661857109,0.946414285606467,1030,696.69756097561,723.0,189,1227,808.821138211382,847.0,190,fliC-_pilA_T8V,Liquid,1
3,27,3.232125,4.45154328932551,1.03765577839755,1.0090713552569,543,337.159477124183,350.0,103,1234,814.052287581699,838.0,297,fliC-_pilA_T8V,Liquid,1
3,28,2.1125,2.82654328932551,1.04943884835915,1.0090713552569,713,458.092,473.5,137,1234,782.778,822.5,135,fliC-_pilA_T8V,Liquid,1
3,29,3.03355,4.37347763108502,1.08004470372591,1.0090713552569,820,505.533426183844,524.5,127,1387,933.423398328691,979.5,238,fliC-_pilA_T8V,Liquid,1
3,30,3.32085,5.01651757583951,1.07921660710874,0.946414285606467,2920,2091.53307888041,2212.5,650,1245,839.361323155216,875.5,283,fliC-_pilA_T8V,Liquid,1
3,31,3.0082,4.61807132537028,1.03446152262459,0.937443331620637,4546,3163.98314606742,3324.0,1036,1406,930.948033707865,974.5,275,fliC-_pilA_T8V,Liquid,1
3,32,2.366,3.42078210486802,1.08057449507612,0.946414285606467,580,385.310714285714,396.0,147,1068,702.569642857143,744.5,158,fliC-_pilA_T8V,Liquid,1
3,33,2.56035,4.01502092041053,1.07903674749134,0.946414285606467,1905,1352.87788778878,1409.0,373,1304,865.306930693069,907.5,272,fliC-_pilA_T8V,Liquid,1
3,34,2.64485,3.81497428651401,1.07841453165572,1.0090713552569,1036,700.570287539936,739.0,269,1401,919.044728434505,974.5,210,fliC-_pilA_T8V,Liquid,1
3,35,2.6026,3.99733585439879,1.05935697874953,0.937443331620637,3145,2291.75649350649,2407.5,845,1157,790.159090909091,839.0,213,fliC-_pilA_T8V,Liquid,1
3,36,1.719575,2.59531870505149,1.05808935588286,0.990050503762308,2994,2123.85503685504,2249.0,834,1375,930.410319410319,988.0,253,fliC-_pilA_T8V,Liquid,1
3,37,2.23925,3.56002092041053,1.07164910887391,0.946414285606467,2392,1662.6679245283,1736.5,571,1153,742.747169811321,772.0,153,fliC-_pilA_T8V,Liquid,1
3,38,3.384225,5.15156420973604,1.14275524284815,0.990050503762308,991,650.8177278402,670.0,191,1235,821.838951310861,851.0,189,fliC-_pilA_T8V,Liquid,1
3,39,2.15475,3.2207354709715,1.07691461446757,0.946414285606467,3716,2489.89607843137,2598.0,911,1228,802.709803921569,843.0,219,fliC-_pilA_T8V,Liquid,1
3,40,2.72935,4.16923881554251,1.05449021401442,0.946414285606467,837,531.948916408669,541.0,152,1314,874.863777089783,900.5,224,fliC-_pilA_T8V,Liquid,1
3,41,3.756025,5.48501046020526,1.06129680729073,0.946414285606467,1901,1312.25534308211,1373.0,452,1366,841.422947131609,913.0,142,fliC-_pilA_T8V,Liquid,1
3,42,2.860325,3.9,1.0,0.91,845,521.035450516987,541.0,205,1267,836.878877400295,867.0,296,fliC-_pilA_T8V,Liquid,1
3,43,1.897025,2.85617315730203,1.06136745802037,0.990050503762308,2395,1685.64142538976,1774.0,567,1440,900.209354120267,949.0,214,fliC-_pilA_T8V,Liquid,1
3,44,2.133625,3.28758700514323,1.06675759858356,0.946414285606467,716,473.170297029703,495.0,184,1405,935.922772277228,980.0,316,fliC-_pilA_T8V,Liquid,1
3,45,1.6055,2.56654328932551,1.06716976687131,0.946414285606467,3073,2154.45263157895,2232.0,851,1369,884.231578947368,909.5,292,fliC-_pilA_T8V,Liquid,1
3,46,1.5548,2.26803994475449,1.04542949071322,0.975,699,449.692934782609,460.5,165,1396,888.347826086957,947.5,236,fliC-_pilA_T8V,Liquid,1
3,47,2.488525,3.75502092041053,1.07553883317514,0.975,725,492.528013582343,514.0,199,1161,796.947368421053,838.0,188,fliC-_pilA_T8V,Liquid,1
3,48,2.758925,4.18537579915328,1.03452572368047,0.975,1559,1045.33843797856,1079.0,360,1380,887.183767228178,913.0,238,fliC-_pilA_T8V,Liquid,1
3,49,2.268825,3.40039105243401,1.0597117346586,0.946414285606467,2915,2088.18063314711,2200.0,682,1544,1059.72253258845,1125.0,307,fliC-_pilA_T8V,Liquid,1
3,50,2.3153,3.42731493398826,1.05837547601535,0.946414285606467,3245,2308.87226277372,2403.5,872,1263,874.956204379562,915.0,337,fliC-_pilA_T8V,Liquid,1
3,51,3.992625,6.1404224330498,1.0914051748831,0.946414285606467,1955,1370.92063492063,1422.0,514,1350,903.198941798942,937.0,226,fliC-_pilA_T8V,Liquid,1
3,52,2.69555,3.95846717087976,1.04242674840674,0.946414285606467,2268,1501.18808777429,1547.5,487,1270,841.713166144201,867.5,243,fliC-_pilA_T8V,Liquid,1
3,53,2.4843,3.83579256507328,1.06854258936386,0.990050503762308,2483,1777.78911564626,1877.0,660,1491,981.044217687075,1014.0,266,fliC-_pilA_T8V,Liquid,1
3,54,2.792725,4.29498474671927,1.06728120019289,1.0090713552569,1243,812.096822995461,829.0,284,1286,844.21482602118,869.0,289,fliC-_pilA_T8V,Liquid,1
3,55,2.040675,3.21654328932551,1.04440242452788,0.867208164168212,4067,2883.24430641822,3006.0,1090,1343,886.939958592132,923.0,285,fliC-_pilA_T8V,Liquid,1
3,56,1.804075,2.74996382630874,1.05635877052128,0.946414285606467,2220,1497.6206088993,1561.0,562,1051,710.222482435597,738.0,236,fliC-_pilA_T8V,Liquid,1
3,57,2.125175,3.54424927574778,1.07894785554672,0.946414285606467,6112,4387.49701789264,4569.0,1541,1373,907.86083499006,940.0,274,fliC-_pilA_T8V,Liquid,1
3,58,2.00265,3.01266981273101,1.06387370556912,1.0090713552569,2137,1480.87130801688,1524.5,553,1319,911.841772151899,955.5,338,fliC-_pilA_T8V,Liquid,1
3,59,2.226575,3.18998474671927,1.02021938795853,1.01533245786787,2583,1807.22770398482,1880.0,626,1439,938.779886148008,990.0,269,fliC-_pilA_T8V,Liquid,1
3,60,2.13785,3.45651757583951,1.1040313873403,0.937443331620637,2665,1881.79051383399,1973.0,626,1250,857.47628458498,890.0,214,fliC-_pilA_T8V,Liquid,1
3,61,2.446275,3.61848809129029,1.04516323184218,1.0174109297624,1689,1166.49913644214,1221.0,491,1184,807.3402417962,844.0,324,fliC-_pilA_T8V,Liquid,1
