Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.361775,3.5345832340800003,1.0621634331301,0.946414285606467,1078,688.9767441860471,715.0,165,1327,901.8300536672631,935.0,220,fliC-_pilA_T8V,Liquid,4
1,2,2.25615,3.227695526217,1.03094432229408,0.946414285606467,1198,791.428838951311,821.5,241,1438,834.5767790262171,937.0,122,fliC-_pilA_T8V,Liquid,4
1,3,2.98285,4.69194480196478,1.08208040372062,0.946414285606467,2470,1732.0269121813,1814.0,416,1192,703.552407932011,770.5,97,fliC-_pilA_T8V,Liquid,4
1,4,1.922375,3.05031870505149,1.0707009273763899,0.9306583691129631,2344,1632.68131868132,1699.0,571,1301,879.7208791208791,923.0,220,fliC-_pilA_T8V,Liquid,4
1,5,1.7576,2.63844145739377,1.02248277176027,0.975,2540,1674.41346153846,1761.5,591,1213,805.2355769230769,823.0,262,fliC-_pilA_T8V,Liquid,4
1,6,1.98575,3.0034309971885,1.07428234324048,0.946414285606467,2032,1341.04042553191,1409.0,419,1190,740.6659574468089,780.5,138,fliC-_pilA_T8V,Liquid,4
1,7,2.023775,3.1984309971885003,1.07250068682107,0.946414285606467,1273,851.8663883089771,887.0,282,1254,805.7828810020881,837.0,177,fliC-_pilA_T8V,Liquid,4
1,9,2.547675,3.9184776310850205,1.0820396094609999,0.946414285606467,4254,3121.1592039801003,3266.0,1150,1288,812.0331674958541,895.0,171,fliC-_pilA_T8V,Liquid,4
1,10,2.78005,4.16923881554251,1.0544902140144201,0.946414285606467,679,429.41489361702105,437.0,158,1170,787.703647416413,802.5,284,fliC-_pilA_T8V,Liquid,4
1,11,1.930825,2.8957354709715,1.06131078446288,0.946414285606467,2002,1364.85557986871,1433.0,453,1297,828.306345733042,854.0,256,fliC-_pilA_T8V,Liquid,4
1,12,2.1294,3.25270598642227,1.08225001847847,0.990050503762308,1630,1090.67658730159,1141.5,399,1449,926.329365079365,991.0,133,fliC-_pilA_T8V,Liquid,4
1,13,2.995525,4.364238815542509,1.05257077141232,0.975,2839,2029.90832157969,2177.0,618,973,620.5768688293371,694.0,110,fliC-_pilA_T8V,Liquid,4
1,14,2.5688,3.70770598642227,1.08010922269215,1.0090713552569,2079,1394.35855263158,1452.0,527,1551,975.643092105263,1036.5,244,fliC-_pilA_T8V,Liquid,4
1,15,2.7547,4.00116269709676,1.06037115235574,0.975,2327,1594.5,1669.0,495,1093,670.162576687117,728.5,151,fliC-_pilA_T8V,Liquid,4
1,16,3.06735,4.51080302527855,1.04382903200323,1.0174109297624,1918,1290.35261707989,1322.5,361,1443,873.7451790633611,927.5,151,fliC-_pilA_T8V,Liquid,4
1,17,2.52655,3.6984671708797596,1.04495132882315,0.946414285606467,2067,1376.5585284280899,1428.5,451,1173,684.2692307692311,754.0,101,fliC-_pilA_T8V,Liquid,4
1,18,2.184325,3.1134671708797597,1.0517839955886001,0.975,753,494.922630560928,512.0,159,1272,827.04835589942,887.0,201,fliC-_pilA_T8V,Liquid,4
1,19,2.243475,3.4838686835190296,1.06727387587735,0.946414285606467,3092,2197.76082862524,2332.0,808,1270,865.3408662900191,916.0,226,fliC-_pilA_T8V,Liquid,4
1,20,2.353325,3.2968877078629903,1.0510080789379002,1.0090713552569,504,314.053859964093,323.0,101,1037,683.574506283662,718.0,122,fliC-_pilA_T8V,Liquid,4
1,21,1.795625,2.8292492757477796,1.07844329483967,0.966294468575703,1337,892.882352941176,925.0,291,1235,822.122352941176,848.0,316,fliC-_pilA_T8V,Liquid,4
1,22,2.99975,4.072695526217,1.0249602855489899,0.946414285606467,1430,941.8563380281689,990.5,258,1314,841.545070422535,916.5,129,fliC-_pilA_T8V,Liquid,4
