Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.1463,3.29035487874275,1.07412569316259,0.946414285606467,500,341.643700787402,356.0,133,1017,655.584645669291,691.5,152,fliC-pilB-,Liquid,1
1,2,1.93505,3.09954706038874,1.07436478524512,0.990050503762308,509,327.986899563319,340.0,98,799,504.403930131004,535.5,105,fliC-pilB-,Liquid,1
1,3,2.311075,3.36878587593125,1.05572675924746,1.0090713552569,597,370.208409506399,379.0,83,845,540.771480804388,565.0,115,fliC-pilB-,Liquid,1
1,4,1.6055,2.4588477631085,1.02089955717991,0.946414285606467,621,400.205263157895,413.0,151,1270,807.044736842105,838.0,183,fliC-pilB-,Liquid,1
1,5,1.474525,2.34689816806826,1.06286470358674,0.975,779,498.76217765043,520.0,173,1318,772.040114613181,827.0,118,fliC-pilB-,Liquid,1
1,6,2.59415,3.85539105243401,1.04852813742386,0.91,741,471.762214983713,498.0,135,1078,647.597719869707,690.5,110,fliC-pilB-,Liquid,1
1,7,1.81675,2.70116269709676,1.07657490619211,0.990050503762308,405,240.867441860465,246.5,62,1236,774.983720930233,794.5,216,fliC-pilB-,Liquid,1
1,8,2.733575,4.29079256507328,1.07696989946059,0.990050503762308,746,499.995363214838,520.0,176,1083,691.959814528593,761.0,107,fliC-pilB-,Liquid,1
1,9,2.302625,3.63155374953077,1.08225727308894,0.946414285606467,1114,751.653211009174,777.0,236,1065,679.902752293578,720.0,161,fliC-pilB-,Liquid,1
1,10,2.378675,3.45189816806826,1.09947978637124,0.990050503762308,669,438.600355239787,453.0,138,1240,811.138543516874,862.0,129,fliC-pilB-,Liquid,1
1,11,1.837875,2.85155374953077,1.07772250342249,0.990050503762308,683,419.834482758621,435.0,86,1132,708.551724137931,752.0,171,fliC-pilB-,Liquid,1
1,12,2.277275,3.45694480196478,1.06516760365481,1.0174109297624,577,382.543599257885,400.0,118,1014,607.098330241187,669.0,95,fliC-pilB-,Liquid,1
1,13,1.81675,2.86923881554251,1.07060404539402,0.946414285606467,751,500.93023255814,515.0,167,1039,644.132558139535,696.0,117,fliC-pilB-,Liquid,1
1,14,2.57725,3.59077164466275,1.02143678763816,0.946414285606467,897,578.845901639344,606.5,150,1030,651.12131147541,721.0,115,fliC-pilB-,Liquid,1
1,15,2.57725,3.78613698361077,1.06063828045317,0.990050503762308,542,345.891803278689,359.0,108,1092,703.268852459016,773.0,95,fliC-pilB-,Liquid,1
1,16,2.057575,3.25079256507328,1.04992590969451,0.990050503762308,645,407.788501026694,421.0,151,1206,795.123203285421,840.0,251,fliC-pilB-,Liquid,1
1,17,2.370225,3.75502092041053,1.11821346468742,0.990050503762308,877,584.183600713012,617.0,173,906,577.664884135472,601.0,102,fliC-pilB-,Liquid,1
1,18,2.47585,3.71232539419353,1.08164885480721,1.01116269709676,786,493.172354948805,497.5,189,1420,929.196245733788,950.5,336,fliC-pilB-,Liquid,1
1,19,2.378675,3.43464032818178,1.05156764970336,1.0174109297624,518,280.053285968028,287.0,72,1010,641.440497335702,719.0,120,fliC-pilB-,Liquid,1
1,20,2.049125,3.01309703885628,1.05763564588705,1.0174109297624,873,574.641237113402,590.0,238,1128,756.494845360825,791.0,144,fliC-pilB-,Liquid,1
1,21,1.550575,2.45650711563425,1.07627470024504,0.946414285606467,405,235.130790190736,241.0,57,936,565.711171662125,596.0,100,fliC-pilB-,Liquid,1
1,22,3.0082,4.69379633613652,1.05265225116807,0.975,701,438.950842696629,445.0,133,1015,636.616573033708,668.5,105,fliC-pilB-,Liquid,1
1,23,2.54345,3.98156420973604,1.06181463866535,0.946414285606467,684,437.810631229236,462.0,129,1160,754.818936877076,778.5,188,fliC-pilB-,Liquid,1
1,24,2.88145,4.20959369428526,1.07923311545425,1.0090713552569,640,366.350439882698,380.5,84,1067,641.407624633431,681.0,92,fliC-pilB-,Liquid,1
1,25,2.6533,3.97423881554251,1.07200934790768,0.946414285606467,991,635.179936305732,672.0,168,1117,698.721337579618,774.0,152,fliC-pilB-,Liquid,1
1,26,2.640625,3.76425973595304,1.03463229002486,0.975,626,407.6192,429.0,125,1081,675.8256,740.0,117,fliC-pilB-,Liquid,1
1,27,2.4336,3.62040151263927,1.08198301701027,0.975,698,453.371527777778,478.5,114,1114,694.611111111111,734.0,133,fliC-pilB-,Liquid,1
1,28,2.028,3.07347763108502,1.07883000698374,1.0090713552569,462,300.958333333333,314.0,87,994,630.316666666667,674.5,175,fliC-pilB-,Liquid,1
1,29,2.3829,3.43803994475449,1.03532644669695,0.946414285606467,639,418.921985815603,435.0,144,1047,637.867021276596,695.5,109,fliC-pilB-,Liquid,1
1,30,1.668875,2.55347763108502,1.07922193057293,1.02774023955472,490,295.470886075949,304.0,84,1061,695.812658227848,715.0,216,fliC-pilB-,Liquid,1
1,31,2.184325,3.39194480196478,1.06876517477238,0.990050503762308,558,352.085106382979,369.0,98,985,651.294003868472,669.0,157,fliC-pilB-,Liquid,1
1,32,2.07025,2.99,1.0,0.845,622,410.038775510204,426.0,143,865,553.763265306122,587.5,67,fliC-pilB-,Liquid,1
1,33,1.846325,2.77269552621701,1.03549475603858,0.946414285606467,834,534.173913043478,551.0,161,1112,675.743707093822,710.0,124,fliC-pilB-,Liquid,1
1,35,3.1772,4.97695526217005,1.06571574010396,0.975,500,292.764627659574,305.0,93,1269,762.087765957447,819.0,152,fliC-pilB-,Liquid,1
1,36,1.871675,2.94724258660574,1.06576938309992,0.990050503762308,711,430.941309255079,454.0,130,1159,738.65914221219,762.0,168,fliC-pilB-,Liquid,1
1,37,1.736475,2.72346717087976,1.057447857787,0.946414285606467,950,598.637469586375,626.0,191,1115,727.038929440389,741.0,145,fliC-pilB-,Liquid,1
1,38,2.197,3.032695526217,1.0327470226379,1.0090713552569,491,270.871153846154,277.0,86,982,629.876923076923,657.0,158,fliC-pilB-,Liquid,1
1,39,2.27305,3.31579256507328,1.05364714105664,0.990050503762308,352,210.35687732342,214.0,69,934,591.970260223048,623.5,135,fliC-pilB-,Liquid,1
1,40,2.158975,3.06423881554251,1.06783298858801,0.946414285606467,410,262.146771037182,269.0,73,1040,651.227005870841,714.0,132,fliC-pilB-,Liquid,1
1,41,1.7069,2.71040151263927,1.08025712681018,0.990050503762308,895,562.405940594059,580.0,194,1153,732.339108910891,769.5,171,fliC-pilB-,Liquid,1
1,42,1.8083,2.72155374953077,1.07500570449734,1.0174109297624,912,584.088785046729,598.0,197,1062,683.170560747664,707.5,141,fliC-pilB-,Liquid,1
