Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.488525,3.7480608651650202,1.05985736637188,1.0090713552569,1372,929.4142614601019,964.0,341,856,551.388794567063,573.0,99,fliC-pilB-,Solid,2
1,3,2.0618,2.91846717087976,1.06153980926978,1.0090713552569,815,521.340163934426,546.0,129,799,500.97336065573796,520.0,118,fliC-pilB-,Solid,2
1,4,2.9068,4.17385822331377,1.07185887225621,1.0174109297624,657,438.68604651162804,453.0,135,723,485.75145348837196,510.5,131,fliC-pilB-,Solid,2
1,5,3.181425,4.294619407771259,1.02922426948357,1.0090713552569,743,482.065073041169,502.0,150,939,579.758300132802,616.0,113,fliC-pilB-,Solid,2
1,6,2.3998,3.49040151263927,1.08134803506587,1.0174109297624,845,519.139084507042,537.5,113,963,630.014084507042,656.5,169,fliC-pilB-,Solid,2
1,7,2.94905,4.07269552621701,1.0249602855489899,0.975,783,529.515759312321,556.0,144,881,550.7320916905439,580.0,123,fliC-pilB-,Solid,2
1,8,2.911025,4.21883250982778,1.05890824481577,1.0174109297624,723,432.923076923077,445.0,128,872,571.806966618287,599.0,102,fliC-pilB-,Solid,2
1,9,2.251925,3.23693434175952,1.0785168470185,1.0090713552569,999,653.660412757974,679.0,200,905,563.793621013133,603.0,127,fliC-pilB-,Solid,2
1,10,2.032225,2.91378587593125,1.03249652793171,1.01533245786787,917,601.7546777546779,632.0,174,998,679.588357588358,708.0,196,fliC-pilB-,Solid,2
1,11,1.91815,2.71231493398826,1.06854258936386,1.0090713552569,693,412.301762114537,431.0,98,918,567.629955947137,593.0,160,fliC-pilB-,Solid,2
1,12,3.654625,4.73846717087976,1.0362529801350502,1.0090713552569,742,445.50404624277496,466.0,104,870,573.803468208092,604.0,136,fliC-pilB-,Solid,2
1,13,2.7547,4.09579256507328,1.0740368042222599,1.0090713552569,746,507.23773006135,526.0,190,687,463.98773006135,484.0,83,fliC-pilB-,Solid,2
1,14,3.9546,5.33923881554251,1.0517222756287299,1.0090713552569,729,464.792735042735,481.5,146,780,481.291666666667,517.0,71,fliC-pilB-,Solid,2
1,15,2.006875,2.73,1.0,0.975,579,377.292631578947,397.0,132,826,542.385263157895,565.0,111,fliC-pilB-,Solid,2
1,17,2.387125,3.30335864980598,1.05830956190638,1.07200746266059,705,463.591150442478,482.0,114,869,570.026548672566,595.0,132,fliC-pilB-,Solid,2
1,18,1.981525,2.73036533894802,1.02361434116188,1.0660792653456899,821,529.044776119403,544.0,177,786,469.326226012793,508.0,73,fliC-pilB-,Solid,2
1,19,2.015325,2.93189816806826,1.0724365553395299,1.0090713552569,533,317.077568134172,326.0,94,808,512.450733752621,548.0,106,fliC-pilB-,Solid,2
1,20,2.34065,3.1830865786510096,1.07375061921325,1.0090713552569,1708,1139.06137184116,1188.5,310,784,493.11191335740097,523.5,111,fliC-pilB-,Solid,2
1,21,3.265925,4.541553749530769,1.07747723155648,1.0090713552569,805,522.987063389392,547.0,116,1049,696.1060802069859,728.0,180,fliC-pilB-,Solid,2
1,22,2.62795,3.6107354709715005,1.05871535053436,1.0090713552569,794,537.607717041801,563.0,186,1040,695.353697749196,716.0,158,fliC-pilB-,Solid,2
1,23,3.2786,4.35265935252575,1.04977802682724,1.07200746266059,1025,660.22293814433,693.0,167,956,629.596649484536,657.5,178,fliC-pilB-,Solid,2
1,24,2.0618,2.9907925650732796,1.03274399916079,1.01533245786787,747,491.729508196721,514.5,170,823,517.665983606557,543.5,90,fliC-pilB-,Solid,2
1,25,3.5659,4.976162697096759,1.0510866510932602,1.0090713552569,1758,1149.6030805687199,1181.0,382,959,615.879146919431,644.5,109,fliC-pilB-,Solid,2
1,26,2.226575,3.1357097574855,1.04650915888886,1.0174109297624,907,581.910815939279,609.0,151,758,480.943074003795,510.0,114,fliC-pilB-,Solid,2
1,27,3.519425,4.844249275747781,1.1112285753863502,1.07594144822105,1719,1109.83793517407,1149.0,427,891,532.8787515006,583.0,78,fliC-pilB-,Solid,2
1,28,2.809625,3.95846717087976,1.04611133161226,1.0090713552569,635,391.23007518797004,404.0,97,881,572.873684210526,592.0,86,fliC-pilB-,Solid,2
1,29,2.623725,3.71417692836526,1.03568314205164,0.975,1042,708.4573268921091,741.0,210,1027,676.623188405797,713.0,140,fliC-pilB-,Solid,2
1,30,2.3153,3.1380504049597597,1.07817527945244,1.02774023955472,961,624.686131386861,653.0,194,1023,697.18795620438,722.0,176,fliC-pilB-,Solid,2
1,31,2.987075,4.09998474671927,1.0827120377915,1.02774023955472,1154,793.596888260255,842.0,242,871,578.994342291372,615.0,139,fliC-pilB-,Solid,2
1,32,2.420925,3.48806086516502,1.04758382117163,1.02774023955472,747,469.841186736475,488.0,117,1044,688.6369982547991,712.0,239,fliC-pilB-,Solid,2
1,33,2.6871,3.9296298679765203,1.08008539113874,1.0090713552569,766,513.014150943396,536.0,152,882,555.616352201258,581.0,76,fliC-pilB-,Solid,2
1,34,3.4645,4.69613698361077,1.10280199542899,1.07594144822105,1020,672.64756097561,696.5,217,881,570.457317073171,610.5,122,fliC-pilB-,Solid,2
1,35,1.880125,2.4969238815542503,1.01055050385483,1.0090713552569,934,619.676404494382,644.0,219,897,572.449438202247,617.0,142,fliC-pilB-,Solid,2
1,36,3.23635,4.364238815542509,1.05257077141232,1.0090713552569,593,366.60052219321096,379.0,98,740,464.672323759791,504.0,97,fliC-pilB-,Solid,2
1,37,1.95195,2.56192388155425,1.01028880179665,1.0090713552569,729,479.982683982684,503.0,119,912,565.735930735931,585.5,145,fliC-pilB-,Solid,2
