Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.023775,3.45232539419353,1.07966912753363,0.946414285606467,1582,1133.1356993737,1192.0,454,1013,674.776617954071,717.0,172,fliC-pilB-chpB-,Liquid,1
1,3,2.0449,2.98303994475449,1.03635110641807,0.946414285606467,2371,1641.82231404959,1720.5,400,1063,703.367768595041,733.5,174,fliC-pilB-chpB-,Liquid,1
1,4,2.44205,3.64732539419352,1.08129196811767,0.990050503762308,1505,1059.25951557093,1095.0,356,1168,773.743944636678,821.0,172,fliC-pilB-chpB-,Liquid,1
1,5,2.665975,4.14693434175952,1.06927349966737,0.91,2777,2016.15530903328,2104.0,762,1196,792.576862123613,836.0,216,fliC-pilB-chpB-,Liquid,1
1,6,2.327975,3.59113698361077,1.06781109570378,0.990050503762308,2024,1432.24319419238,1495.0,462,1117,729.956442831216,757.0,129,fliC-pilB-chpB-,Liquid,1
1,7,3.1941,4.75189816806826,1.07497385103525,0.946414285606467,2031,1408.78306878307,1461.5,495,1028,667.414021164021,722.0,149,fliC-pilB-chpB-,Liquid,1
1,8,2.81385,4.44039105243401,1.0465309945144,0.867208164168212,1735,1240.86186186186,1269.0,475,1044,702.382882882883,726.0,236,fliC-pilB-chpB-,Liquid,1
1,9,2.885675,4.25420264185125,1.07063951294816,1.0090713552569,1405,963.644216691069,1014.0,291,1252,823.060029282577,876.0,178,fliC-pilB-chpB-,Liquid,1
1,10,2.150525,3.26194480196478,1.06317720807539,0.990050503762308,2337,1629.09037328094,1715.0,579,1128,684.774066797642,740.0,167,fliC-pilB-chpB-,Liquid,1
1,12,2.437825,3.67382204962251,1.11686317193651,0.946414285606467,1087,750.74870017331,780.0,228,1030,641.358752166378,699.0,123,fliC-pilB-chpB-,Liquid,1
1,13,2.1463,3.36040151263927,1.08033904827525,0.946414285606467,2564,1819.18700787402,1888.0,512,1322,869.470472440945,913.5,174,fliC-pilB-chpB-,Liquid,1
1,14,2.366,3.64036533894802,1.06720941031011,0.990050503762308,1350,919.916071428571,969.5,289,1057,717.219642857143,739.5,204,fliC-pilB-chpB-,Liquid,1
1,16,2.911025,4.49423881554251,1.06372516344201,0.930658369112963,1308,883.99854862119,905.0,306,1000,584.074020319303,619.0,115,fliC-pilB-chpB-,Liquid,1
1,17,3.434925,5.25734631460405,1.04935745730106,0.990050503762308,2019,1374.9557195572,1422.0,463,997,641.473554735547,668.0,112,fliC-pilB-chpB-,Liquid,1
1,18,1.9942,3.23502092041053,1.07965318356552,0.930658369112963,2600,1857.15254237288,1938.5,683,1050,655.565677966102,719.0,106,fliC-pilB-chpB-,Liquid,1
1,19,2.750475,4.12924927574778,1.08233856094396,0.946414285606467,1269,885.867895545315,931.0,325,845,527.187403993856,581.0,69,fliC-pilB-chpB-,Liquid,1
1,20,2.209675,3.43464032818179,1.04415054392423,0.959713498915171,1130,763.57552581262,801.0,209,865,551.57552581262,603.0,133,fliC-pilB-chpB-,Liquid,1
1,21,2.37445,3.55916646816,1.07386149545994,0.990050503762308,817,549.811387900356,573.0,150,1193,801.019572953737,841.5,161,fliC-pilB-chpB-,Liquid,1
1,22,3.358875,5.27694480196478,1.08206554974288,0.946414285606467,2874,2045.05408805031,2144.0,780,1157,762.378616352201,792.0,130,fliC-pilB-chpB-,Liquid,1
1,26,2.606825,3.94497428651401,1.07795638440592,0.946414285606467,2929,2119.68719611021,2250.0,723,1008,667.959481361426,694.0,231,fliC-pilB-chpB-,Liquid,1
1,27,2.480075,3.67886868351903,1.06788641031031,0.990050503762308,3037,2250.89778534923,2381.0,745,1199,807.359454855196,843.0,239,fliC-pilB-chpB-,Liquid,1
1,28,2.370225,3.51498474671927,1.03974407300115,0.966294468575703,2990,2213.0,2347.0,787,1388,913.529411764706,965.0,245,fliC-pilB-chpB-,Liquid,1
1,29,2.150525,3.20496382630874,1.04064260593953,0.946414285606467,2253,1520.00589390963,1576.0,591,1016,632.26326129666,683.0,154,fliC-pilB-chpB-,Liquid,1
1,30,1.9266,3.07809703885628,1.07960880182648,0.990050503762308,1731,1245.86184210526,1307.5,507,865,559.239035087719,596.0,135,fliC-pilB-chpB-,Liquid,1
1,31,2.27305,3.32423881554251,1.0643069377557,0.946414285606467,1922,1325.98884758364,1381.5,454,1054,689.877323420074,727.0,197,fliC-pilB-chpB-,Liquid,1
1,32,3.1265,4.62879633613651,1.04712576892979,0.990050503762308,1623,1107.83513513514,1153.0,384,1258,838.666216216216,866.0,176,fliC-pilB-chpB-,Liquid,1
1,34,3.38845,5.07349855149555,1.04744287602418,0.975,2083,1463.73690773067,1523.0,465,1253,835.470074812968,885.5,177,fliC-pilB-chpB-,Liquid,1
1,35,1.863225,2.82228922050227,1.02114860243868,0.966294468575703,3196,2191.15646258503,2327.0,688,990,622.458049886621,659.0,118,fliC-pilB-chpB-,Liquid,1
1,36,2.2139,3.50993811282275,1.06704150637641,0.930658369112963,2328,1643.67175572519,1726.0,580,1178,796.463740458015,837.0,233,fliC-pilB-chpB-,Liquid,1
1,37,2.79695,4.57501046020526,1.06181463866535,0.872066511224918,3726,2756.12688821752,2877.0,999,1071,737.184290030212,775.0,166,fliC-pilB-chpB-,Liquid,1
1,38,3.147625,4.88232539419353,1.07966912753363,0.946414285606467,1275,846.522147651007,887.0,251,1073,674.484563758389,712.0,115,fliC-pilB-chpB-,Liquid,1
1,39,3.333525,5.21656420973603,1.08087931195641,0.937443331620637,2687,1930.31685678074,2024.0,771,1143,772.671736375158,801.0,248,fliC-pilB-chpB-,Liquid,1
1,40,3.367325,5.14885822331377,1.0629054627678,0.946414285606467,2781,1900.81053952321,1995.0,583,1074,684.854454203262,733.0,151,fliC-pilB-chpB-,Liquid,1
1,41,2.437825,3.68959369428526,1.07560444173522,0.946414285606467,928,613.152512998267,636.0,215,1172,774.299826689775,821.0,190,fliC-pilB-chpB-,Liquid,1
1,42,3.1941,4.93808657865101,1.05504495001019,0.930658369112963,2866,2031.67195767196,2122.5,734,1229,835.748677248677,863.0,273,fliC-pilB-chpB-,Liquid,1
1,43,2.911025,4.4727269068328,1.03314970660415,0.937443331620637,2275,1599.28592162554,1671.0,589,1363,903.539912917271,952.0,169,fliC-pilB-chpB-,Liquid,1
1,44,3.27015,5.10610080991951,1.06979628750425,0.937443331620637,2897,2050.08527131783,2139.0,714,1123,762.158914728682,785.5,191,fliC-pilB-chpB-,Liquid,1
1,45,1.4196,2.27961940777126,1.05076692410029,0.91,2303,1522.2380952381,1583.5,456,1196,702.595238095238,739.0,216,fliC-pilB-chpB-,Liquid,1
1,46,1.4872,2.54423881554251,1.07531716468635,0.867208164168212,2305,1597.01420454545,1650.5,532,1183,709.071022727273,765.0,142,fliC-pilB-chpB-,Liquid,1
1,47,2.775825,4.43805040495976,1.07354341110706,0.884095583067804,1589,1066.48554033486,1099.0,448,981,643.173515981735,661.0,119,fliC-pilB-chpB-,Liquid,1
1,48,1.73225,2.49692388155425,1.01055050385483,0.946414285606467,2297,1583.58780487805,1653.5,537,1263,812.746341463415,849.0,246,fliC-pilB-chpB-,Liquid,1
1,49,1.939275,3.081861994377,1.06312036844545,0.990050503762308,2264,1535.98692810458,1602.0,534,1149,776.83660130719,815.0,287,fliC-pilB-chpB-,Liquid,1
1,50,2.20545,3.38923881554251,1.06346103789448,0.867208164168212,3319,2366.05747126437,2457.0,865,1243,803.093869731801,851.5,178,fliC-pilB-chpB-,Liquid,1
1,51,2.08715,3.31308657865101,1.08276585160121,0.872066511224918,2569,1879.32388663968,1978.5,708,999,667.621457489879,686.0,204,fliC-pilB-chpB-,Liquid,1
1,52,3.0927,4.65614744381603,1.04299068484143,0.990050503762308,3488,2510.81693989071,2580.0,1127,1424,955.143442622951,988.0,276,fliC-pilB-chpB-,Liquid,1
1,53,3.50675,5.59036533894801,1.07895474362327,0.930658369112963,3396,2398.01325301205,2461.5,856,1199,791.120481927711,818.5,236,fliC-pilB-chpB-,Liquid,1
1,54,2.37445,3.617695526217,1.02786640847251,0.867208164168212,2179,1523.73487544484,1575.5,586,1116,742.802491103203,776.0,156,fliC-pilB-chpB-,Liquid,1
1,55,2.539225,3.81768027293628,1.03536427889526,0.937443331620637,3382,2486.96339434276,2616.0,833,1176,755.088186356073,792.0,188,fliC-pilB-chpB-,Liquid,1
1,56,2.13785,3.37069929728024,1.07178073640253,0.884095583067804,2391,1698.4743083004,1776.0,639,1164,748.677865612648,783.0,224,fliC-pilB-chpB-,Liquid,1
1,57,2.15475,3.27771644662753,1.04154783370988,0.990050503762308,2402,1672.53725490196,1730.5,501,1071,683.529411764706,725.5,147,fliC-pilB-chpB-,Liquid,1
1,58,2.496975,4.03498474671927,1.08308079165102,0.946414285606467,2904,2089.44839255499,2197.0,806,956,641.321489001692,671.0,154,fliC-pilB-chpB-,Liquid,1
1,59,2.40825,3.6288477631085,1.01439186061787,0.845,2363,1658.48421052632,1716.5,651,1088,726.0,779.0,179,fliC-pilB-chpB-,Liquid,1
1,60,2.716675,4.57501046020526,1.06181463866535,0.845,3748,2719.28304821151,2791.0,1110,1159,752.447900466563,771.0,230,fliC-pilB-chpB-,Liquid,1
2,2,2.93215,4.37994857302801,1.0495464425406,0.966294468575703,1065,683.377521613833,692.5,220,1043,642.553314121037,678.0,83,fliC-pilB-chpB-,Liquid,1
2,3,3.7856,5.45191908847878,1.06513628480905,1.0174109297624,1926,1335.67745535714,1388.0,419,1269,810.422991071429,863.5,124,fliC-pilB-chpB-,Liquid,1
2,4,2.311075,3.57770598642227,1.08091123923842,0.946414285606467,2454,1720.83180987203,1782.0,603,1052,639.212065813528,700.0,130,fliC-pilB-chpB-,Liquid,1
2,5,3.5828,5.38193434175952,1.06248644466134,0.946414285606467,3000,2036.48113207547,2128.5,657,973,589.865566037736,648.5,116,fliC-pilB-chpB-,Liquid,1
2,6,4.2419,6.38805040495976,1.06741643675871,0.946414285606467,1903,1315.97111553785,1374.0,386,1064,680.76593625498,711.0,130,fliC-pilB-chpB-,Liquid,1
2,7,4.19965,6.07648140214826,1.09867573589252,1.0090713552569,2401,1723.86217303823,1784.5,586,1037,692.804828973843,728.0,130,fliC-pilB-chpB-,Liquid,1
2,8,2.851875,4.24347763108502,1.08074100320462,0.946414285606467,1438,1005.85481481481,1050.0,389,1193,788.340740740741,838.0,176,fliC-pilB-chpB-,Liquid,1
2,9,2.873,4.4188791437243,1.04109454069755,0.937443331620637,4290,3157.13823529412,3328.0,974,1140,755.464705882353,809.5,133,fliC-pilB-chpB-,Liquid,1
2,10,2.9406,4.28155374953077,1.07925707724111,0.990050503762308,2245,1543.83045977011,1600.5,559,1051,671.096264367816,716.5,117,fliC-pilB-chpB-,Liquid,1
2,11,2.201225,3.25079256507328,1.04624356284983,0.975,2234,1539.41458733205,1618.0,545,1036,680.804222648752,721.0,108,fliC-pilB-chpB-,Liquid,1
2,12,2.894125,4.32424927574778,1.09192643691284,0.946414285606467,2394,1642.20875912409,1727.0,569,973,621.329927007299,655.0,102,fliC-pilB-chpB-,Liquid,1
2,13,3.13495,4.64733585439879,1.06891387081554,0.990050503762308,2002,1370.69272237197,1423.0,442,943,650.595687331536,685.0,121,fliC-pilB-chpB-,Liquid,1
2,14,2.961725,4.52997428651401,1.07473002026222,0.930658369112963,2457,1754.10271041369,1849.0,596,1103,618.483594864479,689.0,101,fliC-pilB-chpB-,Liquid,1
2,15,3.299725,4.66693434175952,1.0641851824526,0.946414285606467,2050,1404.88220230474,1470.0,419,1184,751.927016645326,818.0,167,fliC-pilB-chpB-,Liquid,1
2,16,2.615275,3.82464032818178,1.06982946242847,0.990050503762308,1831,1212.42164781906,1277.0,360,1134,781.563812600969,820.0,191,fliC-pilB-chpB-,Liquid,1
2,17,3.2448,5.11306086516502,1.07878345142172,0.990050503762308,2321,1522.30078125,1563.5,567,1159,761.359375,817.5,193,fliC-pilB-chpB-,Liquid,1
2,18,2.268825,3.49835864980598,1.06352128258235,0.946414285606467,2890,2061.10242085661,2208.0,596,1169,795.810055865922,831.0,158,fliC-pilB-chpB-,Liquid,1
2,19,1.736475,2.51959369428526,1.03267023547393,1.0174109297624,1358,947.333333333333,987.0,274,1151,725.1800486618,761.0,237,fliC-pilB-chpB-,Liquid,1
2,21,4.1236,6.16457844100453,1.0466908988405,0.937443331620637,2253,1566.33094262295,1644.0,541,1263,842.651639344262,888.0,196,fliC-pilB-chpB-,Liquid,1
2,22,2.4674,3.60654328932551,1.04024744406232,0.91,2258,1602.34246575342,1672.0,593,1018,635.291095890411,682.0,151,fliC-pilB-chpB-,Liquid,1
2,23,3.01665,4.67425973595304,1.07140109770621,1.0174109297624,2141,1441.07422969188,1497.0,534,1170,751.588235294118,769.5,195,fliC-pilB-chpB-,Liquid,1
2,24,3.52365,5.42690862827352,1.07885231131237,0.946414285606467,1529,1047.15227817746,1096.5,358,933,555.032374100719,605.0,82,fliC-pilB-chpB-,Liquid,1
2,25,1.989975,2.92579256507328,1.02618967683529,0.975,3058,2142.17409766454,2294.0,723,1256,796.426751592357,838.0,143,fliC-pilB-chpB-,Liquid,1
2,26,2.89835,4.2127269068328,1.01815812562198,0.966294468575703,1733,1210.44752186589,1283.0,383,1142,734.941690962099,777.0,148,fliC-pilB-chpB-,Liquid,1
