Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.3829,3.3846194077712597,1.0362529801350502,0.946414285606467,4170,2903.7056737588696,2992.5,1028,1066,707.184397163121,737.0,169,fliC-pilB-chpB-,Solid,1
1,3,3.79405,5.63497428651401,1.06694202598871,0.946414285606467,2818,2001.1848552338502,2098.5,613,1009,681.967706013363,718.5,163,fliC-pilB-chpB-,Solid,1
1,4,2.4674,3.53501046020526,1.0727802880608102,0.946414285606467,3829,2619.76369863014,2714.5,815,982,638.106164383562,655.0,192,fliC-pilB-chpB-,Solid,1
1,5,3.502525,4.9314918623535196,1.04214231280192,1.01533245786787,3933,2826.04583835947,2965.0,859,1167,773.704463208685,812.0,215,fliC-pilB-chpB-,Solid,1
1,6,1.897025,2.77731493398826,1.06753105299777,0.975,2088,1349.68151447661,1391.0,504,1166,733.899777282851,770.0,155,fliC-pilB-chpB-,Solid,1
1,7,3.40535,4.57039105243401,1.0420562891032399,1.0090713552569,2743,1885.38089330025,1966.5,607,1185,792.279156327543,824.5,252,fliC-pilB-chpB-,Solid,1
1,8,2.4843,3.5261369836107703,1.0510387134154,1.02774023955472,3305,2318.3758503401396,2431.5,795,1066,702.702380952381,714.0,236,fliC-pilB-chpB-,Solid,1
1,9,2.032225,2.91421310205652,1.0205382698683398,0.975,5335,3565.06444906445,3688.0,1322,1006,649.099792099792,676.0,138,fliC-pilB-chpB-,Solid,1
1,10,3.899675,5.4077373670380595,1.01368074139667,0.975,3893,2732.6977248104,2856.0,968,1182,796.257854821235,839.0,176,fliC-pilB-chpB-,Solid,1
1,12,2.615275,3.8804015126392697,1.08238983168196,0.946414285606467,3410,2431.35702746365,2510.0,721,1093,716.226171243942,747.0,207,fliC-pilB-chpB-,Solid,1
1,13,4.2081,6.00920264185125,1.05685647417533,1.0090713552569,2811,1913.9066265060198,1990.5,554,1314,872.8253012048191,891.5,252,fliC-pilB-chpB-,Solid,1
1,14,2.05335,2.82654328932551,1.04943884835915,1.0090713552569,3250,2257.6502057613197,2392.0,770,1192,758.4032921810699,777.0,218,fliC-pilB-chpB-,Solid,1
1,15,2.47585,3.80190862827352,1.04816345696639,0.937443331620637,6522,4763.30546075085,4934.0,1533,1049,727.247440273038,760.5,234,fliC-pilB-chpB-,Solid,1
1,16,2.72935,3.8822530468110097,1.0441522660134999,1.0174109297624,6314,4512.30495356037,4746.0,1617,1171,800.196594427245,835.5,212,fliC-pilB-chpB-,Solid,1
1,17,2.0449,3.15424927574778,1.10174678127733,0.990050503762308,4140,2876.6859504132203,3000.0,780,1116,748.6074380165289,781.5,233,fliC-pilB-chpB-,Solid,1
1,18,2.10405,3.00762317883449,1.0740415448131,1.0090713552569,3577,2573.3554216867497,2662.5,1002,1144,732.955823293173,774.0,204,fliC-pilB-chpB-,Solid,1
1,19,2.0449,2.88692388155425,1.00915334979845,0.91,3379,2407.95454545455,2501.5,831,1031,678.29958677686,706.0,191,fliC-pilB-chpB-,Solid,1
1,20,2.72935,4.17003138061579,1.04113169529563,0.990050503762308,4047,2950.27708978328,3058.0,1162,1164,725.5603715170281,756.5,257,fliC-pilB-chpB-,Solid,1
1,21,2.76315,3.9742388155425097,1.05653291200827,0.946414285606467,4307,3127.0948012232398,3234.5,916,1310,867.3990825688071,921.5,229,fliC-pilB-chpB-,Solid,1
1,22,2.37445,3.4407459311767594,1.07604780355483,0.990050503762308,3476,2427.628113879,2537.0,751,919,594.359430604982,631.5,167,fliC-pilB-chpB-,Solid,1
1,24,3.071575,4.51001046020526,1.06244063994798,0.946414285606467,4063,2934.76478679505,3065.0,1009,1202,820.495185694635,863.0,242,fliC-pilB-chpB-,Solid,1
1,25,2.76315,3.93233585439879,1.05424459019011,1.0174109297624,2882,2029.6406727828698,2140.5,734,1145,733.8272171253819,759.0,235,fliC-pilB-chpB-,Solid,1
1,26,3.76025,5.551861994377,1.10039036693565,0.937443331620637,6862,4713.55730337079,4847.5,1172,1213,786.768539325843,795.0,215,fliC-pilB-chpB-,Solid,1
1,27,1.59705,2.99270598642227,1.08220966521185,0.814447665599208,5029,4019.1137566137604,4217.0,1319,1297,969.531746031746,1001.5,312,fliC-pilB-chpB-,Solid,1
1,28,2.49275,3.7276698127310097,1.0774590983698,0.990050503762308,3758,2633.24915254237,2743.5,908,1125,708.2915254237289,724.0,220,fliC-pilB-chpB-,Solid,1
1,29,3.426475,4.889223562261781,1.0629048269538,1.01533245786787,1768,1168.38964241677,1201.0,410,1068,682.812577065351,707.0,150,fliC-pilB-chpB-,Solid,1
1,30,4.3095,6.1711731573020305,1.07492765654977,1.0090713552569,2663,1894.8568627451,1983.5,542,978,651.500980392157,680.5,138,fliC-pilB-chpB-,Solid,1
1,31,3.080025,4.278847763108501,1.0127450326884,0.946414285606467,3903,2869.9670781893,2989.0,1132,1104,756.0534979423869,788.0,193,fliC-pilB-chpB-,Solid,1
