Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.2308,3.2388477631085,1.0169066760152299,0.946414285606467,2853,1991.79166666667,2134.0,657,1062,675.467803030303,744.5,126,fliC-pilBTU-chpB-,Liquid,1
1,3,2.81385,4.2211731573020295,1.10836527118531,0.990050503762308,902,569.962462462462,592.5,197,1002,648.367867867868,681.5,126,fliC-pilBTU-chpB-,Liquid,1
1,4,2.294175,3.29731493398826,1.0600572771587802,0.946414285606467,2468,1729.1546961326,1807.0,528,978,605.815837937385,666.0,96,fliC-pilBTU-chpB-,Liquid,1
1,5,2.6364,4.0707821048680195,1.1009313620655299,0.946414285606467,2709,1953.4487179487198,2052.5,679,1050,672.091346153846,708.0,153,fliC-pilBTU-chpB-,Liquid,1
1,6,1.930825,2.91989147892623,1.0683467267078701,0.946414285606467,1576,1075.16192560175,1130.0,335,996,661.295404814004,688.0,141,fliC-pilBTU-chpB-,Liquid,1
1,7,2.39135,3.39996382630874,1.04614271578731,0.946414285606467,3092,2209.5459363957602,2344.5,717,1262,873.26148409894,922.5,172,fliC-pilBTU-chpB-,Liquid,1
1,8,1.9266,2.8399742865140096,1.1087032571478,0.990050503762308,547,357.22368421052596,374.0,121,915,584.342105263158,632.0,106,fliC-pilBTU-chpB-,Liquid,1
1,9,2.4336,3.50340528370251,1.04172440420899,1.0174109297624,2345,1625.09201388889,1689.5,604,1140,736.789930555556,783.0,152,fliC-pilBTU-chpB-,Liquid,1
1,10,3.510975,5.4291873885705195,1.05199426614433,0.990050503762308,2001,1385.62093862816,1448.0,403,1027,659.534296028881,711.0,119,fliC-pilBTU-chpB-,Liquid,1
1,11,2.0449,2.9138477631085,1.01777700919844,0.946414285606467,4114,3025.00619834711,3170.0,1302,1045,714.9318181818179,748.0,156,fliC-pilBTU-chpB-,Liquid,1
1,12,2.311075,3.1942388155425094,1.06604259790424,1.0090713552569,1391,944.168190127971,987.0,301,1216,806.639853747715,841.0,227,fliC-pilBTU-chpB-,Liquid,1
1,13,2.7547,3.9357354709715002,1.0492776624986802,0.946414285606467,3827,2761.1042944785304,2902.5,1051,1140,736.955521472393,778.5,156,fliC-pilBTU-chpB-,Liquid,1
1,14,2.28995,3.317278760297,1.12938169007381,1.02774023955472,3230,2294.0479704797,2394.5,881,1183,815.2785977859779,860.5,268,fliC-pilBTU-chpB-,Liquid,1
1,15,1.922375,2.83769552621701,1.0382723976928,0.946414285606467,2866,1996.8,2127.0,682,1016,626.967032967033,687.0,149,fliC-pilBTU-chpB-,Liquid,1
1,16,2.94905,4.528488091290289,1.1053010709796498,0.990050503762308,3307,2304.90687679083,2393.5,797,1196,799.355300859599,829.5,162,fliC-pilBTU-chpB-,Liquid,1
1,17,2.615275,3.8753548787427503,1.0687554136509099,0.946414285606467,1702,1180.1017770597698,1244.0,360,1408,954.741518578352,1013.0,283,fliC-pilBTU-chpB-,Liquid,1
1,18,1.812525,2.81809703885628,1.0472181922649901,0.975,1386,956.503496503497,1003.0,338,1399,905.792540792541,955.0,191,fliC-pilBTU-chpB-,Liquid,1
1,19,2.83075,4.23460415449053,1.04736992182123,0.990050503762308,2167,1475.8223880597,1555.0,492,1258,832.010447761194,870.5,237,fliC-pilBTU-chpB-,Liquid,1
1,20,1.78295,2.66117315730203,1.04839479391423,0.975,2410,1654.39573459716,1727.0,594,1116,695.3744075829379,753.0,114,fliC-pilBTU-chpB-,Liquid,1
1,21,2.539225,3.9657925650732797,1.0715443046841,0.990050503762308,1821,1282.4958402662198,1338.0,541,1223,857.692179700499,903.0,211,fliC-pilBTU-chpB-,Liquid,1
1,22,2.226575,3.3269448019647796,1.06058991839668,0.990050503762308,1974,1342.83491461101,1394.0,475,1336,908.3946869070211,944.0,341,fliC-pilBTU-chpB-,Liquid,1
1,23,1.86745,3.01920264185125,1.13799776117805,0.9597134989151709,2180,1501.03167420814,1567.0,498,1148,707.0384615384621,728.0,227,fliC-pilBTU-chpB-,Liquid,1
1,24,2.39135,3.65385822331377,1.07684967654196,0.946414285606467,1362,941.475265017668,992.5,354,1225,816.7173144876331,854.5,227,fliC-pilBTU-chpB-,Liquid,1
1,25,2.94905,4.2138477631085,1.0124499341393,0.946414285606467,2034,1394.9398280802302,1446.0,383,1154,709.840974212034,776.0,161,fliC-pilBTU-chpB-,Liquid,1
1,26,3.16875,4.73846717087976,1.04046626435594,0.946414285606467,2331,1626.504,1696.5,613,1187,765.9026666666671,828.5,177,fliC-pilBTU-chpB-,Liquid,1
1,27,3.299725,4.95194480196478,1.08239166002435,0.990050503762308,3483,2430.1818181818203,2504.0,920,1419,928.909090909091,965.0,193,fliC-pilBTU-chpB-,Liquid,1
1,28,2.522325,3.8069552621700495,1.00980245680903,0.937443331620637,1373,917.7085427135679,955.0,292,980,645.041876046901,668.0,197,fliC-pilBTU-chpB-,Liquid,1
1,29,2.446275,3.6603910524340098,1.05062157607039,0.946414285606467,741,488.571675302245,507.0,172,929,623.683937823834,652.0,129,fliC-pilBTU-chpB-,Liquid,1
1,30,1.964625,3.0057716446627496,1.02736059951717,0.867208164168212,3113,2175.23655913978,2290.0,692,869,555.208602150538,586.0,62,fliC-pilBTU-chpB-,Liquid,1
1,31,3.05045,4.837716446627531,1.10095343996499,0.9306583691129631,3180,2220.15096952909,2334.0,898,1401,907.862880886427,940.5,192,fliC-pilBTU-chpB-,Liquid,1
1,32,2.3491,3.7007459311767597,1.07827498221216,0.9306583691129631,3081,2178.82913669065,2299.5,715,1115,763.4928057553959,813.5,210,fliC-pilBTU-chpB-,Liquid,1
1,33,2.3829,3.5576802729362798,1.01813328951386,0.937443331620637,3565,2525.53191489362,2641.5,871,1043,686.310283687943,726.5,154,fliC-pilBTU-chpB-,Liquid,1
1,34,2.919475,4.7661836175072905,1.06583299526038,0.937443331620637,3376,2363.68306801737,2421.0,948,1224,799.690303907381,825.0,192,fliC-pilBTU-chpB-,Liquid,1
1,35,1.854775,3.0238220496225097,1.0714877140108199,0.9306583691129631,3105,2098.1457858769895,2221.0,828,1212,815.6605922551249,840.0,186,fliC-pilBTU-chpB-,Liquid,1
1,36,2.378675,3.77498474671927,1.05177569897597,0.937443331620637,2683,1870.76554174067,1978.0,698,1296,808.818827708703,865.0,156,fliC-pilBTU-chpB-,Liquid,1
1,37,2.404025,3.5638477631085004,1.0146455655159101,0.946414285606467,2153,1523.84182776801,1572.0,611,1249,839.718804920914,864.0,235,fliC-pilBTU-chpB-,Liquid,1
1,38,1.905475,2.9988115894172402,1.05481995931868,0.91,2582,1829.3769401330399,1918.0,660,1076,700.838137472284,734.0,259,fliC-pilBTU-chpB-,Liquid,1
2,1,2.750475,4.21002092041053,1.08069398262411,0.990050503762308,2370,1669.15207373272,1739.0,489,1022,652.619047619048,716.0,95,fliC-pilBTU-chpB-,Liquid,1
2,2,2.05335,3.08462986797652,1.08190012004355,0.975,1427,981.991769547325,1033.0,289,1001,624.296296296296,682.0,139,fliC-pilBTU-chpB-,Liquid,1
2,3,1.81675,2.72346717087976,1.07118152222563,0.946414285606467,2201,1521.7651162790698,1582.5,497,1103,685.267441860465,737.0,164,fliC-pilBTU-chpB-,Liquid,1
2,4,3.4138,5.31964032818178,1.0819195946344302,0.946414285606467,2302,1587.0507425742599,1645.0,466,1202,765.3131188118809,807.5,219,fliC-pilBTU-chpB-,Liquid,1
2,5,2.1294,3.0953548787427505,1.07564522893862,1.0090713552569,1619,1054.56547619048,1102.5,357,1071,691.89880952381,752.0,155,fliC-pilBTU-chpB-,Liquid,1
2,6,3.080025,4.59306086516502,1.07447369579071,0.990050503762308,1259,858.486968449931,895.0,232,1107,723.534979423868,765.0,101,fliC-pilBTU-chpB-,Liquid,1
2,7,3.164525,4.913868683519031,1.08218193200772,0.937443331620637,2407,1747.9652870494,1817.0,510,1002,641.16955941255,680.0,122,fliC-pilBTU-chpB-,Liquid,1
2,8,3.1096,4.86464032818178,1.0990534939041998,0.937443331620637,3580,2475.00679347826,2564.0,847,1188,786.270380434783,827.0,215,fliC-pilBTU-chpB-,Liquid,1
2,9,1.859,2.75039105243401,1.06283649025031,0.946414285606467,2354,1518.42272727273,1580.5,488,1034,636.031818181818,667.0,173,fliC-pilBTU-chpB-,Liquid,1
