Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.488525,3.55731493398826,1.0567678010646,0.946414285606467,4144,2872.24787775891,2997.0,864,1218,752.74533106961,829.0,136,fliC-pilT-chpB-,Solid,1
1,2,2.74625,3.682695526217,1.02741108590655,1.0090713552569,1552,988.364615384615,1025.0,274,1187,690.929230769231,766.5,107,fliC-pilT-chpB-,Solid,1
1,3,3.899675,5.58653849625004,1.04027053410959,0.990050503762308,3067,2165.89815817985,2329.0,571,1197,783.387865655471,826.0,140,fliC-pilT-chpB-,Solid,1
1,4,2.564575,3.70998474671927,1.06061920957797,0.990050503762308,2449,1719.98352553542,1805.0,429,986,595.902800658979,640.0,82,fliC-pilT-chpB-,Solid,1
1,5,3.6166,5.36382204962251,1.09291272886127,0.990050503762308,1506,1002.40186915888,1046.0,301,1240,800.558411214953,834.5,119,fliC-pilT-chpB-,Solid,1
1,6,3.975725,5.92503138061579,1.07831536178965,1.0090713552569,3046,2120.21891604676,2229.0,610,1151,696.817215727949,742.0,147,fliC-pilT-chpB-,Solid,1
1,7,3.23635,4.70771644662753,1.07966912753363,0.990050503762308,3860,2682.92036553525,2810.0,892,1266,753.048302872063,824.5,130,fliC-pilT-chpB-,Solid,1
1,8,2.919475,4.50347763108502,1.0792780535108,0.946414285606467,2353,1604.50651230101,1690.0,443,1037,691.260492040521,724.0,189,fliC-pilT-chpB-,Solid,1
1,9,2.52655,3.81078210486802,1.07759335581246,0.946414285606467,3482,2299.32274247492,2410.0,575,1109,714.573578595318,779.0,150,fliC-pilT-chpB-,Solid,1
1,10,2.243475,3.31536533894802,1.06238656818714,0.937443331620637,2942,2037.62335216573,2174.0,612,1213,785.853107344633,814.0,155,fliC-pilT-chpB-,Solid,1
1,11,3.654625,5.41384297003304,1.05396472746007,0.990050503762308,2458,1707.76647398844,1767.0,570,1119,705.351445086705,764.0,111,fliC-pilT-chpB-,Solid,1
1,12,2.404025,3.68348809129029,1.05123087674253,0.990050503762308,3418,2434.82073813708,2549.0,700,993,640.722319859402,673.0,81,fliC-pilT-chpB-,Solid,1
1,13,2.028,3.03263363903975,1.02895181176724,0.990050503762308,3013,2070.13125,2206.0,611,1183,795.225,837.0,206,fliC-pilT-chpB-,Solid,1
1,14,3.316625,4.78614744381603,1.04541349825774,0.990050503762308,1908,1255.90828025478,1293.0,396,1109,670.603821656051,690.0,129,fliC-pilT-chpB-,Solid,1
1,15,2.56035,3.67339482349724,1.07533161881525,0.990050503762308,3654,2525.26072607261,2637.0,807,1111,691.930693069307,755.0,132,fliC-pilT-chpB-,Solid,1
