Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.06735,4.20731493398826,1.0497493368770798,1.0090713552569,2277,1591.07300275482,1672.0,447,1104,702.4834710743801,748.0,184,fliC-pilTU-chpB-,Solid,1
1,3,2.226575,3.4542388155425097,1.06263020768144,0.872066511224918,4600,3197.58064516129,3321.0,1104,1187,680.34155597723,714.0,133,fliC-pilTU-chpB-,Solid,1
1,4,2.6871,3.9788582233137704,1.07375061921325,1.0090713552569,1599,1108.99528301887,1156.5,317,1045,623.232704402516,696.5,123,fliC-pilTU-chpB-,Solid,1
1,6,1.49565,3.82655374953077,1.08168780697771,0.7907591289387691,2612,2069.42655367232,2233.0,789,1140,848.1327683615821,919.0,222,fliC-pilTU-chpB-,Solid,1
1,7,3.333525,5.151564209736041,1.0805245105005898,0.946414285606467,3921,2736.5956907477803,2852.0,728,1121,685.586818757921,732.0,106,fliC-pilTU-chpB-,Solid,1
1,8,3.282825,5.1622892205022595,1.08784087049619,0.946414285606467,4892,3367.6988416988397,3461.0,1000,1051,603.684684684685,643.0,95,fliC-pilTU-chpB-,Solid,1
1,9,4.246125,6.211955262170041,1.09444776490795,1.0174109297624,2031,1395.06268656716,1441.0,565,1061,661.448756218905,727.0,127,fliC-pilTU-chpB-,Solid,1
1,10,4.440475,6.79418738857052,1.07078061611021,0.946414285606467,4220,2933.46717411989,3002.0,757,1010,642.242626070409,683.0,61,fliC-pilTU-chpB-,Solid,1
1,11,3.52365,5.24725304681101,1.08645008486228,1.0090713552569,3753,2619.5407673860896,2719.0,919,1144,686.707434052758,765.5,124,fliC-pilTU-chpB-,Solid,1
1,12,3.747575,5.43535487874275,1.05519986330182,0.946414285606467,2401,1670.9673055242401,1746.0,443,1029,649.040586245772,697.0,146,fliC-pilTU-chpB-,Solid,1
1,13,2.995525,4.3934414573937595,1.07887630917609,0.990050503762308,3729,2653.10860366714,2728.0,1148,1152,711.3794076163609,794.0,156,fliC-pilTU-chpB-,Solid,1
1,14,2.3829,3.6557097574855,1.0611639354094302,0.937443331620637,5909,4300.09042553191,4494.0,1495,1193,775.702127659574,843.5,132,fliC-pilTU-chpB-,Solid,1
1,15,2.792725,4.1404015126392695,1.08196901238391,0.975,2419,1660.1180030257199,1746.0,571,980,578.724659606657,651.0,107,fliC-pilTU-chpB-,Solid,1
1,16,2.370225,3.5484414573937593,1.09578007534063,1.0090713552569,10180,7298.01426024955,7677.0,2422,1119,731.5418894830659,787.0,124,fliC-pilTU-chpB-,Solid,1
1,17,2.1632,3.93616269709676,1.06108653953442,0.7907591289387691,8517,6437.009765625,6750.5,1878,1002,705.29296875,753.0,109,fliC-pilTU-chpB-,Solid,1
1,18,1.635075,2.65612652340551,1.09802066893818,0.946414285606467,3823,2603.8811369509,2704.0,884,1385,892.279069767442,952.0,169,fliC-pilTU-chpB-,Solid,1
1,19,3.232125,5.183107499061539,1.0761942998751,0.9306583691129631,7864,5681.66666666667,5960.0,1959,965,605.325490196078,679.0,78,fliC-pilTU-chpB-,Solid,1
1,20,3.03355,4.6092597359530405,1.0651676036548101,0.990050503762308,2805,2022.14902506964,2133.0,680,1039,639.380222841226,694.0,118,fliC-pilTU-chpB-,Solid,1
1,21,2.71245,4.11113698361077,1.06893804807681,0.937443331620637,4670,3303.08878504673,3474.0,983,1198,748.9470404984419,807.5,136,fliC-pilTU-chpB-,Solid,1
1,24,2.873,4.1957354709715,1.0580508936192399,0.867208164168212,3817,2782.38823529412,2903.5,862,1002,666.594117647059,708.0,81,fliC-pilTU-chpB-,Solid,1
1,25,4.25035,6.45156420973603,1.08854567662934,0.9192388155425121,5319,3874.4194831013897,4044.5,1128,1014,645.775347912525,708.5,101,fliC-pilTU-chpB-,Solid,1
1,26,3.18565,4.76539105243401,1.04056521067641,0.946414285606467,6678,4527.24801061008,4759.0,1457,1137,687.407161803714,764.0,120,fliC-pilTU-chpB-,Solid,1
