Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,3,4.5292,5.202278760297,1.05999726009057,1.26207170953159,1123,740.4319029850751,761.5,248,2169,1488.8526119403,1546.5,456,fliC-pilU-,Solid,1
1,4,4.237675,6.940813485483821,1.0863905430196599,0.8840955830678041,522,338.359920239282,344.0,96,2132,1441.9900299102699,1490.0,422,fliC-pilU-,Solid,1
1,5,2.894125,4.070354878742751,1.0925749317773101,1.0090713552569,842,511.512408759124,525.0,143,1980,1316.88613138686,1379.0,198,fliC-pilU-,Solid,1
1,6,2.5012,3.7480608651650202,1.07150450032894,0.975,563,370.143581081081,387.0,93,1033,664.219594594595,702.5,130,fliC-pilU-,Solid,1
1,9,1.753375,2.73881158941724,1.05836182624905,0.867208164168212,430,271.274698795181,286.0,85,2631,1700.6289156626501,1885.0,374,fliC-pilU-,Solid,1
1,10,5.2728,6.45384297003304,1.0701106436933698,1.1627553482998898,840,553.592948717949,579.0,129,2317,1584.21394230769,1660.5,470,fliC-pilU-,Solid,1
1,11,5.851625,7.78119407771256,1.07935095888689,1.105,1364,908.909747292419,946.0,232,2295,1535.5870036101098,1610.0,252,fliC-pilU-,Solid,1
1,12,2.81385,3.43846717087976,1.04777156427428,1.19854077944808,468,271.734234234234,282.0,53,1716,1125.74474474474,1156.0,262,fliC-pilU-,Solid,1
1,13,4.82495,6.346147443816039,1.07496951837917,1.07594144822105,1520,997.470227670753,1022.5,306,1490,959.734676007005,1001.0,192,fliC-pilU-,Solid,1
1,15,5.268575,6.053117959266809,1.0678645548517098,1.28035151423349,846,549.956696070569,573.0,168,2377,1663.04410585405,1749.0,329,fliC-pilU-,Solid,1
1,16,2.74625,3.3715537495307704,1.10461880933994,1.19854077944808,2475,1614.89076923077,1705.5,366,2471,1606.07692307692,1686.0,317,fliC-pilU-,Solid,1
1,18,3.603925,4.35961940777126,1.0307653092141,1.07200746266059,508,321.392731535756,334.0,78,1748,1150.87456037515,1198.0,181,fliC-pilU-,Solid,1
2,2,2.30685,3.25689816806826,1.07711530028528,1.07594144822105,1019,685.657509157509,707.0,233,2399,1598.07326007326,1717.5,479,fliC-pilU-,Solid,1
2,6,3.122275,3.4764814021482597,1.0501263787073398,1.3,1080,678.0067658998651,677.0,211,2703,1716.25439783491,1749.0,522,fliC-pilU-,Solid,1
2,7,2.45895,3.1557354709715004,1.05793272493232,1.07200746266059,481,281.32302405498297,294.0,76,1594,1028.89175257732,1070.5,254,fliC-pilU-,Solid,1
2,8,4.25035,5.40232539419353,1.07657490619211,1.07594144822105,766,451.19781312127196,467.0,98,1726,1085.2306163021901,1183.5,196,fliC-pilU-,Solid,1
2,9,1.78295,2.64731493398826,1.06956763273314,1.0090713552569,654,411.77251184834097,417.5,110,2005,1311.60900473934,1368.0,235,fliC-pilU-,Solid,1
2,15,2.9575,3.8061626970967595,1.06255543232261,1.07200746266059,994,666.922857142857,686.5,185,2429,1667.3642857142902,1754.5,372,fliC-pilU-,Solid,1
2,16,2.1294,2.9607354709715,1.06044479522364,1.04,479,284.638888888889,292.0,79,1897,1234.3789682539698,1312.5,257,fliC-pilU-,Solid,1
2,18,7.330375,10.608858223313801,1.03938480809037,0.946414285606467,1265,869.5273775216141,912.0,286,2951,2124.13717579251,2252.0,439,fliC-pilU-,Solid,1
2,19,2.894125,4.34464032818179,1.07347657528463,1.0090713552569,890,572.160583941606,592.0,155,2948,1933.2540145985397,2072.0,297,fliC-pilU-,Solid,1
3,1,2.226575,3.4115432893255098,1.0463626074421701,0.867208164168212,897,561.787476280835,583.0,166,3081,2031.90891840607,2105.0,529,fliC-pilU-,Solid,1
3,2,4.75735,6.321075096433519,1.05791125800652,1.1627553482998898,908,541.2930728241561,548.0,96,1795,1115.9760213143902,1150.0,145,fliC-pilU-,Solid,1
3,3,4.533425,5.6548762256455,1.04064410073683,1.1627553482998898,2915,2001.11276794035,2082.0,661,2162,1444.7101584343,1488.0,348,fliC-pilU-,Solid,1
3,4,3.18565,4.02808657865101,1.0638821202286,1.105,1087,683.364721485411,711.0,251,1739,1167.3275862069,1227.0,297,fliC-pilU-,Solid,1
3,5,2.581475,4.45233585439879,1.07699899378879,0.872066511224918,904,591.6415711947631,619.0,145,2073,1437.74795417349,1553.0,308,fliC-pilU-,Solid,1
3,6,1.415375,2.58693434175952,1.08238983168196,0.7934261150226909,708,441.958208955224,458.0,136,2177,1425.82388059701,1512.0,362,fliC-pilU-,Solid,1
3,7,2.66175,3.6938477631085003,1.0141467703476401,0.946414285606467,608,373.28571428571405,390.0,78,2467,1604.5047619047598,1679.5,317,fliC-pilU-,Solid,1
3,8,2.34065,3.3934309971885,1.1006124137161102,1.01116269709676,477,308.859205776173,324.5,54,1248,839.79963898917,882.0,173,fliC-pilU-,Solid,1
3,9,3.6335,4.66878587593125,1.07673937327593,1.1627553482998898,585,377.53604651162806,394.5,100,1558,1070.7197674418599,1120.0,271,fliC-pilU-,Solid,1
3,10,2.4505,3.7754119728445397,1.05310430286835,0.937443331620637,717,476.898275862069,498.0,123,1197,787.379310344828,842.0,173,fliC-pilU-,Solid,1
3,12,2.6364,4.24539105243401,1.05344691127395,0.867208164168212,556,367.554487179487,380.5,110,1162,752.397435897436,788.0,101,fliC-pilU-,Solid,1
3,13,1.964625,3.2072425866057404,1.10498371192468,0.937443331620637,1049,700.344086021505,715.0,178,3007,1956.35053763441,1973.0,537,fliC-pilU-,Solid,1
3,14,5.41645,6.97156420973604,1.08013594176255,1.105,653,402.38065522620906,414.0,66,2263,1494.1170046801901,1565.5,274,fliC-pilU-,Solid,1
3,15,2.877225,3.0169238815542503,1.00876630448697,1.26207170953159,905,553.395007342144,562.0,157,2157,1384.29809104258,1425.0,446,fliC-pilU-,Solid,1
3,18,3.4138,4.20731493398826,1.0497493368770798,1.07200746266059,950,629.007425742574,666.0,162,2317,1604.38242574257,1700.5,502,fliC-pilU-,Solid,1
