Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,1.964625,2.66961940777126,1.04455484901689,1.0090713552569,774,463.98279569892503,473.0,130,1214,731.025806451613,775.0,191,fliC-pilA-,Solid,2
1,2,4.499625,6.35310749906154,1.0814712604780201,1.0090713552569,756,484.56056338028196,500.0,132,966,604.161502347418,649.0,103,fliC-pilA-,Solid,2
1,3,4.440475,6.17849855149555,1.07393453633194,1.01533245786787,851,509.8648905804,538.0,119,1297,816.83920076118,851.0,174,fliC-pilA-,Solid,2
1,5,2.530775,3.50808657865101,1.06982576540532,1.0090713552569,725,487.17195325542605,508.0,161,1013,664.1368948247081,691.0,134,fliC-pilA-,Solid,2
1,6,2.71245,3.8957459311767595,1.0790701648579202,1.0090713552569,1315,853.5529595015581,884.0,274,1292,857.080996884735,882.0,184,fliC-pilA-,Solid,2
1,7,4.056,5.765339625462019,1.07561557662167,1.02774023955472,1194,784.342708333333,813.0,206,1145,747.204166666667,775.0,173,fliC-pilA-,Solid,2
1,8,3.84475,5.37263363903975,1.09983244268718,1.04,1348,875.421978021978,906.0,205,1521,952.698901098901,976.0,240,fliC-pilA-,Solid,2
1,9,3.2955,4.584249275747769,1.08183344450691,1.07200746266059,1152,786.535897435897,817.0,245,1305,805.8025641025639,867.5,191,fliC-pilA-,Solid,2
1,10,3.561675,4.67191908847879,1.0262719294394,1.0660792653456899,1084,701.113879003559,732.0,178,1309,837.948991696323,884.0,178,fliC-pilA-,Solid,2
1,11,2.598375,3.5842388155425096,1.06101442890451,1.0090713552569,753,516.9918699186991,535.0,180,1331,886.242276422764,934.0,175,fliC-pilA-,Solid,2
1,12,2.1801,3.18770598642227,1.08235674198041,1.0090713552569,1038,666.738372093023,694.0,223,1455,963.860465116279,1017.5,148,fliC-pilA-,Solid,2
1,13,2.20545,3.23040151263927,1.0788733328908,1.0090713552569,1041,686.706896551724,720.5,243,1402,891.0229885057471,978.0,215,fliC-pilA-,Solid,2
1,14,2.268825,3.17378587593125,1.04745265833659,1.02774023955472,1014,673.217877094972,694.0,206,1309,807.6741154562379,882.0,167,fliC-pilA-,Solid,2
1,15,3.6335,5.055020920410531,1.09059655628018,1.0174109297624,1213,813.068604651163,840.0,274,1104,673.744186046512,724.5,117,fliC-pilA-,Solid,2
1,16,2.72935,3.77732539419353,1.0819274334561,1.04,797,520.489164086687,542.5,164,1197,737.088235294118,828.5,106,fliC-pilA-,Solid,2
1,17,2.94905,4.31962986797652,1.0773475992863002,1.0090713552569,771,479.964183381089,497.5,161,1356,836.736389684814,924.5,122,fliC-pilA-,Solid,2
2,1,2.480075,3.5345832340800003,1.0621634331301,0.990050503762308,814,492.446337308348,509.0,158,986,599.120954003407,644.0,164,fliC-pilA-,Solid,2
2,4,2.420925,3.61578210486802,1.07917808426059,0.975,761,486.207678883072,508.0,133,1150,758.1605584642231,799.0,212,fliC-pilA-,Solid,2
2,5,3.130725,4.3795213469027505,1.06254236347291,1.1183022847155402,887,570.500674763833,599.0,120,1133,754.6342780026989,777.0,166,fliC-pilA-,Solid,2
2,6,3.367325,4.56656420973603,1.08084359993752,1.0660792653456899,917,578.062735257215,615.0,156,1084,703.7979924717689,744.0,201,fliC-pilA-,Solid,2
2,7,3.4476,4.78386868351903,1.08185540218042,1.01116269709676,1003,615.421568627451,636.5,190,1401,888.4473039215691,927.0,243,fliC-pilA-,Solid,2
2,8,2.420925,3.41616269709676,1.06725775199068,1.0090713552569,769,509.584642233857,528.0,151,1323,861.010471204188,907.0,155,fliC-pilA-,Solid,2
2,9,2.868775,3.9092388155425097,1.05724244210664,1.07200746266059,1179,787.044182621502,812.0,281,1214,786.840942562592,839.0,106,fliC-pilA-,Solid,2
2,10,2.7039999999999997,3.86228922050227,1.10225894121992,1.07200746266059,720,493.978125,510.5,135,1443,981.98125,1040.5,237,fliC-pilA-,Solid,2
2,11,3.646175,4.92231493398826,1.04684087740806,1.0090713552569,762,485.24913093858595,504.0,143,887,514.811123986095,564.0,79,fliC-pilA-,Solid,2
2,12,3.5321,4.91614744381603,1.05035755276703,1.01533245786787,1312,876.458133971292,907.5,247,1245,845.562200956938,886.5,177,fliC-pilA-,Solid,2
2,13,2.767375,3.9268619943769996,1.07199321155103,1.07200746266059,716,456.43969465648905,478.0,183,1001,639.703816793893,679.0,75,fliC-pilA-,Solid,2
2,14,2.454725,3.63993811282275,1.06961165192418,0.990050503762308,990,670.547332185886,700.0,172,1238,847.005163511188,888.0,182,fliC-pilA-,Solid,2
2,16,2.480075,3.4727164466275298,1.0557259043657399,1.02774023955472,890,560.3679727427599,584.0,174,1278,823.654173764906,884.0,140,fliC-pilA-,Solid,2
2,17,2.573025,3.6454119728445398,1.03786731044288,1.0174109297624,847,535.351395730706,564.0,146,1027,655.35632183908,699.0,125,fliC-pilA-,Solid,2
3,2,3.730675,5.44693434175952,1.057447857787,0.946414285606467,629,373.54246885617204,385.0,111,1080,739.9490373725929,759.0,172,fliC-pilA-,Solid,2
3,3,3.042,4.52386868351903,1.0806305956608802,1.0090713552569,1207,807.826388888889,831.0,192,972,618.740277777778,660.5,128,fliC-pilA-,Solid,2
3,4,2.57725,3.56464032818178,1.0544323576559498,1.0660792653456899,801,532.159016393443,559.0,156,1060,675.188524590164,733.5,129,fliC-pilA-,Solid,2
3,5,2.8392,4.04109034971425,1.07607375085599,1.0090713552569,668,439.907738095238,451.5,106,1055,703.1428571428571,734.5,129,fliC-pilA-,Solid,2
3,6,2.61105,3.78847763108502,1.0823117459700502,1.0090713552569,622,414.582524271845,431.0,103,1173,771.5453074433659,821.0,186,fliC-pilA-,Solid,2
3,7,2.784275,3.8292597359530403,1.0362529801350502,1.07594144822105,873,562.176024279211,592.0,141,1263,815.701062215478,870.0,170,fliC-pilA-,Solid,2
3,8,3.27015,4.44580302527855,1.0385852473062,1.0581233387464801,1258,816.1589147286819,843.0,223,1411,931.8462532299741,974.0,190,fliC-pilA-,Solid,2
3,9,2.4505,3.5461626970967597,1.09090882377114,1.0090713552569,826,521.3206896551719,543.5,164,1262,800.7258620689661,886.0,143,fliC-pilA-,Solid,2
3,10,3.25325,4.747278760297,1.07011791696847,0.975,852,546.333766233766,563.0,170,1128,750.2012987012989,788.0,140,fliC-pilA-,Solid,2
3,11,2.767375,3.8134880912902895,1.05508948588309,1.01533245786787,1622,1101.72824427481,1150.0,373,1249,806.3358778625951,875.0,141,fliC-pilA-,Solid,2
4,1,4.296825,5.70231493398826,1.0437146023478299,1.04,723,461.90658800393305,475.0,130,1060,648.67453294002,681.0,177,fliC-pilA-,Solid,2
4,2,2.598375,3.59539105243401,1.05135584562486,1.0090713552569,615,420.164227642276,437.0,127,1081,726.2146341463421,761.0,136,fliC-pilA-,Solid,2
4,3,2.6702,3.7411626970967595,1.08423330681308,1.0090713552569,1160,776.3227848101269,805.0,217,1164,724.5237341772149,754.0,173,fliC-pilA-,Solid,2
4,4,2.13785,2.99185153417174,1.11438990305395,1.02774023955472,1536,1027.30632411067,1064.0,289,1087,720.828063241107,740.5,181,fliC-pilA-,Solid,2
4,5,3.570125,4.83501046020526,1.05940154437024,1.0090713552569,1698,1146.55857988166,1207.0,295,1166,781.0674556213021,834.0,197,fliC-pilA-,Solid,2
4,6,2.67865,3.6557097574855,1.0813709949967,1.105,707,451.963722397476,471.0,150,1094,682.760252365931,726.5,136,fliC-pilA-,Solid,2
