Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,3.38,4.825771644662749,1.01616475095623,0.946414285606467,708,454.02,471.0,158,990,675.45625,710.0,186,fliC-pilB-,Solid,1
1,2,3.3631,5.263879143724299,1.08246758338487,0.946414285606467,907,594.979899497487,615.0,172,952,616.6281407035179,642.5,157,fliC-pilB-,Solid,1
1,3,3.03355,4.767669812731009,1.07854171065695,0.946414285606467,1069,719.5543175487469,744.0,219,902,578.50139275766,602.0,111,fliC-pilB-,Solid,1
1,4,2.78005,4.379583234080001,1.05355636178815,0.867208164168212,855,573.925531914894,594.5,162,1002,643.082066869301,675.5,138,fliC-pilB-,Solid,1
1,5,4.144725,6.19809703885628,1.07624261981353,1.0090713552569,691,437.633027522936,455.0,107,1075,710.627930682977,733.0,198,fliC-pilB-,Solid,1
1,6,1.46185,2.51497428651401,1.06415395854251,0.946414285606467,1220,820.367052023121,843.0,287,1234,813.895953757225,850.0,170,fliC-pilB-,Solid,1
1,7,2.023775,2.98531870505149,1.0695396444201801,1.02774023955472,587,363.13987473904,370.0,132,1006,630.4676409185801,653.0,173,fliC-pilB-,Solid,1
1,8,2.404025,3.6645832340800006,1.0607230529931402,0.946414285606467,579,371.602811950791,387.0,132,1184,776.908611599297,824.0,191,fliC-pilB-,Solid,1
1,9,2.028,2.9211731573020296,1.07707156129582,1.02774023955472,606,380.51875,393.5,108,985,623.54375,646.5,212,fliC-pilB-,Solid,1
1,10,2.50965,3.8149742865140097,1.10094651651367,0.9597134989151709,1149,746.6582491582491,784.5,228,1042,698.880471380471,731.0,217,fliC-pilB-,Solid,1
1,11,2.496975,4.48308657865102,1.07296020098365,0.814447665599208,786,540.499153976311,560.0,201,1200,786.65820642978,835.0,224,fliC-pilB-,Solid,1
1,12,2.319525,3.30464032818179,1.0419122499167799,1.02774023955472,399,229.15664845172998,237.0,66,908,585.395264116576,607.0,133,fliC-pilB-,Solid,1
1,13,2.6364,3.6715432893255096,1.04602372915257,1.0090713552569,673,438.238782051282,460.5,110,1048,680.224358974359,713.0,162,fliC-pilB-,Solid,1
1,14,1.34355,2.27308657865101,1.0823117459700502,0.946414285606467,1339,896.314465408805,911.0,323,1260,892.710691823899,902.0,481,fliC-pilB-,Solid,1
1,15,1.39425,2.7977059864222698,1.09361134426276,0.83240615086627,1322,930.448484848485,965.5,295,1152,836.5454545454551,858.0,345,fliC-pilB-,Solid,1
1,16,1.922375,2.83116269709676,1.07489215798247,0.946414285606467,678,425.10329670329696,438.0,109,1018,676.3296703296701,709.0,187,fliC-pilB-,Solid,1
1,17,2.2477,3.3892388155425097,1.06346103789448,0.946414285606467,1491,984.546992481203,1017.0,347,944,634.336466165414,677.0,168,fliC-pilB-,Solid,1
1,18,2.1632,3.18685153417173,1.06861785112775,1.0090713552569,1255,826.8203125,846.5,288,948,595.40625,631.5,129,fliC-pilB-,Solid,1
1,19,2.699775,4.05728922050227,1.07286054449519,0.990050503762308,764,485.68075117370904,510.0,113,1028,675.968701095462,698.0,267,fliC-pilB-,Solid,1
1,20,2.6871,4.05075639138203,1.05263730733049,0.975,803,507.52044025157204,523.0,113,995,662.345911949686,690.0,128,fliC-pilB-,Solid,1
1,21,2.535,3.4607716446627497,1.02219720765835,0.946414285606467,715,428.041666666667,444.5,89,912,592.34,619.0,168,fliC-pilB-,Solid,1
1,22,3.45605,5.28539105243401,1.0421409144581602,0.946414285606467,654,404.052567237164,411.0,148,1114,688.266503667482,711.5,162,fliC-pilB-,Solid,1
1,23,3.3631,4.942705986422269,1.0700540911909,1.0090713552569,1089,684.0590452261309,702.5,237,1182,750.3203517587939,777.5,185,fliC-pilB-,Solid,1
1,24,3.181425,4.82385822331377,1.06574937440846,0.990050503762308,1037,641.470119521912,668.0,206,1082,718.4501992031869,749.0,189,fliC-pilB-,Solid,1
1,25,3.52365,5.160010460205269,1.06799958563584,1.0090713552569,855,523.742206235012,538.5,105,1078,690.5503597122299,715.0,190,fliC-pilB-,Solid,1
1,26,2.3829,3.40458323408,1.06364016326195,1.0090713552569,655,399.09219858155996,428.0,68,1001,629.047872340426,651.0,160,fliC-pilB-,Solid,1
1,27,2.18855,3.2880142312685,1.0901802677608299,1.0174109297624,908,574.739382239382,594.5,175,944,596.4247104247099,620.5,133,fliC-pilB-,Solid,1
1,28,3.257475,4.9834880912902895,1.07802952550868,0.990050503762308,964,633.588845654994,651.0,159,937,614.57457846952,632.0,169,fliC-pilB-,Solid,1
1,29,2.454725,3.3038477631085,1.01656854249492,1.0090713552569,719,461.917383820998,487.0,133,1103,710.0395869191051,749.0,199,fliC-pilB-,Solid,1
1,30,3.042,5.13579256507329,1.08225727308894,0.937443331620637,1259,846.922222222222,876.0,278,1467,965.126388888889,1011.0,296,fliC-pilB-,Solid,1
1,31,1.491425,2.58459369428526,1.04064474597286,0.8744855630597909,1554,1144.4475920679902,1190.0,422,1143,812.903682719547,852.0,297,fliC-pilB-,Solid,1
1,32,3.27015,4.85078210486802,1.0682883666796,1.0090713552569,1137,759.59819121447,796.0,310,1245,857.0322997416021,887.5,260,fliC-pilB-,Solid,1
1,33,2.13785,3.3538686835190297,1.0567678010646,0.937443331620637,1368,906.280632411067,943.5,249,878,570.03162055336,587.5,125,fliC-pilB-,Solid,1
1,34,2.860325,4.1646194077712595,1.03219667920952,0.975,846,572.537666174298,594.0,178,1090,726.8980797636631,751.0,206,fliC-pilB-,Solid,1
1,35,3.6504,5.875010460205259,1.0615153637209,0.91,584,379.346064814815,395.5,127,1092,705.171296296296,736.5,146,fliC-pilB-,Solid,1
1,36,2.64485,3.89346717087976,1.0430324855036899,0.946414285606467,1379,921.436102236422,958.0,319,1039,697.611821086262,734.5,176,fliC-pilB-,Solid,1
1,37,3.33775,4.86846717087976,1.03538894059887,0.946414285606467,1047,709.6848101265821,733.0,227,971,630.911392405063,667.0,81,fliC-pilB-,Solid,1
