Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.539225,3.4115432893255098,1.0463626074421701,1.0090713552569,641,415.396006655574,431.0,103,1104,732.782029950083,758.0,180,fliC-pilT-,Solid,2
1,2,2.539225,3.78847763108502,1.11387036312423,1.0174109297624,1168,774.966722129784,814.0,162,1082,647.24459234609,712.0,99,fliC-pilT-,Solid,2
1,3,2.632175,3.7411626970967595,1.06330884998427,0.975,1254,780.711075441413,805.0,170,1099,741.821829855538,776.0,231,fliC-pilT-,Solid,2
1,4,2.868775,3.94731493398826,1.0523647784841998,0.946414285606467,1462,960.574374079529,1009.0,222,959,633.231222385862,659.0,207,fliC-pilT-,Solid,2
1,5,3.5152,5.10233585439879,1.0761159189790501,1.02774023955472,997,657.961538461538,681.0,211,1088,702.853365384615,731.0,131,fliC-pilT-,Solid,2
1,6,2.7039999999999997,3.86228922050227,1.0692833134094,1.02774023955472,942,603.340625,635.5,162,1183,769.0015625,791.5,153,fliC-pilT-,Solid,2
1,7,2.81385,4.032278760296999,1.07004720099638,1.0090713552569,1215,849.8678678678681,884.5,205,1140,762.90990990991,790.5,157,fliC-pilT-,Solid,2
1,8,3.198325,4.72078210486802,1.09589623017538,0.975,480,288.322324966975,295.0,82,1012,667.997357992074,698.0,120,fliC-pilT-,Solid,2
1,9,2.1801,3.2903548787427503,1.07412569316259,0.975,957,598.0,624.5,190,1119,741.616279069767,778.5,137,fliC-pilT-,Solid,2
1,10,2.589925,3.6715432893255096,1.03962597048738,0.946414285606467,854,535.972267536705,561.0,159,1139,759.256117455139,793.0,148,fliC-pilT-,Solid,2
1,11,2.7378,3.8088686835190297,1.07109818872567,1.02774023955472,1332,865.637345679012,896.0,245,1143,715.726851851852,777.0,155,fliC-pilT-,Solid,2
1,12,2.9406,4.182669812731009,1.0793977627881801,1.0090713552569,1056,695.823275862069,726.0,188,1108,715.448275862069,769.0,139,fliC-pilT-,Solid,2
1,13,2.556125,3.7642597359530403,1.032656542283,0.975,1302,873.738842975207,906.0,266,1058,702.249586776859,746.0,154,fliC-pilT-,Solid,2
1,14,2.522325,3.5795575205940002,1.05033688984281,1.02774023955472,1006,687.9983249581239,725.0,146,1090,708.9045226130651,762.0,157,fliC-pilT-,Solid,2
1,15,3.080025,4.40231493398826,1.05503397199103,0.946414285606467,1238,810.8806584362139,846.0,241,1072,704.7064471879289,734.0,163,fliC-pilT-,Solid,2
1,17,3.265925,4.66231493398826,1.04570319691299,1.0090713552569,992,618.8382923674,636.0,184,1027,667.490297542044,689.0,107,fliC-pilT-,Solid,2
1,18,2.3153,3.23693434175952,1.0785168470185,1.0090713552569,827,527.155109489051,545.0,164,1002,669.881386861314,686.0,180,fliC-pilT-,Solid,2
1,19,2.361775,3.46539105243401,1.05288244020121,1.0090713552569,925,610.286225402504,636.0,130,1449,948.180679785331,1021.0,237,fliC-pilT-,Solid,2
1,20,2.547675,3.3688477631085,1.01546314390603,1.0090713552569,1211,800.897180762852,834.0,231,1087,669.114427860697,742.0,128,fliC-pilT-,Solid,2
1,21,2.30685,3.1630608651650203,1.02612310004775,1.0174109297624,1197,831.549450549451,866.5,272,1215,776.3443223443221,841.0,141,fliC-pilT-,Solid,2
1,22,2.2477,3.2648553052349705,1.05726730534404,1.02774023955472,1485,989.9097744360901,1027.0,256,1180,796.836466165414,837.5,181,fliC-pilT-,Solid,2
1,23,2.437825,3.3604015126392697,1.12869102830869,1.02774023955472,823,526.041594454073,537.0,142,996,635.86828422877,650.0,161,fliC-pilT-,Solid,2
1,24,3.020875,4.17577164466275,1.01857026770862,0.946414285606467,2579,1728.7146853146899,1804.0,471,1177,749.683916083916,802.0,138,fliC-pilT-,Solid,2
1,25,3.57435,5.06808657865102,1.0539449922314599,0.946414285606467,2521,1782.6442080378301,1876.0,395,1149,734.2754137115841,776.5,139,fliC-pilT-,Solid,2
1,26,2.57725,3.79771644662754,1.07791194095029,0.990050503762308,794,520.080327868852,545.0,129,930,582.286885245902,643.5,101,fliC-pilT-,Solid,2
1,27,2.2139,3.17421310205652,1.04209318417804,0.990050503762308,1362,900.1774809160311,940.5,239,987,646.551526717557,690.0,112,fliC-pilT-,Solid,2
1,29,2.361775,3.44308657865101,1.07060404539402,1.0090713552569,1987,1358.3595706619,1433.0,483,1282,838.618962432916,875.0,173,fliC-pilT-,Solid,2
1,30,2.4843,3.4115432893255098,1.0463626074421701,1.0090713552569,823,535.8469387755099,554.5,136,1263,834.8316326530611,872.5,175,fliC-pilT-,Solid,2
1,31,2.429375,3.42731493398826,1.0583754760153499,1.0090713552569,916,622.930434782609,656.0,216,919,600.87652173913,633.0,113,fliC-pilT-,Solid,2
1,32,3.527875,5.15766981273101,1.11449733280854,1.0090713552569,864,564.098203592814,579.0,157,1110,723.7724550898199,749.0,131,fliC-pilT-,Solid,2
1,33,2.598375,3.6757354709715004,1.0519182049359,1.0090713552569,889,577.855284552846,606.0,160,993,657.6845528455281,684.0,121,fliC-pilT-,Solid,2
1,34,2.4505,3.49650711563425,1.0662944934121201,1.0090713552569,733,475.50517241379305,489.5,99,984,564.479310344828,608.5,102,fliC-pilT-,Solid,2
1,35,2.7039999999999997,3.6288477631085003,1.01439186061787,0.946414285606467,1549,1004.740625,1059.0,262,1133,705.6578125,768.0,126,fliC-pilT-,Solid,2
1,36,2.589925,3.7634671708797596,1.0442941466722,0.946414285606467,2296,1597.1223491027697,1666.0,446,1248,769.0848287112559,857.0,155,fliC-pilT-,Solid,2
1,37,2.61105,3.6446194077712595,1.0339304232967401,0.975,1901,1295.86731391586,1340.0,383,1222,825.52427184466,856.5,207,fliC-pilT-,Solid,2
1,38,3.232125,4.77271644662754,1.08015055275772,1.02774023955472,756,503.39477124183,518.0,105,1234,824.060130718954,856.0,166,fliC-pilT-,Solid,2
1,39,2.22235,3.0215432893255096,1.04679588990053,1.0090713552569,1242,793.2319391634979,818.5,210,1188,774.123574144487,811.0,188,fliC-pilT-,Solid,2
1,40,3.198325,4.80425973595304,1.09973507580101,1.0090713552569,1494,942.498018494055,972.0,271,1295,807.8612945838839,850.0,197,fliC-pilT-,Solid,2
1,41,2.62795,3.7253910524340097,1.0548733824253,1.0090713552569,1160,704.599678456592,725.0,159,1045,638.670418006431,692.5,127,fliC-pilT-,Solid,2
1,42,2.725125,3.94916646816,1.07605117934717,1.0090713552569,714,459.81395348837196,475.0,138,1204,785.182945736434,837.0,122,fliC-pilT-,Solid,2
1,43,2.632175,3.7680865786510096,1.0667822791994899,0.975,2196,1556.69341894061,1623.0,617,1093,701.1637239165331,740.0,117,fliC-pilT-,Solid,2
1,44,2.099825,2.90731493398826,1.06555475256742,1.0090713552569,1446,969.032193158954,1017.0,294,1058,644.006036217304,701.0,119,fliC-pilT-,Solid,2
1,45,2.742025,3.8822530468110097,1.0528765739748198,1.02774023955472,1270,858.456086286595,885.0,249,1155,721.591679506934,750.0,176,fliC-pilT-,Solid,2
1,46,2.725125,3.97041197284454,1.0625184578463,1.0174109297624,788,512.959689922481,539.0,126,1211,725.7596899224809,792.0,138,fliC-pilT-,Solid,2
1,47,2.074475,2.97693434175952,1.1247697722894099,1.0090713552569,1690,1124.94704684318,1184.0,267,1098,673.890020366599,713.0,99,fliC-pilT-,Solid,2
1,51,2.834975,3.8757821048680197,1.0770373323545501,1.0090713552569,921,608.77347242921,631.0,194,1168,718.2146050670641,790.0,134,fliC-pilT-,Solid,2
1,53,2.133625,2.82654328932551,1.04943884835915,1.04,1081,689.152475247525,716.0,211,1077,680.435643564356,722.0,162,fliC-pilT-,Solid,2
1,54,2.7716,3.9561265234055094,1.07508499150422,1.0090713552569,1272,872.100609756098,918.5,240,1237,814.556402439024,850.0,199,fliC-pilT-,Solid,2
1,56,2.2646,3.2884414573937595,1.06045105674237,1.02774023955472,1094,735.347014925373,762.0,222,1085,670.962686567164,737.5,130,fliC-pilT-,Solid,2
1,57,2.513875,3.30846717087976,1.04930685331752,1.04,844,572.351260504202,595.0,152,1330,821.3495798319329,881.0,164,fliC-pilT-,Solid,2
1,58,2.18855,3.52805040495976,1.07845947332113,0.946414285606467,945,625.444015444015,661.5,49,1136,740.2451737451739,789.0,45,fliC-pilT-,Solid,2
1,59,2.13785,3.03731493398826,1.0636477221210199,0.975,1021,664.5,692.0,188,1320,867.126482213439,913.0,124,fliC-pilT-,Solid,2
1,60,2.4167,3.30655374953077,1.09353730176577,1.04,895,605.996503496503,628.0,151,1191,808.776223776224,848.0,147,fliC-pilT-,Solid,2
1,61,2.902575,4.05962986797652,1.07923372629621,1.0090713552569,1704,1136.76128093159,1191.0,283,1239,834.802037845706,885.0,144,fliC-pilT-,Solid,2
1,62,3.029325,4.57075639138203,1.06483342525065,0.990050503762308,1390,952.998605299861,988.0,262,1157,807.755927475593,845.0,133,fliC-pilT-,Solid,2
1,63,2.251925,3.1394747130062206,1.0306885817475402,1.02774023955472,814,508.099437148218,526.0,134,1753,1171.23639774859,1205.0,290,fliC-pilT-,Solid,2
1,64,3.13495,4.49417692836526,1.07980387307044,1.02774023955472,924,582.103773584906,597.5,184,1042,613.871967654987,656.5,97,fliC-pilT-,Solid,2
1,65,1.90125,2.76844145739377,1.0378890832049599,1.02774023955472,3117,2103.21777777778,2180.0,725,1314,817.1933333333329,873.0,228,fliC-pilT-,Solid,2
1,66,3.37155,4.9088220496225095,1.07557443840318,1.0090713552569,966,590.734335839599,602.0,156,1163,689.082706766917,738.0,129,fliC-pilT-,Solid,2
1,68,1.356225,2.4003187050514905,1.0602911889159399,0.8840955830678041,587,368.965732087227,379.0,125,1550,956.3582554517129,989.0,224,fliC-pilT-,Solid,2
1,70,2.6871,3.902278760297,1.07120098971928,1.0090713552569,1452,949.6745283018871,991.0,356,1239,827.853773584906,881.0,148,fliC-pilT-,Solid,2
1,71,3.15185,4.66693434175952,1.0641851824526,0.946414285606467,951,620.7989276139409,636.5,187,970,607.640750670241,646.5,98,fliC-pilT-,Solid,2
1,72,2.17165,3.2634309971885003,1.07187160469142,0.946414285606467,1533,1044.8287937743198,1086.5,317,1180,777.951361867704,813.5,127,fliC-pilT-,Solid,2
1,73,3.240575,4.51037579915328,1.0546432532485202,1.02774023955472,855,575.657105606258,588.0,149,1223,800.3507170795309,834.0,167,fliC-pilT-,Solid,2
1,74,2.57725,3.50383250982777,1.02980429735464,1.0581233387464801,1023,688.068852459016,723.0,226,1170,724.1180327868851,795.5,152,fliC-pilT-,Solid,2
1,75,3.257475,4.6631074990615495,1.0600572771587802,1.04809350727881,1173,777.9455252918291,813.0,260,1065,703.6199740596629,751.0,169,fliC-pilT-,Solid,2
1,76,2.78005,3.88231493398826,1.0623439720213599,1.0090713552569,757,506.887537993921,527.0,177,1165,780.4787234042551,825.0,160,fliC-pilT-,Solid,2
1,78,2.775825,3.7253910524340097,1.04990590532474,1.04,2236,1513.6529680365302,1576.0,530,1295,782.9375951293761,858.0,175,fliC-pilT-,Solid,2
1,79,2.632175,3.82002092041053,1.07657490619211,1.02774023955472,819,487.130016051364,508.0,111,1066,689.455858747994,730.0,148,fliC-pilT-,Solid,2
1,80,2.2815,3.1357097574855,1.04356676555232,1.02774023955472,1065,682.2351851851851,708.5,219,1122,664.9,707.0,155,fliC-pilT-,Solid,2
1,81,2.184325,3.17655374953077,1.0814712604780201,1.0090713552569,1111,728.868471953578,746.0,230,1135,740.1760154738879,800.0,184,fliC-pilT-,Solid,2
1,82,2.116725,3.10416646816,1.08960218179349,1.02774023955472,1040,672.033932135728,690.0,214,1303,841.4271457085831,892.0,127,fliC-pilT-,Solid,2
1,83,2.0618,2.56192388155425,1.01028880179665,1.1351761977772399,742,509.385245901639,526.5,204,2021,1341.4077868852498,1421.0,267,fliC-pilT-,Solid,2
1,84,2.40825,3.54758700514323,1.07036777310021,0.990050503762308,601,398.32631578947405,407.5,148,1115,726.478947368421,785.0,128,fliC-pilT-,Solid,2
1,85,2.268825,3.2284880912902896,1.01704844576215,0.990050503762308,873,574.696461824953,593.0,155,1059,643.022346368715,687.0,116,fliC-pilT-,Solid,2
1,86,2.057575,3.0930142312685,1.07648078440602,1.0174109297624,693,445.70225872689906,454.0,109,952,609.3531827515401,628.0,98,fliC-pilT-,Solid,2
1,87,3.65885,5.487289220502269,1.07973529178307,1.0090713552569,1727,1176.79330254042,1204.0,446,1432,912.875288683603,970.0,205,fliC-pilT-,Solid,2
1,88,2.3998,3.4788220496225093,1.12184466913534,1.08181560351106,609,391.822183098592,404.0,134,1095,722.919014084507,756.0,122,fliC-pilT-,Solid,2
1,89,4.186975,5.74501046020527,1.05205062840455,1.0090713552569,853,555.619576185671,573.0,168,1314,845.907164480323,894.0,152,fliC-pilT-,Solid,2
1,90,2.30685,3.13577164466275,1.02435455066902,1.0090713552569,1658,1111.1446886446902,1145.0,349,1268,817.6776556776559,850.0,166,fliC-pilT-,Solid,2
1,91,2.6533,3.9165642097360402,1.0597149030778,0.990050503762308,615,367.79936305732497,379.0,113,1108,666.087579617834,726.5,143,fliC-pilT-,Solid,2
1,92,2.00265,2.5888477631085,1.0199015083374499,1.0090713552569,1322,911.854430379747,936.0,302,1255,819.3945147679319,860.0,185,fliC-pilT-,Solid,2
1,93,2.27305,3.1942388155425094,1.06604259790424,1.0090713552569,842,530.752788104089,547.5,118,1011,614.2342007434941,643.5,85,fliC-pilT-,Solid,2
1,94,2.395575,3.36231493398826,1.05920699754198,1.0090713552569,944,625.425044091711,638.0,220,1256,875.733686067019,918.0,161,fliC-pilT-,Solid,2
1,95,4.432025,6.549593694285259,1.0706750447534898,1.0090713552569,1129,757.655862726406,773.0,253,1204,792.3536701620591,842.0,121,fliC-pilT-,Solid,2
1,96,2.125175,3.2480865786510096,1.07296230398034,0.946414285606467,1587,1020.5308151093401,1044.0,298,1178,718.815109343936,753.0,144,fliC-pilT-,Solid,2
1,97,2.167425,3.03035487874275,1.07608851907435,1.0090713552569,1216,820.746588693957,864.0,259,1287,818.649122807018,867.0,160,fliC-pilT-,Solid,2
1,98,2.927925,4.31920264185125,1.07009346250633,1.0090713552569,1537,1026.4531024531,1059.0,300,1165,788.474747474747,814.0,153,fliC-pilT-,Solid,2
1,99,3.578575,5.2784309971885,1.0574891692272501,0.975,1175,748.7473435655251,762.0,223,1187,764.1912632821719,794.0,161,fliC-pilT-,Solid,2
1,100,2.20545,3.0819238815542502,1.0085847904463001,0.946414285606467,1188,774.189655172414,806.5,290,1196,744.369731800766,793.5,144,fliC-pilT-,Solid,2
1,101,4.296825,6.027253046811009,1.7348061310458898,1.0090713552569,1079,711.957718780728,735.0,169,1292,844.029498525074,895.0,144,fliC-pilT-,Solid,2
1,102,3.62505,4.925020920410531,1.0823117459700502,1.07594144822105,1328,869.083916083916,905.0,265,1260,816.131701631702,853.5,159,fliC-pilT-,Solid,2
1,103,3.25325,4.45610080991951,1.0606141888944598,1.19854077944808,1427,909.9727272727271,943.0,263,1250,761.176623376623,822.0,126,fliC-pilT-,Solid,2
1,104,2.927925,4.285745931176759,1.08912085793223,0.990050503762308,596,386.65223665223704,398.0,142,887,583.512265512265,617.0,127,fliC-pilT-,Solid,2
1,105,2.9913,3.99001046020527,1.06776319182078,1.07200746266059,1132,753.097457627119,775.5,254,1378,799.125706214689,861.5,198,fliC-pilT-,Solid,2
1,106,2.547675,3.4607716446627497,1.02219720765835,1.0090713552569,1216,834.200663349917,863.0,256,1245,825.7628524046429,870.0,169,fliC-pilT-,Solid,2
1,107,2.1463,3.2861626970967595,1.0689138708155401,0.946414285606467,2038,1313.7755905511801,1342.0,425,981,622.885826771654,654.0,128,fliC-pilT-,Solid,2
1,108,1.9604,2.96997428651401,1.07547601555818,0.990050503762308,1227,788.131465517241,788.0,224,1208,745.002155172414,796.5,169,fliC-pilT-,Solid,2
1,109,2.0449,3.0511731573020295,1.06437262328248,1.0090713552569,1044,661.646694214876,681.5,224,1077,665.776859504132,716.5,133,fliC-pilT-,Solid,2
1,110,2.167425,3.24765935252575,1.0613832633314302,0.946414285606467,1797,1195.4912280701801,1229.0,387,1145,731.366471734893,780.0,172,fliC-pilT-,Solid,2
1,111,2.67865,3.8469448019647796,1.0746483916862,1.02774023955472,811,525.6151419558361,541.0,174,1186,797.8927444794949,828.0,186,fliC-pilT-,Solid,2
1,112,2.7885,4.066162697096759,1.05966844974461,0.946414285606467,1227,830.466666666667,865.0,248,1158,733.1757575757581,761.0,145,fliC-pilT-,Solid,2
1,113,2.05335,3.0284414573937704,1.06274515679881,1.0174109297624,1946,1274.27160493827,1294.5,367,1100,629.549382716049,673.0,142,fliC-pilT-,Solid,2
1,114,2.5688,3.8191664681599997,1.07561245527133,1.0090713552569,1149,762.328947368421,793.0,165,1075,694.356907894737,732.5,125,fliC-pilT-,Solid,2
1,115,2.319525,3.3214709419429904,1.1193560305914099,1.08181560351106,872,567.245901639344,586.0,141,1032,649.9763205828781,671.0,151,fliC-pilT-,Solid,2
1,118,2.96595,4.21925973595304,1.067141581183,1.01533245786787,1044,703.299145299145,721.0,195,1265,859.351851851852,893.5,168,fliC-pilT-,Solid,2
1,119,2.1125,2.9407716446627497,1.02586010971339,0.946414285606467,605,392.64599999999996,407.0,143,1114,715.5880000000001,760.5,139,fliC-pilT-,Solid,2
1,120,2.07025,2.9296194077712596,1.04788104175838,0.975,660,424.20612244897995,433.5,138,1131,676.565306122449,727.5,156,fliC-pilT-,Solid,2
1,121,2.049125,3.01501046020527,1.0784241439593198,1.02774023955472,1538,1038.69690721649,1060.0,385,1160,754.6969072164951,783.0,149,fliC-pilT-,Solid,2
1,122,2.62795,3.8195936942852597,1.0769967524335,1.0174109297624,960,608.676848874598,625.5,152,1290,891.824758842444,919.0,200,fliC-pilT-,Solid,2
1,123,2.251925,3.2165432893255095,1.04440242452788,0.946414285606467,1488,999.0675422138839,1023.0,339,1267,851.127579737336,876.0,150,fliC-pilT-,Solid,2
2,1,2.615275,3.84651757583951,1.10539188383907,0.990050503762308,758,501.255250403877,520.0,143,969,626.804523424879,688.0,113,fliC-pilT-,Solid,2
2,2,2.488525,3.3307716446627498,1.02301304456689,1.0090713552569,1002,645.903225806452,672.0,149,1190,685.1001697792871,757.0,143,fliC-pilT-,Solid,2
2,3,2.28995,3.44308657865101,1.07060404539402,0.946414285606467,1362,910.0276752767529,954.0,316,1001,662.523985239852,719.5,107,fliC-pilT-,Solid,2
2,4,2.733575,3.9222425866057495,1.07599627857613,1.0090713552569,631,389.278207109737,406.0,134,1054,643.3570324574961,705.0,102,fliC-pilT-,Solid,2
2,5,2.54345,3.71651757583952,1.07404607256385,1.0090713552569,1479,976.845514950166,1021.0,272,1101,735.0963455149499,771.5,183,fliC-pilT-,Solid,2
2,6,3.130725,4.47655374953077,1.07793840805033,1.0090713552569,993,653.178137651822,684.0,178,1082,725.044534412955,774.0,160,fliC-pilT-,Solid,2
2,7,2.32375,3.36231493398826,1.05920699754198,0.946414285606467,947,642.932727272727,681.0,196,1066,733.998181818182,755.0,170,fliC-pilT-,Solid,2
2,8,2.6871,3.80610080991951,1.03383147600999,1.0174109297624,921,586.882075471698,607.0,189,1135,707.083333333333,750.5,171,fliC-pilT-,Solid,2
2,9,2.6702,3.6380865786510097,1.0682883666796,1.0090713552569,704,460.518987341772,481.5,107,1017,635.569620253165,699.5,137,fliC-pilT-,Solid,2
2,11,2.3998,3.5534880912902898,1.04136241997849,1.0174109297624,680,432.87323943662005,451.0,131,1001,659.765845070423,700.5,134,fliC-pilT-,Solid,2
2,12,3.012425,4.158451917599029,1.03660390684379,1.0660792653456899,689,432.838709677419,448.0,114,1191,755.71809256662,780.0,178,fliC-pilT-,Solid,2
2,13,2.54345,3.4765432893255097,1.04552018921728,0.946414285606467,886,591.985049833887,620.0,178,1079,663.066445182724,728.5,128,fliC-pilT-,Solid,2
2,14,2.395575,3.4811626970967597,1.06644490415673,0.975,892,600.9947089947091,620.0,181,1158,749.097001763668,843.0,109,fliC-pilT-,Solid,2
2,15,2.1801,3.0484671708797597,1.05265949037412,1.0090713552569,677,436.91085271317803,455.5,112,1031,648.674418604651,684.0,177,fliC-pilT-,Solid,2
2,16,2.556125,3.80233585439879,1.04710500101224,0.966294468575703,1066,724.955371900826,763.0,199,1219,817.076033057851,866.0,142,fliC-pilT-,Solid,2
2,17,2.66175,3.89346717087976,1.0430324855036899,0.946414285606467,965,633.2253968253971,654.5,177,980,586.692063492064,644.5,106,fliC-pilT-,Solid,2
2,18,2.336425,3.3799381128227504,1.06386694875229,1.0174109297624,1150,714.410488245931,754.0,209,1152,744.965641952984,786.0,186,fliC-pilT-,Solid,2
2,20,3.198325,4.38001046020527,1.06371972143375,1.0090713552569,835,531.928665785997,553.0,70,1205,773.303830911493,829.0,133,fliC-pilT-,Solid,2
2,21,2.32375,3.4138220496225093,1.07724114201123,1.0090713552569,651,418.74,443.0,128,1122,689.28,762.5,111,fliC-pilT-,Solid,2
2,22,3.3631,4.44039105243401,1.0431093520244101,1.0090713552569,683,432.664572864322,457.0,74,1199,759.699748743719,816.5,164,fliC-pilT-,Solid,2
2,23,2.606825,3.75921310205652,1.09043233909697,1.04809350727881,1242,811.4505672609401,852.0,232,1163,708.560777957861,751.0,155,fliC-pilT-,Solid,2
2,24,2.277275,3.13300377106323,1.06274829070771,1.04,1060,708.6994434137289,739.0,171,1222,813.2300556586271,839.0,146,fliC-pilT-,Solid,2
2,25,3.2110000000000003,4.94036533894802,1.07986063136831,0.946414285606467,1469,958.755263157895,993.5,340,1133,719.269736842105,756.5,158,fliC-pilT-,Solid,2
2,26,2.978625,4.3869086282735195,1.0664585294577902,1.02774023955472,948,619.415602836879,647.0,217,978,615.886524822695,662.0,96,fliC-pilT-,Solid,2
2,27,2.8223,4.0400313806158,1.03232721423817,1.0174109297624,1900,1253.51796407186,1312.0,351,1173,715.344311377246,764.5,152,fliC-pilT-,Solid,2
2,29,3.4307,5.115401512639281,1.07684967654196,1.0090713552569,1508,977.849753694581,1014.5,237,1003,630.594827586207,685.5,114,fliC-pilT-,Solid,2
2,30,2.496975,3.55263363903975,1.05893659451342,0.990050503762308,706,459.24534686971197,486.0,107,1042,685.309644670051,722.0,145,fliC-pilT-,Solid,2
2,31,3.0589,4.28845191759903,1.0477691149852,1.01533245786787,670,434.604972375691,452.0,138,1458,979.3218232044198,1043.5,180,fliC-pilT-,Solid,2
2,32,2.539225,3.68540151263928,1.08218193200772,0.990050503762308,595,376.80199667221297,396.0,105,1030,623.171381031614,692.0,95,fliC-pilT-,Solid,2
2,33,3.0082,4.6845575205940095,1.07435785236473,0.946414285606467,3524,2539.38202247191,2654.0,761,1248,839.5,896.0,132,fliC-pilT-,Solid,2
2,34,2.336425,3.4003291652567595,1.0239702763304201,1.0174109297624,1439,966.23869801085,1011.0,324,1051,650.942133815552,705.0,116,fliC-pilT-,Solid,2
2,35,2.535,3.58189816806826,1.07885440382898,0.990050503762308,1007,665.511666666667,686.0,159,1216,810.591666666667,833.0,171,fliC-pilT-,Solid,2
2,36,2.91525,4.31032916525676,1.08000658950849,1.01533245786787,1021,661.5666666666671,687.0,148,1118,689.84347826087,744.5,117,fliC-pilT-,Solid,2
2,37,2.066025,2.8107716446627498,1.02929497408666,1.0090713552569,913,592.4253578732109,624.0,142,1206,770.61145194274,827.0,127,fliC-pilT-,Solid,2
2,38,3.274375,4.548086578651009,1.0585816085925999,1.0090713552569,1302,851.816774193548,882.0,228,1337,858.981935483871,913.0,172,fliC-pilT-,Solid,2
2,39,2.818075,4.051183617507291,1.04458448759746,1.0581233387464801,1032,682.695652173913,708.0,210,1403,884.055472263868,940.0,171,fliC-pilT-,Solid,2
2,41,2.0111,2.9165537495307703,1.07878171402305,1.0174109297624,392,248.665966386555,257.0,67,937,590.930672268908,645.5,127,fliC-pilT-,Solid,2
2,42,3.172975,4.87074593117676,1.1170583593068502,0.990050503762308,1670,1133.9840213049301,1179.0,262,1467,982.944074567244,1013.0,155,fliC-pilT-,Solid,2
2,43,2.420925,3.5372892205022697,1.06055155343017,0.990050503762308,1205,801.137870855148,838.0,232,1119,733.212914485166,775.0,102,fliC-pilT-,Solid,2
2,44,2.927925,4.39578210486802,1.07237086085823,0.946414285606467,2141,1485.6363636363599,1557.0,422,1026,619.6868686868689,684.0,96,fliC-pilT-,Solid,2
2,45,2.750475,3.92039105243401,1.04786495203924,0.946414285606467,1190,794.480798771121,833.0,268,1143,744.923195084485,810.0,153,fliC-pilT-,Solid,2
2,46,2.56035,3.56193434175952,1.07531716468635,1.0090713552569,854,542.1468646864689,566.0,158,1063,665.2640264026401,744.0,141,fliC-pilT-,Solid,2
2,47,2.76315,3.9003653389480197,1.07255547210076,1.07594144822105,1234,764.1697247706419,797.0,243,1158,759.159021406728,806.5,121,fliC-pilT-,Solid,2
2,48,3.0758,4.7550313806158,1.0630022502872098,0.990050503762308,1620,1087.1181318681301,1115.0,335,1162,762.7815934065931,796.5,106,fliC-pilT-,Solid,2
2,49,3.20255,4.541553749530769,1.07747723155648,1.0090713552569,871,600.828496042216,630.0,158,1210,820.3746701846969,867.0,158,fliC-pilT-,Solid,2
2,50,2.5012,3.40181536048048,1.07142595174193,1.0174109297624,735,465.097972972973,483.5,162,1047,645.922297297297,721.0,103,fliC-pilT-,Solid,2
2,51,2.47585,3.4569448019647795,1.0651676036548101,1.02774023955472,813,520.027303754266,535.5,164,1369,855.930034129693,919.0,131,fliC-pilT-,Solid,2
2,52,3.23635,4.747278760297,1.0637426896637199,1.0090713552569,2332,1542.92297650131,1601.5,431,1265,794.992167101828,849.5,185,fliC-pilT-,Solid,2
2,53,3.042,4.436136983610769,1.10336475931948,1.01533245786787,1456,989.763888888889,1040.5,249,1217,829.580555555556,871.5,125,fliC-pilT-,Solid,2
2,54,2.81385,4.14310749906155,1.04562267481902,1.0174109297624,1084,720.220720720721,746.5,214,1019,644.475975975976,688.5,79,fliC-pilT-,Solid,2
2,55,1.854775,3.01962986797652,1.09345710958449,0.946414285606467,1204,840.052391799544,863.0,251,1304,891.0865603644651,918.0,204,fliC-pilT-,Solid,2
2,56,2.22235,3.2676231788344903,1.07373803283463,0.975,895,602.060836501901,632.5,194,1280,832.134980988593,884.0,149,fliC-pilT-,Solid,2
2,57,2.573025,3.8288325098277793,1.05037091431696,0.990050503762308,2145,1474.6354679803,1531.0,448,1072,708.806239737274,761.0,115,fliC-pilT-,Solid,2
2,58,3.206775,4.5634309971885,1.06495993735736,0.975,1175,796.403162055336,833.0,234,1152,666.635046113307,739.0,93,fliC-pilT-,Solid,2
