Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,2,2.184325,3.44265935252575,1.05906800835261,0.867208164168212,1672,1175.83172147002,1239.0,464,1552,1022.18955512573,1105.0,150,fliC-pilU-,Liquid,2
1,3,2.843425,4.57771644662754,1.0785168470185,0.937443331620637,2035,1311.4219910847,1337.0,382,1492,953.75780089153,995.0,252,fliC-pilU-,Liquid,2
1,4,1.5886,2.54232539419353,1.06293925630595,0.937443331620637,1044,647.869680851064,677.0,247,1601,977.058510638298,1061.0,231,fliC-pilU-,Liquid,2
1,5,1.5717,2.43001046020527,1.08236705453739,0.975,1408,938.940860215054,972.5,380,1463,896.040322580645,954.0,211,fliC-pilU-,Liquid,2
1,6,2.429375,3.74344145739377,1.07222216399917,1.0090713552569,1243,833.532173913043,870.0,261,1591,1023.77739130435,1070.0,239,fliC-pilU-,Liquid,2
1,7,2.142075,3.1761265234055,1.07842504002355,1.0090713552569,1005,651.504930966469,676.0,226,1268,776.777120315582,810.0,211,fliC-pilU-,Liquid,2
1,8,2.454725,3.97423881554251,1.05653291200827,0.884095583067804,1951,1404.11187607573,1462.0,554,1689,1061.87779690189,1147.0,203,fliC-pilU-,Liquid,2
1,9,1.4703,2.29958323408,1.07552905351885,1.0090713552569,722,436.238505747126,445.0,117,1501,936.235632183908,961.5,255,fliC-pilU-,Liquid,2
1,10,2.39135,4.10381158941725,1.04703721873972,0.91,1418,915.80035335689,934.5,377,1517,957.033568904594,1000.5,189,fliC-pilU-,Liquid,2
1,11,1.440725,2.22577164466275,1.03339434035808,0.91,1930,1237.3724340176,1274.0,418,1458,870.709677419355,925.0,175,fliC-pilU-,Liquid,2
1,12,1.702675,2.667278760297,1.07763341371416,0.990050503762308,1115,698.096774193548,726.0,152,1334,821.114143920596,852.0,232,fliC-pilU-,Liquid,2
1,13,2.995525,4.63958323408,1.06427996870522,0.946414285606467,2096,1423.64598025388,1473.0,441,1787,1199.37235543018,1246.0,267,fliC-pilU-,Liquid,2
1,15,2.023775,3.26109034971425,1.06721848215611,0.937443331620637,974,612.052192066806,636.0,153,1255,788.202505219207,817.0,154,fliC-pilU-,Liquid,2
1,16,1.406925,2.04192388155425,1.0128348955875,0.946414285606467,1012,605.261261261261,622.0,169,1722,1066.62162162162,1092.0,285,fliC-pilU-,Liquid,2
1,17,1.939275,2.88039105243401,1.06081678023226,0.946414285606467,1341,884.492374727669,930.0,301,1432,880.257080610022,964.0,193,fliC-pilU-,Liquid,2
1,18,2.7209,4.06154328932551,1.04142135623731,0.946414285606467,1320,915.568322981366,953.5,327,1551,1002.34627329193,1048.0,201,fliC-pilU-,Liquid,2
1,19,1.575925,2.33346717087976,1.0641851824526,1.0090713552569,723,420.085790884719,437.0,131,1485,955.343163538874,1001.0,252,fliC-pilU-,Liquid,2
1,20,1.567475,2.38269552621701,1.04056521067641,0.946414285606467,1515,998.574123989218,1034.0,372,1553,970.66576819407,1004.0,248,fliC-pilU-,Liquid,2
1,21,1.609725,2.29077164466275,1.03253665829878,1.0090713552569,707,432.979002624672,440.0,111,1780,1089.23622047244,1120.0,319,fliC-pilU-,Liquid,2
1,22,1.3689,2.18535487874275,1.07397847556695,1.0090713552569,480,299.070987654321,305.0,118,1714,1032.19135802469,1093.0,166,fliC-pilU-,Liquid,2
1,23,2.192775,3.48386868351903,1.06181463866535,0.937443331620637,1497,1017.26204238921,1059.0,353,1300,851.863198458574,942.0,158,fliC-pilU-,Liquid,2
1,24,2.71245,4.29647094194299,1.07157159205262,0.990050503762308,867,576.006230529595,598.0,219,1609,1062.01401869159,1099.5,182,fliC-pilU-,Liquid,2
1,25,1.66465,2.60689816806826,1.07111648513325,1.0090713552569,1197,768.116751269035,801.0,266,1453,948.57614213198,966.5,232,fliC-pilU-,Liquid,2
1,26,1.837875,2.69192388155425,1.00980245680903,0.91,1666,1149.64827586207,1182.0,409,1301,863.570114942529,921.0,160,fliC-pilU-,Liquid,2
1,27,2.7209,4.18075639138203,1.06828590976588,0.990050503762308,772,476.686335403727,495.0,117,1544,981.467391304348,1040.5,188,fliC-pilU-,Liquid,2
1,28,2.5688,4.162278760297,1.06888523263876,0.946414285606467,1918,1302.17927631579,1341.0,502,1527,994.804276315789,1025.5,211,fliC-pilU-,Liquid,2
1,29,2.302625,3.53962986797652,1.08199910007047,0.946414285606467,1248,806.656880733945,845.0,257,1645,1060.6752293578,1119.0,227,fliC-pilU-,Liquid,2
1,30,1.618175,2.47923881554251,1.07624261981353,1.0090713552569,671,411.856396866841,421.0,156,1618,1033.52480417755,1069.0,204,fliC-pilU-,Liquid,2
1,31,2.750475,4.17379633613652,1.03166355480195,0.990050503762308,965,623.52380952381,644.0,189,1071,697.069124423963,752.0,131,fliC-pilU-,Liquid,2
1,32,2.3153,3.32423881554251,1.0643069377557,1.0090713552569,569,368.153284671533,388.0,124,1478,973.359489051095,1042.0,174,fliC-pilU-,Liquid,2
1,33,2.05335,3.24155374953077,1.08183344450691,0.946414285606467,1250,770.716049382716,800.5,224,1518,975.057613168724,1044.0,228,fliC-pilU-,Liquid,2
1,34,1.651975,2.77540151263927,1.06846427548482,0.937443331620637,793,489.547314578005,514.0,140,1607,1034.42455242967,1084.0,238,fliC-pilU-,Liquid,2
1,35,1.9097,2.88039105243401,1.06081678023226,0.946414285606467,623,383.991150442478,402.0,109,1393,841.353982300885,918.0,187,fliC-pilU-,Liquid,2
1,36,1.5717,2.60270598642227,1.07866638684783,0.946414285606467,1091,711.333333333333,733.5,197,1572,956.465053763441,999.0,233,fliC-pilU-,Liquid,2
1,37,2.049125,2.84188770786299,1.05116406410913,1.0090713552569,619,374.288659793814,390.0,115,2154,1333.19175257732,1417.0,411,fliC-pilU-,Liquid,2
1,38,2.116725,3.18870306834347,1.04661196314445,0.990050503762308,1141,740.307385229541,770.0,194,1492,945.792415169661,981.0,246,fliC-pilU-,Liquid,2
1,39,1.66465,2.60923881554251,1.07437962789608,0.946414285606467,1185,707.241116751269,737.5,217,1441,894.692893401015,925.0,253,fliC-pilU-,Liquid,2
1,40,1.54635,2.2638477631085,1.02436550366901,0.946414285606467,1186,764.087431693989,790.5,252,1650,1057.87978142077,1121.5,274,fliC-pilU-,Liquid,2
1,41,2.522325,4.08193434175952,1.06993660258684,0.946414285606467,582,348.185929648241,355.0,113,1297,834.264656616415,868.0,136,fliC-pilU-,Liquid,2
1,42,1.9773,2.88771644662753,1.0128348955875,0.975,3271,2209.84829059829,2334.5,824,1349,865.465811965812,897.0,228,fliC-pilU-,Liquid,2
1,43,1.85055,2.76886868351903,1.02091507602902,0.937443331620637,2748,1834.93607305936,1934.5,608,1614,1015.69863013699,1037.5,263,fliC-pilU-,Liquid,2
1,44,1.491425,2.48847763108502,1.06181463866535,0.930658369112963,890,527.42492917847,541.0,176,3417,2087.77053824363,2230.0,462,fliC-pilU-,Liquid,2
