Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.1125,3.0242492757477795,1.0679627982988,1.02774023955472,1293,841.77,871.5,188,1246,808.5260000000001,846.0,210,fliC-pilU-,Solid,3
1,2,2.1125,3.1222787602969997,1.07706255247401,1.0090713552569,2125,1403.362,1470.0,363,986,641.562,683.5,120,fliC-pilU-,Solid,3
1,3,3.696875,5.19617315730203,1.08028547968857,1.0090713552569,1283,836.668571428571,876.0,257,1435,937.2411428571429,970.0,223,fliC-pilU-,Solid,3
1,4,2.1125,3.06381158941724,1.0539832283367099,0.946414285606467,3245,2195.548,2324.0,539,1085,690.166,735.0,179,fliC-pilU-,Solid,3
1,5,1.846325,2.80651757583951,1.05216382524804,1.01533245786787,1470,955.844393592677,980.0,327,1149,746.132723112128,762.0,280,fliC-pilU-,Solid,3
1,7,2.344875,3.3196194077712597,1.04204970935704,0.946414285606467,3040,2069.5153153153196,2179.0,570,1174,757.9243243243241,823.0,167,fliC-pilU-,Solid,3
1,8,3.2448,4.87308657865101,1.05560935858248,0.946414285606467,3252,2309.6276041666697,2382.0,670,1324,866.01171875,886.5,239,fliC-pilU-,Solid,3
1,9,3.0589,4.38654328932551,1.0362747751494201,0.975,2205,1526.41988950276,1602.0,523,1088,746.3549723756911,767.0,245,fliC-pilU-,Solid,3
1,10,2.37445,3.1738477631085003,1.01725889843221,0.946414285606467,3840,2681.43416370107,2807.0,722,1171,741.174377224199,774.5,239,fliC-pilU-,Solid,3
1,11,2.674425,3.84417692836526,1.0425502370111999,0.990050503762308,2283,1533.0853080568697,1615.0,486,1286,858.5244865718801,910.0,184,fliC-pilU-,Solid,3
1,12,2.834975,4.04194480196478,1.10445338505473,1.02774023955472,1567,997.238450074516,1040.0,355,1271,845.637853949329,882.0,241,fliC-pilU-,Solid,3
1,13,3.40535,4.835010460205269,1.05940154437024,1.0090713552569,2895,1981.02357320099,2060.0,642,1373,850.4218362282879,892.5,180,fliC-pilU-,Solid,3
1,14,3.32085,4.82194480196478,1.0823117459700502,0.990050503762308,4205,2933.64503816794,3068.5,904,1277,854.510178117048,889.5,191,fliC-pilU-,Solid,3
1,15,3.3293,4.69798851778251,1.03954973326838,1.01533245786787,3155,2162.0228426395897,2274.0,627,1065,714.062182741117,757.5,183,fliC-pilU-,Solid,3
1,16,1.39425,2.59765935252575,1.06961167063089,0.867208164168212,1424,1092.9696969697,1119.0,540,1431,1057.4090909090899,1119.0,481,fliC-pilU-,Solid,3
1,17,3.536325,5.16271644662754,1.08926007608258,0.990050503762308,2121,1430.80525686977,1507.0,352,1134,763.534050179211,798.0,213,fliC-pilU-,Solid,3
1,18,1.778725,3.68497428651401,1.07872133413558,0.785397988283647,2472,1637.24703087886,1697.0,650,1460,1087.76959619953,1122.0,414,fliC-pilU-,Solid,3
1,19,2.387125,3.3849847467192697,1.03636483423976,0.975,2130,1455.67256637168,1525.0,437,919,595.13982300885,626.0,138,fliC-pilU-,Solid,3
1,21,2.961725,4.21150711563425,1.05890320336558,0.975,2090,1419.3009985734698,1494.0,419,1138,766.166904422254,800.0,235,fliC-pilU-,Solid,3
1,22,2.1801,3.03263363903975,1.03045649472331,1.02774023955472,1771,1172.75968992248,1236.5,378,1028,674.93992248062,705.5,115,fliC-pilU-,Solid,3
1,23,2.9406,4.41340528370251,1.06705441135833,0.990050503762308,3656,2538.07183908046,2586.5,873,1004,623.475574712644,666.0,122,fliC-pilU-,Solid,3
1,24,2.818075,4.0795936942852595,1.0787584700772699,1.0090713552569,1296,867.175412293853,897.0,280,999,659.409295352324,688.0,231,fliC-pilU-,Solid,3
1,25,3.671525,5.19383250982778,1.07626688847977,1.0174109297624,2779,1830.45684695052,1923.0,559,1360,869.433831990794,897.0,222,fliC-pilU-,Solid,3
1,27,3.0082,4.453822049622509,1.07789157930857,0.946414285606467,3663,2661.00280898876,2794.0,835,1131,734.498595505618,797.5,135,fliC-pilU-,Solid,3
1,28,2.7885,4.22536533894802,1.0767184191064598,1.0090713552569,1638,1104.14696969697,1154.0,320,1188,798.1833333333329,837.5,203,fliC-pilU-,Solid,3
1,29,3.071575,4.51001046020527,1.06244063994798,0.946414285606467,1205,785.983493810179,818.0,281,1164,801.1994497936729,847.0,185,fliC-pilU-,Solid,3
1,30,3.510975,5.2415746699413,1.05548866493887,0.966294468575703,2972,2105.78098676294,2194.0,663,1263,832.742478941035,872.0,228,fliC-pilU-,Solid,3
1,31,3.9208,5.413477631085019,1.1041930850156798,1.0174109297624,1572,1034.54956896552,1073.5,340,1353,877.744612068965,928.0,219,fliC-pilU-,Solid,3
1,32,3.65885,5.45112652340551,1.08466331113995,0.946414285606467,2304,1562.9168591224,1613.0,464,1193,789.0508083140879,811.0,235,fliC-pilU-,Solid,3
1,33,1.88435,2.8288220496225094,1.06623951457185,1.02774023955472,2047,1412.87668161435,1458.5,497,1190,770.410313901345,789.0,154,fliC-pilU-,Solid,3
1,34,2.556125,3.88921310205652,1.07866015226861,0.946414285606467,5211,3708.61652892562,3903.0,1213,1313,852.269421487603,906.0,193,fliC-pilU-,Solid,3
1,35,3.730675,5.5346041544905304,1.0754100064880001,1.0174109297624,2045,1329.27293318233,1382.0,302,1293,795.9864099660249,817.0,187,fliC-pilU-,Solid,3
1,37,3.637725,5.13998474671927,1.13664747819277,0.975,3055,2205.16492450639,2327.0,787,1605,1075.9941927990699,1127.0,215,fliC-pilU-,Solid,3
1,40,3.18565,4.5954015126392695,1.10996070057321,1.0174109297624,2401,1615.3832891246698,1664.0,550,1434,927.5318302387269,960.5,228,fliC-pilU-,Solid,3
1,41,3.164525,4.4764918623535195,1.0238000606186,0.990050503762308,3217,2272.0280373831797,2384.0,831,1326,824.891855807744,884.0,154,fliC-pilU-,Solid,3
1,42,2.56035,3.70031870505149,1.0756456370465302,0.990050503762308,2498,1774.0676567656799,1869.5,580,1244,808.181518151815,868.5,157,fliC-pilU-,Solid,3
1,43,2.2646,3.26151757583951,1.0905508926211098,1.02774023955472,2735,1925.33768656716,2022.5,576,1339,897.496268656716,937.0,293,fliC-pilU-,Solid,3
1,44,3.080025,4.3057097574855,1.10571872785293,1.02774023955472,2086,1409.59259259259,1445.0,435,1443,943.699588477366,971.0,245,fliC-pilU-,Solid,3
1,45,2.995525,4.353451917599029,1.04829591961724,0.990050503762308,3090,2129.09026798307,2244.0,737,1107,718.212976022567,790.0,124,fliC-pilU-,Solid,3
1,46,3.468725,5.030010460205269,1.12817304133571,0.946414285606467,5024,3529.6285018270396,3682.0,1220,1458,938.104750304507,988.0,215,fliC-pilU-,Solid,3
1,47,3.409575,5.0104119728445395,1.08267705819858,0.990050503762308,3396,2422.47335811648,2529.0,997,1229,782.307311028501,857.0,188,fliC-pilU-,Solid,3
1,48,2.446275,3.4453653389480197,1.08355403660016,1.02774023955472,3292,2335.51468048359,2453.0,785,1214,782.6044905008639,836.0,168,fliC-pilU-,Solid,3
1,50,2.184325,3.0827164466275296,1.03076530921409,1.02774023955472,2746,1953.81818181818,2067.0,764,1495,994.557059961315,1043.0,257,fliC-pilU-,Solid,3
1,52,2.091375,3.0461265234055,1.07824785424096,1.0090713552569,1871,1257.74949494949,1317.0,432,1307,843.5858585858591,889.0,226,fliC-pilU-,Solid,3
1,53,2.640625,3.8307459311767595,1.0788736419072098,1.0174109297624,2650,1810.9712,1903.0,525,1263,808.3408,861.0,182,fliC-pilU-,Solid,3
1,54,3.5659,5.158097038856281,1.08129196811767,0.990050503762308,3365,2392.9597156398104,2500.0,923,1314,840.827014218009,927.0,190,fliC-pilU-,Solid,3
1,55,3.23635,4.52954706038874,1.09499946738614,1.0090713552569,3214,2186.21671018277,2335.5,650,1382,864.5443864229761,917.5,197,fliC-pilU-,Solid,3
1,57,3.003975,4.10417692836526,1.06183390825333,1.07594144822105,2073,1432.82419127989,1512.0,459,1291,840.3811533052041,881.0,161,fliC-pilU-,Solid,3
1,58,2.834975,3.87769552621701,1.02612908788971,0.946414285606467,3033,2089.53800298063,2218.0,747,1117,714.8181818181821,782.0,134,fliC-pilU-,Solid,3
1,59,2.894125,3.98539105243401,1.0472181922649901,1.0090713552569,1706,1165.39562043796,1222.0,326,1219,829.9474452554739,862.0,213,fliC-pilU-,Solid,3
1,60,2.84765,4.06610080991951,1.04258995126141,1.0174109297624,2623,1866.70326409496,1964.5,669,1276,841.255192878338,901.5,187,fliC-pilU-,Solid,3
1,61,2.12095,3.1969448019647797,1.06394583831348,0.975,4844,3435.19123505976,3564.5,1280,1343,902.2888446215139,943.5,254,fliC-pilU-,Solid,3
1,62,2.4505,3.4807354709715,1.0540559402135,1.0090713552569,1815,1259.82931034483,1319.0,432,1202,826.96724137931,867.5,252,fliC-pilU-,Solid,3
1,64,2.682875,3.62231493398826,1.05599108064292,1.0090713552569,1767,1208.66299212598,1265.0,391,1221,789.894488188976,814.0,198,fliC-pilU-,Solid,3
2,1,1.863225,2.6556992972802402,1.07295508145828,0.990050503762308,1797,1209.61224489796,1257.0,348,1176,738.6439909297051,785.0,185,fliC-pilU-,Solid,3
2,2,1.8421,2.70344145739377,1.03048831282189,0.990050503762308,3577,2410.07339449541,2499.0,714,1281,795.782110091743,836.5,158,fliC-pilU-,Solid,3
2,3,2.649075,3.7526802729362796,1.02947992614087,1.02774023955472,1780,1210.66666666667,1265.0,411,1158,766.2328548644341,814.0,133,fliC-pilU-,Solid,3
2,4,2.006875,2.97878587593125,1.0453199466867,1.0174109297624,3975,2844.16631578947,2961.0,1136,1111,695.282105263158,760.0,147,fliC-pilU-,Solid,3
2,5,2.4674,3.4457925650732797,1.06024386617639,1.07594144822105,1096,701.1369863013701,740.0,198,1153,750.479452054794,787.5,125,fliC-pilU-,Solid,3
2,6,2.201225,3.15424927574778,1.0717801881271,1.01116269709676,2000,1315.40882917466,1366.0,394,1150,697.097888675624,763.0,106,fliC-pilU-,Solid,3
2,7,3.9715,5.69152803604478,1.0755343195468101,1.04809350727881,4176,2936.78936170213,3071.5,753,1426,950.957446808511,1012.0,232,fliC-pilU-,Solid,3
2,8,2.074475,3.0461265234055,1.07824785424096,1.0090713552569,2304,1528.79429735234,1604.0,386,1363,830.0427698574339,935.0,142,fliC-pilU-,Solid,3
2,9,2.93215,3.98539105243401,1.0472181922649901,1.0090713552569,1980,1320.84149855908,1376.5,349,1196,731.652737752161,809.5,125,fliC-pilU-,Solid,3
2,10,3.43915,5.137644099245019,1.06520342912019,0.990050503762308,2313,1565.9643734643698,1627.5,463,1373,878.826781326781,906.5,191,fliC-pilU-,Solid,3
2,11,3.527875,4.93155374953077,1.07457772286381,1.0090713552569,2149,1481.94491017964,1560.0,405,1038,700.729341317365,731.0,206,fliC-pilU-,Solid,3
2,12,3.16875,4.505329165256759,1.07711123203567,1.02774023955472,758,440.51199999999994,451.0,129,1027,650.346666666667,698.0,116,fliC-pilU-,Solid,3
2,13,2.32375,3.227695526217,1.03094432229408,1.0090713552569,2838,1968.1545454545499,2055.5,504,1129,735.049090909091,766.5,167,fliC-pilU-,Solid,3
2,14,2.8561,3.98539105243401,1.0472181922649901,1.0090713552569,2174,1475.22781065089,1547.0,415,1119,689.837278106509,747.5,155,fliC-pilU-,Solid,3
2,17,2.01955,3.0461265234055,1.07824785424096,1.0090713552569,3408,2299.21338912134,2405.5,664,1280,796.673640167364,859.5,170,fliC-pilU-,Solid,3
2,18,2.649075,3.73462986797652,1.0811896094670999,1.0090713552569,998,646.122807017544,672.0,226,1181,718.7017543859649,801.0,177,fliC-pilU-,Solid,3
2,19,3.789825,5.478477631085019,1.07248911335735,1.0090713552569,967,631.929765886288,654.0,191,1049,666.9442586399109,722.0,117,fliC-pilU-,Solid,3
2,20,2.5688,3.68682582068574,1.04254163556968,1.01533245786787,6611,4652.80263157895,4873.5,1403,1420,945.445723684211,1000.0,191,fliC-pilU-,Solid,3
